REGION,QUARTER,POPULATION
WA,2012-Q1,2408108
WA,2012-Q2,2425507
WA,2012-Q3,2442876
WA,2012-Q4,2457489
WA,2013-Q1,2475242
WA,2013-Q2,2486944
WA,2013-Q3,2496285
WA,2013-Q4,2502188
WA,2014-Q1,2512556
WA,2014-Q2,2517608
WA,2014-Q3,2524042
WA,2014-Q4,2528619
WA,2015-Q1,2536604
WA,2015-Q2,2540672
WA,2015-Q3,2545509
WA,2015-Q4,2547745
WA,2016-Q1,2554506
WA,2016-Q2,2555978
WA,2016-Q3,2564492
WA,2016-Q4,2569606
WA,2017-Q1,2579276
WA,2017-Q2,2585720
WA,2017-Q3,2594138
WA,2017-Q4,2599928
WA,2018-Q1,2610320
WA,2018-Q2,2617792
WA,2018-Q3,2628121
WA,2018-Q4,2636404
WA,2019-Q1,2649641
WA,2019-Q2,2659625
WA,2019-Q3,2674246
WA,2019-Q4,2688799
WA,2020-Q1,2706350
WA,2020-Q2,2712912
WA,2020-Q3,2720001
WA,2020-Q4,2728187
WA,2021-Q1,2739105
WA,2021-Q2,2749365
WA,2021-Q3,2753214
WA,2021-Q4,2763015
WA,2022-Q1,2777252
WA,2022-Q2,2791432
WA,2022-Q3,2810391
WA,2022-Q4,2829589
WA,2023-Q1,2855594
WA,2012-Q1,3.02
WA,2012-Q2,3.06
WA,2012-Q3,3.09
WA,2012-Q4,3
WA,2013-Q1,2.79
WA,2013-Q2,2.53
WA,2013-Q3,2.19
WA,2013-Q4,1.82
WA,2014-Q1,1.51
WA,2014-Q2,1.23
WA,2014-Q3,1.11
WA,2014-Q4,1.06
WA,2015-Q1,0.96
WA,2015-Q2,0.92
WA,2015-Q3,0.85
WA,2015-Q4,0.76
WA,2016-Q1,0.71
WA,2016-Q2,0.6
WA,2016-Q3,0.75
WA,2016-Q4,0.86
WA,2017-Q1,0.97
WA,2017-Q2,1.16
WA,2017-Q3,1.16
WA,2017-Q4,1.18
WA,2018-Q1,1.2
WA,2018-Q2,1.24
WA,2018-Q3,1.31
WA,2018-Q4,1.4
WA,2019-Q1,1.51
WA,2019-Q2,1.6
WA,2019-Q3,1.76
WA,2019-Q4,1.99
WA,2020-Q1,2.14
WA,2020-Q2,2
WA,2020-Q3,1.71
WA,2020-Q4,1.46
WA,2021-Q1,1.21
WA,2021-Q2,1.34
WA,2021-Q3,1.22
WA,2021-Q4,1.28
WA,2022-Q1,1.39
WA,2022-Q2,1.53
WA,2022-Q3,2.08
WA,2022-Q4,2.41
WA,2023-Q1,2.82
Australia,2012-Q1,1.67
Australia,2012-Q2,1.76
Australia,2012-Q3,1.79
Australia,2012-Q4,1.8
Australia,2013-Q1,1.78
Australia,2013-Q2,1.74
Australia,2013-Q3,1.69
Australia,2013-Q4,1.61
Australia,2014-Q1,1.58
Australia,2014-Q2,1.5
Australia,2014-Q3,1.48
Australia,2014-Q4,1.47
Australia,2015-Q1,1.45
Australia,2015-Q2,1.45
Australia,2015-Q3,1.45
Australia,2015-Q4,1.46
Australia,2016-Q1,1.51
Australia,2016-Q2,1.57
Australia,2016-Q3,1.65
Australia,2016-Q4,1.67
Australia,2017-Q1,1.69
Australia,2017-Q2,1.66
Australia,2017-Q3,1.62
Australia,2017-Q4,1.53
Australia,2018-Q1,1.51
Australia,2018-Q2,1.51
Australia,2018-Q3,1.53
Australia,2018-Q4,1.56
Australia,2019-Q1,1.54
Australia,2019-Q2,1.49
Australia,2019-Q3,1.48
Australia,2019-Q4,1.49
Australia,2020-Q1,1.44
Australia,2020-Q2,1.24
Australia,2020-Q3,0.77
Australia,2020-Q4,0.43
Australia,2021-Q1,0.1
Australia,2021-Q2,0.14
Australia,2021-Q3,0.28
Australia,2021-Q4,0.55
Australia,2022-Q1,1
Australia,2022-Q2,1.28
Australia,2022-Q3,1.75
Australia,2022-Q4,2.02
Australia,2023-Q1,2.17
WA,2012-Q1,70497
WA,2012-Q2,72098
WA,2012-Q3,73264
WA,2012-Q4,71542
WA,2013-Q1,67134
WA,2013-Q2,61437
WA,2013-Q3,53409
WA,2013-Q4,44699
WA,2014-Q1,37314
WA,2014-Q2,30664
WA,2014-Q3,27757
WA,2014-Q4,26431
WA,2015-Q1,24048
WA,2015-Q2,23064
WA,2015-Q3,21467
WA,2015-Q4,19126
WA,2016-Q1,17902
WA,2016-Q2,15306
WA,2016-Q3,18983
WA,2016-Q4,21861
WA,2017-Q1,24770
WA,2017-Q2,29742
WA,2017-Q3,29646
WA,2017-Q4,30322
WA,2018-Q1,31044
WA,2018-Q2,32072
WA,2018-Q3,33983
WA,2018-Q4,36476
WA,2019-Q1,39321
WA,2019-Q2,41833
WA,2019-Q3,46125
WA,2019-Q4,52395
WA,2020-Q1,56709
WA,2020-Q2,53287
WA,2020-Q3,45755
WA,2020-Q4,39388
WA,2021-Q1,32755
WA,2021-Q2,36453
WA,2021-Q3,33213
WA,2021-Q4,34828
WA,2022-Q1,38147
WA,2022-Q2,42067
WA,2022-Q3,57177
WA,2022-Q4,66574
WA,2023-Q1,78342
Australia,2012-Q1,22640943
Australia,2012-Q2,22733465
Australia,2012-Q3,22833922
Australia,2012-Q4,22928023
Australia,2013-Q1,23043004
Australia,2013-Q2,23128129
Australia,2013-Q3,23220231
Australia,2013-Q4,23297777
Australia,2014-Q1,23406193
Australia,2014-Q2,23475686
Australia,2014-Q3,23562901
Australia,2014-Q4,23640331
Australia,2015-Q1,23745629
Australia,2015-Q2,23815995
Australia,2015-Q3,23904271
Australia,2015-Q4,23984581
Australia,2016-Q1,24103425
Australia,2016-Q2,24190907
Australia,2016-Q3,24297530
Australia,2016-Q4,24385064
Australia,2017-Q1,24511409
Australia,2017-Q2,24592588
Australia,2017-Q3,24690071
Australia,2017-Q4,24759018
Australia,2018-Q1,24881751
Australia,2018-Q2,24963258
Australia,2018-Q3,25067399
Australia,2018-Q4,25146140
Australia,2019-Q1,25264932
Australia,2019-Q2,25334826
Australia,2019-Q3,25438073
Australia,2019-Q4,25520468
Australia,2020-Q1,25627924
Australia,2020-Q2,25649248
Australia,2020-Q3,25633341
Australia,2020-Q4,25630698
Australia,2021-Q1,25653005
Australia,2021-Q2,25685412
Australia,2021-Q3,25704010
Australia,2021-Q4,25771357
Australia,2022-Q1,25909850
Australia,2022-Q2,26013061
Australia,2022-Q3,26153408
Australia,2022-Q4,26291429
Australia,2023-Q1,26473055
Australia,2012-Q1,372185
Australia,2012-Q2,393441
Australia,2012-Q3,401151
Australia,2012-Q4,405826
Australia,2013-Q1,402061
Australia,2013-Q2,394664
Australia,2013-Q3,386309
Australia,2013-Q4,369754
Australia,2014-Q1,363189
Australia,2014-Q2,347557
Australia,2014-Q3,342670
Australia,2014-Q4,342554
Australia,2015-Q1,339436
Australia,2015-Q2,340309
Australia,2015-Q3,341370
Australia,2015-Q4,344250
Australia,2016-Q1,357796
Australia,2016-Q2,374912
Australia,2016-Q3,393259
