Age group,Sex,Date,NSW_Population,Vic_Population,Qld_Population,WA_Population,SA_Population,Tas_Population,ACT_Population,NT_Population,National_Population
0-4,Female,2012-03-31,233223,175198,151164,78530,48432,15359,12094,9046,723113
0-4,Female,2012-06-30,234124,176363,152249,79386,48634,15257,12218,9166,727468
0-4,Female,2012-12-31,471655,356681,306387,160715,97944,30460,24835,18430,1467259
0-4,Female,2013-03-31,236957,180341,153988,81328,49068,15170,12574,9270,738771
0-4,Female,2013-06-30,237514,181328,154411,81836,49186,15130,12692,9362,741535
0-4,Female,2013-12-31,476159,366103,309146,164819,98486,30122,25614,18710,1489315
0-4,Female,2014-03-31,238889,184696,154851,83006,49400,14988,12958,9360,748224
0-4,Female,2014-06-30,239179,185539,155069,83520,49597,14880,12987,9373,750223
0-4,Female,2014-12-31,480217,374232,310448,167430,99589,29676,26217,18653,1506621
0-4,Female,2015-03-31,240543,188515,154933,83975,49866,14748,13183,9307,755151
0-4,Female,2015-06-30,240581,188923,154732,84097,49870,14700,13203,9340,755529
0-4,Female,2015-12-31,483695,382428,308940,168357,100184,29258,26520,18744,1518298
0-4,Female,2016-03-31,242800,193608,154518,84368,50253,14583,13397,9454,763070
0-4,Female,2016-06-30,243585,194981,154727,84411,50298,14590,13498,9512,765733
0-4,Female,2016-12-31,487826,391402,309247,169096,100187,29170,27236,18820,1533238
0-4,Female,2017-03-31,243763,196257,154074,84693,49758,14555,13732,9361,766317
0-4,Female,2017-06-30,243402,196250,153823,84638,49533,14531,13744,9379,765422
0-4,Female,2017-12-31,485272,392401,306802,169170,98564,28984,27441,18483,1527364
0-4,Female,2018-03-31,241493,196074,153009,84429,48971,14467,13682,9097,761347
0-4,Female,2018-06-30,240968,195497,153006,84275,48753,14375,13617,9017,759639
0-4,Female,2018-12-31,480545,390716,304886,168013,97311,28750,27265,17827,1515567
0-4,Female,2019-03-31,239375,195544,151750,83814,48520,14322,13663,8820,755937
0-4,Female,2019-06-30,238785,195022,151629,83773,48337,14314,13620,8768,754377
0-4,Female,2019-12-31,476177,389154,301846,167594,96600,28691,27268,17369,1504950
0-4,Female,2020-03-31,237065,193521,150066,83812,48182,14297,13571,8619,749256
0-4,Female,2020-06-30,235778,192226,149449,83464,47999,14281,13519,8601,745435
0-4,Female,2020-12-31,466857,380219,295170,165772,95391,28488,26771,16982,1475874
0-4,Female,2021-03-31,232236,188823,146575,82759,47646,14247,13268,8463,734129
0-4,Female,2021-06-30,232193,188390,146133,82778,47640,14242,13181,8430,733102
0-4,Female,2021-12-31,465194,376392,294502,165475,95204,28416,26166,16685,1468251
0-4,Female,2022-03-31,233008,188223,148084,82743,47619,14201,13072,8436,735491
0-4,Female,2022-06-30,232961,188360,148675,82612,47562,14180,12978,8378,735808
0-4,Female,2022-12-31,466941,377869,298839,164680,95479,28214,25794,16664,1474673
0-4,Female,2023-03-31,233253,189813,149654,82779,47706,14066,12808,8276,738447
0-4,Male,2012-03-31,246253,185053,159059,82304,50682,16453,12999,9659,762543
0-4,Male,2012-06-30,247469,186246,160065,83112,50985,16415,13138,9711,767222
0-4,Male,2012-12-31,498143,376883,322593,168492,102729,32649,26707,19521,1547877
0-4,Male,2013-03-31,250339,190461,162129,85403,51735,16274,13527,9805,779755
0-4,Male,2013-06-30,251034,191668,162515,85955,51925,16187,13582,9890,782840
