Date,Sex,Age group,Region,Population
31-03-2012,Female,40-44,NT,8714
30-06-2012,Female,40-44,NT,8778
31-12-2012,Female,40-44,NT,8779
31-12-2012,Female,40-44,NT,8794
31-03-2013,Female,40-44,NT,8797
30-06-2013,Female,40-44,NT,8816
31-12-2013,Female,40-44,NT,8829
31-12-2013,Female,40-44,NT,8787
31-03-2014,Female,40-44,NT,8764
30-06-2014,Female,40-44,NT,8715
31-12-2014,Female,40-44,NT,8698
31-12-2014,Female,40-44,NT,8639
31-03-2015,Female,40-44,NT,8623
30-06-2015,Female,40-44,NT,8582
31-12-2015,Female,40-44,NT,8555
31-12-2015,Female,40-44,NT,8506
31-03-2016,Female,40-44,NT,8465
30-06-2016,Female,40-44,NT,8441
31-12-2016,Female,40-44,NT,8443
31-12-2016,Female,40-44,NT,8392
31-03-2017,Female,40-44,NT,8352
30-06-2017,Female,40-44,NT,8299
31-12-2017,Female,40-44,NT,8333
31-12-2017,Female,40-44,NT,8324
31-03-2018,Female,40-44,NT,8341
30-06-2018,Female,40-44,NT,8335
31-12-2018,Female,40-44,NT,8347
31-12-2018,Female,40-44,NT,8357
31-03-2019,Female,40-44,NT,8369
30-06-2019,Female,40-44,NT,8385
31-12-2019,Female,40-44,NT,8460
31-12-2019,Female,40-44,NT,8478
31-03-2020,Female,40-44,NT,8533
30-06-2020,Female,40-44,NT,8576
31-12-2020,Female,40-44,NT,8625
31-12-2020,Female,40-44,NT,8671
31-03-2021,Female,40-44,NT,8721
30-06-2021,Female,40-44,NT,8740
31-12-2021,Female,40-44,NT,8737
31-12-2021,Female,40-44,NT,8786
31-03-2022,Female,40-44,NT,8883
30-06-2022,Female,40-44,NT,8947
31-12-2022,Female,40-44,NT,9015
31-12-2022,Female,40-44,NT,9031
31-03-2023,Female,40-44,NT,9054
31-03-2012,Total,50-54,WA,160511
30-06-2012,Total,50-54,WA,161353
31-12-2012,Total,50-54,WA,162289
31-12-2012,Total,50-54,WA,163149
31-03-2013,Total,50-54,WA,164103
30-06-2013,Total,50-54,WA,164868
31-12-2013,Total,50-54,WA,165296
31-12-2013,Total,50-54,WA,165650
31-03-2014,Total,50-54,WA,166051
