LGA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA50080,0,16,8,5,3,0,34,0,23,5,6,3,0,37,14,189,42,54,15,7,316,13,107,83,82,45,5,335,51,49,20,98,26,0,242,119,78,53,144,32,0,427,547,79,28,371,56,7,1081,657,18,12,219,34,0,939,137,6,0,45,8,0,197,23,0,0,8,0,0,30,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,40,17,45,22,5,144,1582,596,263,1089,235,28,3798
LGA50210,0,25,8,9,6,4,43,0,27,9,8,0,0,42,22,197,23,45,7,0,294,65,116,71,90,37,4,384,184,66,6,132,25,0,414,647,80,19,304,29,3,1078,1358,43,9,574,62,6,2053,1331,5,16,432,56,5,1847,459,3,5,137,15,0,618,89,0,0,17,3,0,111,8,0,0,9,3,0,24,6,0,0,0,0,0,11,0,4,0,0,0,0,6,3,0,0,9,0,0,11,76,43,9,81,26,19,242,4264,611,166,1842,266,41,7189
LGA50250,16,13,29,0,706,8,774,0,5,4,0,29,0,33,0,29,6,3,56,0,93,0,14,3,0,20,0,36,0,11,0,3,15,0,31,5,4,0,0,12,0,20,6,6,0,0,3,0,17,19,3,0,11,5,0,31,11,0,0,8,0,0,21,11,0,0,0,0,0,16,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,3,0,14,7,4,9,7,85,3,110,79,88,54,36,940,8,1201
LGA50280,0,4,0,8,7,0,16,0,0,0,4,0,0,10,0,34,5,24,11,0,73,3,23,3,30,12,0,79,13,9,0,46,6,0,74,32,13,3,57,9,0,105,89,16,0,126,10,0,231,253,5,0,205,10,0,467,123,0,0,64,4,0,193,23,0,0,28,0,0,53,3,0,0,4,13,0,18,0,0,0,5,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,4,7,6,0,34,15,3,73,552,99,14,632,93,9,1405
LGA50350,0,3,0,0,0,0,16,0,10,0,3,0,0,13,4,123,16,9,0,4,156,7,58,14,16,0,0,92,9,16,3,29,0,0,69,34,33,14,55,0,0,139,259,22,6,130,8,0,431,407,6,0,137,3,0,559,119,0,0,19,0,0,138,24,0,0,6,0,0,34,12,0,0,0,0,0,9,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,11,22,3,24,0,10,73,885,296,65,444,24,18,1730
LGA50420,4,25,0,14,0,0,51,0,51,14,6,0,0,75,27,323,14,69,7,0,446,74,124,38,103,17,0,362,217,57,13,168,19,3,473,634,68,20,311,46,0,1072,1285,48,17,618,66,0,2037,1882,21,6,663,75,7,2644,852,6,0,241,15,4,1123,201,0,0,57,7,0,264,52,0,0,16,3,0,69,16,0,0,5,6,0,30,0,0,0,6,0,0,6,11,0,0,10,0,0,20,58,54,15,108,25,11,275,5322,780,135,2382,282,40,8945
LGA50490,9,46,4,6,0,0,57,3,73,7,12,0,0,94,20,438,31,47,9,5,548,38,146,44,67,8,4,303,94,74,18,63,8,0,251,314,88,14,138,19,0,571,1230,59,8,398,49,8,1762,1990,31,8,483,61,11,2583,688,5,0,106,5,3,815,133,0,0,28,0,0,166,43,0,0,8,0,0,54,11,0,0,0,3,0,16,4,0,0,0,4,0,8,3,0,0,3,3,0,10,71,52,7,71,17,26,248,4649,1010,149,1437,189,49,7486
LGA50560,0,0,0,3,0,0,5,0,0,0,0,0,0,4,0,5,0,5,0,0,9,0,4,0,6,0,0,15,0,0,0,9,0,0,11,7,0,0,3,0,0,15,3,0,0,4,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,10,4,39,7,0,81
LGA50630,0,3,0,0,3,0,6,0,0,0,0,7,0,7,0,3,0,0,4,0,11,0,0,3,0,3,0,12,8,0,0,7,0,0,12,3,0,3,6,0,0,23,28,4,0,14,3,0,51,25,0,0,13,0,0,38,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,67,17,5,45,35,0,166
LGA50770,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,9,0,0,9,0,6,0,10,0,0,15,4,4,0,13,5,0,28,7,4,0,16,3,0,24,9,0,0,4,0,0,13,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,13,23,12,0,55,16,0,117
