LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA50080,6798,4134,4150,4231,4976,5440,4990,2890,1164,38763
LGA50210,22087,10747,14140,15526,11039,9336,7019,3289,1006,94184
LGA50250,1727,637,1511,1494,1021,744,200,54,10,7391
LGA50280,3423,1275,1734,2673,2511,2214,1925,746,286,16791
LGA50350,2799,1601,2231,2389,2165,1971,1574,839,360,15932
LGA50420,11024,7332,11640,10678,8739,7799,6607,3832,1634,69283
LGA50490,6725,4879,8528,6610,5019,4498,3282,1827,902,42257
LGA50560,204,117,124,161,220,292,349,165,58,1694
LGA50630,375,126,183,208,242,266,197,86,20,1705
LGA50770,361,145,129,220,243,295,245,158,35,1834
LGA50840,867,413,381,537,699,896,922,426,104,5238
LGA50910,161,68,67,102,137,134,133,90,41,929
LGA50980,3994,1869,2890,2707,2353,1828,953,289,75,16959
LGA51080,228,95,114,125,129,179,104,52,13,1046
LGA51120,181,87,88,111,123,143,155,72,26,979
LGA51190,5449,3544,4214,4053,4290,4440,3875,2158,968,32987
LGA51260,7621,3663,3812,5162,5504,5355,5509,2960,1045,40640
LGA51310,5652,3456,2837,3743,4391,3602,2616,1608,969,28876
LGA51330,17402,13703,14885,14030,11751,10116,8086,4299,1591,95860
LGA51400,4029,2289,1842,2425,2727,2332,1692,701,136,18175
LGA51470,76,41,62,95,64,82,86,33,11,552
LGA51540,973,558,715,617,767,753,556,241,70,5251
LGA51610,327,142,127,194,274,254,169,53,9,1556
LGA51680,1109,665,516,682,942,988,642,309,77,5930
LGA51710,285,127,319,271,263,210,178,32,4,1692
LGA51750,1776,1583,1244,1175,1475,1286,1196,1030,529,11284
LGA51820,22972,13975,17894,18564,15830,12939,9368,4740,1811,118091
LGA51860,130,49,65,85,53,111,63,33,11,593
LGA51890,1571,947,920,976,1120,1301,1220,568,183,8812
LGA51960,690,412,461,471,533,513,297,86,14,3478
LGA52030,132,60,98,89,107,220,215,103,23,1055
LGA52100,173,84,105,118,110,147,156,75,42,1007
LGA52170,1252,1014,908,841,1094,1113,959,577,219,7970
LGA52240,215,87,90,132,159,178,134,85,15,1100
LGA52310,142,72,74,75,142,166,151,61,12,902
LGA52380,4,19,35,20,31,35,58,11,0,215
LGA52450,260,201,152,155,136,154,151,64,27,1302
LGA52520,298,118,176,211,155,204,118,63,36,1379
LGA52590,471,224,368,364,413,589,599,265,65,3355
LGA52660,2991,1526,1843,1927,1851,1805,1489,900,347,14686
LGA52730,1084,522,393,691,833,1055,1042,542,155,6310
LGA52800,1609,1036,1270,958,858,781,421,119,29,7075
LGA52870,1024,537,502,684,847,1009,978,460,127,6155
LGA52940,152,60,55,86,90,84,126,45,10,715
LGA53010,136,39,74,93,89,102,96,44,0,681
LGA53080,74,62,96,53,109,133,95,49,3,677
LGA53150,1374,912,717,925,1198,1081,876,471,254,7819
LGA53220,1578,1026,2324,2020,1476,1035,251,44,13,9760
LGA53290,2720,1488,1548,1642,1899,1894,1486,918,284,13883
LGA53360,562,323,544,498,425,379,244,101,16,3085
LGA53430,4575,3203,4531,4498,4338,4423,3573,1936,849,31930
LGA53570,794,462,574,577,782,898,928,462,88,5576
LGA53640,261,98,175,155,150,181,143,34,8,1215
LGA53710,166,76,65,117,122,153,158,68,24,955
LGA53780,26265,16250,17620,19859,16225,12945,10175,5162,1869,126376
LGA53800,7863,4581,4684,4866,5377,5164,3981,2149,839,39489
LGA53920,890,648,605,505,421,277,158,62,11,3574
LGA53990,5963,3146,3228,3762,3741,3784,3061,1466,400,28567
LGA54060,551,308,222,359,479,644,673,362,78,3680
LGA54130,252,90,137,158,148,191,133,46,12,1160
LGA54170,29848,19300,16285,21336,22768,21744,18096,7853,2782,160003
LGA54200,11358,6770,6450,7970,7889,7218,6227,3593,1292,58762
LGA54280,6492,3610,4812,4401,3915,3416,1782,678,202,29306
LGA54310,5642,2369,4115,4351,3142,1864,574,135,12,22199
LGA54340,782,503,531,486,489,518,427,232,100,4057
LGA54410,147,109,93,119,154,206,153,114,46,1138
LGA54480,120,41,59,84,84,47,32,19,0,491
LGA54550,372,137,179,249,236,305,222,150,54,1901
LGA54620,145,74,82,114,125,130,110,51,18,847
LGA54690,64,14,28,41,56,69,60,27,6,361
LGA54760,163,41,78,107,117,114,94,43,11,769
LGA54830,10410,5642,7857,7718,5670,4134,2717,1314,416,45867
LGA54900,251,119,144,178,173,200,128,67,13,1265
LGA54970,133,136,323,236,223,207,56,11,5,1333
LGA55040,265,205,351,265,216,180,81,26,3,1588
LGA55110,15677,9464,9182,9972,10978,11960,12513,7848,2707,90306
LGA55180,1484,927,907,944,1246,1510,1213,647,221,9093
LGA55250,174,165,270,166,154,155,81,31,0,1200
LGA55320,17909,12738,10955,13403,13754,12993,11756,6676,3336,103523
LGA55390,29,77,115,108,82,70,40,11,0,524
LGA55460,588,349,373,370,398,449,368,160,65,3119
LGA55530,78,27,38,48,55,75,52,34,9,407
LGA55600,437,234,244,235,324,337,268,149,57,2292
LGA55670,147,71,62,63,77,83,98,36,18,660
LGA55740,1549,1185,1009,1139,1334,1141,995,594,211,9169
LGA55810,122,55,70,97,104,103,72,23,9,653
LGA55880,79,22,42,62,75,100,45,20,16,459
LGA55950,121,48,62,60,82,85,68,46,11,579
LGA56090,6535,4336,4241,4932,5655,5720,4548,2428,775,39166
LGA56160,32,3,13,17,17,10,5,0,0,101
LGA56230,3275,1887,1768,2009,2285,2496,2502,1433,409,18068
LGA56300,208,83,94,178,182,280,336,151,30,1538
LGA56370,153,47,106,69,98,119,89,68,41,787
LGA56460,827,589,536,524,592,654,567,326,159,4779
LGA56580,4202,3045,1863,2448,3143,2774,2506,1499,650,22132
LGA56620,293,242,230,210,180,135,52,14,3,1358
LGA56730,2061,1242,1227,1305,1488,1662,1438,706,237,11358
LGA56790,482,205,239,324,408,606,597,282,86,3227
LGA56860,33,33,17,20,37,46,44,14,4,255
LGA56930,264,322,112,119,215,220,183,114,41,1597
LGA57000,84,58,76,95,102,117,55,26,11,629
LGA57080,1999,4868,8545,4824,2682,2481,1901,901,268,28463
LGA57140,169,81,89,94,123,177,172,107,23,1037
LGA57210,903,488,455,573,769,910,823,352,117,5388
LGA57280,3879,1663,3066,2832,2024,1608,468,111,33,15684
LGA57350,149,49,87,81,121,160,190,81,39,961
LGA57420,392,139,297,257,299,323,221,126,32,2085
LGA57490,29431,16896,18324,18382,17886,15559,10901,6210,2083,135678
LGA57630,0,6,13,7,11,31,22,15,0,109
LGA57700,8017,3704,4896,4765,4066,3391,2123,955,249,32173
LGA57770,169,73,152,133,124,166,145,63,8,1031
LGA57840,6226,5914,6604,5719,5276,5155,4773,2503,1233,43405
LGA57910,38268,24550,37576,34928,28195,24207,20107,12645,5894,226369
LGA57980,2726,1807,2660,2411,2135,1989,1947,1153,439,17267
LGA58050,33231,19203,23311,22878,19814,16713,10855,5197,1767,152974
