LGA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA50080,17,14,196,242,50,408,29,322,29,1308,49,105,307,234,76,153,72,231,20,1250,225,552,666,372,280,251,200,349,34,2931,420,672,501,453,371,232,211,381,41,3285,583,780,521,565,457,266,294,399,50,3922,546,675,405,502,471,246,292,375,47,3558,288,205,118,94,125,72,93,143,15,1155,66,18,14,7,11,13,9,24,11,170,11,0,0,0,0,0,0,4,7,18,2215,3027,2726,2475,1845,1636,1203,2223,251,17599
LGA50210,31,35,281,316,95,796,132,568,49,2317,149,338,750,629,404,557,358,548,62,3799,877,2040,2017,1274,1336,655,1033,926,216,10371,1359,2820,2006,1400,1547,623,1182,902,213,12042,971,1509,1318,1070,1194,441,906,789,147,8338,652,925,852,714,941,381,812,612,91,5989,180,219,203,168,206,118,174,158,24,1443,30,29,25,3,14,7,5,28,3,155,0,0,0,0,0,0,0,0,5,9,4253,7912,7445,5586,5741,3575,4604,4526,809,44453
LGA50250,0,0,14,16,0,24,11,32,4,104,3,25,65,22,15,9,41,52,14,236,62,141,300,83,73,13,221,117,20,1031,87,109,317,76,107,25,280,76,28,1091,56,53,156,37,49,21,247,86,25,733,56,36,98,28,41,23,186,47,11,526,14,12,15,9,0,4,27,7,0,92,5,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,288,379,961,269,284,112,1022,415,100,3828
LGA50280,3,3,61,118,4,131,3,123,6,458,18,8,81,63,14,47,16,92,0,340,159,217,315,194,84,85,62,208,10,1339,311,474,403,239,163,108,131,252,25,2115,355,395,312,186,193,148,125,215,24,1955,252,278,211,140,173,125,106,180,23,1480,163,98,49,23,58,41,31,53,14,528,38,4,3,4,11,4,0,10,6,77,8,0,0,0,0,0,0,0,3,12,1310,1489,1431,961,692,689,478,1133,111,8297
LGA50350,4,9,29,82,17,95,26,94,8,359,34,77,109,127,67,98,35,75,11,633,196,571,282,201,184,103,87,105,33,1762,263,645,298,156,243,99,88,100,30,1923,253,457,252,166,281,94,104,91,26,1724,192,283,169,141,223,86,94,121,9,1317,29,62,42,38,60,32,29,40,0,345,3,11,5,0,3,8,0,8,0,36,0,0,0,0,0,0,0,0,0,0,978,2114,1188,914,1080,613,467,629,115,8098
LGA50420,13,27,124,294,55,501,61,341,13,1434,135,504,411,687,346,520,213,375,40,3231,889,3151,1390,1120,1093,528,503,627,166,9460,1332,2818,1144,803,1062,366,430,510,147,8630,1125,1794,927,644,1047,337,418,492,108,6893,688,1118,691,559,919,317,394,460,70,5201,200,341,214,149,245,105,111,156,15,1534,14,44,14,4,27,9,13,21,5,160,0,0,0,0,0,0,0,3,0,12,4391,9796,4914,4261,4805,2685,2152,2982,572,36553
LGA50490,16,18,80,131,45,289,28,173,14,798,96,288,354,433,244,343,159,234,39,2184,579,1755,1135,787,733,363,523,571,141,6591,642,1285,821,511,603,241,407,392,87,4983,510,748,548,404,544,176,420,295,63,3707,341,434,392,274,525,177,338,299,48,2831,101,141,96,83,102,48,101,90,12,775,11,14,4,6,14,5,7,11,3,82,0,0,0,0,7,0,0,0,3,9,2302,4690,3432,2625,2818,1639,1988,2064,413,21968
LGA50560,4,0,3,0,0,0,5,9,0,22,0,0,4,3,0,0,4,9,0,22,12,9,14,12,8,5,11,12,0,79,27,18,18,14,9,0,14,13,0,111,39,23,10,14,21,5,16,17,0,141,40,12,18,13,16,12,20,26,3,159,36,11,11,4,9,3,9,12,5,100,8,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,170,74,74,57,60,31,76,92,17,651
LGA50630,0,0,4,4,0,0,3,5,0,18,0,0,18,5,0,3,6,7,0,45,12,13,34,9,11,0,22,16,0,114,23,19,30,8,16,6,43,9,4,160,17,20,31,15,21,3,51,19,5,183,21,19,34,9,23,10,50,11,0,185,17,9,3,0,5,0,8,0,0,50,11,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,97,79,149,55,76,25,190,76,15,759
LGA50770,0,0,3,3,0,8,6,15,0,32,9,0,9,9,5,9,3,15,0,55,16,8,22,0,11,3,9,12,5,91,55,24,21,13,9,8,14,15,0,159,63,22,27,11,17,8,14,22,6,179,60,14,17,8,22,8,31,20,0,177,55,9,3,4,0,0,5,8,4,76,27,0,0,0,5,0,0,8,0,39,0,0,0,0,0,0,0,0,0,0,278,79,89,48,79,43,72,104,13,807
