LGA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
LGA50080,20,0,66,52,252,18,413,5,6,26,31,211,5,275,4,4,37,38,293,18,400,0,0,4,19,93,0,122,4,5,37,88,787,20,926,0,0,18,26,127,0,171,0,3,32,38,302,16,392,3,0,23,48,153,9,239,3,4,28,41,179,12,270,3,0,18,3,17,0,43,0,3,24,19,22,4,72,0,0,11,20,41,0,72,31,9,119,55,43,6,265,0,0,12,18,84,0,119,21,20,84,113,242,20,502,43,61,155,57,83,8,399,66,18,184,82,147,15,503,0,0,7,10,36,5,56,5,10,19,23,223,8,289,0,0,18,17,120,29,186,230,144,907,794,3458,184,5714,7,7,47,40,73,17,191,6,0,0,4,12,0,20,3,8,18,36,67,10,132,0,0,9,7,10,0,25,3,0,19,34,77,5,137,0,3,3,10,27,0,44,9,5,69,73,324,24,498,7,4,77,61
LGA50210,4,6,30,24,50,4,123,122,16,293,202,879,45,1551,75,16,246,241,871,42,1487,25,5,66,44,159,7,301,60,14,242,254,1616,57,2245,45,4,104,93,399,12,658,66,8,208,134,457,35,909,31,0,83,124,261,15,521,107,16,242,309,508,59,1246,19,0,58,40,38,7,166,41,7,97,52,40,7,251,10,5,42,34,93,11,189,199,47,493,182,225,28,1171,20,3,72,73,200,9,378,99,45,211,220,403,18,995,112,73,292,62,104,13,657,148,53,380,169,250,38,1041,15,4,41,24,70,4,166,27,9,73,77,551,23,759,43,10,165,155,468,121,964,1279,358,3447,2513,7649,557,15789,3,3,20,11,27,7,72,35,19,103,60,129,12,365,29,9,113,99,165,16,436,3,0,34,13,19,3,77,27,10,84,89,173,13,398,24,3,60,60,87,14,247,65,16,291,219,516,56,1159,37,7,132,123
LGA50250,0,0,0,5,7,0,10,23,8,91,86,794,31,1034,0,0,0,4,4,0,10,0,0,0,0,5,0,5,4,0,13,17,142,6,187,0,0,0,0,30,0,34,0,0,0,0,5,4,15,0,0,16,18,42,0,69,3,0,6,3,26,0,35,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3,7,0,13,0,0,8,0,8,0,13,0,0,0,5,20,0,29,5,0,10,12,15,0,45,3,4,13,0,5,0,26,0,0,12,0,5,0,11,0,0,0,0,3,0,3,0,0,0,0,15,0,24,0,0,6,0,37,8,56,49,25,180,163,1157,50,1625,3,0,3,0,6,0,18,9,6,47,46,115,10,230,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,4,5,18,0,0,3,0,4,0,11,0,0,4,7,16,0,27,4,0,23,12
LGA50280,9,4,55,41,97,12,213,10,3,61,44,228,9,359,15,13,106,46,139,9,323,0,0,4,6,29,6,42,9,5,51,36,415,18,533,3,4,3,5,31,0,46,6,0,36,17,63,6,129,5,0,41,59,115,10,237,0,0,13,23,43,5,79,3,0,4,4,4,0,18,0,7,8,4,0,0,20,0,0,10,4,10,0,34,25,5,65,28,15,6,149,5,0,30,11,59,0,99,8,3,26,26,40,0,107,16,28,73,9,24,0,159,29,5,52,14,16,0,120,0,3,10,9,16,0,43,4,0,10,7,77,0,90,3,5,31,16,61,11,115,145,87,690,415,1486,94,2918,4,5,32,24,34,9,116,0,0,11,3,15,0,37,12,10,93,38,54,3,207,0,0,5,0,0,0,7,0,4,13,15,16,4,61,0,3,7,11,8,0,32,8,5,76,57,117,19,291,9,6,96,51
LGA50350,5,0,5,0,4,0,17,31,8,81,45,132,4,298,8,0,34,25,110,9,188,0,0,16,5,13,0,39,9,9,51,58,300,11,430,4,0,13,14,57,4,94,9,5,28,25,71,4,139,3,0,15,18,54,0,94,7,8,32,26,70,5,143,10,0,17,8,3,0,40,10,0,33,17,6,4,74,4,0,13,11,16,0,42,51,20,162,40,40,9,307,0,0,13,9,26,6,59,35,15,88,43,72,0,254,40,33,66,27,25,4,196,31,17,66,28,51,3,198,0,4,23,19,14,3,64,8,0,17,11,67,0,98,9,6,29,14,83,10,146,280,118,795,427,1210,77,2908,0,0,3,0,0,0,3,14,7,37,16,18,0,93,5,0,25,16,25,5,76,4,6,11,0,5,0,22,4,0,19,23,17,3,74,0,0,10,3,18,5,41,11,3,51,29,80,8,176,7,0,28,15
LGA50420,3,0,15,8,13,5,46,160,40,423,129,471,20,1242,48,14,181,110,412,26,784,27,9,90,20,61,4,203,63,18,277,256,1028,49,1692,28,4,103,55,157,3,358,67,13,226,134,274,29,748,35,10,173,211,221,20,673,58,24,218,162,281,38,784,16,10,80,46,44,8,196,47,21,187,63,51,10,369,15,7,66,37,55,0,175,312,78,936,204,168,34,1726,33,11,122,78,130,10,385,132,62,387,203,231,28,1040,194,98,374,66,85,14,826,145,58,390,127,185,23,928,30,10,95,50,64,13,255,30,5,89,63,328,16,533,65,10,223,92,233,72,705,1508,492,4652,2099,4496,424,13664,3,0,20,8,13,0,39,83,36,205,43,80,14,469,26,12,95,61,62,14,272,17,12,33,19,28,0,107,32,13,118,80,83,5,322,18,5,68,39,50,6,189,81,17,299,150,243,31,812,37,6,208,143
LGA50490,0,0,9,7,15,0,30,110,23,256,104,435,34,958,35,11,110,85,257,21,517,10,0,24,12,47,0,94,51,5,169,132,599,24,988,22,3,67,44,141,14,288,45,4,158,68,172,14,467,36,7,142,167,186,23,559,76,19,173,167,232,22,692,16,0,34,26,22,3,98,28,4,70,28,25,3,152,9,8,34,21,53,5,123,162,26,434,125,110,14,863,32,4,84,30,86,9,250,64,24,141,95,151,14,492,97,34,141,34,60,10,370,75,28,204,85,71,12,483,7,4,55,36,97,3,201,16,5,56,57,183,10,330,34,5,92,60,157,86,434,929,214,2446,1382,3088,332,8388,0,0,9,0,6,0,20,29,11,124,52,99,14,336,19,11,69,33,38,7,174,3,4,11,14,14,0,47,25,10,92,47,52,10,232,15,11,39,20,32,6,107,40,15,163,93,170,17,506,26,9,161,133
LGA50560,0,0,16,4,29,5,58,0,0,0,5,10,0,16,0,0,0,0,6,0,11,0,0,0,0,3,0,3,0,0,0,0,13,0,20,0,0,3,6,0,0,8,0,0,0,0,0,0,5,0,0,0,0,3,0,5,0,0,0,5,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,6,0,12,0,0,0,0,0,0,5,0,0,0,0,4,0,6,0,0,0,4,0,0,7,0,0,0,0,8,0,9,0,0,0,0,5,0,10,4,0,32,27,102,14,175,0,0,15,8,11,0,32,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,4,0,17,0,0,0,0
LGA50630,0,0,4,0,8,0,13,5,0,7,5,83,6,108,3,0,0,0,21,0,26,0,0,0,0,3,0,3,0,0,0,0,16,0,15,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,10,0,13,0,0,9,0,5,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,0,0,0,3,0,3,6,0,28,14,179,11,243,0,0,9,4,3,0,8,0,0,10,8,20,0,34,0,0,0,4,11,0,15,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0
LGA50770,0,0,18,16,73,4,108,0,0,7,0,20,0,28,0,0,0,0,12,0,12,0,0,0,0,0,0,5,0,0,0,0,12,0,15,0,0,0,0,7,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,3,5,0,0,0,11,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,4,0,3,0,6,39,30,145,9,228,5,0,22,23,18,3,69,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,3,13,0,17,0,0,0,0
