LGA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
LGA50080,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,3,12,6,9,5,0,0,0,0,0,0,3,67,10,51,35,12,0,6,3,11,4,4,0,4,0,0,7,147,0,0,0,0,4,7,7,5,0,0,0,4,0,0,3,28,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5,4,0,17,11,4,0,0,0,0,0,17,75,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,4,121,28,14,37,6,16,7,0,0,0,0,4,0,11,254,0,8,60,102,149,105,130,56,4,7,8,12,3,9,42,676,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50210,0,3,4,4,0,0,0,124,0,0,4,0,0,30,41,18,6,4,0,0,0,0,0,103,0,9,39,42,74,21,67,82,4,7,6,0,0,0,7,362,12,87,85,21,14,4,13,22,0,0,0,0,0,0,6,278,0,4,5,0,5,12,42,18,0,4,0,9,3,0,3,100,0,0,0,0,0,25,118,65,12,5,4,13,3,0,5,255,0,0,0,10,13,8,6,8,0,3,0,0,0,0,0,55,0,0,30,64,165,110,543,244,37,42,33,25,19,4,16,1324,0,0,0,0,0,0,52,23,0,5,5,11,0,0,0,103,14,216,68,48,74,24,54,22,6,0,0,0,0,0,11,545,0,4,70,210,469,429,781,636,53,34,64,57,24,28,88,2953,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,4,4,15,96,140,18,25,14,18,10,0,0,357
LGA50250,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,21,21,0,0,5,0,3,0,0,56,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,7,0,0,0,4,7,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,13,0,0,3,32,50,60,132,81,13,11,5,0,0,0,19,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,15,6,18,14,0,0,0,5,0,0,0,81,0,3,3,0,0,0,9,38,8,5,5,8,4,0,3,104,0,0,0,0,0,3,11,12,0,0,0,0,0,0,0,30,0,0,0,0,0,0,9,11,0,0,0,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,4,12,7,7,0,0,0,0,0,0,0,69,0,0,22,57,89,84,99,57,4,4,9,10,3,5,22,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA50350,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,14,0,0,3,14,26,11,47,37,0,0,0,0,0,0,0,147,6,66,32,7,7,3,6,12,3,0,0,0,0,0,5,148,0,0,0,0,0,6,12,4,0,0,0,0,3,0,0,33,0,0,0,0,7,7,11,6,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,9,28,10,20,11,0,0,0,0,5,0,0,105,0,0,0,0,0,0,14,10,0,5,4,0,0,0,0,31,0,19,8,8,6,0,5,0,0,0,0,0,0,0,0,51,0,4,24,50,100,65,96,51,12,11,7,3,0,0,13,432,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,10,0,6,5,0,0,0,0,26
LGA50420,10,3,12,7,6,0,0,266,0,0,0,0,0,25,49,33,9,5,4,10,0,0,0,148,3,6,42,39,94,29,162,183,18,10,14,18,8,0,12,637,43,442,416,99,37,32,44,95,11,11,9,11,0,0,30,1282,0,0,0,7,10,38,67,33,4,0,8,8,7,6,3,196,0,0,0,0,19,17,74,56,19,11,16,14,0,0,0,234,0,0,0,7,12,5,10,5,0,0,0,0,0,0,0,47,0,5,55,112,317,112,204,123,41,27,41,37,13,4,17,1112,0,0,0,0,0,3,61,65,17,33,51,49,17,0,9,302,16,83,30,17,23,11,15,8,5,0,0,0,0,0,6,214,4,7,59,184,278,234,327,257,5,19,33,32,6,7,34,1491,0,8,41,29,16,24,20,0,6,0,0,0,0,0,6,162,0,3,5,6,9,6,46,56,20,23,19,50,24,0,5,267
LGA50490,9,6,9,14,6,0,6,136,0,4,0,0,0,18,33,34,0,0,0,3,0,0,4,97,0,7,25,19,39,18,61,133,4,3,9,20,10,0,5,346,8,107,90,16,7,8,14,51,0,9,6,4,0,0,14,328,0,0,0,0,0,18,38,19,7,3,7,8,0,0,3,107,0,0,0,9,14,16,117,78,16,13,15,14,4,0,8,297,0,0,0,18,5,7,8,13,0,0,0,5,0,0,0,62,0,7,21,39,115,80,215,153,38,54,30,29,7,6,17,824,0,0,0,0,6,10,65,67,19,28,39,43,15,0,0,292,3,37,3,0,12,4,8,0,0,0,4,0,0,0,0,84,0,0,30,116,222,188,311,341,31,18,38,25,10,22,33,1396,0,0,0,0,3,0,3,0,0,0,4,0,0,3,0,24,0,0,5,5,12,5,85,179,56,51,33,60,29,3,9,523
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,7,12,15,11,3,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,8,5,12,16,8,3,0,0,4,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,11,7,6,4,3,0,0,0,6,0,8,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
