LGA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA50080,..,106,74,25,37,67,30,18,0,355,..,70,132,125,273,506,609,546,284,2537,56,56,58,42,50,96,79,41,15,487,3138,1812,1852,2043,2431,2594,2231,1373,481,17958,..,98,1256,2036,2486,2732,2622,1452,363,13046,..,431,910,671,602,529,260,74,5,3488,..,38,208,428,471,218,91,68,57,1579,6318,..,..,..,..,..,..,..,..,6318,..,1329,..,..,..,..,..,..,..,1329,..,1096,445,146,116,72,19,0,0,1893,..,177,91,34,57,89,110,66,32,652,..,119,103,38,38,31,12,4,0,347,..,194,170,61,83,110,65,36,0,724,..,158,314,273,519,905,977,767,407,4318,123,126,116,92,110,163,152,68,21,968,6440,3780,3613,3765,4485,4860,4297,2542,894,34668
LGA50210,..,133,175,91,115,126,54,24,3,717,..,130,406,342,431,711,810,542,218,3585,120,147,115,62,65,65,60,21,14,668,10304,5064,7021,7461,5179,4500,3525,1567,451,45066,..,225,5292,9568,5997,5097,4050,1730,288,32239,..,985,2992,1656,1170,709,274,62,11,7873,..,143,795,1164,1030,628,310,159,91,4317,20892,..,..,..,..,..,..,..,..,20892,..,4143,..,..,..,..,..,..,..,4143,..,2974,1542,456,292,143,20,0,0,5432,..,554,493,197,192,333,366,170,77,2381,..,289,312,163,81,60,34,19,0,954,..,285,505,248,260,282,145,47,11,1774,..,254,978,904,1056,1305,1327,820,312,6957,265,269,244,163,142,111,96,38,21,1353,21155,10120,13150,14520,10214,8663,6631,3042,808,88309
LGA50250,..,8,8,0,4,0,5,0,0,35,..,9,31,16,19,31,10,3,0,122,31,5,31,14,7,3,4,0,0,90,610,174,405,377,244,169,59,14,4,2063,..,9,297,477,291,205,48,15,0,1334,..,76,245,178,77,68,16,0,0,661,..,0,24,37,26,17,11,5,0,117,1200,..,..,..,..,..,..,..,..,1200,..,89,..,..,..,..,..,..,..,89,..,81,14,3,8,4,0,0,0,112,..,22,9,8,10,9,6,7,0,73,..,9,6,4,3,5,0,0,0,26,..,18,20,11,12,11,7,0,0,77,..,29,67,76,76,82,31,14,0,387,59,12,54,39,33,14,6,0,0,218,1252,353,739,831,537,400,128,39,4,4287
LGA50280,..,31,74,28,24,33,11,0,6,204,..,10,40,54,79,166,185,120,76,727,32,33,29,36,32,44,36,7,8,248,1492,511,763,1296,1075,1000,784,327,132,7373,..,9,394,1215,1118,1029,969,389,77,5201,..,71,471,504,368,267,96,23,0,1787,..,0,38,196,210,86,26,19,19,594,3022,..,..,..,..,..,..,..,..,3022,..,479,..,..,..,..,..,..,..,479,..,326,102,50,31,20,3,0,0,524,..,39,18,18,13,29,27,20,11,175,..,42,77,36,16,14,13,0,0,194,..,76,204,62,60,69,25,6,6,514,..,30,97,142,208,328,336,177,111,1424,66,58,57,73,67,75,56,19,8,473,3083,1135,1452,2290,2089,1913,1558,654,227,14398
LGA50350,..,46,62,24,31,44,20,13,0,245,..,23,80,100,115,211,252,200,108,1087,24,18,16,12,9,20,6,10,7,120,1266,724,1050,1191,1015,978,787,439,176,7632,..,20,568,1208,1022,979,771,371,76,5010,..,130,640,389,268,165,80,22,0,1703,..,9,82,168,221,117,64,38,21,719,2631,..,..,..,..,..,..,..,..,2631,..,615,..,..,..,..,..,..,..,615,..,442,263,98,65,26,6,0,0,902,..,92,63,28,32,40,57,32,24,374,..,39,48,18,16,10,4,0,0,134,..,94,151,61,68,74,49,21,3,530,..,41,171,220,261,390,408,266,137,1904,40,31,33,23,27,31,16,14,7,222,2670,1516,2024,2217,1980,1836,1458,763,286,14745
LGA50420,..,298,457,135,107,119,50,25,3,1201,..,165,607,456,526,708,945,695,386,4485,62,83,93,61,47,69,62,37,21,539,5120,3415,5563,5004,4206,3754,3301,1816,732,32902,..,102,3281,5499,4430,4022,3578,1877,396,23189,..,542,2872,1575,941,584,280,84,10,6901,..,40,243,628,860,485,252,157,145,2814,10518,..,..,..,..,..,..,..,..,10518,..,2917,..,..,..,..,..,..,..,2917,..,1636,1174,391,270,177,36,3,0,3681,..,395,357,131,120,217,197,151,98,1659,..,210,332,101,58,46,23,6,0,779,..,670,1134,374,296,260,142,62,12,2955,..,307,1239,1151,1133,1412,1583,1060,509,8389,134,164,210,140,118,118,99,50,25,1050,10652,6986,10845,9989,8220,7320,6195,3463,1191,64855
LGA50490,..,244,335,94,70,59,53,11,0,877,..,159,486,301,299,459,520,393,216,2850,41,65,75,37,26,43,32,23,19,345,3119,2217,3836,2909,2210,2001,1599,878,402,19181,..,90,2305,3246,2312,1874,1476,750,189,12241,..,538,1759,786,507,372,146,39,6,4162,..,39,208,390,462,287,144,97,87,1722,6267,..,..,..,..,..,..,..,..,6267,..,1439,..,..,..,..,..,..,..,1439,..,903,601,177,142,124,23,0,0,1977,..,358,337,99,93,159,152,66,44,1310,..,171,292,89,54,30,12,4,0,651,..,585,1004,326,198,187,99,33,3,2429,..,307,1077,755,698,977,903,586,300,5595,83,102,143,89,52,81,48,36,22,657,6349,4531,7734,5958,4517,4078,3014,1611,656,38442
LGA50560,..,0,0,0,3,0,5,0,0,13,..,0,0,0,4,24,29,27,6,93,0,4,4,0,3,6,3,0,0,31,101,40,51,76,98,135,140,67,17,722,..,0,33,79,108,143,163,76,20,616,..,0,34,26,33,32,31,6,0,163,..,0,4,10,8,9,4,6,4,43,181,..,..,..,..,..,..,..,..,181,..,26,..,..,..,..,..,..,..,26,..,32,14,3,12,5,0,0,0,70,..,8,6,5,0,3,5,0,3,33,..,4,0,0,0,0,0,0,0,8,..,0,0,0,7,4,6,4,0,24,..,4,11,3,12,45,69,45,16,209,3,3,4,7,7,10,17,5,0,59,186,80,99,138,188,254,299,143,39,1438
LGA50630,..,6,5,0,0,6,0,0,0,13,..,4,8,5,10,20,11,10,3,68,0,0,0,0,4,3,0,0,0,11,154,56,86,99,88,105,78,36,7,713,..,0,45,113,113,118,110,45,13,553,..,9,51,32,31,29,12,0,0,168,..,0,17,10,13,6,3,0,0,60,338,..,..,..,..,..,..,..,..,338,..,29,..,..,..,..,..,..,..,29,..,35,16,4,3,4,0,0,0,62,..,4,3,3,7,4,4,3,0,34,..,3,0,0,0,0,0,0,0,11,..,10,5,0,4,4,4,0,0,24,..,7,13,7,25,41,33,15,8,147,4,9,4,4,0,5,3,0,0,38,339,99,156,184,197,216,173,72,16,1448
LGA50770,..,0,0,0,0,0,0,0,0,8,..,5,6,0,12,19,13,18,8,83,0,0,4,0,6,0,4,0,0,17,159,64,61,105,97,120,99,67,15,780,..,3,40,117,125,150,137,69,6,658,..,27,36,29,27,30,10,14,0,167,..,0,12,25,4,3,4,8,3,62,316,..,..,..,..,..,..,..,..,316,..,31,..,..,..,..,..,..,..,31,..,29,6,5,7,7,0,0,0,55,..,0,0,0,0,5,6,3,0,13,..,4,0,0,0,0,0,0,0,4,..,0,0,0,3,4,8,0,0,18,..,8,9,11,26,46,38,35,8,184,3,12,7,0,9,4,5,3,3,47,317,121,110,188,202,252,209,133,30,1555
