LGA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA50080,90,141,231,54,73,127,34,166,205,61,339,405,216,873,1085,231,649,876,768,361,1133,618,418,1037,766,405,1172,879,246,1121,613,228,838,623,158,781,1279,250,1523,941,19,959,676,44,721,377,10,386,781,65,846,930,61,990,120,167,292,10060,4673,14733
LGA50210,201,264,472,76,75,147,92,249,344,111,509,624,364,1163,1528,462,766,1225,1219,481,1702,1136,691,1831,1481,808,2296,1740,647,2390,1502,520,2023,1603,377,1985,3467,535,4003,2604,52,2653,2172,120,2288,1218,24,1248,2654,126,2778,2383,162,2550,245,241,480,24740,7810,32549
LGA50250,3,11,14,0,4,4,6,11,14,4,7,10,12,14,26,12,0,15,13,5,25,12,11,23,15,27,39,12,30,44,23,12,36,36,43,76,137,137,274,104,3,107,164,39,198,124,0,125,330,35,363,142,9,154,14,11,22,1166,416,1581
LGA50280,29,50,80,19,26,48,25,51,79,28,103,126,67,242,313,87,187,269,211,145,352,217,135,357,302,162,462,364,104,467,274,74,346,284,52,336,541,106,649,395,22,412,284,32,319,169,9,176,333,46,383,562,69,632,45,44,83,4234,1654,5885
LGA50350,24,69,88,17,24,42,18,65,81,33,151,178,60,354,416,66,213,279,225,127,354,199,154,355,249,172,420,252,144,402,199,131,330,202,109,309,529,213,739,451,29,473,383,38,421,281,8,292,638,41,678,353,38,388,31,64,94,4214,2135,6350
LGA50420,191,323,511,81,96,182,69,294,363,91,577,669,302,1380,1684,326,822,1142,987,579,1565,830,771,1604,993,855,1848,1218,732,1949,908,614,1517,992,537,1530,2172,961,3123,1776,117,1901,1682,236,1921,1135,54,1186,2965,284,3248,1475,256,1731,143,228,370,18345,9713,28055
LGA50490,128,199,323,37,65,105,40,192,238,85,413,503,164,884,1045,192,436,627,500,331,830,501,491,992,573,637,1207,748,562,1308,601,505,1106,602,354,957,1417,666,2080,1027,98,1118,838,188,1027,592,45,640,1286,209,1494,925,231,1153,96,154,255,10358,6662,17018
LGA50560,4,12,14,3,3,7,5,3,14,0,14,19,13,63,72,9,27,38,48,8,64,28,28,59,30,17,53,41,10,50,24,7,27,19,3,25,43,3,53,31,0,35,21,0,17,16,0,16,26,4,31,65,0,67,8,9,16,456,224,676
LGA50630,9,3,13,3,3,7,3,10,13,0,11,9,8,22,35,11,15,27,22,10,30,23,8,32,24,15,38,28,5,37,16,5,20,27,10,36,59,11,74,29,0,33,34,0,38,28,0,28,55,3,56,63,3,70,3,9,9,441,157,599
LGA50770,8,7,14,6,7,13,0,6,16,5,19,23,11,41,49,13,19,30,36,9,48,36,22,62,30,12,42,47,11,58,22,4,30,32,7,37,64,3,67,32,0,32,24,3,27,20,0,20,24,7,30,61,4,63,8,17,19,481,193,677
LGA50840,26,18,42,8,18,27,9,12,20,17,34,54,47,149,198,36,79,111,128,52,176,100,50,151,111,39,154,107,26,133,66,26,95,79,18,99,166,29,195,111,5,119,103,4,110,44,0,49,98,9,104,166,7,174,15,23,42,1430,613,2039
LGA50910,0,0,4,0,4,0,3,7,11,0,4,5,7,23,29,7,10,14,18,7,23,13,4,19,24,6,32,17,9,23,11,7,21,16,7,19,20,3,25,16,0,16,9,0,9,9,0,9,19,0,19,29,0,29,7,8,14,229,103,332
LGA50980,28,47,68,24,21,38,26,57,86,42,131,168,52,111,169,70,66,144,133,64,199,111,85,196,157,127,287,156,113,263,124,111,234,140,106,244,423,175,596,360,34,402,374,36,413,247,16,260,579,70,651,537,69,601,86,74,157,3659,1510,5172
LGA51080,0,4,4,5,0,5,3,8,12,3,8,10,7,23,24,3,9,16,15,4,22,17,7,29,17,14,33,22,6,30,7,6,12,15,3,16,31,0,35,22,0,23,15,6,23,8,0,8,26,0,30,34,0,34,16,3,19,271,104,377
LGA51120,0,9,10,3,0,3,0,3,3,0,3,3,4,29,30,6,9,14,22,0,29,15,12,24,7,17,22,17,5,20,19,6,24,8,0,13,27,5,34,17,0,17,14,4,17,9,0,9,24,4,24,31,0,35,3,5,7,229,107,332
LGA51190,77,128,203,23,54,78,44,171,215,59,378,437,174,877,1053,255,531,787,661,370,1026,545,434,976,605,435,1039,629,342,970,472,277,746,533,230,769,966,309,1278,716,28,751,587,85,673,336,17,357,761,109,872,797,76,870,71,165,241,8327,5034,13356
LGA51260,101,111,211,53,48,98,55,137,189,50,266,317,198,712,908,207,548,761,747,351,1096,604,357,960,819,350,1166,840,263,1100,575,188,763,590,135,725,1278,222,1496,968,36,1003,735,60,798,456,10,473,1125,73,1197,1333,102,1436,119,159,282,10859,4128,14988
LGA51310,58,77,137,34,28,59,23,61,84,14,133,145,63,242,307,66,242,307,139,197,336,177,216,395,240,243,480,310,205,514,194,166,360,264,120,382,526,291,818,484,25,513,522,83,607,403,26,423,3522,219,3741,603,64,669,46,53,99,7691,2688,10378
LGA51330,285,340,620,122,133,250,131,303,432,135,571,710,368,1276,1644,409,762,1176,1140,523,1659,1060,708,1769,1443,787,2227,1591,687,2277,1324,548,1869,1407,391,1795,3130,679,3808,2374,184,2559,2120,218,2335,1319,81,1400,3736,288,4024,2125,380,2507,167,200,367,24392,9059,33444
