LGA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA50080,14801,15711,30518,661,726,1388,37,36,68,22,24,48,37,39,73,10,15,23,1635,1807,3438,15,13,28,14,6,19,3,8,8,0,0,0,1770,1940,3714,116,78,191,51,52,102,2597,2796,5392,1460,1025,2488,18863,19529,38390
LGA50210,37842,38914,76758,786,817,1604,92,101,200,109,106,211,77,93,167,37,50,83,3986,4211,8192,15,19,37,20,19,38,6,13,18,0,0,0,4348,4610,8952,249,274,527,114,119,230,5499,5822,11317,2576,2173,4741,45910,46909,92818
LGA50250,2495,1839,4335,174,162,336,19,8,30,21,25,44,41,31,71,12,7,18,542,439,978,3,0,5,20,11,27,0,0,0,0,0,0,653,528,1173,24,12,36,6,4,8,856,705,1561,896,492,1383,4240,3035,7275
LGA50280,6199,6338,12532,477,511,989,48,46,91,40,34,81,31,15,45,8,4,17,579,629,1206,7,7,19,5,7,9,0,0,0,3,0,8,715,755,1472,106,59,169,22,23,43,1323,1346,2668,765,634,1400,8285,8322,16607
LGA50350,6285,6703,12988,165,183,349,14,8,21,24,15,41,16,17,29,3,0,9,660,689,1347,0,0,0,8,5,11,0,0,0,0,0,0,727,730,1455,38,45,85,11,13,22,943,974,1909,482,367,844,7703,8040,15743
LGA50420,27665,28283,55951,737,778,1514,91,86,172,89,91,185,59,67,129,34,21,57,3281,3402,6680,9,10,18,13,20,33,3,12,18,0,0,0,3582,3704,7289,209,213,426,80,83,163,4609,4780,9396,1683,1419,3102,33962,34485,68441
LGA50490,16109,15780,31885,410,447,855,98,63,162,106,85,184,74,47,116,31,34,61,2411,2454,4864,14,12,20,20,32,45,3,8,21,0,0,0,2744,2730,5477,213,214,426,61,58,118,3435,3441,6874,1580,1346,2926,21125,20566,41687
LGA50560,660,657,1309,19,23,42,3,3,5,0,0,0,0,0,0,0,0,0,45,46,90,0,0,0,3,0,4,0,0,0,0,0,0,53,50,101,0,0,0,0,0,0,75,73,146,115,104,216,848,830,1679
LGA50630,634,585,1222,54,51,107,6,0,8,0,0,0,5,5,4,4,0,4,72,88,162,0,0,0,0,0,0,0,0,0,0,0,0,84,94,180,8,6,11,7,5,10,149,151,303,91,78,163,877,813,1689
LGA50770,715,714,1428,31,46,74,0,0,0,0,0,0,0,0,5,0,0,0,47,43,84,0,0,0,0,0,0,0,0,0,0,0,0,50,39,91,0,0,6,0,3,3,77,89,169,109,101,202,902,903,1800
LGA50840,1937,1975,3917,161,174,334,6,5,14,7,11,13,10,7,12,3,5,6,207,246,452,0,0,3,4,3,3,0,0,0,0,0,0,236,279,511,4,9,12,10,3,15,404,463,867,224,190,409,2567,2629,5194
LGA50910,372,352,720,11,18,30,0,0,0,4,0,3,0,0,0,0,0,0,28,28,59,0,0,0,0,0,0,0,0,0,0,0,0,30,26,60,0,0,0,0,0,0,40,53,94,55,50,107,465,451,920
LGA50980,5483,5655,11137,541,677,1218,58,77,131,58,70,123,62,94,159,12,13,27,554,698,1250,3,7,9,28,48,71,4,3,10,0,0,0,786,1011,1794,38,48,83,39,44,83,1399,1775,3176,1244,1168,2406,8126,8596,16722
LGA51080,424,406,832,16,21,34,0,0,0,0,0,0,0,0,0,0,0,0,25,26,51,0,0,0,0,0,0,0,0,0,0,0,0,26,27,49,4,0,4,4,0,5,49,45,93,53,61,118,525,515,1042
LGA51120,368,348,714,19,25,43,0,0,0,0,0,0,0,0,0,0,0,0,33,25,56,0,0,0,0,0,0,0,0,0,0,0,0,33,25,59,0,0,0,3,0,3,55,51,105,76,74,153,499,475,974
LGA51190,11945,12945,24891,472,535,1006,52,45,99,42,29,70,60,52,110,15,14,30,1665,1812,3476,13,14,26,26,19,47,3,6,7,0,0,0,1886,1999,3881,95,93,183,53,55,104,2495,2682,5175,1585,1000,2588,16031,16618,32649
LGA51260,15263,16283,31545,1058,1128,2184,49,54,102,64,65,127,42,53,99,19,13,30,1587,1756,3344,14,9,26,13,18,25,0,0,0,0,0,0,1789,1971,3764,103,117,218,57,44,103,3011,3258,6267,1298,1152,2453,19574,20691,40265
LGA51310,11573,12150,23727,292,343,636,69,70,140,62,72,132,43,40,80,7,8,21,1227,1335,2562,7,6,17,4,4,12,5,7,8,0,0,0,1424,1550,2971,194,194,392,22,22,44,1933,2109,4045,427,435,858,13938,14698,28628
LGA51330,38249,38918,77169,1332,1300,2634,177,131,311,218,160,374,99,88,187,43,48,93,4579,4396,8973,20,21,39,32,30,64,21,22,48,0,4,7,5198,4889,10089,540,512,1054,146,101,248,7219,6803,14022,2032,1635,3665,47504,47365,94865
LGA51400,7131,7445,14578,326,363,692,15,14,23,16,28,42,16,22,32,3,4,6,726,815,1541,6,5,13,10,12,16,0,0,4,0,0,0,787,899,1686,33,48,80,22,22,46,1174,1331,2506,480,395,873,8783,9175,17960
LGA51470,204,186,389,12,10,19,0,0,0,0,0,0,0,0,0,0,0,0,24,20,43,0,0,0,0,0,0,0,0,0,0,0,0,22,22,47,0,0,0,0,0,0,34,29,64,48,45,94,287,260,549
LGA51540,1805,1700,3505,142,121,265,6,14,20,8,9,18,16,15,28,3,5,8,160,167,331,0,5,6,7,4,14,0,0,0,0,0,0,203,219,419,21,17,34,6,10,14,373,367,735,506,430,940,2689,2490,5181
LGA51610,599,565,1162,26,19,36,0,0,0,0,0,0,0,0,0,0,0,0,58,48,112,0,0,0,0,0,6,0,0,0,0,0,0,60,51,117,0,0,0,0,0,0,87,70,156,118,105,228,799,747,1543
LGA51680,2342,2314,4652,32,36,69,9,7,11,0,6,10,16,15,26,5,8,11,296,287,583,0,0,0,6,5,7,0,0,0,0,0,0,328,319,651,3,4,8,3,8,12,366,367,736,268,214,481,2974,2896,5871
LGA51710,545,466,1009,34,24,59,11,4,17,8,4,10,8,9,19,0,0,0,45,56,94,0,0,0,0,0,0,3,0,4,0,0,0,69,74,144,8,3,10,0,0,0,109,105,208,346,105,453,999,676,1671
LGA51750,4127,4494,8621,143,178,318,25,32,57,16,44,62,22,18,41,4,0,0,625,687,1314,3,3,7,0,5,6,5,3,6,0,0,0,705,792,1496,82,105,196,4,14,19,943,1087,2030,271,300,563,5336,5877,11212
LGA51820,46756,48369,95127,1034,1139,2173,192,170,356,187,187,374,109,123,230,49,45,98,5679,6287,11968,31,21,50,32,31,64,18,19,37,0,0,3,6287,6884,13173,370,381,749,154,139,290,7841,8546,16388,2729,2248,4974,57328,59163,116494
LGA51860,225,199,425,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,20,16,42,0,0,0,6,4,4,0,3,6,0,0,3,26,24,54,0,0,0,0,0,0,26,28,57,44,55,106,297,291,587
LGA51890,3518,3429,6945,261,272,539,4,5,9,0,5,3,10,4,10,4,5,8,229,241,469,4,0,3,3,4,5,0,0,0,0,0,0,250,264,514,16,18,36,19,13,32,546,571,1112,339,315,655,4402,4311,8715
LGA51960,1100,968,2072,83,88,167,6,5,9,13,9,22,19,15,33,8,4,14,143,113,257,7,4,10,3,3,11,0,0,0,0,0,0,201,155,360,13,12,24,8,5,10,300,255,561,448,357,802,1856,1580,3434
LGA52030,439,360,800,12,17,35,0,0,0,0,0,0,0,0,0,0,0,0,33,40,75,0,0,0,0,0,0,0,0,0,0,0,0,33,40,75,0,0,0,0,0,0,52,55,106,77,57,135,567,472,1043
LGA52100,393,397,793,38,37,71,3,0,3,0,0,0,0,0,0,0,0,0,33,28,56,0,0,0,0,0,0,0,0,0,0,0,0,28,28,58,0,0,0,0,0,0,68,64,132,32,36,71,494,495,999
LGA52170,3126,3196,6323,123,137,262,25,24,55,25,27,49,10,11,22,3,12,13,313,333,643,0,0,0,5,3,8,7,4,9,0,0,0,390,412,802,79,88,170,9,5,14,604,648,1248,175,155,329,3901,3997,7899
LGA52240,453,404,859,13,11,23,0,0,0,0,0,0,0,0,0,0,0,0,28,50,74,0,0,0,0,0,0,0,0,0,0,0,0,34,50,78,0,0,0,0,0,0,44,60,107,62,56,115,556,523,1082
LGA52310,396,347,746,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,28,30,57,0,0,0,0,0,0,0,0,0,0,0,0,28,30,57,3,6,3,0,0,0,29,35,66,46,40,82,470,427,895
LGA52380,101,52,152,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,15,3,19,0,0,0,0,0,0,0,0,0,0,0,0,20,5,25,0,0,0,0,0,0,26,12,34,18,14,32,147,73,215
LGA52450,526,487,1016,26,29,54,0,0,0,0,0,6,0,0,0,0,0,0,57,42,99,0,0,0,0,0,0,0,0,0,0,0,0,66,44,99,0,8,8,0,0,0,87,72,164,49,51,101,669,615,1279
LGA52520,532,486,1015,26,29,53,0,0,0,0,0,0,0,0,5,0,3,0,28,25,57,0,0,0,0,0,0,0,0,0,0,0,0,34,31,66,4,8,6,3,0,5,67,68,131,114,103,213,709,653,1363
LGA52590,1308,1162,2467,86,77,160,0,0,0,10,4,16,12,10,23,0,3,3,135,151,284,0,0,4,0,3,5,0,0,0,0,0,0,160,166,333,4,6,13,6,3,9,255,261,509,215,138,352,1776,1556,3334
LGA52660,5812,5972,11789,198,173,370,11,14,25,16,15,33,16,16,26,4,3,8,622,693,1316,3,4,3,4,0,4,0,0,0,0,0,0,671,753,1419,19,26,40,19,12,24,901,961,1860,479,389,868,7200,7319,14517
LGA52730,2313,2451,4760,159,157,314,5,10,13,14,17,29,5,4,5,0,3,3,234,249,482,3,5,8,0,3,3,0,0,0,0,0,0,267,286,548,6,9,12,10,12,19,438,460,894,307,293,600,3055,3202,6253
LGA52800,2353,2369,4720,179,182,362,20,11,33,13,21,30,18,27,47,7,5,12,190,197,386,0,4,0,17,18,34,0,0,0,0,0,0,257,280,536,14,14,28,8,8,18,462,481,943,712,603,1315,3527,3453,6979
LGA52870,2425,2489,4920,130,138,267,5,4,9,6,13,16,5,4,7,0,0,0,202,236,438,0,0,3,0,4,5,0,0,0,0,0,0,214,254,473,4,9,18,14,8,21,362,416,776,231,180,412,3017,3088,6108
LGA52940,297,279,577,15,15,31,0,0,0,0,0,0,0,0,0,0,6,9,10,16,28,0,0,0,0,0,0,0,0,0,0,0,0,13,19,31,0,0,0,0,0,0,32,34,62,38,25,60,370,335,704
LGA53010,271,240,509,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,12,17,28,0,0,0,0,0,0,0,0,0,0,0,0,20,24,40,0,0,0,0,0,0,18,25,46,63,54,119,352,321,673
LGA53080,231,188,415,14,14,29,0,0,3,6,0,6,9,5,8,3,3,6,19,24,46,0,0,0,0,0,0,0,0,0,0,0,0,36,36,71,0,7,8,0,0,0,50,57,105,78,62,135,354,304,662
LGA53150,3026,3293,6308,94,103,198,16,25,39,17,29,45,10,6,17,4,0,6,303,373,676,0,0,3,0,7,7,3,0,5,0,0,0,350,437,790,35,48,85,9,13,22,488,603,1092,167,171,338,3682,4068,7746
LGA53220,3374,2082,5459,219,234,454,46,20,68,31,18,46,72,55,126,24,3,29,637,410,1043,3,4,6,8,9,19,0,0,0,0,0,0,825,519,1343,42,33,75,11,10,19,1093,796,1891,1733,575,2309,6207,3449,9658
LGA53290,5150,5171,10321,495,525,1026,11,7,23,30,23,48,20,21,38,12,3,20,332,319,657,0,6,5,4,9,11,0,0,0,0,0,0,413,395,809,19,19,37,21,12,38,954,950,1906,804,704,1506,6908,6822,13731
LGA53360,1057,973,2031,133,133,263,13,17,27,7,4,16,15,13,26,3,6,15,137,155,289,0,0,0,4,3,9,0,0,0,0,0,0,179,198,381,18,16,33,13,8,21,340,353,697,185,131,315,1586,1458,3041
LGA53430,11888,12683,24576,402,505,907,103,99,200,95,122,219,65,75,141,18,23,38,1399,1584,2982,10,14,26,19,17,33,19,9,28,0,0,0,1729,1940,3662,182,176,358,45,54,103,2364,2665,5026,1080,891,1972,15329,16247,31576
LGA53570,2167,1992,4159,100,94,192,12,9,18,10,10,18,16,18,31,9,8,15,244,246,495,0,0,3,0,0,0,0,0,0,0,0,0,290,289,576,44,45,90,4,6,15,439,436,874,300,210,508,2898,2641,5543
LGA53640,505,445,955,30,20,45,0,3,3,0,0,0,0,0,3,5,4,5,35,31,61,0,0,0,0,0,0,0,0,0,0,0,0,40,37,72,5,3,9,0,0,0,70,52,127,53,53,108,634,556,1194
LGA53710,388,375,765,9,6,14,0,0,0,0,0,0,0,0,0,0,0,0,18,26,48,0,0,0,0,0,0,0,0,0,0,0,0,18,26,48,5,0,5,0,0,0,33,35,64,67,56,123,480,463,945
LGA53780,51400,51969,103374,1139,1112,2252,161,119,279,148,130,278,120,109,230,55,59,118,4881,4967,9848,21,25,45,41,39,80,15,11,28,12,8,19,5445,5476,10917,411,483,894,121,100,220,7120,7168,14282,4187,3000,7195,62713,62138,124854
LGA53800,14616,15172,29787,669,674,1343,40,47,81,46,68,114,42,46,86,16,20,33,1585,1786,3368,0,7,9,21,37,62,7,3,11,0,0,0,1755,2005,3761,91,85,171,41,44,87,2554,2805,5362,2113,1805,3913,19286,19785,39071
LGA53920,1333,1362,2698,67,67,139,3,0,7,3,9,15,17,16,25,0,0,0,74,101,180,6,4,6,17,13,33,0,0,0,0,0,0,122,146,266,6,5,9,3,4,5,200,230,428,221,180,398,1757,1767,3528
LGA53990,11480,11554,23033,586,618,1199,18,24,43,25,24,46,22,27,49,10,13,22,992,1103,2096,12,18,27,11,13,22,3,3,6,0,0,0,1090,1224,2313,71,73,145,32,23,60,1778,1934,3712,850,653,1506,14107,14146,28250
LGA54060,1378,1428,2810,67,91,158,0,0,3,0,0,0,3,4,7,4,4,4,110,107,216,6,4,3,0,0,3,0,0,0,0,0,0,121,121,242,4,5,10,3,5,8,199,224,416,238,189,426,1818,1840,3652
LGA54130,445,385,829,43,42,84,0,0,0,0,0,0,5,8,6,3,0,0,43,41,85,0,0,0,0,0,0,0,0,0,0,0,0,53,51,101,6,3,9,4,0,6,105,96,200,60,51,112,612,535,1142
LGA54170,66759,68700,135463,1173,1223,2396,210,257,472,229,216,439,158,181,340,35,40,71,6251,6549,12796,18,12,31,28,40,64,12,25,39,8,4,14,6945,7320,14264,527,532,1059,148,134,282,8799,9205,18003,2800,2131,4928,78355,80035,158393
LGA54200,24331,24901,49232,595,665,1257,44,36,75,42,60,103,35,28,61,15,11,22,2120,2282,4398,10,6,13,13,20,30,7,7,6,0,0,0,2270,2441,4712,122,147,266,57,62,123,3042,3312,6354,1386,1139,2516,28752,29346,58104
LGA54280,10648,9891,20543,754,708,1460,95,64,159,80,61,145,123,95,220,33,26,68,1379,1313,2694,19,16,29,21,23,44,3,0,7,4,0,4,1760,1612,3371,131,108,238,79,40,123,2724,2470,5196,1846,1306,3150,15212,13671,28885
LGA54310,7311,6341,13649,1031,1009,2041,49,38,83,70,44,112,100,74,179,31,27,56,866,865,1732,8,6,11,17,28,46,5,4,6,0,6,3,1145,1089,2236,68,75,139,53,32,91,2295,2206,4501,2259,1472,3724,11859,10014,21880
LGA54340,1555,1492,3042,120,131,254,0,0,0,0,0,4,0,6,9,3,0,5,93,101,196,4,0,0,0,0,0,0,0,0,0,0,0,103,113,218,31,8,36,0,4,4,253,264,520,239,198,443,2049,1953,4003
LGA54410,437,440,873,15,13,28,3,0,0,0,0,0,0,0,0,0,0,0,33,18,48,0,0,0,0,0,0,0,0,0,0,0,0,38,23,52,0,0,0,0,0,0,52,40,87,93,78,167,578,550,1128
LGA54480,204,169,368,9,13,24,0,0,0,5,3,9,0,0,0,0,0,0,21,9,28,0,0,0,0,0,0,0,0,0,0,0,0,25,12,37,0,0,0,0,0,0,42,24,66,29,24,54,269,218,486
LGA54550,778,727,1512,48,37,87,0,0,0,0,0,0,4,0,3,0,0,0,40,62,108,0,0,0,0,0,0,0,0,0,0,0,0,48,60,112,10,6,12,0,0,0,106,99,206,81,77,158,966,912,1879
LGA54620,325,292,617,21,13,37,0,0,0,3,0,3,10,0,12,0,0,0,26,23,55,0,0,0,0,0,0,0,0,0,0,0,0,39,24,68,3,4,6,0,0,0,66,44,108,57,53,110,454,383,835
LGA54690,176,140,313,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,12,10,25,0,0,0,0,0,0,0,0,0,0,0,0,12,10,25,0,0,0,0,0,0,23,20,40,11,4,12,201,159,361
LGA54760,317,288,608,11,24,35,0,0,0,0,0,0,0,0,0,0,0,0,8,18,26,0,0,0,0,0,0,0,0,0,0,0,0,13,18,29,0,0,0,0,0,0,26,37,63,46,39,86,391,363,753
LGA54830,17734,18008,35737,468,490,950,70,58,134,64,60,128,53,40,90,17,17,35,2001,2130,4132,16,13,30,21,31,59,7,0,9,0,0,0,2251,2359,4609,120,129,248,64,55,113,2901,3029,5930,2493,994,3484,23124,22028,45156
LGA54900,541,466,1003,37,40,76,5,0,5,0,0,0,9,0,4,0,0,0,35,28,66,0,0,0,0,0,0,0,0,0,0,0,0,47,33,77,5,0,7,3,5,0,83,73,160,47,34,79,675,576,1247
LGA54970,426,229,659,18,23,44,13,0,13,0,3,3,3,0,5,6,0,5,69,51,120,0,0,0,0,0,0,0,0,0,0,0,0,92,57,145,5,0,7,0,0,0,118,76,199,365,107,472,908,410,1322
LGA55040,456,344,800,18,20,39,6,6,13,0,3,4,4,5,7,3,0,3,109,69,174,0,0,0,5,0,4,0,0,0,0,0,0,124,83,212,6,6,21,0,0,0,157,114,271,368,143,510,977,601,1579
