LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA50080,5212,177,12,138,7,5545,4667,89,12,6,9,4780,1331,238,15,3,0,1582,422,168,7,0,3,596,94,155,10,0,0,263,988,84,9,5,0,1089,144,36,6,51,4,235,11,16,0,0,0,28,2999,690,42,58,10,3798,267,94,4,7,0,383,181,43,0,9,0,230,13322,1090,67,219,34,14733
LGA50210,6407,443,16,151,8,7031,16928,542,35,10,13,17523,3294,910,54,0,8,4264,281,297,32,0,0,611,25,116,25,0,0,166,1577,238,17,4,6,1842,161,55,3,50,0,266,23,17,0,0,0,41,5367,1628,134,55,11,7189,218,129,24,8,4,381,344,70,12,9,4,436,29258,2807,219,231,31,32549
LGA50250,82,0,0,30,3,117,36,3,0,4,4,50,52,7,14,3,0,79,75,9,0,0,3,88,48,8,3,0,0,54,28,0,0,4,0,36,876,34,7,7,11,940,6,0,4,0,0,8,1086,60,24,12,17,1201,150,17,9,3,8,187,19,0,0,6,8,27,1370,81,35,64,33,1581
LGA50280,1907,53,3,37,5,2012,2122,47,9,0,5,2186,497,47,3,0,4,552,56,37,10,0,0,99,8,11,0,0,0,14,573,36,6,9,4,632,64,0,0,27,5,93,4,0,0,0,0,9,1199,135,23,40,12,1405,117,30,9,4,4,166,94,9,3,7,6,118,5441,278,41,92,34,5885
LGA50350,1624,201,69,0,0,1894,2161,312,75,0,6,2554,588,209,80,0,4,885,124,149,30,0,0,296,35,31,0,0,0,65,323,94,21,0,0,444,19,4,0,0,0,24,6,7,0,0,0,18,1094,494,138,5,4,1730,59,35,9,0,0,97,52,20,0,0,0,73,4987,1061,283,5,7,6350
LGA50420,7015,980,276,0,0,8280,7974,1546,578,4,4,10106,2568,1498,1254,0,7,5322,227,407,143,0,0,780,35,80,19,0,0,135,1455,561,363,0,4,2382,158,77,36,0,3,282,11,19,7,0,0,40,4465,2645,1819,0,11,8945,198,136,31,0,0,366,210,99,36,0,6,353,19872,5399,2750,9,27,28055
LGA50490,3083,457,234,4,4,3774,3934,821,537,0,5,5291,2196,1185,1267,0,6,4649,498,461,61,0,0,1010,62,67,7,0,0,149,872,314,243,0,3,1437,122,46,20,6,4,189,31,11,5,0,0,49,3779,2086,1603,5,15,7486,136,34,19,0,0,195,139,61,61,6,5,273,11064,3450,2444,23,30,17018
LGA50560,361,0,0,3,0,367,173,0,0,5,0,181,19,0,0,0,0,19,7,6,0,0,0,10,0,0,0,3,0,4,34,0,0,0,0,39,7,0,0,0,0,7,0,0,0,0,0,0,66,6,0,8,0,81,37,0,0,0,0,37,11,0,0,0,0,10,647,11,0,12,4,676
LGA50630,200,0,0,3,0,203,195,0,0,0,0,195,62,7,0,0,0,67,12,0,0,0,0,17,4,3,0,0,0,5,44,0,0,0,0,45,32,0,0,0,0,35,0,0,0,0,0,0,151,16,0,0,0,166,14,5,0,0,0,17,10,6,0,0,0,13,577,18,0,5,0,599
LGA50770,328,0,0,0,0,340,170,0,0,0,0,170,23,0,0,0,0,23,12,0,0,0,0,12,0,0,0,0,0,0,55,0,0,0,0,55,16,0,0,0,0,16,0,0,0,0,0,0,109,0,0,0,0,117,37,0,0,0,0,42,10,0,0,0,0,10,667,4,0,3,0,677
LGA50840,891,4,0,9,3,910,691,0,0,4,0,697,130,3,3,0,0,140,31,10,0,0,0,41,8,6,0,0,0,13,111,0,5,0,0,110,23,0,0,0,0,30,0,0,0,0,0,5,307,19,7,0,0,337,45,26,0,0,0,68,25,4,0,0,0,26,1954,58,7,16,7,2039
LGA50910,167,0,0,0,0,171,63,0,0,0,0,63,3,0,0,0,0,3,11,3,0,0,0,16,0,4,0,0,0,5,28,0,0,0,0,27,13,0,0,0,0,13,0,0,0,0,0,0,54,8,0,0,0,66,28,0,0,0,0,28,3,0,0,0,0,7,323,10,0,0,0,332
LGA50980,569,42,8,136,23,774,1233,70,14,24,3,1351,513,207,58,10,5,795,702,217,6,3,6,936,158,30,0,0,8,200,272,43,20,13,13,361,275,47,4,36,17,377,12,3,0,0,0,23,1939,546,98,63,49,2691,129,11,0,16,10,175,124,28,3,14,11,183,3992,701,124,258,101,5172
LGA51080,193,0,0,3,0,195,76,0,0,0,0,76,6,0,0,0,0,6,14,0,0,0,0,13,0,4,0,0,0,10,20,0,0,0,0,20,14,0,0,0,0,18,0,0,0,0,0,0,56,3,0,0,4,61,31,0,0,0,0,36,11,0,0,0,0,11,367,3,0,3,5,377
LGA51120,153,0,0,0,8,168,58,0,0,0,0,61,6,0,0,3,0,9,5,0,0,0,0,6,0,12,0,4,0,11,16,0,0,0,0,20,19,0,0,0,0,20,0,0,0,0,0,0,45,15,0,8,0,70,26,0,0,0,4,32,6,0,0,0,3,4,286,18,0,8,16,332
LGA51190,3449,499,69,76,3,4091,3810,345,51,5,8,4208,1455,660,242,3,4,2364,224,387,11,0,0,622,39,123,29,0,0,198,880,263,50,0,0,1193,79,50,9,13,0,148,14,18,0,0,0,27,2688,1498,343,18,12,4557,102,130,13,5,0,252,121,94,7,11,8,246,10171,2556,490,116,28,13356
LGA51260,4908,338,29,142,7,5419,5122,222,11,16,4,5370,1457,237,3,6,6,1709,261,212,0,0,0,477,21,60,0,0,0,92,916,81,11,7,4,1018,125,19,4,67,5,217,13,3,0,0,0,15,2796,615,20,82,14,3526,236,155,17,22,0,431,183,46,0,9,7,242,13238,1366,74,268,36,14988
LGA51310,3479,359,249,0,5,4103,3037,329,327,0,6,3693,687,248,630,0,3,1570,3,19,5,0,0,27,0,5,5,0,0,16,273,90,194,0,0,558,18,0,15,0,0,29,0,3,0,0,0,0,979,368,850,0,4,2201,82,126,107,0,0,308,45,15,18,0,0,73,7619,1202,1540,0,16,10378
LGA51330,9285,862,182,6,11,10354,10121,1204,299,7,4,11627,4074,1767,515,14,18,6386,338,429,53,0,0,820,88,77,13,0,0,184,1773,642,125,0,11,2559,264,103,39,8,3,406,30,25,8,0,0,59,6570,3037,752,17,31,10408,351,237,65,0,3,653,276,94,15,4,13,403,26598,5434,1317,38,61,33444
LGA51400,1722,18,0,3,0,1752,2996,16,0,0,4,3013,642,16,0,0,0,655,81,79,24,0,0,187,7,38,37,0,0,79,338,7,0,0,0,339,28,0,0,0,0,28,9,4,0,0,0,9,1103,142,63,6,0,1311,60,3,6,0,5,65,69,7,0,0,0,81,5949,188,69,8,8,6221
LGA51470,96,0,0,0,0,99,38,0,0,0,0,38,5,0,0,0,0,7,5,3,0,0,0,6,0,0,5,0,0,3,19,0,0,0,0,19,19,0,0,0,0,19,0,0,0,0,0,0,50,3,5,0,0,56,16,0,0,0,0,20,0,0,0,4,0,6,206,4,5,4,0,219
LGA51540,417,30,0,88,12,544,359,6,0,7,6,373,76,31,6,3,0,120,127,56,9,0,0,190,36,15,25,0,0,74,121,41,0,6,3,178,110,26,7,28,11,178,3,0,4,5,0,12,474,166,49,41,12,739,51,7,0,8,4,65,26,8,5,3,0,40,1320,215,48,147,30,1771
LGA51610,181,0,0,16,3,199,207,0,0,6,0,214,19,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,29,8,0,0,0,0,5,0,0,0,0,0,0,49,0,0,3,0,57,28,0,0,0,0,27,6,0,0,0,0,6,480,0,0,26,3,506
LGA51680,607,3,0,0,0,612,1086,0,0,0,0,1084,56,0,0,0,0,56,0,0,3,0,0,3,0,0,5,0,0,5,78,0,0,0,0,84,7,0,3,0,0,11,0,0,0,0,0,0,142,0,9,0,0,158,44,0,0,0,0,50,23,0,0,0,4,26,1902,3,15,0,3,1926
LGA51710,62,22,23,0,0,107,40,12,6,0,0,63,0,0,0,0,0,0,7,31,49,0,0,86,0,0,3,0,0,5,24,20,13,0,0,58,30,8,15,0,0,52,0,0,0,0,0,0,61,58,86,0,0,204,22,5,8,0,3,41,4,0,6,0,0,9,193,96,127,3,6,422
LGA51750,1066,418,322,0,3,1809,690,257,178,0,0,1121,175,182,569,0,0,917,9,11,0,0,0,17,0,4,3,0,0,8,82,79,134,0,0,301,12,3,8,0,0,24,0,0,0,0,0,3,276,281,716,0,0,1276,21,24,96,0,0,142,14,16,13,0,0,49,2070,999,1324,0,3,4399
LGA51820,9800,1063,365,158,12,11402,18154,1467,611,3,9,20246,4316,1217,1294,3,5,6837,507,488,167,0,3,1168,47,87,58,0,0,195,1756,424,227,0,0,2417,191,44,18,30,0,286,26,17,8,0,0,44,6847,2275,1777,41,14,10951,255,160,38,5,4,462,332,75,36,3,11,458,35391,5041,2832,212,42,43510
LGA51860,12,0,0,0,0,11,4,0,0,0,0,4,4,0,0,0,0,6,47,0,0,0,0,47,9,0,0,0,0,9,4,0,0,0,0,4,17,0,0,0,0,17,0,0,0,0,0,0,79,0,0,0,0,82,19,0,0,0,0,19,9,0,0,0,0,9,122,0,0,0,5,122
LGA51890,1326,25,24,8,6,1384,1203,12,10,0,0,1226,213,12,34,3,0,257,70,37,21,0,0,128,8,0,0,0,0,12,203,18,4,0,0,227,31,0,3,4,0,37,4,0,4,0,0,3,517,68,67,7,3,665,45,0,0,0,0,44,70,5,5,0,3,81,3165,108,104,17,16,3404
LGA51960,296,5,0,5,0,314,354,10,0,0,0,364,176,55,11,0,0,236,13,0,0,0,0,18,25,0,5,0,0,31,72,3,0,0,0,84,22,3,0,0,3,26,9,0,0,0,0,9,305,60,19,4,4,391,16,0,0,0,0,21,26,0,0,0,0,33,998,83,19,12,8,1126
LGA52030,204,4,0,4,7,223,85,0,0,0,0,88,16,0,0,0,0,16,4,6,0,0,0,7,4,0,0,0,0,4,33,4,0,0,0,35,17,0,0,0,0,15,0,0,0,0,0,0,66,5,0,0,0,73,30,0,0,0,0,29,3,0,0,0,0,4,394,11,0,7,7,418
LGA52100,191,0,0,0,0,196,81,0,0,0,0,86,5,0,0,0,0,3,7,6,0,0,0,9,0,8,0,0,0,9,36,0,0,0,0,41,19,0,0,0,0,19,0,0,0,0,0,0,64,14,0,0,0,81,27,0,0,0,0,27,4,0,0,0,0,7,372,17,0,5,0,395
LGA52170,1063,145,128,0,0,1333,630,77,62,0,0,775,206,77,250,0,0,535,5,0,42,0,0,42,0,0,0,0,0,5,103,31,85,0,0,222,0,0,5,0,0,8,0,0,0,0,0,3,315,119,380,0,0,813,27,17,4,0,0,47,19,10,5,0,0,30,2058,364,581,0,0,2998
LGA52240,181,0,0,0,4,186,68,0,0,0,0,68,14,0,0,0,0,14,5,0,0,0,0,5,5,0,3,0,0,8,33,0,0,0,0,38,26,0,0,0,0,25,0,0,0,0,0,0,90,0,3,0,0,95,51,0,0,0,5,54,9,0,0,0,0,8,391,0,3,5,8,405
LGA52310,186,0,0,3,0,189,94,0,0,0,0,98,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,9,0,0,0,0,12,0,0,0,0,0,0,49,0,0,0,0,52,16,0,0,0,0,16,4,0,0,0,0,4,356,0,0,6,0,359
LGA52380,26,0,0,0,0,34,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,11,0,0,0,0,0,0,14,0,0,0,0,14,6,0,0,0,0,6,5,0,0,9,0,12,55,0,0,10,3,70
LGA52450,179,0,0,4,0,182,124,0,0,0,0,126,18,0,0,0,0,17,22,5,0,0,0,24,5,4,0,0,0,10,49,0,0,0,0,49,12,0,0,0,0,12,0,0,0,0,0,0,96,9,0,0,0,106,28,0,0,0,0,28,7,0,0,0,0,7,433,9,0,4,0,447
LGA52520,183,0,0,3,3,191,101,0,0,5,0,102,0,0,0,0,0,0,12,3,0,0,0,18,8,4,0,0,0,5,39,3,0,0,0,38,28,0,0,0,0,28,0,0,0,0,0,0,82,11,0,5,6,102,25,0,0,3,0,28,7,0,0,0,0,11,397,11,0,16,9,431
LGA52590,538,15,0,28,3,587,298,3,0,8,4,312,92,11,4,0,0,108,25,0,0,0,0,25,6,0,0,0,0,6,76,8,3,0,0,88,37,0,0,0,7,48,0,0,0,0,0,0,241,19,9,6,7,277,55,0,0,3,0,61,19,0,0,5,0,19,1152,35,9,48,16,1253
LGA52660,1488,89,5,48,0,1627,2357,37,0,4,5,2397,464,68,3,0,0,540,28,17,0,0,0,41,16,3,0,0,0,20,321,24,0,0,0,349,26,5,0,21,0,58,7,0,0,0,0,7,866,110,5,26,0,1008,125,64,0,0,0,192,62,6,0,8,0,82,4886,303,15,93,6,5302
LGA52730,1034,57,0,4,0,1105,582,57,0,0,3,645,130,9,0,0,0,142,58,17,0,0,0,78,27,0,0,0,0,28,185,7,0,0,0,194,34,0,0,4,4,37,4,0,0,0,0,4,434,35,0,3,5,484,72,17,0,0,0,94,37,3,0,0,0,42,2162,169,3,15,16,2362
LGA52800,135,5,0,26,10,175,121,0,0,4,0,134,60,31,0,0,0,93,563,32,0,0,4,597,344,6,0,3,4,358,64,0,0,0,6,70,157,32,4,0,9,202,10,0,0,0,0,13,1191,110,4,12,17,1334,105,9,0,19,8,140,41,5,0,17,4,69,1588,134,4,78,43,1844
LGA52870,978,4,0,11,4,996,846,8,0,9,5,867,100,8,0,0,0,112,20,7,0,0,0,27,5,5,0,0,0,6,158,4,0,4,0,167,19,0,0,0,0,19,4,0,0,0,0,5,306,31,5,4,0,337,66,0,0,0,0,68,27,0,0,0,0,33,2221,44,3,23,12,2305
LGA52940,126,0,0,4,0,133,59,0,0,3,0,59,0,0,0,0,0,0,4,3,0,0,0,9,4,0,0,0,0,4,30,0,0,0,0,29,16,0,0,0,0,14,0,0,0,0,0,0,52,3,0,0,0,58,26,0,0,0,0,24,9,0,0,0,0,9,271,4,0,10,0,282
LGA53010,127,0,0,0,0,129,40,0,0,0,0,44,4,0,0,0,0,4,0,0,0,0,0,5,3,0,0,0,0,3,17,0,0,0,0,18,4,0,0,0,0,9,0,0,0,0,0,0,25,0,0,0,0,29,24,0,0,0,0,24,9,0,0,0,0,5,224,8,0,0,0,235
LGA53080,107,0,0,4,0,109,28,0,0,0,0,33,3,0,0,0,0,6,7,0,0,0,0,10,0,0,0,0,0,0,37,0,0,0,0,39,13,0,0,0,0,18,0,0,0,0,0,0,67,0,0,0,3,70,20,0,0,0,0,21,21,0,0,0,0,28,248,4,0,7,5,258
