LGA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA50080,661,4869,5539,2117,1327,14508,220,14733
LGA50210,1315,9875,13661,4638,2644,32131,419,32549
LGA50250,60,614,560,211,104,1548,33,1581
LGA50280,141,1791,2582,835,427,5777,110,5885
LGA50350,400,2390,2418,715,347,6273,77,6350
LGA50420,1859,11192,10433,2788,1431,27703,352,28055
LGA50490,1286,7139,5930,1629,742,16732,286,17018
LGA50560,22,181,247,121,95,666,12,676
LGA50630,13,162,218,124,71,592,14,599
LGA50770,18,171,241,137,96,663,14,677
LGA50840,52,621,794,327,219,2013,28,2039
LGA50910,15,82,130,56,45,326,7,332
LGA50980,489,1662,1748,713,380,4988,180,5172
LGA51080,13,97,101,88,68,364,6,377
LGA51120,13,98,122,42,43,323,4,332
LGA51190,850,5354,4847,1423,629,13105,252,13356
LGA51260,465,5078,6048,2076,1095,14763,228,14988
LGA51310,493,3442,4306,1332,732,10306,70,10378
LGA51330,1537,10873,13622,4582,2413,33030,413,33444
LGA51400,128,1575,2603,1173,662,6147,79,6221
LGA51470,5,74,86,23,24,212,6,219
LGA51540,156,648,607,196,129,1737,36,1771
LGA51610,8,96,213,105,78,496,11,506
LGA51680,18,307,721,461,403,1911,18,1926
LGA51710,31,167,129,62,24,414,6,422
LGA51750,243,1832,1655,432,190,4353,49,4399
LGA51820,1746,14079,18228,5883,3108,43043,468,43510
LGA51860,0,32,38,20,24,118,4,122
LGA51890,165,1042,1220,553,353,3331,75,3404
LGA51960,58,370,394,186,101,1096,26,1126
LGA52030,6,121,157,76,49,412,0,418
LGA52100,6,120,142,63,51,387,11,395
LGA52170,96,984,1242,430,220,2970,28,2998
LGA52240,8,119,134,92,53,402,5,405
LGA52310,3,93,114,68,77,350,7,359
LGA52380,0,20,23,11,5,59,13,70
LGA52450,17,114,161,91,54,442,10,447
LGA52520,7,113,176,74,48,423,12,431
LGA52590,22,365,501,216,129,1233,21,1253
