LGA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
LGA50080,0,0,0,0,0,0,0,0,0,0,0,0,3,29,8,15,5,0,0,50,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,11,31,131,184,364,342,303,126,1499,0,0,0,0,5,0,0,0,0,3,0,0,0,9,3,0,0,0,0,14,0,0,4,27,19,13,46,23,10,133,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,4,0,0,0,9,0,0,0,32,7,4,10,3,0,65,0,0,4,26,9,3,13,0,0,54,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,4,10,3,35,0,0,0,5,5,3,11,21,10,64,0,0,0,7,3,9,0,0,0,18,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,3,4,5,0,33
LGA50210,0,5,5,17,5,6,8,0,4,42,0,21,14,206,74,43,32,5,3,398,0,0,0,10,0,5,0,5,3,20,0,8,4,11,6,0,0,0,0,33,5,71,148,516,573,1006,737,462,156,3675,0,0,3,18,5,3,3,0,0,32,0,0,4,15,10,7,4,4,0,44,0,0,9,33,22,22,44,38,8,179,0,0,0,0,0,0,0,0,0,7,0,3,0,47,12,3,8,0,0,73,11,221,166,1821,196,142,104,38,13,2718,4,24,33,189,66,36,8,3,0,358,0,7,3,27,10,5,0,0,0,56,0,0,7,29,6,0,3,3,0,45,0,25,12,53,16,28,28,18,4,175,0,0,0,12,0,21,32,34,8,111,0,3,3,38,18,5,4,4,4,75,6,16,5,87,11,0,8,0,0,136,0,0,0,8,3,7,0,0,0,26,4,38,70,354,102,84,71,26,3,752
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,35,13,17,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,12,0,9,0,17,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
LGA50280,0,0,0,10,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,18,16,149,135,163,133,68,15,692,0,0,0,0,0,3,0,0,0,3,0,0,0,28,11,7,3,0,0,49,0,0,0,43,22,7,11,8,5,94,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,11,0,0,0,5,0,3,5,0,0,19,0,8,0,16,7,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,7,7,3,0,37,0,0,0,33,5,5,0,0,0,48,0,0,0,19,7,3,0,0,0,28,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,17
LGA50350,0,0,0,0,0,0,0,0,0,0,0,0,6,31,11,10,4,0,0,66,0,0,0,4,0,7,8,6,0,33,0,0,0,0,0,0,0,4,0,11,0,5,11,112,77,112,110,70,29,522,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,16,0,0,0,15,4,5,10,3,3,44,0,0,0,0,0,0,3,0,0,3,0,0,0,12,3,6,0,0,0,15,0,11,5,61,7,22,21,22,9,151,0,0,0,18,4,0,4,0,0,36,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,5,38,14,4,7,3,0,71,0,0,5,4,0,9,22,17,18,72,0,0,0,12,7,0,0,0,0,19,0,0,0,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,18,9,0,0,58
LGA50420,0,0,8,15,5,4,4,0,0,27,3,19,61,342,140,130,66,12,19,783,0,0,0,21,9,22,20,17,5,87,0,5,6,7,0,6,6,3,0,29,0,23,64,386,212,350,294,226,99,1652,0,0,0,5,4,11,0,0,0,18,0,0,3,44,5,7,6,6,0,76,0,0,10,61,27,19,43,32,9,202,0,3,7,7,3,8,28,30,27,109,3,4,3,92,24,25,16,3,0,168,0,65,71,509,92,114,126,81,32,1094,0,6,14,117,43,23,10,8,0,221,0,9,13,63,9,15,7,0,0,118,0,7,9,41,8,10,3,0,0,76,4,4,9,165,20,28,27,22,3,287,0,0,5,67,21,55,192,172,110,633,3,3,6,81,48,12,11,7,0,160,0,5,3,103,17,6,0,0,0,145,0,0,0,5,5,4,0,5,0,23,0,11,31,217,73,87,117,44,15,595
LGA50490,0,0,0,4,5,5,6,3,0,12,3,11,35,275,124,96,39,17,4,607,0,0,3,3,3,7,3,5,6,31,0,5,3,8,3,0,0,3,0,27,0,9,37,142,103,192,155,121,71,827,0,0,0,10,5,3,4,0,0,19,0,0,0,23,0,0,0,5,0,33,0,0,3,17,7,8,23,11,5,77,0,0,0,0,0,0,4,3,0,9,0,0,12,81,10,3,11,0,0,125,12,32,42,355,52,43,41,31,18,638,3,3,18,113,51,18,23,4,5,238,0,5,8,40,6,6,0,0,0,62,0,4,9,27,5,8,0,0,0,46,0,0,8,94,9,12,8,11,6,154,0,0,5,15,0,12,48,45,28,160,0,0,6,45,22,7,0,0,0,85,0,6,11,116,11,3,6,0,0,152,0,0,4,8,0,0,8,3,0,27,0,15,41,202,69,57,29,13,6,435
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,17,18,7,4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,15,11,9,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,21,12,12,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,37,72,85,47,11,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,9,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50980,0,0,0,12,0,0,0,0,0,12,0,0,3,51,3,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,90,56,58,19,15,0,256,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,4,0,0,0,32,0,0,3,26,9,9,0,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,3,0,23,0,5,5,0,0,31,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,26,0,0,0,14,4,3,0,0,0,24,0,0,0,14,7,0,0,0,0,17,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,4,0,0,15
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51190,0,0,0,4,0,3,0,0,0,9,0,0,7,35,13,12,0,0,0,67,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,8,0,18,34,103,115,231,178,146,71,909,0,0,0,4,0,0,0,0,0,7,0,0,0,4,3,5,0,9,0,17,0,0,0,15,3,10,17,10,9,70,0,0,0,0,0,0,0,4,0,9,0,4,0,12,0,0,0,0,0,17,3,5,6,69,6,6,3,4,4,111,0,3,4,26,10,5,6,0,0,47,0,0,0,6,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,4,0,0,14,18,10,6,19,0,6,78,0,0,0,6,0,10,40,29,31,116,0,0,0,7,7,0,0,0,0,17,0,0,0,19,0,0,0,0,0,21,0,0,0,4,0,0,0,4,0,9,0,0,0,23,12,6,6,3,0,56
