LGA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA50080,17,200,1368,6100,4681,621,167,166,13322,8,248,426,232,35,7,4,35,989,0,15,46,28,10,0,0,5,103,6,262,474,263,44,7,4,35,1090,0,27,4,14,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,3,0,0,0,22,0,26,17,14,3,4,0,0,67,22,82,76,24,3,0,7,9,219,0,8,4,13,8,0,0,0,34,48,579,1935,6410,4744,628,170,212,14733
LGA50210,24,118,819,11489,14474,1674,315,350,29258,4,237,673,1675,83,9,3,74,2760,0,14,9,19,0,0,0,0,49,4,245,688,1699,87,9,3,74,2807,0,34,68,19,0,0,0,10,136,0,4,43,6,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,7,3,0,4,0,38,0,50,117,36,3,0,4,9,219,24,71,94,28,4,0,0,14,231,0,3,9,9,8,0,0,4,31,46,482,1726,13250,14574,1687,324,444,32549
LGA50250,0,9,91,963,263,12,7,24,1370,0,21,35,15,5,0,0,0,78,0,0,0,0,0,0,0,0,0,0,21,35,15,7,0,0,0,81,4,0,10,14,0,0,0,0,26,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,14,14,0,0,0,0,35,9,17,8,9,7,4,0,6,64,4,10,6,8,0,0,5,8,33,11,65,153,1005,278,22,10,31,1581
LGA50280,25,174,596,2282,1984,229,63,89,5441,3,20,101,43,8,0,0,9,180,0,26,40,30,0,0,0,3,100,3,38,139,76,6,0,0,9,278,0,0,12,17,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,15,17,3,0,0,4,41,12,29,17,3,15,0,0,4,92,0,3,10,0,8,5,8,6,34,42,250,776,2376,2017,237,73,114,5885
LGA50350,7,49,502,2463,1619,257,48,45,4987,5,72,302,491,27,0,0,14,906,0,19,32,81,21,0,0,6,153,4,86,332,566,46,0,0,13,1061,0,18,98,72,0,0,0,3,191,0,12,16,0,0,0,0,0,32,0,15,34,6,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,12,0,46,156,74,0,0,0,5,283,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,12,185,996,3105,1671,256,52,68,6350
LGA50420,16,148,1583,9552,7191,1029,146,201,19872,0,191,1202,1640,241,9,8,61,3353,0,175,836,857,136,11,3,35,2047,3,364,2032,2498,376,27,8,90,5399,8,223,900,230,3,0,0,13,1372,3,122,396,36,0,0,0,12,574,3,211,218,6,0,0,0,7,448,0,139,178,24,0,0,0,3,336,0,0,4,0,0,0,0,0,14,12,704,1693,295,4,0,0,40,2750,0,0,3,0,0,0,0,0,9,0,0,0,7,10,0,0,8,27,26,1217,5319,12359,7579,1058,153,337,28055
LGA50490,7,186,1146,5606,3512,398,71,146,11064,6,261,568,993,143,6,0,45,2019,6,136,533,562,166,6,0,24,1430,7,397,1097,1558,309,10,5,67,3450,3,151,317,95,0,0,0,41,601,3,150,361,67,0,0,0,9,587,0,183,235,53,0,0,0,8,473,0,231,355,177,0,0,0,8,766,0,6,3,3,3,0,0,0,18,3,720,1261,390,6,0,0,57,2444,5,7,3,0,0,0,0,6,23,0,6,0,8,9,0,0,5,30,29,1307,3516,7560,3835,416,73,282,17018
LGA50560,0,24,117,330,128,28,5,18,647,0,0,5,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,4,4,32,120,335,129,33,5,18,676
LGA50630,0,4,54,225,245,22,8,15,577,0,5,9,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,9,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,62,232,247,22,8,13,599
LGA50770,6,20,107,275,189,40,12,9,667,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,5,21,109,281,189,44,12,9,677
