LGA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA50080,81,26,240,118,73,67,37,79,10,731,0,0,0,3,0,3,0,5,0,22,20,19,22,29,15,4,7,17,8,138,38,22,64,45,29,25,22,53,27,327,1423,2864,2103,1822,1128,681,562,917,131,11635
LGA50210,153,60,581,301,236,152,201,195,17,1893,4,0,0,3,9,3,7,17,3,44,28,60,80,75,47,32,69,46,14,453,73,58,144,77,96,63,111,86,162,865,3074,7398,5808,4354,3595,1544,2192,1894,488,30346
LGA50250,9,3,45,16,12,0,43,22,5,156,0,0,0,0,0,0,0,0,0,0,3,5,19,8,0,0,32,0,0,73,5,4,11,3,0,9,23,17,13,93,210,353,828,185,199,49,495,186,63,2574
LGA50280,60,10,187,53,29,43,25,63,10,476,3,0,0,0,0,0,0,0,0,4,11,25,11,15,6,10,4,13,3,103,23,20,38,22,9,12,18,35,10,185,910,1407,1159,694,436,355,255,560,75,5843
LGA50350,33,11,98,48,38,33,7,28,0,283,0,0,0,0,0,3,0,0,0,3,14,23,20,10,13,7,10,7,4,102,11,8,26,22,14,4,17,16,16,132,759,1973,930,671,661,306,213,256,73,5845
LGA50420,171,49,519,258,170,106,102,127,14,1514,0,4,3,5,0,0,0,9,0,30,60,98,64,57,55,32,18,36,8,425,59,70,115,76,66,34,63,53,113,635,3490,9205,3799,3082,3115,1281,1044,1315,373,26706
LGA50490,104,42,416,204,92,79,73,102,15,1119,0,6,3,8,0,6,6,3,0,26,19,39,44,33,16,10,30,18,9,216,45,39,91,59,64,25,54,54,98,519,1768,4390,2719,1975,1791,832,977,989,262,15696
LGA50560,7,0,0,6,4,0,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,14,98,68,56,41,27,11,28,39,10,375
LGA50630,0,0,3,0,7,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,3,0,0,7,0,4,30,54,74,111,38,52,8,72,31,4,434
LGA50770,0,0,5,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,3,0,0,0,6,0,0,19,151,75,71,40,47,22,31,38,0,477
