LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA50080,109,196,300,1991,2599,4594,0,0,0,591,603,1195,51,53,100,1864,2185,4048,87,101,190,38,35,73,74,117,194,30,32,62,43,76,121,0,0,4,100,128,229,129,158,284,440,505,943,31,48,79,75,80,158,427,599,1032,841,1001,1844,12,17,26,6831,8340,15174,67,50,121,53,50,95,12,8,19,6,0,6,18,15,28,61,119,187,84,136,218,9938,9486,19430,63,39,102,33,63,94,10032,9590,19624,1845,1364,3207,19033,19732,38763
LGA50210,913,1219,2132,3677,4494,8173,0,0,0,1082,1154,2240,110,113,221,6708,7436,14153,87,103,187,111,131,243,175,224,399,102,117,224,85,86,170,117,95,215,293,320,611,833,980,1813,1065,1190,2262,38,53,98,255,284,544,394,521,914,2186,2494,4687,78,93,169,17415,19898,37306,2185,2146,4334,1355,1359,2713,16,16,37,5,0,10,1130,1011,2141,170,266,443,1304,1280,2587,19690,18520,38214,156,100,251,63,82,144,19906,18705,38611,3506,2954,6461,46604,47583,94184
LGA50250,39,57,99,258,209,463,0,0,0,53,30,87,0,0,0,634,460,1094,0,4,5,13,8,21,9,9,17,10,13,25,10,9,16,0,0,0,3,9,11,13,14,24,37,24,60,0,0,3,11,9,22,50,25,79,86,70,156,0,4,6,1194,896,2088,16,15,31,33,26,56,0,4,3,47,51,89,3,0,3,3,12,15,50,58,106,1957,1476,3430,7,4,14,4,4,4,1965,1478,3447,989,565,1557,4297,3096,7391
LGA50280,100,118,221,715,846,1562,0,0,0,72,81,150,0,0,0,810,931,1741,8,6,17,22,21,41,45,51,97,3,4,5,13,22,41,0,0,0,15,20,34,11,21,37,60,65,125,0,0,4,4,0,4,105,164,265,160,184,333,0,3,10,2042,2427,4469,13,21,37,21,20,38,9,7,9,0,6,4,10,8,14,20,32,51,30,41,70,5140,4891,10034,26,24,55,17,25,41,5183,4946,10127,984,833,1818,8388,8400,16791
LGA50350,107,196,303,640,859,1499,0,0,0,67,81,148,0,0,0,1522,1831,3352,30,37,69,92,82,172,27,28,53,7,12,21,14,30,56,5,6,14,45,44,84,53,45,95,59,78,135,16,19,35,3,10,13,79,120,201,230,275,503,13,13,26,2900,3580,6483,95,98,199,92,76,170,11,9,14,0,0,0,10,19,27,28,54,82,44,72,111,3854,3557,7412,43,34,80,7,11,22,3908,3608,7513,649,503,1147,7797,8135,15932
LGA50420,1151,1542,2700,2222,2673,4891,0,0,0,295,388,677,0,0,4,8317,9156,17472,78,111,191,761,787,1546,87,101,183,45,51,95,60,77,135,49,54,98,162,213,375,200,255,458,277,311,588,31,42,76,42,59,106,324,490,818,899,981,1884,29,41,74,13882,15780,29660,924,792,1718,1161,1038,2196,244,269,513,0,0,3,241,211,448,157,179,335,400,392,789,14160,13025,27180,136,111,244,58,81,134,14349,13213,27562,2276,1870,4141,34387,34900,69283
LGA50490,733,938,1674,1355,1612,2963,0,0,0,209,228,431,0,0,0,4116,4549,8663,36,34,69,142,140,283,73,77,152,53,64,112,28,40,67,23,22,49,116,155,272,182,243,426,199,212,411,20,41,63,54,69,126,227,276,505,615,762,1376,19,22,42,7460,8547,16005,714,560,1277,1790,1564,3358,11,10,24,0,0,0,227,139,367,71,103,178,299,238,542,8288,7198,15486,80,61,143,27,26,58,8398,7295,15689,2011,1689,3704,21413,20846,42257
LGA50560,0,0,3,195,177,374,0,0,0,10,10,16,0,0,0,89,98,185,3,3,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,9,8,15,5,8,10,8,16,27,5,6,8,0,6,0,17,24,47,24,27,47,0,6,0,360,392,749,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,4,5,9,363,320,684,0,0,3,0,0,0,366,324,689,131,111,238,858,834,1694
LGA50630,5,13,11,118,126,247,0,0,0,9,11,20,0,0,0,101,115,211,0,0,0,3,0,7,0,0,6,0,0,0,5,9,7,0,0,0,0,0,9,0,4,3,8,13,18,0,0,0,6,4,10,13,17,33,25,30,50,0,0,0,289,327,619,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,7,476,377,854,4,0,0,0,8,3,484,383,866,107,87,192,885,822,1705
LGA50770,0,4,3,137,165,305,0,0,0,16,22,42,0,6,9,119,126,242,4,4,3,0,0,0,0,6,3,0,0,3,0,4,7,0,0,0,0,0,6,0,8,9,7,6,14,5,0,8,14,11,26,25,20,38,34,30,68,0,0,0,362,406,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13,3,9,13,415,382,793,3,6,5,6,0,3,418,389,804,127,111,239,917,914,1834
