LGA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA50080,55,84,147,140,125,131,52,5,0,734,63,53,99,104,126,104,45,13,6,617,1308,1250,2931,3285,3922,3558,1155,170,18,17599
LGA50210,84,193,471,450,334,202,59,6,0,1791,120,219,650,622,456,282,72,17,7,2444,2317,3799,10371,12042,8338,5989,1443,155,9,44453
LGA50250,3,14,17,23,9,8,0,0,0,73,13,19,29,32,33,12,5,0,0,145,104,236,1031,1091,733,526,92,11,0,3828
LGA50280,14,22,56,66,52,41,11,0,0,260,18,13,60,89,87,62,30,9,0,363,458,340,1339,2115,1955,1480,528,77,12,8297
LGA50350,11,37,84,60,49,35,16,3,0,291,13,19,77,91,82,60,17,0,0,359,359,633,1762,1923,1724,1317,345,36,0,8098
LGA50420,43,142,369,316,284,220,85,8,0,1472,50,151,498,392,292,228,68,21,0,1701,1434,3231,9460,8630,6893,5201,1534,160,12,36553
LGA50490,28,95,236,207,135,105,39,3,0,843,26,108,342,246,190,116,34,0,7,1076,798,2184,6591,4983,3707,2831,775,82,9,21968
LGA50560,0,0,0,6,3,3,3,0,0,16,0,0,3,3,6,8,3,0,0,28,22,22,79,111,141,159,100,20,0,651
LGA50630,0,0,5,6,0,4,0,0,0,25,0,0,5,5,3,3,4,3,0,22,18,45,114,160,183,185,50,15,0,759
LGA50770,0,5,0,4,5,4,0,0,0,19,0,4,4,3,4,5,6,3,0,31,32,55,91,159,179,177,76,39,0,807
LGA50840,4,5,15,8,17,12,8,0,0,73,5,6,9,9,7,16,11,0,0,76,102,122,290,406,532,564,210,37,5,2261
LGA50910,5,0,0,4,3,0,3,0,0,12,0,0,8,0,0,0,0,0,0,14,5,21,57,68,94,87,49,11,0,395
LGA50980,13,27,68,89,56,32,11,0,0,298,22,31,89,107,80,43,12,3,0,391,403,506,1916,1955,1602,1120,352,32,0,7893
LGA51080,3,0,0,3,0,0,0,0,0,9,0,0,3,3,4,0,4,0,0,12,9,28,84,93,93,112,45,6,0,466
LGA51120,0,0,0,5,3,7,0,0,0,10,0,0,3,6,0,5,0,0,0,13,12,27,66,85,90,83,41,10,0,411
LGA51190,26,82,105,107,125,101,34,3,0,572,33,46,124,118,95,81,39,4,0,542,911,1243,2869,2847,3148,2732,815,80,7,14644
LGA51260,51,74,127,144,165,99,35,3,0,710,52,53,91,145,156,117,46,16,6,681,1413,1103,2914,4165,4528,3536,1149,142,15,18958
LGA51310,21,49,64,66,77,64,35,11,0,379,31,52,87,120,146,97,35,8,4,574,897,1176,2401,3193,3740,2606,819,133,29,14988
LGA51330,67,207,419,351,325,238,93,25,0,1732,109,311,734,567,476,292,97,22,0,2612,2421,5501,11405,10932,9135,6551,1888,194,11,48045
LGA51400,20,32,82,81,96,57,11,0,0,397,29,29,45,83,69,59,7,10,0,338,719,690,1420,1972,2247,1607,380,37,0,9068
LGA51470,4,6,0,0,0,3,0,0,0,15,0,0,0,0,4,0,0,0,0,11,6,19,43,63,45,56,21,0,0,252
LGA51540,9,7,6,14,15,16,5,0,0,72,6,7,22,19,22,17,12,0,0,100,98,162,445,416,505,459,177,15,0,2279
LGA51610,9,3,9,7,6,10,0,0,0,38,0,0,5,0,5,7,0,0,0,20,44,34,101,146,201,158,55,14,0,747
LGA51680,6,10,22,33,13,22,3,0,0,122,10,14,17,30,37,26,9,5,0,148,174,190,378,539,743,667,159,36,3,2893
LGA51710,0,0,3,9,6,4,3,0,0,20,0,4,7,3,8,10,13,0,0,43,30,32,150,155,182,141,85,0,0,771
LGA51750,11,14,24,27,21,25,13,5,0,139,21,28,31,36,49,20,16,15,4,213,336,546,995,943,1174,866,391,123,9,5382
LGA51820,148,292,627,566,488,388,81,7,0,2601,144,296,735,783,636,377,138,14,3,3132,3330,5735,14528,15226,12809,8891,2199,181,12,62912
LGA51860,0,0,0,0,0,3,0,0,0,4,0,5,3,4,0,6,3,0,0,21,4,26,47,60,38,61,6,0,0,239
LGA51890,19,18,28,30,42,17,3,0,0,160,5,12,22,34,27,20,9,6,0,136,232,285,602,691,769,656,153,26,5,3420
LGA51960,3,0,10,4,3,7,0,0,0,26,3,5,5,0,15,15,3,0,0,56,65,99,252,260,328,274,70,9,0,1359
LGA52030,0,0,0,0,3,5,0,0,0,6,0,0,0,3,3,8,4,0,0,24,0,19,62,64,81,119,61,15,0,426
LGA52100,4,3,4,7,4,3,4,0,0,23,0,0,0,0,3,3,6,0,0,15,22,39,93,105,94,109,64,7,3,527
LGA52170,12,15,17,20,8,6,3,0,0,90,8,16,46,26,53,27,16,8,3,190,240,371,749,668,893,773,352,69,6,4120
LGA52240,0,0,0,0,0,0,0,0,0,12,0,0,5,0,6,0,5,0,0,24,17,33,63,103,114,114,60,11,5,525
LGA52310,0,0,0,0,3,5,0,0,0,12,0,0,0,0,0,4,0,4,0,18,16,34,49,49,105,105,45,16,0,419
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,16,31,15,19,18,12,0,0,111
LGA52450,0,5,0,6,3,5,3,0,0,17,6,4,5,0,3,0,4,0,0,31,46,43,113,118,101,99,51,7,0,580
