LGA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
LGA50080,0,0,0,11,4,0,0,0,0,16,0,0,0,10,7,10,6,5,3,42,0,5,5,17,13,10,4,0,0,52,3,5,5,68,31,56,58,30,8,269,23,93,80,198,136,142,145,96,51,967,949,2374,1955,4174,2635,2872,2565,1551,661,19732,0,0,0,0,0,0,0,0,0,3,1857,4383,3515,6394,3631,3745,3341,1691,695,29248,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,16,14,25,17,26,11,4,6,128,0,0,0,0,0,0,0,0,0,5,0,4,6,38,9,17,5,5,0,83,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,0,4,4,0,4,0,38,63,235,318,658,657,577,224,2771,0,0,0,9,6,0,0,0,0,17,0,0,4,19,9,3,6,3,0,43
LGA50210,0,3,9,73,11,15,3,0,0,111,0,0,3,10,16,31,24,17,3,106,0,13,47,161,70,27,14,5,0,335,8,116,160,679,231,180,93,39,18,1537,147,316,267,662,242,194,151,116,81,2183,3656,7107,5363,15243,5471,4755,3710,1703,581,47583,0,13,41,142,24,13,0,0,0,236,7058,11787,7248,15017,5373,4143,3276,1232,328,55458,0,7,6,59,13,5,5,0,0,100,0,0,3,9,4,3,0,3,0,22,0,0,3,26,10,4,0,0,0,47,0,0,0,29,4,4,3,0,0,49,3,13,27,50,23,22,11,10,0,159,0,7,5,21,7,21,12,0,4,83,3,29,29,369,111,62,47,11,7,678,0,0,0,13,7,14,10,11,3,53,0,15,11,25,6,4,5,0,0,67,13,138,282,1073,1138,1940,1413,917,287,7205,0,3,3,30,12,11,3,0,0,54,3,0,10,26,18,14,4,7,3,90
LGA50250,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,6,0,8,5,39,7,5,0,0,0,59,32,68,56,217,60,52,19,0,0,504,319,506,275,1255,359,268,90,20,4,3096,0,0,0,4,0,0,0,0,0,3,560,870,393,1682,549,376,109,29,0,4574,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,3,6,0,7,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,17,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,87,39,44,7,5,0,194,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,11
LGA50280,0,0,0,6,0,3,0,0,0,12,0,0,0,5,0,5,4,4,0,13,0,0,0,5,5,7,3,4,0,24,3,6,9,101,27,26,15,5,5,192,28,114,44,188,116,77,77,27,22,684,462,1194,574,2326,1219,1150,946,366,163,8400,0,0,0,0,3,0,0,0,0,0,889,2096,1029,2674,1598,1397,1238,444,180,11538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,5,40,15,16,9,0,0,81,0,0,0,22,0,0,3,0,0,25,0,0,3,10,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,27,34,271,233,308,243,141,34,1290,0,0,0,0,0,3,0,0,0,3,0,4,5,58,12,9,3,0,0,89
LGA50350,0,5,4,39,13,10,8,3,0,85,0,0,0,4,0,5,0,0,0,13,0,0,4,6,0,0,0,0,0,13,7,9,18,84,29,38,21,19,10,235,20,31,27,97,58,51,38,30,20,364,476,857,755,2368,1096,1035,834,482,241,8135,0,0,0,0,0,0,0,0,0,3,944,1601,1320,2941,1411,1131,846,387,182,10767,0,0,0,4,0,0,9,0,0,7,0,0,0,5,3,9,4,0,5,29,0,0,0,4,5,0,0,0,0,14,0,0,0,0,4,0,0,0,0,5,0,0,0,14,10,5,0,3,0,34,0,0,0,4,0,3,0,0,0,7,0,6,11,46,18,24,6,0,0,114,0,0,0,8,6,11,20,18,3,53,0,0,0,0,0,0,3,8,0,15,5,10,23,229,174,246,201,123,49,1052,0,0,0,4,0,0,6,0,0,4,0,0,0,20,3,3,4,0,0,31
LGA50420,7,16,58,341,257,228,124,45,27,1089,0,0,0,22,11,14,8,5,0,57,0,0,10,38,17,12,11,0,0,83,3,49,121,659,224,160,141,92,37,1497,50,108,127,465,143,114,119,123,118,1360,1975,3313,3580,11165,4396,3925,3490,2018,1032,34900,0,0,8,46,14,6,0,6,0,77,3840,5940,5400,11517,4770,3687,2882,1502,620,40148,0,0,0,59,6,5,8,6,0,84,0,0,5,86,33,46,39,18,6,222,0,9,4,143,10,3,0,3,0,176,0,5,0,20,19,18,0,3,0,66,0,7,10,92,31,24,14,10,3,191,0,0,4,27,4,5,13,0,0,65,3,30,140,571,217,192,120,21,20,1320,0,0,0,32,7,33,43,35,12,164,0,6,6,11,0,9,10,9,0,63,10,36,113,873,523,757,579,441,150,3479,0,0,5,8,8,9,4,0,0,33,0,4,4,93,18,12,12,6,0,146
LGA50490,0,0,20,109,30,26,36,5,5,235,0,0,0,11,0,0,0,4,3,27,3,6,13,46,14,4,5,0,0,93,4,86,106,550,124,81,57,45,15,1063,71,118,133,458,127,123,77,89,88,1282,1235,2072,2371,7332,2375,2165,1723,999,574,20846,0,17,38,161,36,12,4,0,0,263,2240,3200,3040,6295,2424,2157,1611,803,368,22139,4,29,33,147,35,5,0,0,0,250,0,0,4,16,5,3,7,0,0,41,0,4,0,91,8,4,0,0,0,112,0,0,0,12,9,5,7,0,0,31,0,3,5,38,8,0,9,6,4,74,0,0,0,5,7,6,6,3,0,26,5,33,95,495,184,160,69,24,5,1054,0,0,3,10,10,12,14,13,7,64,0,3,6,17,9,9,5,4,0,65,0,25,83,348,244,441,305,232,116,1789,0,0,8,8,13,5,9,0,0,37,0,3,0,46,0,6,5,6,0,62
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,5,0,0,12,0,6,8,19,17,19,17,11,0,106,34,75,59,139,116,153,169,73,27,834,0,0,0,0,0,0,0,0,0,0,65,113,85,199,143,187,231,99,37,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,38,36,23,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,10,8,15,14,7,5,9,4,78,55,119,68,203,111,129,93,38,7,822,0,0,0,0,0,0,0,0,0,0,115,222,106,275,171,180,142,62,11,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,28,22,6,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,7,3,17,7,26,15,18,12,10,3,108,56,122,75,194,118,140,116,77,20,914,0,0,0,0,0,0,0,0,0,0,102,212,121,266,176,185,168,101,20,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,10,40,21,25,8,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
