LGA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
LGA50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,18,14,17,19,18,11,0,0,10,13,0,3,128,0,0,0,0,3,5,25,18,0,0,8,11,0,0,6,83,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,17,47,38,19,14,20,15,35,4,3,6,3,0,0,0,12,220,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,3,0,4,0,0,0,0,0,0,5,25,0,0,16,5,4,10,41,38,5,0,4,3,4,0,4,136,0,0,0,0,5,4,14,13,0,6,7,7,0,0,4,73,0,0,0,0,12,0,0,0
LGA50210,0,0,0,0,5,9,84,87,9,8,6,0,4,0,7,236,0,0,0,0,9,4,49,38,4,0,0,0,0,0,0,100,0,0,8,15,28,28,32,26,9,0,3,9,0,7,0,159,0,0,0,4,14,24,343,175,26,10,21,30,3,4,12,678,0,4,12,4,0,16,10,0,0,0,0,0,0,0,0,53,0,0,3,0,0,0,19,24,4,0,0,0,0,0,0,67,0,0,0,0,14,0,21,8,0,4,0,3,0,0,0,54,35,45,38,31,65,27,37,22,0,4,0,0,0,0,8,321,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,3,16,15,59,26,6,3,7,0,3,0,4,142,4,5,66,68,68,90,2177,1968,280,200,220,263,92,26,57,5582,0,3,0,12,20,122,213,124,13,17,23,11,25,3,3,590,0,0,0,0,13,8,37,48
LGA50250,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,3,0,0,0,0,18,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,23,5,0,0,0,4,0,0,0,37,0,0,0,0,0,4,14,7,3,11,0,5,0,3,0,46,0,0,0,0,0,0,4,0
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,9,16,17,12,4,0,6,4,0,0,0,81,0,0,0,0,0,0,7,7,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,9,5,8,30,10,36,16,0,0,0,5,4,0,8,148,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,12,4,0,6,0,0,0,6,8,4,0,0,4,0,0,0,35,0,3,0,0,0,0,7,10,4,6,0,0,6,0,0,39,0,0,0,0,0,0,0,0
LGA50350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,5,5,10,5,0,0,0,3,0,0,0,34,0,0,0,6,10,13,47,24,0,3,6,4,0,0,3,114,0,6,22,4,9,8,7,0,0,0,0,0,0,0,0,53,3,0,9,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,16,9,8,3,7,4,18,6,0,0,0,0,0,0,0,72,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,7,5,3,0,0,0,0,0,0,0,0,25,8,0,42,28,13,20,58,56,13,13,10,10,3,7,6,280,0,0,0,0,5,6,13,6,0,0,0,5,5,0,0,47,0,0,0,0,0,0,4,0
LGA50420,0,0,0,0,5,8,33,19,6,5,0,6,0,0,0,77,0,0,4,11,9,4,23,17,6,3,5,4,0,0,0,84,0,0,11,23,19,36,41,29,6,10,0,9,0,0,4,191,0,0,4,20,97,112,499,295,61,55,43,67,30,0,35,1320,4,18,56,17,12,46,7,5,0,0,0,0,0,0,7,164,6,3,9,3,10,0,18,6,0,0,0,0,0,0,0,63,0,0,0,3,9,4,3,4,0,0,0,0,0,0,4,33,62,48,18,30,64,23,48,27,8,4,6,4,0,3,0,346,4,52,71,20,7,3,7,22,0,0,0,3,0,0,4,199,0,0,6,17,49,76,81,63,3,4,9,8,10,0,4,321,24,15,185,206,123,105,563,485,124,97,131,141,36,5,44,2294,3,3,0,7,30,83,97,61,11,9,16,11,15,0,5,344,0,0,0,0,31,29,58,96
LGA50490,0,0,0,0,3,19,73,112,16,3,11,7,10,3,3,263,0,0,0,0,0,9,104,78,15,8,16,11,4,0,0,250,0,0,4,8,4,8,5,24,0,4,5,7,3,0,0,74,0,0,6,7,53,82,447,200,60,49,47,58,15,0,29,1054,3,10,21,7,0,11,0,8,0,0,0,0,0,0,6,64,5,0,9,0,0,8,18,13,5,3,0,0,0,0,4,65,0,0,0,4,7,3,11,0,0,0,3,0,0,0,4,37,32,18,13,17,18,13,23,15,0,0,0,0,0,0,0,160,0,4,9,3,4,0,0,0,0,0,0,0,0,0,0,23,0,0,7,6,30,24,71,51,3,4,11,9,5,0,4,222,12,0,72,57,52,66,370,315,94,81,130,141,47,7,23,1459,0,0,0,7,23,84,101,59,9,15,12,15,26,0,8,363,0,0,0,0,4,16,21,56
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
