LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA50080,128,200,63,165,111,43,27,31,7,774,179,173,125,294,178,70,30,87,13,1155,493,208,1656,832,412,315,389,480,58,4849,30,20,55,81,79,94,37,83,4,486,47,25,32,78,79,35,17,48,3,361,13,30,8,19,12,8,6,7,11,106,39,23,35,54,32,33,17,50,23,307,1423,2864,2103,1822,1128,681,562,917,131,11635
LGA50210,251,366,252,266,246,84,118,83,15,1689,409,463,537,804,576,203,267,205,48,3520,860,508,3971,1741,1168,517,1092,861,150,10864,54,32,104,124,135,151,92,164,10,873,68,40,84,155,157,77,76,74,11,746,44,48,53,44,42,23,42,43,7,344,54,79,93,112,98,62,86,76,125,778,3074,7398,5808,4354,3595,1544,2192,1894,488,30346
LGA50250,17,15,23,17,10,3,20,7,0,106,32,23,37,42,36,8,48,29,4,248,58,32,695,62,98,19,313,83,41,1405,8,0,10,9,0,4,22,14,3,71,9,0,0,5,7,3,17,4,0,51,0,0,0,0,0,4,3,4,0,19,4,0,9,3,3,9,26,6,10,72,210,353,828,185,199,49,495,186,63,2574
LGA50280,94,103,36,60,38,34,14,36,7,424,90,61,77,100,69,30,20,83,3,532,238,64,822,238,123,107,152,226,34,2011,18,9,22,28,23,24,13,23,0,152,29,7,14,36,29,27,14,22,0,178,11,8,11,0,3,9,5,3,0,56,24,9,29,23,13,12,15,27,9,158,910,1407,1159,694,436,355,255,560,75,5843
LGA50350,55,102,42,52,39,14,9,13,6,325,98,101,99,107,80,41,18,16,9,571,126,97,644,221,192,104,120,121,24,1646,9,5,12,20,36,24,15,28,0,145,10,15,15,32,31,14,6,7,0,132,0,5,5,7,7,3,3,0,0,36,7,22,10,18,19,10,13,10,17,119,759,1973,930,671,661,306,213,256,73,5845
LGA50420,223,356,249,251,235,81,58,73,12,1528,381,415,416,546,420,162,118,171,34,2663,551,357,2278,908,681,345,458,466,71,6123,46,26,45,97,104,79,32,78,5,508,57,56,60,108,134,46,37,52,12,548,30,61,32,32,38,14,14,24,8,264,54,92,60,81,73,39,42,51,84,573,3490,9205,3799,3082,3115,1281,1044,1315,373,26706
LGA50490,137,158,153,129,128,40,66,46,14,878,257,226,340,343,242,113,121,118,24,1789,307,240,1558,593,442,221,377,309,68,4121,17,20,36,68,52,58,47,75,7,384,34,21,37,73,78,34,44,31,0,349,19,41,40,24,24,0,15,29,3,195,37,49,57,67,50,26,36,55,77,450,1768,4390,2719,1975,1791,832,977,989,262,15696
LGA50560,3,10,3,4,0,4,0,0,0,30,8,3,7,4,8,0,0,6,0,41,28,7,33,16,9,7,23,17,6,140,0,0,3,5,0,0,0,6,0,13,6,0,0,3,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,16,98,68,56,41,27,11,28,39,10,375
LGA50630,0,3,4,0,4,0,5,0,0,22,4,7,4,5,6,0,3,0,0,31,21,4,91,15,27,9,45,11,0,229,3,0,0,0,3,0,0,3,0,12,0,0,5,0,0,0,3,5,0,19,0,0,0,0,0,0,0,0,0,3,4,5,5,0,0,0,4,4,0,23,54,74,111,38,52,8,72,31,4,434
LGA50770,16,0,0,4,8,0,0,3,0,35,18,6,3,7,3,3,0,3,0,48,50,8,57,21,18,14,16,18,0,198,0,0,5,0,0,5,0,4,0,18,11,0,0,0,7,3,0,7,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,20,151,75,71,40,47,22,31,38,0,477
