LGA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
LGA50080,3,97,0,100,..,22,0,22,0,22,..,85,5,93,0,90,..,37,0,38,0,38,..,242,9,255,3,252,..,18,0,18,0,18,..,13,0,13,0,13,..,14,0,14,0,14,..,8,0,7,0,7,..,18,0,21,0,21,..,241,74,310,0,311,..,975,122,1098,11,1106,..,40,3,44,1334,1377,16542,1011,128,1138,1351,19033,17495,..,..,..,..,17495,..,114,3,118,0,118,..,4,0,5,0,5,..,16,0,16,0,16,..,23,8,25,0,25,..,51,10,62,0,62,..,3,0,3,0,3,..,76,21,94,0,94,..,0,0,0,0,0,..,30,3,33,0,33,..,79,7,78,0,80,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,12,0,12,..,8,0,8,0,8,..,12,0,12,0,14,..,3,0,7,0,7,..,0,0,0,0,0,..,7,0,7
LGA50210,12,328,7,331,..,220,7,233,3,236,..,468,11,476,0,482,..,255,15,275,0,271,..,1262,48,1310,11,1311,..,153,16,163,0,169,..,577,53,635,10,642,..,75,5,82,0,82,..,20,5,24,0,24,..,49,12,63,0,63,..,1845,275,2123,50,2171,..,9571,950,10522,158,10683,..,205,35,244,2458,2699,33219,9774,992,10766,2614,46604,33701,..,..,..,..,33701,..,264,7,273,0,273,..,228,20,246,5,248,..,70,0,70,0,70,..,224,33,257,5,255,..,789,197,989,18,1003,..,35,3,41,0,41,..,1047,236,1285,17,1303,..,26,3,28,0,28,..,147,0,149,0,151,..,121,0,127,0,124,..,18,0,13,0,13,..,61,5,72,0,72,..,232,25,261,6,265,..,386,33,419,3,421,..,53,5,59,0,59,..,971,126,1098,21,1121,..,322,28,345,6,355,..,217,20,229,0,233,..,126,10,136
LGA50250,0,24,0,24,..,16,0,18,0,18,..,26,0,26,0,26,..,6,0,7,0,7,..,67,3,70,0,70,..,7,0,12,0,12,..,7,0,7,0,7,..,15,0,15,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,148,10,156,5,164,..,381,25,405,14,417,..,21,0,22,898,920,2961,406,23,428,910,4297,2205,..,..,..,..,2205,..,5,0,9,0,9,..,4,5,7,0,7,..,77,0,83,0,85,..,7,0,7,0,7,..,18,0,18,0,18,..,0,0,0,0,0,..,24,0,24,0,24,..,3,0,10,0,11,..,7,0,7,0,11,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0
LGA50280,0,16,0,16,..,12,0,12,0,12,..,18,0,18,0,18,..,5,0,5,0,5,..,47,0,45,0,45,..,62,5,64,0,68,..,0,0,0,0,0,..,9,3,8,0,8,..,0,0,0,0,0,..,10,3,11,0,11,..,70,60,131,0,130,..,496,98,591,9,598,..,26,0,23,732,755,7027,519,100,613,740,8388,7130,..,..,..,..,7130,..,11,0,11,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,7,0,7,..,26,5,29,0,29,..,3,0,3,0,3,..,37,9,42,0,42,..,0,0,0,0,0,..,78,0,78,0,82,..,90,4,91,0,95,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,4,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA50350,0,17,0,15,..,15,0,16,0,18,..,34,0,34,0,32,..,14,0,19,0,19,..,82,3,85,3,86,..,22,0,22,0,22,..,16,0,13,0,13,..,11,0,10,0,10,..,3,0,9,0,9,..,60,18,73,0,77,..,154,22,176,4,180,..,853,114,967,19,991,..,27,0,33,448,481,6327,887,121,1003,471,7797,6529,..,..,..,..,6529,..,9,0,9,0,10,..,19,3,18,0,20,..,11,0,11,0,11,..,25,10,39,0,39,..,74,22,97,0,95,..,3,0,4,0,4,..,106,41,140,0,144,..,31,6,37,0,37,..,50,5,54,0,52,..,29,0,25,0,28,..,7,4,6,0,6,..,0,0,0,0,0,..,6,3,11,0,9,..,22,0,22,0,23,..,21,0,23,0,23,..,18,0,19,0,19,..,8,0,8,0,8,..,11,0,14,0,14,..,9,0,12
LGA50420,5,126,0,126,..,79,3,89,4,92,..,171,3,172,0,171,..,61,8,69,0,69,..,435,20,456,4,457,..,207,23,228,5,231,..,115,7,117,0,116,..,58,9,69,4,67,..,40,12,51,0,51,..,844,287,1129,8,1134,..,1020,139,1154,29,1187,..,7574,1237,8815,104,8923,..,155,20,177,1542,1717,23747,7731,1260,8986,1650,34387,23517,..,..,..,..,23517,..,62,0,62,0,62,..,208,56,269,4,272,..,27,0,31,0,31,..,478,216,693,7,701,..,721,306,1022,11,1025,..,71,21,91,0,92,..,1269,543,1805,16,1824,..,77,14,91,7,91,..,190,6,197,4,200,..,123,0,124,3,126,..,148,35,184,0,181,..,36,0,39,0,39,..,89,13,101,0,105,..,199,12,207,0,211,..,146,12,161,0,162,..,206,21,226,0,229,..,87,10,95,0,95,..,71,7,79,0,84,..,54,6,62
LGA50490,10,179,0,181,..,128,12,140,0,142,..,226,4,229,4,230,..,107,4,110,0,108,..,627,23,656,8,668,..,121,17,139,0,139,..,55,7,59,0,59,..,56,21,75,0,73,..,50,13,55,0,55,..,174,36,211,0,213,..,985,147,1138,24,1165,..,5587,753,6339,90,6431,..,109,22,126,1495,1623,13361,5698,775,6473,1587,21413,12771,..,..,..,..,12771,..,39,0,39,0,39,..,299,50,354,3,358,..,36,0,39,0,39,..,285,66,352,0,353,..,697,267,965,6,974,..,47,10,50,0,50,..,1028,340,1368,12,1381,..,26,0,27,0,27,..,96,3,100,3,103,..,49,0,49,0,49,..,20,3,21,0,21,..,153,15,164,0,170,..,15,4,25,0,25,..,171,9,177,3,182,..,116,17,133,3,141,..,157,10,165,4,167,..,118,9,127,3,129,..,214,36,248,9,257,..,27,4,29
LGA50560,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,19,0,19,..,4,0,3,105,110,729,18,4,20,105,858,714,..,..,..,..,714,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA50630,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,9,0,9,..,32,7,31,0,37,..,5,0,5,85,85,767,34,7,35,82,885,716,..,..,..,..,716,..,9,0,9,0,9,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA50770,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,13,0,12,0,12,..,0,0,0,95,95,803,13,0,12,95,917,792,..,..,..,..,792,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
