LGA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
LGA50080,0,0,0,0,0,0,0,0,4,4,8,5,10,3,0,0,0,33,5,26,37,107,147,280,151,118,863,6,27,46,115,157,280,151,118,899,2022,1835,1771,2052,2252,2013,1119,341,13402,152,294,229,174,164,138,70,43,1263,2175,2155,2048,2342,2574,2429,1340,498,15562,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,5,27,34,35,14,14,130,0,4,10,28,34,35,14,14,138,1853,1885,2082,2487,2710,2394,1434,584,15436,105,101,93,118,124,129,100,67,836,1955,1990,2179,2635,2872,2565,1551,661,16411,0,0,0,0,0,0,0,0,4,4,8,6,10,3,0,0,0,30,5,26,43,134,181,310,170,128,992,6,34,55,139,192,310,170,128,1033,3870,3722,3856,4539,4963,4407,2552,927,28834,255,394,322,291,287,269,172,107,2103,4134,4150,4231,4976,5440,4990,2890,1164,31970
LGA50210,5,10,8,4,0,0,0,0,32,0,16,21,3,3,0,0,0,48,15,65,136,240,304,433,169,68,1415,24,90,159,245,313,433,169,68,1494,5037,6162,7099,4961,3982,2750,1327,301,31611,330,453,452,366,290,126,90,64,2170,5390,6711,7707,5572,4577,3306,1589,426,35273,6,0,3,0,0,0,0,0,11,0,0,0,0,3,0,0,0,9,5,10,33,49,55,39,24,7,219,10,14,37,49,62,39,24,7,239,5057,7043,7434,5180,4510,3524,1551,493,34810,291,365,341,243,181,143,124,85,1776,5363,7429,7815,5471,4755,3710,1703,581,36821,9,12,18,4,0,0,0,0,40,3,17,21,3,11,0,0,0,54,19,76,166,283,355,473,187,73,1638,31,108,198,287,371,473,187,73,1737,10096,13211,14534,10143,8493,6270,2883,790,66417,618,826,790,609,472,270,215,140,3945,10747,14140,15526,11039,9336,7019,3289,1006,72096
LGA50250,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,9,0,12,28,24,34,16,4,0,124,0,12,32,31,37,16,4,0,132,268,634,663,474,339,76,23,4,2476,88,208,205,151,104,17,8,0,785,357,848,904,661,482,106,30,3,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,0,0,0,21,0,0,4,9,5,0,0,0,22,221,545,482,294,213,72,16,4,1849,55,115,103,57,47,20,3,0,397,275,666,589,359,268,90,20,4,2270,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,13,0,11,34,37,40,16,4,0,142,0,11,37,38,42,16,4,0,159,487,1179,1148,765,549,147,35,3,4324,145,322,304,214,152,38,13,0,1183,637,1511,1494,1021,744,200,54,10,5670
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,12,46,37,76,46,25,240,0,3,14,42,44,76,46,25,243,637,744,1082,1095,952,832,313,84,5743,62,102,132,160,71,73,22,13,630,703,854,1224,1301,1068,975,379,120,6621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,9,7,6,0,41,0,0,9,11,9,7,6,0,41,526,813,1333,1109,1074,878,339,145,6218,45,68,107,97,68,61,21,18,487,574,879,1446,1219,1150,946,366,163,6747,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,16,53,44,85,49,25,282,0,3,19,53,49,85,49,25,288,1164,1556,2412,2201,2024,1709,653,226,11959,109,170,240,259,144,133,42,35,1124,1275,1734,2673,2511,2214,1925,746,286,13368
LGA50350,0,0,0,0,0,0,0,0,9,0,8,3,0,0,0,0,0,17,0,17,32,54,64,67,59,23,308,5,26,36,56,63,67,59,23,325,792,1002,1031,954,821,623,270,94,5595,50,88,79,60,50,44,33,9,404,847,1115,1145,1067,933,736,364,120,6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,15,17,9,12,4,54,3,3,9,9,17,9,12,4,61,718,1058,1188,1021,981,800,433,217,6419,35,59,53,61,45,31,38,18,328,755,1122,1249,1096,1035,834,482,241,6810,0,0,0,0,0,0,0,0,9,0,5,7,3,0,0,0,0,17,4,20,32,67,78,75,62,22,367,5,25,40,68,77,75,62,22,384,1511,2060,2223,1973,1800,1422,705,311,12011,91,140,127,120,90,68,67,25,736,1601,2231,2389,2165,1971,1574,839,360,13129
LGA50420,4,12,0,4,3,0,0,0,26,3,19,13,8,7,0,0,0,60,8,56,88,142,192,288,209,106,1090,18,89,112,158,199,288,209,106,1174,3563,5327,5003,3974,3467,2707,1506,413,25958,172,340,293,212,206,118,102,75,1524,3752,5754,5404,4345,3875,3113,1813,594,28653,0,4,0,0,0,0,0,0,12,11,6,4,0,0,0,0,0,15,0,11,13,30,38,33,26,22,170,7,20,13,32,38,33,26,22,191,3414,5604,5037,4221,3776,3359,1865,885,28150,158,267,226,150,111,103,132,123,1267,3580,5889,5278,4396,3925,3490,2018,1032,29606,3,15,8,4,3,0,0,0,28,13,21,19,10,9,0,0,0,75,4,74,105,171,221,321,234,126,1259,29,109,130,186,238,321,234,126,1358,6974,10926,10032,8191,7250,6065,3367,1299,54104,327,607,517,365,316,218,227,206,2790,7332,11640,10678,8739,7799,6607,3832,1634,58257
LGA50490,0,3,9,5,3,0,0,0,17,3,14,4,3,4,0,0,0,30,4,36,51,101,121,148,103,60,626,15,54,55,106,131,148,103,60,670,2298,3946,3102,2314,2040,1317,667,222,15905,203,354,284,221,162,91,60,47,1425,2506,4351,3450,2647,2329,1555,832,328,17997,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,0,8,10,30,21,30,19,9,122,5,8,9,30,25,30,19,9,132,2215,3882,2936,2211,2022,1615,896,481,16253,150,275,213,137,120,78,89,95,1152,2371,4171,3162,2375,2165,1723,999,574,17537,4,3,9,6,3,0,0,0,21,5,15,9,7,4,0,0,0,37,7,41,60,129,146,173,123,67,746,20,63,68,138,154,173,123,67,799,4506,7827,6043,4528,4063,2931,1559,701,32155,352,639,502,353,279,170,147,133,2578,4879,8528,6610,5019,4498,3282,1827,902,35533
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,13,9,61,0,0,0,0,4,26,13,9,61,52,53,66,90,120,136,65,18,601,15,13,10,16,13,18,13,0,102,57,66,81,111,144,187,95,31,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,7,0,0,0,3,5,3,0,0,7,47,51,76,100,133,144,68,21,630,15,8,7,13,21,17,5,4,89,59,56,85,116,153,169,73,27,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,31,13,9,69,0,0,0,3,6,31,13,9,69,92,102,138,192,250,285,130,40,1232,29,16,21,30,34,35,22,7,186,117,124,161,220,292,349,165,58,1491
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,10,5,3,41,0,0,3,7,7,10,5,3,42,54,78,89,105,118,89,33,6,568,6,15,7,14,14,8,7,0,66,57,91,102,130,136,109,43,11,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,3,0,0,0,4,64,90,102,92,111,88,33,10,589,4,5,8,13,8,7,7,0,57,68,97,108,111,129,93,38,7,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,7,10,5,3,43,0,4,3,7,7,10,5,3,46,113,167,192,201,229,176,64,13,1157,11,19,16,30,22,11,14,4,123,126,183,208,242,266,197,86,20,1333
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,12,11,0,39,0,0,0,4,10,12,11,0,39,62,53,82,108,128,100,59,13,611,6,9,6,13,18,11,11,3,78,67,57,90,129,155,125,83,17,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,10,0,0,0,3,7,5,0,0,10,67,60,107,101,125,100,60,17,645,6,9,17,15,14,16,11,3,86,75,67,127,118,140,116,77,20,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,11,0,53,0,0,0,3,13,14,11,0,51,134,114,192,216,252,202,125,27,1259,9,10,25,26,30,24,24,9,163,145,129,220,243,295,245,158,35,1469
