LGA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA50080,3,5,0,0,0,5,10,9,23,438,455,49,942,25,27,49,988,563,21,1578
LGA50210,9,15,4,6,7,17,15,33,68,1336,928,133,2399,139,154,291,2692,1573,52,4319
LGA50250,0,0,0,0,0,0,0,0,0,62,12,4,83,0,6,5,84,30,0,111
LGA50280,0,0,0,0,0,0,0,4,4,175,237,27,441,13,7,17,462,130,5,590
LGA50350,0,6,0,0,0,6,0,4,6,249,173,16,439,19,20,33,476,237,8,718
LGA50420,8,6,0,0,0,6,15,9,31,929,641,94,1659,74,73,143,1804,983,26,2814
LGA50490,5,5,0,0,0,9,18,7,24,518,324,39,884,58,63,122,1005,698,17,1720
LGA50560,0,0,0,0,0,0,0,0,0,7,10,0,17,7,0,3,29,19,0,47
LGA50630,0,0,0,0,0,0,0,0,0,20,9,6,30,0,0,0,32,21,0,57
LGA50770,0,0,0,0,0,0,0,0,0,9,16,4,27,0,3,3,31,26,0,60
LGA50840,0,0,0,0,0,0,0,0,3,42,42,4,88,0,3,3,94,54,3,152
LGA50910,0,0,0,0,0,0,0,0,0,4,5,0,10,0,0,0,10,14,0,19
LGA50980,0,7,0,0,0,6,15,22,44,256,133,26,417,18,25,38,453,306,34,798
LGA51080,0,0,0,0,0,0,0,0,3,16,0,0,13,0,0,0,19,18,9,44
LGA51120,0,0,0,0,0,0,0,0,0,3,7,0,7,0,4,3,14,13,0,22
LGA51190,3,7,0,0,0,5,9,3,18,478,435,69,982,36,47,81,1061,685,12,1760
LGA51260,0,6,0,0,0,6,3,9,17,447,515,54,1014,20,18,40,1058,429,8,1497
LGA51310,0,0,0,0,0,0,0,0,0,300,193,13,510,5,14,20,530,205,5,740
LGA51330,0,6,0,0,0,6,8,27,42,1100,784,87,1972,75,73,152,2118,1141,49,3307
LGA51400,0,0,0,0,0,0,0,7,9,248,211,34,492,14,17,39,528,226,7,761
LGA51470,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,7,6,0,13
LGA51540,0,0,0,0,0,0,7,5,8,64,40,5,101,4,8,13,120,93,3,219
LGA51610,0,0,0,0,0,0,0,0,0,8,6,0,18,5,5,3,28,9,0,37
LGA51680,0,0,0,0,0,0,4,0,5,63,32,6,105,0,0,6,109,52,5,165
LGA51710,0,0,0,0,0,0,0,0,0,13,6,0,23,0,0,0,24,12,0,34
LGA51750,0,0,0,0,0,0,0,3,3,141,109,8,261,10,13,21,285,115,4,399
LGA51820,3,12,0,6,6,12,14,29,53,1758,1332,159,3246,84,127,212,3464,1519,48,5028
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,7
LGA51890,0,0,0,0,0,0,5,0,10,79,85,13,172,18,17,30,203,185,3,390
LGA51960,0,0,0,0,0,0,0,0,6,48,24,7,76,4,3,4,79,45,3,130
LGA52030,0,0,0,0,0,0,0,0,0,6,6,0,10,4,0,4,18,7,0,21
LGA52100,0,0,0,0,0,0,0,0,0,4,9,0,9,6,0,6,12,0,0,17
LGA52170,0,0,0,0,0,0,0,0,0,82,69,5,155,8,3,8,161,54,0,217
LGA52240,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,5,16,0,21
LGA52310,0,0,0,0,0,0,3,0,3,4,6,0,6,0,0,0,9,14,0,29
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
LGA52450,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,11,18,0,27
LGA52520,0,0,0,0,0,0,0,0,0,7,10,0,12,0,0,0,18,14,0,26
LGA52590,0,0,0,0,0,0,0,0,0,22,23,11,52,0,7,4,59,25,5,81
LGA52660,0,3,0,0,0,3,3,3,13,202,160,22,387,15,10,23,412,156,7,573
LGA52730,0,0,0,0,0,0,0,0,0,49,92,4,144,0,0,3,145,63,3,214
LGA52800,0,0,0,0,0,0,13,0,10,50,36,15,98,11,0,11,111,253,5,373
LGA52870,0,0,0,0,0,0,0,3,3,32,56,7,99,3,3,4,101,91,0,195
LGA52940,0,0,0,0,0,0,0,0,3,6,6,0,13,0,0,0,14,10,0,23
LGA53010,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,5,0,5
LGA53080,0,0,0,0,0,0,0,4,4,7,3,0,12,0,0,6,15,14,6,29
LGA53150,0,0,0,0,0,0,0,0,0,108,71,3,185,6,3,7,192,65,0,259
LGA53220,0,0,0,0,0,0,0,0,5,68,15,9,91,3,11,12,109,84,5,195
LGA53290,0,4,0,0,0,4,0,6,13,151,103,21,276,8,9,19,292,181,11,482
LGA53360,0,0,0,0,0,0,0,0,0,28,19,0,49,0,4,4,52,15,0,71
LGA53430,0,4,0,0,0,5,6,10,14,400,334,27,768,23,24,50,819,443,17,1276
LGA53570,0,0,0,0,0,0,5,0,10,46,35,12,86,8,3,8,94,46,8,149
LGA53640,0,0,0,0,0,0,0,0,0,3,8,0,16,0,0,0,16,15,0,25
LGA53710,0,0,0,0,0,0,0,0,0,6,6,0,19,0,0,0,18,10,0,30
LGA53780,6,12,0,0,3,23,22,44,86,1653,1171,165,2994,154,162,320,3312,2046,73,5425
LGA53800,0,3,0,0,0,3,12,20,36,544,418,62,1031,48,52,99,1131,687,40,1851
LGA53920,0,0,0,0,0,0,11,16,27,23,27,8,67,5,15,18,80,193,22,298
LGA53990,3,3,0,0,0,3,6,5,17,360,302,37,700,22,32,54,755,366,12,1131
LGA54060,0,0,0,0,0,0,0,0,4,35,41,3,81,5,0,5,83,42,0,125
LGA54130,0,0,0,0,0,0,0,0,0,10,5,0,17,0,0,0,19,4,0,20
LGA54170,7,17,0,0,0,17,15,15,47,2304,1535,182,4021,105,115,214,4241,1565,40,5840
LGA54200,6,13,0,0,0,12,10,5,24,881,605,83,1567,49,61,111,1677,724,17,2415
LGA54280,6,11,0,0,0,11,3,26,41,466,173,39,680,24,17,36,714,304,34,1054
LGA54310,0,0,0,0,0,0,0,4,8,243,85,24,358,6,10,21,374,115,7,491
LGA54340,0,0,0,0,0,0,0,5,4,27,38,3,65,5,13,13,78,70,5,159
LGA54410,0,0,0,0,0,0,0,0,3,11,7,0,13,0,0,0,13,24,0,39
LGA54480,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
LGA54550,0,0,0,0,0,0,0,0,0,9,15,0,26,0,4,6,26,20,0,47
LGA54620,0,0,0,0,0,0,0,0,4,8,3,0,17,0,0,0,17,12,0,29
LGA54690,0,0,0,0,0,0,0,0,0,7,3,0,6,0,0,0,6,0,0,3
LGA54760,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,6,7,0,9
LGA54830,5,7,0,0,0,11,11,19,39,682,497,82,1254,64,74,142,1401,873,16,2287
LGA54900,0,0,0,0,0,0,0,0,0,6,9,3,13,0,0,0,13,3,0,18
LGA54970,0,0,0,0,0,0,0,0,0,4,4,0,12,0,0,0,15,17,0,25
LGA55040,0,0,0,0,0,0,0,0,0,18,7,0,20,0,0,0,20,8,0,31
LGA55110,7,14,0,0,0,19,15,28,64,1096,1078,148,2314,145,147,289,2609,1652,45,4306
LGA55180,0,0,0,0,0,0,5,0,4,87,82,11,171,9,7,15,187,116,0,305
LGA55250,0,0,0,0,0,0,4,0,3,8,4,0,12,6,0,3,15,24,0,42
LGA55320,5,12,0,0,3,12,10,14,45,1340,916,100,2353,55,76,135,2486,1149,33,3670
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
LGA55460,0,6,0,0,0,4,5,3,6,23,23,10,56,0,7,9,68,41,4,111
LGA55530,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,8,0,0,7
LGA55600,0,0,0,0,0,0,0,3,3,16,21,4,43,4,0,8,50,35,5,89
LGA55670,0,0,0,0,0,0,0,0,0,7,3,0,12,0,0,0,11,3,0,19
LGA55740,0,0,0,0,0,0,0,0,0,84,76,5,171,0,7,11,177,82,0,262
LGA55810,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,3,10,9,0,15
LGA55880,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,7,4,0,14
LGA55950,0,0,0,0,0,0,0,0,0,4,5,0,8,0,0,0,8,8,0,14
LGA56090,3,7,0,0,0,7,7,6,23,523,322,59,899,27,32,55,955,451,13,1421
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,9
LGA56230,0,0,0,0,0,0,4,6,8,206,181,24,409,17,23,43,456,308,11,775
LGA56300,0,0,0,0,0,0,0,0,0,11,14,0,27,0,0,6,28,10,0,37
LGA56370,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,11,3,0,17
LGA56460,0,0,0,0,0,0,0,3,7,62,44,6,115,14,3,18,137,66,4,210
LGA56580,0,0,0,0,0,0,0,3,0,229,145,18,396,13,11,22,420,167,0,587
