LGA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
LGA50080,0,0,4,3,16,20,35,40,23,142,4,7,4,8,33,99,125,98,45,421,83,381,403,398,425,391,239,142,51,2516,0,0,3,10,11,20,56,61,50,219,126,128,158,214,281,350,320,209,103,1884,2679,1211,1160,1256,1421,1299,930,380,105,10443,270,165,155,161,217,230,196,108,68,1564,3323,1955,1990,2179,2635,2872,2565,1551,661,19732,8,26,74,172,438,927,1245,982,420,4294,520,416,439,429,457,441,411,221,61,3389,5,3,15,36,131,280,469,353,125,1430,0,0,0,6,3,15,38,164,189,414,9,26,51,90,240,466,597,457,141,2077,6,13,16,32,92,322,552,533,285,1860,8,3,13,6,28,46,88,78,50,313,13,13,6,12,57,170,262,216,91,834,177,609,649,599,661,667,450,218,78,4106,0,0,8,11,24,54,131,150,101,479,330,248,260,316,461,601,563,364,156,3296,5283,2683,2464,2494,2774,2508,1807,699,207,20913
LGA50210,6,17,20,23,36,67,88,63,19,343,17,5,19,39,72,229,280,138,46,847,215,889,1219,965,779,655,372,123,67,5278,6,3,0,35,39,56,100,71,30,335,407,316,566,619,604,626,486,245,97,3974,8849,3486,4825,5111,2941,2036,1235,342,80,28914,854,454,520,526,415,307,209,135,61,3467,10757,5363,7429,7815,5471,4755,3710,1703,581,47583,24,50,220,491,945,1569,1887,1106,370,6657,1291,879,1278,1216,938,815,666,275,68,7422,20,30,65,151,254,431,657,390,102,2100,0,0,5,3,3,26,69,155,145,416,40,69,157,480,771,1134,1216,589,176,4632,21,24,60,124,296,639,951,626,263,3018,25,16,33,59,66,128,173,156,56,712,27,8,31,80,148,384,509,324,95,1615,472,1317,1877,1570,1277,1080,606,202,95,8487,10,7,3,46,70,115,200,170,62,690,980,589,889,1073,1095,1124,854,443,157,7203,17848,7385,9479,10518,6246,4152,2336,746,156,58856
LGA50250,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,7,0,0,15,11,20,72,55,23,12,8,0,0,202,0,0,0,5,4,0,0,0,0,8,21,3,23,32,22,18,8,6,0,131,645,183,407,363,197,135,34,4,0,1965,127,59,118,99,68,53,19,0,0,547,829,275,666,589,359,268,90,20,4,3096,4,0,14,31,46,61,30,16,4,207,77,36,90,90,65,46,14,5,0,426,0,0,7,12,17,33,17,9,0,91,0,0,0,0,0,0,0,9,3,9,0,10,13,30,41,76,27,8,0,198,6,0,0,8,28,40,15,13,0,113,4,0,3,0,4,5,0,0,0,24,0,4,4,6,7,6,13,4,0,42,25,35,102,87,40,28,11,0,0,341,0,0,0,6,3,0,0,6,0,14,51,16,37,56,42,37,18,4,0,262,1312,398,958,917,586,344,78,9,0,4607
LGA50280,5,0,0,5,7,4,16,9,5,53,4,0,0,3,9,16,37,18,10,102,30,65,120,175,122,130,76,22,3,748,0,0,0,0,9,5,15,16,11,56,34,34,47,91,96,108,95,52,25,574,1343,397,593,951,743,617,420,111,30,5209,199,62,79,144,116,97,76,20,18,813,1656,574,879,1446,1219,1150,946,366,163,8400,5,0,25,65,144,282,411,204,93,1226,161,75,119,183,170,127,127,53,18,1022,5,0,7,24,57,104,169,91,27,483,0,0,0,0,0,4,14,33,44,94,4,7,9,18,42,77,121,60,30,367,0,0,5,4,32,101,206,135,65,551,7,0,4,10,6,9,32,20,9,105,4,0,4,3,12,39,75,44,14,197,55,101,169,282,221,207,131,41,9,1224,0,0,3,0,11,18,39,31,19,124,87,60,73,142,166,185,183,90,47,1040,2726,915,1211,1793,1565,1227,833,242,56,10563
LGA50350,0,4,0,4,9,5,16,14,20,71,0,0,4,5,11,40,71,48,18,192,29,149,211,207,179,144,78,26,30,1053,0,0,0,4,12,8,22,16,15,82,41,49,88,125,122,151,137,53,33,811,1105,476,685,753,557,443,286,110,32,4451,102,57,90,75,102,69,49,34,24,602,1329,755,1122,1249,1096,1035,834,482,241,8135,0,11,31,71,155,296,383,260,137,1351,142,141,212,237,217,160,144,70,33,1351,4,0,16,32,65,89,134,108,41,491,0,0,0,4,3,11,11,31,62,126,4,7,19,42,86,175,217,145,57,751,7,3,8,26,50,116,176,172,109,659,5,4,3,12,15,15,29,46,26,151,5,0,5,9,35,63,122,80,39,357,61,233,348,328,292,237,116,47,37,1697,0,0,3,5,19,21,42,41,30,161,123,97,154,208,230,235,224,83,47,1394,2282,1061,1410,1487,1187,892,525,205,53,9103
LGA50420,0,8,3,19,26,33,54,65,53,257,10,0,13,14,38,99,152,131,78,537,89,581,932,691,544,444,263,153,87,3792,4,0,4,7,11,40,57,70,68,266,183,234,437,443,463,493,482,290,203,3221,4529,2391,3921,3441,2625,2005,1326,463,151,20854,311,265,363,339,284,218,183,151,122,2230,5293,3580,5889,5278,4396,3925,3490,2018,1032,34900,6,28,118,231,517,993,1484,1150,590,5122,507,582,960,904,685,571,512,319,114,5158,20,14,38,125,199,339,570,411,169,1883,0,0,0,0,5,19,86,229,257,603,17,25,93,211,369,723,938,680,225,3276,17,11,28,42,162,432,752,745,373,2551,8,4,18,28,46,89,129,139,110,568,22,7,23,28,86,188,298,281,146,1083,189,878,1454,1169,941,754,462,253,126,6218,4,0,6,17,29,93,149,178,130,604,440,399,696,705,825,898,850,511,310,5621,9275,5198,8100,7191,5333,3986,2482,984,249,42795
LGA50490,0,3,6,12,15,23,16,34,26,146,3,0,4,13,32,69,125,86,43,375,30,367,540,325,280,238,134,86,43,2056,3,5,3,5,13,35,34,57,41,200,84,126,242,234,212,275,222,124,77,1607,2797,1611,2893,2104,1379,989,605,208,83,12673,285,198,365,275,209,174,121,96,92,1810,3310,2371,4171,3162,2375,2165,1723,999,574,20846,3,27,91,183,315,626,760,588,310,2909,262,337,549,443,374,367,295,181,64,2874,3,8,23,61,116,195,295,211,89,997,0,0,0,0,3,15,31,109,138,305,20,27,81,135,261,453,538,379,136,2034,11,9,31,38,104,284,382,382,216,1459,5,3,12,17,34,49,53,83,45,307,9,0,12,19,63,143,199,168,69,683,77,512,861,562,477,402,232,150,72,3342,3,5,7,19,23,93,91,109,75,425,218,238,395,442,412,529,395,222,130,2978,5604,3480,6141,4481,3011,2134,1146,410,145,26554
LGA50560,0,0,0,0,0,6,4,0,0,9,0,0,0,0,6,7,6,3,0,23,0,7,15,13,22,25,13,4,0,95,0,0,0,0,4,0,0,3,0,8,5,5,4,8,8,15,15,3,0,69,85,29,36,45,51,54,58,20,6,377,11,11,8,11,19,14,17,8,4,106,107,59,56,85,116,153,169,73,27,834,0,0,6,3,19,65,86,49,13,245,12,9,21,20,20,36,25,18,8,168,0,0,0,4,4,18,20,14,10,63,0,0,0,0,0,0,0,5,9,10,0,0,0,4,14,35,44,27,10,125,0,0,0,0,8,13,36,36,9,108,0,0,0,0,0,6,11,3,4,16,0,0,0,0,6,10,10,19,6,47,0,8,21,16,34,42,26,10,0,158,0,0,0,0,4,0,0,12,4,19,10,5,6,14,20,33,28,17,4,147,157,67,64,90,104,116,124,42,17,785
LGA50630,0,0,0,0,0,0,0,0,4,9,0,0,0,0,5,8,3,0,0,12,0,10,16,14,17,20,11,4,0,95,0,0,0,0,0,4,0,0,0,7,6,3,7,11,13,14,11,4,0,58,140,40,51,65,57,56,30,10,3,453,17,3,8,12,14,10,12,6,0,80,172,68,97,108,111,129,93,38,7,822,0,0,5,8,16,42,48,32,7,159,28,18,18,16,28,15,15,12,4,145,3,0,0,0,5,15,11,6,3,44,0,0,0,0,0,0,0,0,0,4,0,0,6,0,6,18,23,12,0,77,0,0,0,0,3,12,21,14,3,58,0,0,0,0,0,3,4,0,4,14,0,0,0,0,7,10,9,5,0,31,4,15,22,30,34,25,14,8,0,146,0,0,0,0,0,3,6,7,0,22,13,4,6,12,16,24,14,10,0,107,296,79,104,132,135,123,77,22,3,979
LGA50770,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,3,0,5,16,3,16,8,16,21,11,11,6,4,99,0,0,0,0,0,0,0,0,4,10,3,5,4,3,6,14,9,6,3,59,139,52,43,69,71,72,41,11,7,512,23,6,7,18,17,24,12,12,0,123,178,75,67,127,118,140,116,77,20,914,0,0,3,16,14,48,66,52,9,211,17,9,11,19,16,13,18,6,0,109,0,0,0,9,5,9,26,25,0,69,0,0,0,0,0,0,0,5,3,9,0,0,3,0,9,10,27,31,7,92,0,0,0,0,9,21,23,28,0,87,0,0,0,0,0,3,5,9,0,21,0,0,0,0,0,9,12,11,5,37,0,22,14,23,33,29,22,14,5,164,0,0,0,0,0,4,3,3,0,21,8,7,4,10,12,33,28,13,8,119,273,100,79,135,144,141,91,26,15,1006
