LGA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
LGA50080,64,24,22,11,8,0,133,14,10,6,0,4,0,32,62,13,16,8,7,6,106,24,17,5,5,5,0,57,51,36,15,6,15,3,126,87,65,24,11,14,0,204,105,116,42,29,17,0,308,146,171,52,45,31,4,440,137,222,35,29,18,3,444,134,209,70,26,19,7,458,64,166,42,18,3,0,289,135,202,66,18,11,0,434,37,87,26,6,0,0,157,28,44,14,4,6,0,95,57,101,31,9,0,0,197,67,95,30,11,4,0,208,17,29,17,6,4,0,67,13,16,9,5,0,0,48,79,66,30,8,24,0,201,1324,1682,553,251,186,20,4009
LGA50210,134,100,78,13,29,7,356,31,15,17,5,11,0,79,65,31,39,11,15,6,165,53,36,23,17,17,4,156,124,82,41,22,57,8,343,182,169,80,55,63,4,557,236,315,91,59,84,8,798,317,538,135,105,111,20,1223,365,748,142,104,97,21,1480,407,899,183,120,89,20,1725,332,807,158,65,43,7,1416,495,1036,224,111,65,18,1946,225,511,102,35,24,7,901,140,398,84,18,17,0,662,257,600,171,40,27,7,1103,262,520,195,32,25,5,1045,89,161,78,13,14,4,357,72,121,35,6,3,0,235,219,308,123,55,44,15,759,4009,7393,2004,894,847,155,15304
LGA50250,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,0,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,3,18,10,0,0,0,0,37
LGA50280,27,17,12,3,4,0,59,4,3,0,0,0,0,11,16,7,4,3,3,0,32,11,7,0,4,0,0,30,17,22,10,3,0,0,57,26,19,3,9,11,0,69,39,49,8,14,6,0,112,40,77,15,17,10,0,164,49,78,3,11,6,0,157,62,110,22,29,3,0,221,39,77,8,9,5,0,134,42,108,21,9,3,0,188,27,63,0,4,0,0,93,5,31,5,4,0,0,50,39,82,14,5,3,0,147,40,93,21,5,0,0,148,17,23,10,0,3,0,55,13,16,4,0,0,0,36,39,28,18,7,4,0,100,543,920,183,136,75,4,1859
LGA50350,25,15,11,0,6,0,66,5,0,4,0,0,0,17,13,7,9,0,4,0,33,7,4,9,0,6,0,25,11,12,13,8,3,0,43,20,20,9,8,7,0,70,29,28,19,3,13,3,96,56,50,20,15,13,4,150,59,65,15,10,15,0,159,64,74,23,8,15,3,183,63,81,13,11,10,3,178,75,137,28,9,11,0,260,29,52,16,8,10,0,114,12,52,8,5,0,0,72,47,85,27,6,9,0,167,45,95,35,0,4,0,180,19,36,4,3,0,0,57,10,26,3,0,0,0,42,25,44,8,3,4,4,90,621,873,269,89,130,21,2002
LGA50420,121,86,58,17,25,6,310,24,5,14,7,0,0,51,43,20,16,6,14,0,100,35,15,23,8,3,0,95,67,46,32,9,20,0,182,75,73,46,20,30,3,243,122,103,55,24,41,3,347,171,182,73,40,42,9,516,206,220,82,30,29,9,571,242,307,79,53,39,14,730,200,263,50,26,28,5,572,309,503,119,47,43,9,1028,143,238,47,17,14,3,463,123,197,46,14,6,4,383,202,335,70,23,15,0,656,224,477,123,29,41,3,896,88,146,42,4,10,0,286,49,80,31,5,4,0,169,135,164,72,20,32,11,430,2597,3451,1083,394,445,83,8048
LGA50490,42,35,27,10,14,6,133,8,4,3,0,0,0,23,25,12,9,0,9,6,56,14,4,8,5,5,0,36,38,14,7,7,17,5,81,58,39,22,9,7,4,134,72,65,31,13,18,0,200,120,95,36,21,18,7,290,136,140,25,13,17,6,346,175,177,32,26,20,5,428,113,113,43,16,17,7,313,165,235,60,27,22,7,508,83,94,11,8,8,0,203,48,76,19,7,0,5,157,93,136,31,13,7,0,282,97,172,64,10,14,4,351,40,51,14,3,0,0,114,22,38,10,0,3,0,79,71,66,34,9,16,0,197,1415,1559,481,192,217,69,3931
LGA50560,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,14,0,0,5,0,0,13,10,0,0,0,0,0,16,3,0,5,0,0,0,7,8,11,5,0,0,0,18,6,6,0,0,0,0,13,6,0,0,0,0,0,8,0,5,0,0,0,0,9,0,8,3,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,11,66,46,19,5,3,4,149
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,6,0,0,0,0,0,4,0,0,0,0,0,0,3,0,10,0,0,0,0,11,3,13,0,0,8,0,23,3,3,0,0,0,0,16,0,3,0,0,0,0,12,0,5,8,4,0,0,18,6,5,3,0,0,0,11,7,16,4,0,0,0,26,5,3,0,0,0,0,7,3,0,0,0,0,0,4,3,8,0,0,0,0,14,4,0,3,0,0,0,12,4,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,5,0,12,61,75,24,8,10,0,171
LGA50770,13,3,0,0,0,0,18,4,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,0,3,4,3,0,5,0,0,11,9,6,4,3,0,0,15,0,3,4,0,0,0,10,7,9,0,0,5,0,22,3,4,0,0,0,0,8,3,6,0,0,0,0,9,0,0,0,0,0,0,4,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,5,0,0,0,0,0,0,3,0,5,0,0,0,0,6,0,4,3,0,0,0,9,55,57,16,5,9,0,138
