LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA58610,0,0,0,12,3,15,0,0,0,0,0,0,0,0,0,221,216,441,12,23,30,10,0,10,3,0,3,0,0,0,8,0,5,22,15,43,284,262,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,9,3,9,0,0,0,0,0,0,0,0,3,0,0,3,42,33,75,44,55,96,4,4,9,377,362,734
LGA58680,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,66,43,114,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,8,17,90,57,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,25,22,44,31,9,40,5,4,3,148,90,242
LGA58760,1268,1345,2611,942,434,1374,17,6,27,4,0,4,157,89,245,35212,31993,67207,2358,2574,4934,776,23,803,221,10,230,127,23,157,1506,275,1778,462,440,898,43047,37213,80262,666,623,1279,0,0,0,0,0,0,681,610,1295,83,128,211,34,22,58,1463,1379,2839,0,0,0,0,0,0,41,43,86,42,54,98,49,11,60,140,110,250,507,216,725,2111,1704,3813,266,299,566,40,23,54,29,10,31,329,325,658,2678,4286,6960,5662,6824,12491,249,159,407,54083,50519,104601
LGA58820,0,0,0,39,5,42,0,0,0,0,0,0,0,0,0,563,523,1088,53,25,77,21,3,21,6,0,6,0,0,0,22,13,34,21,28,49,727,600,1327,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,11,11,8,16,0,0,4,0,0,0,0,0,0,3,0,7,54,65,118,152,108,261,22,8,30,967,790,1750
LGA58890,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,109,75,188,3,4,7,5,0,5,0,0,0,0,0,0,3,4,3,21,13,35,142,92,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,47,111,9,17,22,0,0,6,220,158,378
LGA59030,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,36,24,63,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,6,15,49,36,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,14,21,0,0,9,0,0,0,64,52,115
LGA59100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,56,141,7,7,18,9,0,9,0,0,0,0,0,0,4,5,14,22,12,35,123,87,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,39,31,63,12,19,37,5,3,3,180,136,322
LGA59170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,127,303,11,9,20,5,0,5,0,0,0,6,0,6,13,6,20,20,22,38,222,167,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,43,49,92,29,27,54,3,0,3,298,240,537
LGA59250,0,0,0,20,0,24,0,0,0,0,0,0,0,0,0,36,11,48,19,0,16,0,0,0,0,0,0,0,0,0,27,3,30,23,20,40,123,41,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,4,4,0,4,4,3,6,13,0,10,0,6,8,143,57,196
LGA59310,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,227,161,382,9,10,18,11,0,14,0,0,4,0,0,0,10,0,10,28,23,57,290,206,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,75,38,29,68,3,3,7,372,273,648
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,39,101,0,7,3,0,0,0,0,0,0,0,0,0,5,0,0,7,9,16,73,53,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,57,9,9,21,0,3,3,122,90,210
LGA59330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,57,122,4,4,6,4,0,4,0,0,0,0,0,0,0,0,0,14,4,15,80,67,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,20,34,13,11,19,0,0,3,116,96,208
LGA59340,4,0,5,38,11,48,3,0,3,0,0,0,0,4,8,911,923,1835,123,128,248,26,0,28,19,10,29,32,24,59,53,21,71,187,238,418,1398,1353,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,21,15,10,23,0,0,0,0,0,0,0,0,0,3,0,3,66,77,140,109,134,236,29,15,48,1615,1580,3198
LGA59350,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,21,9,33,4,8,7,0,0,0,3,0,3,0,0,0,27,0,29,8,8,20,73,29,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,6,0,0,0,4,0,4,0,0,0,4,0,4,3,0,4,7,4,9,0,0,0,88,35,120
LGA59360,0,0,0,49,11,63,0,0,0,0,0,0,0,0,0,170,110,276,23,15,35,10,0,10,0,0,0,3,0,3,29,4,32,38,29,70,328,170,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,13,0,19,0,0,0,0,0,0,0,0,0,3,0,3,25,29,52,26,15,42,10,0,12,401,218,620
LGA59370,0,0,0,17,4,18,0,0,0,0,0,0,0,3,3,412,430,840,21,26,43,23,0,23,4,0,4,0,0,0,21,3,34,25,18,39,519,492,1006,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,12,8,6,14,0,0,0,4,0,4,0,0,0,4,0,5,78,78,158,108,95,207,7,12,22,726,682,1408
LGA59499,12,6,22,65,25,86,0,0,0,0,0,0,11,3,11,302,239,536,76,56,134,10,3,13,3,0,3,14,11,23,54,13,72,91,111,201,629,470,1098,4,6,10,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,8,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,11,7,15,19,20,44,4,0,7,0,0,5,0,0,0,8,3,10,54,52,108,176,158,334,7,8,17,899,715,1614
LGA59799,0,0,0,39,0,38,0,3,3,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,138,20,155,32,8,34,228,26,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,9,5,11,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,246,29,277
