LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA57210,0,0,0,7,3,12,0,0,0,0,0,0,0,0,0,763,625,1385,50,49,106,18,0,18,0,3,3,0,3,4,21,7,27,71,44,120,939,736,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,13,9,6,14,0,0,0,0,0,0,0,0,0,0,0,0,165,169,336,118,143,264,15,10,27,1247,1060,2308
LGA57280,3,0,3,49,27,78,3,0,3,0,0,0,9,23,31,3154,2440,5597,242,224,463,52,6,55,44,8,53,24,9,40,60,18,83,97,130,225,3742,2883,6631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,5,5,3,4,9,8,8,12,47,14,61,53,24,73,0,0,0,0,0,0,0,0,0,0,0,0,55,133,189,463,364,830,36,23,55,4354,3425,7782
LGA57350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,65,149,4,10,6,6,0,6,0,0,0,0,0,0,7,0,9,26,8,34,133,79,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,27,43,11,20,33,0,0,0,166,129,296
LGA57420,0,0,0,69,24,92,0,0,0,0,0,0,0,0,0,289,212,506,17,13,32,17,0,17,0,0,0,0,0,4,23,9,29,28,44,76,448,296,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,5,4,4,6,9,11,6,18,0,0,0,0,0,0,0,0,0,0,0,0,47,51,99,70,58,124,6,3,9,583,417,997
LGA57490,558,656,1214,803,322,1123,8,4,10,0,0,0,56,35,90,20710,19023,39733,1530,1381,2910,304,12,320,140,9,153,117,37,157,1129,244,1373,423,378,799,25779,22103,47886,309,357,674,0,0,0,0,0,0,335,315,648,47,67,108,16,10,28,714,752,1464,0,0,0,0,0,0,24,17,41,25,29,52,39,9,48,81,52,140,340,116,462,1141,920,2069,161,197,361,54,13,68,15,6,21,228,210,440,1317,2235,3550,4322,4486,8805,166,114,281,32954,30071,63025
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,8,9,16,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,4,3,10,0,0,0,25,16,44
LGA57700,53,78,136,156,41,203,0,4,6,0,0,0,11,11,27,5531,4955,10492,332,320,650,236,17,251,28,0,28,15,0,15,206,66,270,129,105,232,6706,5607,12312,14,24,35,0,0,0,0,0,0,82,72,147,11,13,18,0,0,0,110,98,213,0,0,0,0,0,0,0,6,11,4,3,3,20,0,21,21,13,31,92,29,118,223,146,364,15,33,48,3,0,8,6,0,6,30,35,67,417,764,1182,960,1087,2047,45,42,93,8377,7679,16059
LGA57770,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,100,96,193,17,10,25,5,0,5,0,0,0,11,8,14,3,0,8,50,61,111,187,181,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,19,21,31,34,26,56,8,0,8,248,226,475
LGA57840,148,113,261,850,745,1596,20,17,40,0,0,0,52,62,123,7003,6288,13289,372,646,1021,38,0,38,50,5,59,277,67,342,192,59,248,179,209,381,9182,8218,17398,128,111,242,3,0,4,0,0,0,29,33,65,11,9,21,12,3,11,174,158,338,12,3,10,0,0,0,31,23,51,13,35,50,23,14,41,77,80,157,73,53,126,328,291,615,31,45,72,11,8,20,3,3,10,50,58,104,1166,1211,2378,992,1496,2490,65,30,91,11776,11302,23079
LGA57910,843,928,1767,2347,2359,4700,7,4,6,0,0,4,288,253,543,39366,34936,74307,2008,3245,5247,442,11,451,343,38,380,724,148,880,1072,308,1379,564,613,1175,48011,42836,90844,902,883,1786,0,0,0,0,0,0,414,438,853,58,80,136,40,20,58,1411,1419,2834,0,0,0,0,0,0,128,145,274,79,116,201,64,61,119,268,328,593,457,251,710,2135,1999,4135,193,215,411,54,39,90,28,15,40,269,268,543,4502,5271,9770,4914,7577,12492,255,175,433,60091,58127,118218
