LGA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
LGA50080,0,0,0,9,35,29,270,129,35,24,24,29,10,3,6,608,9,3,3,3,10,6,4,0,3,0,0,0,0,0,0,41,0,0,3,6,4,0,9,3,0,0,0,4,0,0,3,34,0,9,14,20,34,43,186,82,14,14,16,28,0,0,8,458,0,3,3,0,0,6,4,7,0,0,10,0,0,0,0,32,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,17,0,0,0,0,0,11,46,44,15,0,5,0,3,0,5,146,111,246,1003,638,388,219,287,124,15,12,18,20,4,0,111,3195,0,0,14,37,28,23,27,9,7,0,0,7,3,0,0,148,0,0,0,3,0,7,9,7,0,0,3,5,0,0,15,38,17,35,65,63,75,51,168,91,34,21,22,18,11,42,36,740,204,531,1321,968,842,570,1339,699,155,100,129,152,54,65,303,7440
LGA50210,0,0,3,23,88,73,709,790,145,74,67,55,39,3,32,2100,6,0,0,4,51,9,18,11,0,4,0,0,0,0,0,109,0,0,17,47,69,86,306,136,35,31,29,26,10,0,9,798,0,0,10,68,101,121,771,348,12,29,21,48,9,6,19,1566,0,0,0,0,12,34,301,343,15,36,11,18,13,0,7,799,0,0,0,0,3,9,33,43,6,3,9,7,0,0,3,123,0,0,0,9,25,45,206,104,28,25,22,17,9,4,12,507,69,273,2102,1584,1445,736,1213,501,46,36,45,40,13,19,174,8310,0,11,17,36,38,38,55,45,6,3,10,3,8,0,6,271,0,0,0,7,22,23,35,33,3,5,3,12,4,4,3,160,19,41,219,204,354,341,1949,924,143,110,112,113,35,35,77,4691,178,729,2816,2534,3303,2547,10487,7127,927,740,758,793,339,147,563,33992
LGA50250,0,0,0,0,4,8,32,33,4,4,7,3,0,4,3,101,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,11,23,14,0,0,0,0,0,0,0,52,0,0,0,0,0,0,8,3,3,0,0,3,0,0,0,19,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,9,0,0,0,0,0,8,12,10,4,0,3,9,0,0,4,49,0,0,39,27,27,23,71,33,0,0,0,5,0,0,6,239,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,12,4,4,23,51,59,3,4,5,23,9,0,4,199,0,8,55,75,121,150,413,302,46,43,53,66,15,14,37,1395
LGA50280,0,0,0,0,5,0,37,37,3,0,4,0,0,0,4,97,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,4,0,5,3,0,0,0,3,0,0,0,27,0,0,4,18,39,35,37,26,0,4,0,3,0,0,0,176,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,10,0,0,0,5,0,0,0,24,0,0,0,0,0,3,15,3,0,0,0,0,6,0,4,37,16,65,311,229,188,168,244,141,11,18,16,30,3,4,40,1490,0,0,7,17,20,9,31,12,5,6,3,10,0,0,0,128,0,0,0,4,0,0,6,3,5,0,0,0,3,0,0,24,0,7,34,41,59,52,101,77,18,20,18,54,22,0,66,569,40,121,429,426,479,416,739,514,83,74,65,155,58,16,154,3763
LGA50350,0,0,0,0,15,15,34,62,11,14,6,13,5,0,5,186,3,0,5,4,18,9,5,3,0,3,4,0,0,0,0,50,3,0,7,9,9,8,10,3,4,0,0,0,0,0,0,52,0,0,6,8,18,25,37,8,0,3,9,0,0,0,0,118,0,0,0,3,8,3,4,8,0,4,0,8,0,0,5,36,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,16,0,0,0,0,9,3,28,14,0,0,6,0,0,0,3,60,25,59,328,209,197,98,201,83,13,7,7,4,4,0,16,1262,0,0,6,3,3,13,20,9,3,0,0,0,0,0,0,62,0,0,0,10,37,20,21,17,0,4,6,5,8,0,0,137,9,28,80,68,77,85,151,73,9,16,11,9,4,3,18,638,78,199,592,475,632,447,905,538,85,96,90,79,37,16,72,4334
LGA50420,0,0,0,24,102,82,183,269,69,28,37,50,17,0,19,882,20,11,22,33,150,33,29,36,5,0,0,3,0,0,9,346,3,7,22,78,128,76,81,27,3,7,4,8,7,0,6,461,3,0,14,56,168,157,231,87,7,4,5,16,6,0,6,760,0,10,27,36,39,25,54,71,12,19,12,51,25,5,8,396,0,0,0,0,3,9,36,69,8,5,8,29,0,0,4,177,0,0,0,12,34,39,82,67,17,15,9,6,7,5,6,316,74,185,982,667,667,415,667,379,41,30,35,34,6,11,94,4297,6,0,12,24,32,31,61,42,9,11,16,9,7,0,3,251,0,0,3,233,611,365,275,208,55,37,29,36,36,3,61,1947,48,73,332,408,483,708,1014,674,143,144,176,179,39,5,70,4510,309,976,2431,2439,3700,3032,5279,3972,767,639,742,907,336,65,532,26137
LGA50490,0,0,0,16,68,47,257,435,72,60,56,89,13,3,33,1153,12,14,13,14,56,16,8,3,0,0,0,0,0,0,6,133,4,0,8,56,72,58,98,52,8,8,16,10,11,0,0,409,0,0,6,15,48,33,162,58,8,0,7,20,0,5,0,361,0,0,0,15,25,22,84,58,24,9,17,38,25,0,6,327,0,0,0,0,5,16,39,81,13,11,13,14,0,0,0,199,0,0,0,4,29,35,76,54,16,10,7,5,10,3,7,265,38,108,650,377,258,162,264,194,24,13,18,34,15,0,58,2215,0,3,3,13,15,12,26,22,3,9,8,6,0,0,6,123,0,0,0,48,68,47,98,58,17,11,10,16,7,0,23,393,17,42,165,174,210,306,828,522,186,157,171,219,82,32,56,3161,131,381,1166,1066,1474,1459,4154,3548,753,653,738,936,364,91,385,17293
LGA50560,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,49,36,15,8,9,0,0,0,0,0,0,0,3,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,3,6,10,0,0,0,0,0,0,0,0,36,7,19,74,49,43,32,37,16,8,0,0,3,0,0,5,312
LGA50630,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,35,16,4,4,13,4,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,8,0,0,0,0,0,0,0,22,0,15,42,27,16,21,59,38,4,0,0,3,0,4,15,258
LGA50770,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,32,36,11,12,9,3,0,0,0,0,0,0,11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,4,0,0,0,0,0,0,0,22,9,7,42,53,22,23,34,8,3,0,0,0,3,0,21,239
