LGA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA50080,4403,3662,1438,115,9619,3376,327,13322,160,52,83,9,299,669,21,989,25,4,6,0,35,65,3,103,182,59,84,9,336,733,22,1090,3,3,9,0,11,34,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,13,4,22,8,3,11,0,22,39,3,67,22,0,3,0,26,65,0,90,27,0,3,0,29,85,0,118,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,53,4,5,0,60,155,0,219,8,3,0,0,13,15,0,34,4656,3734,1542,121,10060,4318,352,14733
LGA50210,7233,11990,3694,347,23265,5252,744,29258,479,338,420,46,1287,1375,99,2760,8,3,5,0,21,23,0,49,487,346,428,49,1309,1400,104,2807,17,4,14,4,41,86,7,136,8,3,9,4,21,24,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,16,14,0,38,36,21,23,6,83,132,3,219,12,0,5,0,15,65,0,81,31,0,6,0,36,92,0,130,0,0,0,0,0,0,0,0,7,0,3,0,13,3,0,13,49,0,11,0,64,164,7,231,10,8,3,0,18,11,0,31,7808,12367,4163,406,24740,6955,853,32549
LGA50250,351,613,109,14,1081,263,23,1370,16,5,4,0,30,49,0,78,0,0,0,0,0,0,0,0,21,5,4,0,28,49,0,81,4,0,0,0,4,15,4,26,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,7,21,4,35,32,0,0,0,34,24,5,57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,3,34,27,5,64,3,3,0,0,9,25,0,33,413,626,111,17,1166,382,32,1581
LGA50280,1719,1773,550,28,4069,1170,194,5441,21,21,16,0,53,124,7,180,24,7,10,0,43,50,6,100,43,28,26,0,93,175,14,278,4,3,6,0,16,20,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,6,12,3,6,0,22,24,5,41,13,0,0,0,17,30,0,45,9,3,0,0,9,14,14,33,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,3,19,0,3,0,25,49,14,92,15,5,6,0,22,10,3,34,1800,1822,588,28,4234,1422,227,5885
LGA50350,1359,1630,553,79,3616,1186,182,4987,168,114,118,11,406,471,30,906,37,26,19,0,88,57,10,153,202,142,139,11,494,532,37,1061,28,11,20,9,66,118,7,191,8,3,0,0,8,27,0,32,14,3,4,0,23,27,3,53,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,12,48,19,21,9,94,180,12,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,6,3,0,7,1618,1786,716,92,4214,1903,233,6350
LGA50420,5753,6636,2069,282,14737,4313,821,19872,682,548,370,42,1640,1560,154,3353,484,292,178,35,979,889,176,2047,1167,834,545,76,2625,2449,330,5399,303,104,75,18,507,791,79,1372,125,37,27,13,200,334,37,574,84,25,12,5,127,296,22,448,85,31,9,0,132,180,27,336,0,3,0,0,5,7,0,14,593,200,132,36,970,1614,169,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,0,4,4,0,9,5,4,0,0,12,12,3,27,7521,7677,2748,397,18345,8394,1317,28055
LGA50490,2787,3238,1276,238,7540,2887,636,11064,393,332,206,38,965,944,109,2019,403,245,92,35,776,508,144,1430,794,574,299,75,1744,1454,257,3450,143,62,33,7,241,322,36,601,126,48,28,14,207,332,43,587,151,31,20,4,201,247,38,473,290,66,22,16,395,317,57,766,5,0,5,0,10,8,0,18,707,205,102,41,1054,1217,170,2444,0,0,0,0,0,9,0,10,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,16,0,23,3,8,0,0,13,16,0,30,4302,4024,1678,354,10358,5598,1066,17018
LGA50560,245,144,43,6,438,197,11,647,0,0,0,0,3,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,5,0,6,6,0,0,0,6,11,0,12,0,0,0,0,3,0,0,4,248,147,47,6,456,213,11,676
LGA50630,186,182,53,3,436,135,8,577,8,0,0,0,6,11,0,18,0,0,0,0,0,0,0,0,8,0,0,0,6,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,198,182,59,3,441,151,8,599
LGA50770,247,173,55,3,475,180,8,667,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,249,175,59,3,481,188,8,677
LGA50840,764,473,147,11,1400,512,42,1954,7,3,0,0,13,42,0,58,0,0,0,0,0,0,0,0,7,3,0,0,13,42,0,58,6,0,0,0,6,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,3,0,7,4,0,0,0,5,3,0,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,10,0,16,0,3,0,0,6,3,0,7,788,479,151,11,1430,571,42,2039
LGA50910,111,83,18,0,220,95,3,323,4,0,0,0,5,6,0,10,0,0,0,0,0,0,0,0,4,0,0,0,5,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,83,22,3,229,98,3,332
LGA50980,959,1466,600,56,3085,713,192,3992,71,64,78,11,220,241,21,479,66,24,21,0,111,97,17,222,139,85,97,11,335,337,37,701,27,25,19,0,70,44,10,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,27,25,17,0,67,47,10,124,79,20,9,0,110,96,8,206,4,0,0,0,4,0,0,4,0,3,0,4,9,12,5,24,12,0,3,0,14,5,0,18,87,27,14,3,133,115,11,258,28,10,9,0,46,51,8,101,1242,1613,732,76,3659,1259,246,5172
