LGA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
LGA50080,..,9,0,9,0,9,..,121,36,155,0,155,..,3,0,3,0,3,..,67,8,74,0,74,..,120,4,128,0,128,..,15,0,20,0,20,..,4,0,4,0,4,..,5,0,5,0,5,..,18,0,22,0,22,..,10,0,15,0,15,..,27,0,27,5,31,..,11,0,11,0,11,..,0,0,0,0,0,..,6,0,6,0,6,..,85,3,85,5,89,..,168,12,180,4,188,..,25,0,18,0,18,..,0,0,0,0,0,..,5,3,9,0,9,..,4,0,4,0,4,..,32,5,36,0,36,..,6,0,6,0,6,..,41,5,40,0,40,..,3,0,3,0,3,..,17,0,17,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,216,5,224,0,220,..,63,3,63,0,63,..,215,13,224,3,229,..,83,8,94,0,94,..,573,25,598,4,602,..,28,0,30,0,30,..,19
LGA50210,..,80,12,91,0,91,..,1908,417,2322,40,2367,..,44,9,44,0,44,..,274,7,273,4,279,..,201,6,209,4,212,..,35,0,35,0,37,..,131,9,135,0,136,..,472,52,519,6,526,..,807,43,855,6,861,..,118,10,120,0,124,..,2115,216,2333,41,2372,..,626,43,669,10,677,..,443,23,470,6,475,..,241,20,261,0,265,..,4948,416,5367,72,5438,..,344,33,378,3,388,..,126,16,149,3,150,..,49,17,69,0,69,..,221,91,306,8,314,..,20,0,24,0,24,..,1504,117,1617,19,1642,..,155,31,180,4,185,..,100,9,102,0,110,..,106,8,116,0,116,..,85,15,102,0,102,..,73,9,83,5,81,..,55,0,57,0,59,..,698,25,726,11,732,..,497,33,533,5,540,..,1005,38,1043,4,1045,..,548,34,586,3,590,..,2746,128,2882,27,2907,..,340,37,373,0,378,..,1168
LGA50250,..,0,0,0,0,0,..,35,0,37,0,37,..,10,3,12,0,13,..,17,0,17,0,15,..,18,3,18,0,18,..,4,0,4,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,23,0,23,0,23,..,6,0,6,0,6,..,0,0,0,0,0,..,43,0,43,0,43,..,18,0,18,0,18,..,6,0,6,0,6,..,0,0,5,0,5,..,0,0,4,0,4,..,6,0,5,0,5,..,10,0,10,0,10,..,3,0,3,0,3,..,8,0,8,0,8,..,12,0,12,0,12,..,8,0,10,0,10,..,3,0,3,0,3,..,9,0,9,0,9,..,44,0,44,0,44,..,36,4,39,0,39,..,48,0,48,0,48,..,12,0,14,0,14,..,137,4,142,0,142,..,21,0,22,0,22,..,11
LGA50280,..,3,0,3,0,3,..,56,14,72,0,72,..,0,0,0,0,0,..,149,4,148,5,155,..,154,4,157,3,163,..,3,0,3,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,13,4,14,0,14,..,5,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,29,4,28,0,28,..,113,5,114,5,120,..,34,6,37,0,37,..,0,0,0,0,0,..,30,9,38,0,38,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,42,0,44,4,50,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,30,4,38,0,38,..,31,0,30,0,34,..,35,3,41,0,41,..,16,0,15,0,15,..,116,7,121,0,128,..,129,5,138,4,136,..,0
LGA50350,..,7,3,9,0,9,..,171,63,233,0,237,..,64,9,69,0,69,..,85,6,87,4,92,..,41,0,48,0,47,..,12,4,16,0,18,..,9,0,4,0,4,..,17,3,18,0,24,..,37,0,40,0,40,..,40,0,39,0,46,..,24,0,31,0,31,..,22,0,22,0,24,..,35,0,35,0,35,..,17,0,23,0,23,..,205,10,218,6,224,..,177,30,204,0,204,..,37,3,43,0,43,..,0,0,0,0,0,..,26,11,29,0,34,..,21,0,21,0,21,..,33,3,34,0,35,..,10,0,10,0,10,..,56,7,60,0,60,..,24,0,28,0,28,..,21,0,21,4,19,..,3,0,3,0,3,..,63,11,78,0,76,..,48,3,49,5,54,..,34,3,41,0,41,..,84,0,90,0,91,..,32,8,35,0,35,..,205,7,215,6,221,..,41,0,44,0,44,..,26
LGA50420,..,152,43,191,0,192,..,2361,957,3320,32,3350,..,150,17,169,6,177,..,353,18,368,11,379,..,228,6,231,5,243,..,315,45,364,0,368,..,87,0,88,0,85,..,210,16,225,8,234,..,437,18,451,5,461,..,307,20,326,5,330,..,478,42,517,3,518,..,183,14,199,0,199,..,253,11,267,0,270,..,120,6,121,0,124,..,2068,132,2196,24,2219,..,1585,182,1765,14,1777,..,224,33,261,0,266,..,27,11,42,0,42,..,172,62,235,7,241,..,182,30,212,0,212,..,189,8,195,0,202,..,238,41,284,0,282,..,310,40,352,3,353,..,204,19,226,4,232,..,135,18,154,4,162,..,5,0,5,0,8,..,491,61,552,3,556,..,284,9,294,0,297,..,216,16,232,4,234,..,355,12,367,4,373,..,182,18,205,0,200,..,1039,58,1094,12,1108,..,421,46,471,7,479,..,203
LGA50490,..,74,10,89,0,89,..,1903,602,2500,29,2529,..,54,0,53,0,53,..,188,3,198,3,200,..,82,0,87,0,87,..,38,3,43,0,43,..,302,29,327,4,334,..,50,4,55,0,55,..,402,24,425,3,426,..,295,24,323,5,325,..,407,24,426,3,433,..,259,21,275,4,277,..,529,55,581,10,594,..,58,4,57,0,57,..,2290,186,2478,33,2506,..,396,43,444,4,447,..,114,23,127,0,136,..,20,4,32,0,31,..,216,82,302,6,305,..,36,3,40,0,40,..,147,11,153,3,156,..,159,42,202,0,200,..,124,12,136,0,140,..,141,8,151,4,153,..,70,7,75,0,75,..,37,4,40,0,40,..,45,0,49,0,50,..,400,9,409,5,416,..,302,31,333,5,337,..,528,12,539,4,549,..,256,12,265,0,265,..,1482,62,1539,19,1561,..,253,31,285,5,284,..,101
LGA50560,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,11,0,11,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,17,0,20,0,20,..,0,0,0,0,0,..,0
LGA50630,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,8,3,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,16,0,16,0,16,..,6,0,6,0,6,..,0
LGA50770,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,6,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0
