LGA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
LGA50080,35,104,84,64,151,160,42,86,7,734,41,115,68,38,61,84,24,79,116,617,934,2942,2246,1597,2984,3081,1178,2336,300,17599
LGA50210,53,263,213,153,380,363,119,226,23,1791,75,273,187,116,456,511,147,308,374,2444,1909,5762,5017,3494,9412,9096,2943,6075,746,44453
LGA50250,0,18,5,4,5,12,6,15,0,73,5,16,4,7,7,15,8,54,30,145,324,276,202,128,216,458,276,1847,101,3828
LGA50280,11,57,37,28,39,43,18,20,7,260,18,63,41,25,36,54,9,50,53,363,597,1496,1200,791,1087,1343,437,1207,148,8297
LGA50350,12,57,39,18,64,59,17,35,0,291,15,48,27,26,61,74,23,52,42,359,327,1083,1009,649,1590,1694,563,1112,75,8098
LGA50420,41,228,222,130,286,294,87,158,19,1472,51,187,164,79,333,369,82,180,252,1701,1369,5024,4401,2787,7667,7543,2439,4766,556,36553
LGA50490,23,121,111,82,190,177,57,85,9,843,22,93,80,55,194,233,63,125,196,1076,847,2715,2502,1552,4541,4684,1452,3248,418,21968
LGA50560,0,3,0,0,0,0,0,5,0,16,0,0,0,4,3,3,0,9,8,28,51,95,84,50,63,113,31,143,17,651
LGA50630,0,3,4,5,4,3,3,3,0,25,3,4,4,0,7,0,0,0,7,22,66,83,90,32,64,106,62,230,25,759
LGA50770,0,3,0,0,0,0,0,3,0,19,3,6,0,0,4,4,0,9,8,31,49,112,83,60,56,148,44,234,25,807
LGA50840,4,17,12,11,4,15,3,13,0,73,3,19,9,0,3,9,0,11,22,76,138,361,298,183,280,341,106,494,55,2261
LGA50910,0,4,0,0,0,0,3,4,0,12,0,0,0,0,0,8,0,0,5,14,27,53,46,23,41,54,25,116,6,395
LGA50980,13,31,32,23,53,56,27,68,4,298,19,30,25,19,64,49,16,66,109,391,410,754,643,612,1713,1529,507,1514,195,7893
LGA51080,0,0,0,0,0,0,0,5,0,9,0,4,0,0,0,3,0,0,5,12,24,56,57,33,37,81,48,130,10,466
LGA51120,0,0,6,0,3,0,0,5,0,10,0,0,4,0,4,0,0,0,3,13,12,43,40,22,36,71,38,144,8,411
LGA51190,14,88,71,36,144,99,42,76,5,572,24,75,37,30,73,82,30,87,100,542,764,2145,1734,1213,2667,2583,971,2343,222,14644
LGA51260,27,139,92,60,124,137,47,76,4,710,34,106,76,59,73,104,36,86,111,681,1195,3299,2570,1728,2784,3096,1102,2895,283,18958
LGA51310,8,82,60,29,67,57,17,48,15,379,20,82,51,31,66,126,28,101,65,574,542,2634,1861,1129,2007,3031,1059,2580,149,14988
LGA51330,46,311,290,168,315,324,85,169,26,1732,50,362,303,157,407,546,122,232,429,2612,1567,7786,6696,3741,9886,9603,2599,5303,862,48045
LGA51400,15,57,41,33,69,72,34,61,4,397,20,43,19,18,47,54,12,57,57,338,497,1281,1051,724,1415,1667,593,1695,145,9068
LGA51470,0,4,4,0,0,3,0,3,0,15,0,0,0,0,4,0,0,0,0,11,13,26,24,15,33,43,19,77,0,252
LGA51540,4,10,9,0,13,19,4,10,0,72,0,17,10,0,15,13,7,15,22,100,127,228,203,155,443,464,151,440,75,2279
LGA51610,0,9,0,0,10,7,0,6,3,38,0,5,0,0,0,4,3,3,0,20,44,96,83,39,110,112,49,209,12,747
LGA51680,5,15,16,8,21,19,8,23,3,122,14,12,13,4,23,23,10,26,31,148,155,366,314,194,449,536,181,617,79,2893
LGA51710,3,0,0,3,0,6,0,9,0,20,0,11,0,0,12,6,4,0,10,43,27,105,38,30,207,161,45,130,28,771
LGA51750,3,40,17,12,16,16,10,15,0,139,5,42,17,11,23,32,18,25,26,213,214,1006,642,406,685,1078,389,903,53,5382
LGA51820,88,467,353,245,487,488,159,285,29,2601,80,358,229,178,566,711,176,441,391,3132,2676,8762,7156,4785,12219,13346,4103,8987,866,62912
LGA51860,0,0,0,0,0,0,0,0,0,4,0,4,0,0,6,5,0,7,0,21,3,47,17,18,47,42,12,57,0,239
LGA51890,10,33,19,8,22,19,15,24,5,160,11,15,6,7,16,18,10,22,39,136,209,541,415,210,455,677,242,571,97,3420
