LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA50080,4786,9460,105,564,380,1741,142,639,2055,8061,2680,11009,144,576,257,821,667,2064,1076,3465,3757,14472,16,64,132,459,77,281,642,1751,869,2552,52,178,121,255,530,1141,708,1575,1578,4120,122,253,10242,28309
LGA50210,8311,16506,234,1378,1158,5378,392,1804,7727,29806,9511,38360,485,2008,739,2503,1768,5568,2989,10075,12495,48435,66,304,285,1031,164,651,1849,5048,2369,7030,174,551,328,734,1453,3164,1952,4454,4319,11485,405,852,25532,77273
LGA50250,419,804,3,24,42,184,19,82,483,1922,549,2219,6,25,32,86,40,125,78,232,627,2449,0,0,8,28,7,35,58,140,72,204,0,0,14,25,27,59,40,83,111,284,16,27,1175,3579
LGA50280,1856,3601,23,113,177,760,40,171,1220,4565,1469,5609,56,206,108,328,198,567,359,1103,1825,6709,3,19,45,142,26,83,276,669,354,910,23,65,45,87,174,358,241,507,590,1419,29,61,4304,11787
LGA50350,1672,3293,29,147,142,648,33,139,1059,3950,1255,4877,84,346,136,459,324,1004,538,1802,1797,6682,4,41,44,153,25,88,277,682,355,964,25,78,57,124,283,619,369,829,718,1788,93,195,4283,11956
LGA50420,7754,15310,84,490,652,2950,123,545,4512,16599,5366,20581,376,1571,661,2272,1317,4206,2357,8054,7722,28634,27,143,172,575,75,269,997,2480,1275,3466,118,361,295,670,1126,2418,1545,3451,2814,6913,397,825,18686,51681
LGA50490,4455,8731,67,427,310,1468,91,401,2562,9581,3033,11875,172,703,280,947,563,1780,1016,3436,4047,15309,25,108,92,317,52,170,630,1623,796,2226,73,229,148,343,705,1539,927,2110,1720,4338,350,733,10572,29109
LGA50560,257,499,3,17,8,39,6,24,67,269,82,348,5,19,23,51,32,105,65,171,150,519,0,0,0,0,0,0,18,43,20,49,0,0,4,10,23,47,26,53,47,103,8,17,458,1139
LGA50630,197,382,0,3,22,83,5,30,113,447,142,570,4,13,7,25,23,69,42,112,186,681,0,0,3,22,6,4,29,87,35,109,0,5,0,3,24,40,21,51,57,164,7,15,447,1234
LGA50770,254,495,0,4,9,44,6,22,113,459,134,532,4,25,12,26,27,73,40,126,172,653,0,0,3,17,0,0,29,68,30,90,0,3,5,11,19,38,29,57,60,143,4,8,489,1302
