LGA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5,64,88,235,127,44,28,6,0,608,0,0,0,5,8,0,4,10,4,41,0,0,0,0,0,3,0,0,0,5,0,5,7,19,25,74,53,53,21,264,0,0,0,8,12,4,3,6,0,34,0,40,59,119,108,78,40,20,7,458,3,0,4,5,5,0,9,8,0,32,0,0,0,9,0,0,0,0,0,17,0,39,42,39,15,8,5,0,0,146,0,0,0,6,0,0,0,0,0,6,0,3,8,23,16,34,32,13,4,148,0,3,3,23,12,3,0,0,0,38,0,0,0,11,13,21,20,9,3,78,0,0,10,27,18,21,21,3,0,106,3,22,32,139,61,91,96,62,19,523,53,193,185,479,276,316,298,182,102,2079,1932,4864,4134,8379,4976,5440,4990,2890,1164,38763
LGA50210,4,53,27,214,27,13,13,5,0,357,0,13,22,40,23,4,7,0,0,107,7,249,393,807,406,150,72,11,0,2100,0,5,0,44,5,22,23,6,6,109,0,4,7,10,10,5,4,5,0,44,0,15,25,144,112,167,152,92,29,739,5,69,90,320,108,110,77,18,4,798,9,75,229,551,360,211,101,29,8,1566,3,78,87,391,146,47,29,17,0,799,0,3,0,103,3,4,0,0,0,123,0,85,141,176,62,23,15,5,0,507,0,4,0,13,9,3,0,3,0,36,6,27,23,68,47,35,40,19,0,271,0,3,6,90,21,28,4,0,0,160,0,4,3,29,41,51,35,27,10,200,3,31,108,263,152,45,27,9,0,639,17,230,320,1227,432,358,201,111,26,2930,284,653,557,1511,602,481,292,231,130,4736,7505,14584,10747,29661,11039,9336,7019,3289,1006,94184
LGA50250,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,10,0,7,14,49,23,7,0,0,0,101,0,0,0,3,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,4,14,12,9,3,0,0,32,0,0,0,11,5,0,0,0,0,14,0,3,4,21,17,5,0,0,0,52,0,0,3,19,0,0,0,0,0,19,0,0,0,9,0,0,0,0,0,9,0,5,6,27,8,4,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,17,0,0,0,7,0,0,0,0,0,7,0,0,0,6,0,0,4,0,0,10,0,0,0,16,11,3,4,0,0,26,0,8,9,84,14,12,3,0,0,134,80,147,147,618,218,168,41,4,0,1422,651,1073,637,3005,1021,744,200,54,10,7391
LGA50280,0,0,0,0,0,0,0,0,0,4,0,0,0,6,6,0,4,0,0,15,0,13,15,41,19,3,0,0,0,97,0,0,0,4,4,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,20,21,19,34,6,4,117,0,4,0,3,5,6,0,0,0,27,0,8,6,52,44,32,17,13,3,176,0,0,0,4,0,0,0,0,0,6,3,0,0,25,0,0,0,0,0,24,3,10,5,16,3,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,10,6,31,22,20,28,3,0,128,0,3,0,16,0,3,0,0,0,24,0,0,0,6,3,11,11,3,0,43,0,0,0,15,17,14,8,8,0,51,3,13,26,194,53,50,34,11,0,378,72,213,101,414,282,166,158,51,38,1486,985,2439,1275,4403,2511,2214,1925,746,286,16791
LGA50350,0,3,7,9,4,0,0,0,0,26,0,0,3,0,6,4,0,0,0,18,0,20,27,82,28,16,8,0,0,186,0,0,0,11,4,10,15,3,11,50,0,0,0,0,0,0,0,0,0,0,0,3,3,28,11,30,29,18,5,135,0,0,0,16,9,7,0,7,0,52,0,0,7,53,21,18,12,7,0,118,0,0,0,18,3,4,4,0,0,36,0,0,0,13,3,0,0,0,0,16,0,8,9,24,7,7,0,0,0,60,0,0,0,3,0,0,0,0,0,3,0,0,7,21,12,9,5,6,0,62,0,3,10,46,33,17,20,6,0,137,0,0,0,9,6,7,4,0,0,33,0,0,3,9,3,3,0,0,0,26,7,20,32,140,64,67,43,42,14,425,39,76,74,261,121,95,82,61,31,832,1002,1799,1601,4628,2165,1971,1574,839,360,15932
LGA50420,0,9,61,158,10,15,3,0,0,267,0,0,0,12,20,6,9,0,0,45,0,72,125,355,163,104,61,10,4,882,0,3,0,89,42,61,93,33,31,346,0,0,3,0,0,0,0,0,0,9,0,5,11,138,87,90,99,65,34,533,0,14,13,134,67,90,85,40,3,461,4,21,67,284,131,114,110,32,3,760,3,19,35,180,38,35,38,38,7,396,3,16,7,133,20,4,0,0,0,177,4,20,42,135,55,35,14,8,0,316,0,4,0,42,10,11,4,0,3,82,10,11,19,108,36,34,19,7,3,251,7,44,109,559,415,447,237,86,51,1947,0,0,5,42,18,27,17,19,0,125,0,3,21,71,32,18,20,6,0,174,11,126,241,1223,442,341,281,202,69,2922,104,240,278,1049,348,314,250,227,179,2992,4052,6976,7332,22322,8739,7799,6607,3832,1634,69283
LGA50490,17,83,67,301,36,9,9,3,0,523,0,7,6,18,6,7,0,0,0,47,6,108,201,502,191,85,34,15,5,1153,0,0,0,28,11,18,27,17,24,133,0,0,3,8,8,9,0,0,0,27,0,0,11,51,36,78,45,49,21,282,0,12,23,161,53,71,67,18,8,409,5,11,42,139,65,67,32,4,0,361,0,8,25,200,29,32,30,6,0,327,0,6,9,174,7,9,0,0,0,199,0,18,21,132,52,19,15,0,0,265,0,0,0,33,15,22,4,4,0,68,0,18,13,49,11,16,6,5,0,123,0,3,39,173,63,42,60,13,5,393,0,0,0,15,10,12,6,6,5,58,3,9,19,104,25,20,6,0,0,190,20,191,216,1064,252,163,107,88,33,2143,127,237,299,1048,347,292,186,153,140,2822,2487,4239,4879,15132,5019,4498,3282,1827,902,42257
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,9,0,0,0,4,3,0,7,0,0,23,9,12,22,45,36,32,38,27,7,224,73,132,117,284,220,292,349,165,58,1694
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,8,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,4,3,0,0,14,5,22,14,37,29,26,15,9,0,172,121,256,126,399,242,266,197,86,20,1705
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,5,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,8,6,0,16,9,36,18,44,36,42,31,19,3,228,110,250,145,347,243,295,245,158,35,1834
