LGA_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
LGA50080,27,22,38,43,49,44,19,3,0,241,637,584,1380,1685,2057,1773,496,61,5,8676,42,58,160,180,204,262,196,60,11,1184,3,13,99,102,112,64,16,0,0,421,61,97,202,161,186,148,39,6,0,905,0,5,27,62,48,45,7,0,0,200,99,149,349,324,339,276,70,6,0,1611,13,44,73,65,113,76,22,0,0,404,373,212,327,312,353,311,92,10,0,1985,435,148,219,185,166,133,61,8,0,1354,14,27,58,104,188,194,56,8,0,649,7,10,24,15,17,19,4,0,0,111,3,22,44,48,61,47,10,0,0,233,4,14,47,41,53,43,25,5,0,230,13,27,127,159,135,145,62,8,0,667,6,30,68,95,110,118,37,0,0,461,11,28,130,241,331,284,57,8,0,1087,23,56,213,332,482,411,110,13,0,1641,60,171,476,591,716,700,172,13,0,2903,22,9,44,29,39,39,12,3,0,205
LGA50210,41,78,226,212,139,102,31,4,4,846,1190,1845,4971,5496,3928,2757,627,41,9,20859,17,31,83,78,57,55,46,17,0,385,27,150,640,857,565,303,37,0,0,2582,101,260,628,877,618,431,86,12,5,3010,10,18,98,174,126,90,11,0,0,517,158,358,1113,1078,704,532,136,15,0,4092,37,104,354,448,325,211,39,6,0,1530,531,674,1004,839,600,477,125,12,0,4264,855,375,469,378,201,123,30,3,0,2434,43,178,653,853,544,523,125,4,0,2916,21,22,79,93,65,36,12,0,0,325,4,29,208,305,150,87,8,0,0,791,4,40,134,144,97,85,41,7,0,541,18,162,600,814,433,274,72,11,0,2394,55,120,327,340,297,218,52,6,0,1410,24,118,534,723,537,432,102,12,0,2487,63,200,695,927,816,616,172,14,0,3499,82,481,1524,1931,1309,947,202,8,0,6485,62,69,125,127,91,59,20,0,0,564
LGA50250,7,13,9,11,10,0,7,0,0,56,46,101,411,417,250,182,31,3,0,1444,4,4,16,6,10,12,7,5,0,59,10,85,500,582,390,246,39,0,0,1853,0,0,7,8,9,8,0,0,0,30,0,5,5,8,10,9,0,0,0,28,9,23,92,84,62,44,6,0,0,323,0,5,9,19,9,12,0,0,0,56,28,9,20,20,19,13,4,0,0,114,12,18,70,40,26,28,6,0,0,200,4,5,18,29,17,26,6,0,0,113,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,12,3,0,12,11,15,8,0,0,0,44,0,0,10,7,0,7,0,0,0,34,4,12,41,38,24,23,0,0,0,153,5,9,37,47,38,25,10,0,0,167,4,21,81,83,40,28,4,0,0,254,0,10,50,52,25,15,7,0,0,159,0,0,0,0,0,0,0,0,0,11
LGA50280,11,0,20,50,45,28,13,6,0,166,228,139,650,1107,947,739,216,28,0,4049,21,23,123,96,131,95,100,31,3,616,0,13,92,195,150,66,12,6,0,533,29,35,155,218,164,107,40,3,0,761,0,0,4,12,16,18,0,0,0,55,40,49,131,242,182,140,38,5,0,822,4,5,11,30,32,22,16,0,0,129,111,64,99,164,159,143,37,3,0,783,165,67,206,211,169,116,47,3,0,985,0,6,17,26,29,51,25,0,0,161,0,0,6,7,12,3,3,0,0,31,0,4,22,18,20,11,8,3,0,79,0,0,14,16,37,28,23,0,0,119,3,4,50,102,96,63,25,0,0,349,13,6,51,87,104,73,14,0,0,354,0,3,31,95,73,68,10,3,0,282,5,4,83,197,202,185,39,4,0,725,10,20,126,209,207,159,41,4,0,774,8,9,18,32,24,22,6,4,0,131
LGA50350,8,10,34,31,26,20,6,0,0,124,190,302,869,976,845,658,161,14,0,4014,0,0,6,7,6,3,3,0,0,29,3,25,140,146,107,48,8,0,0,485,16,28,66,91,106,84,19,6,0,411,5,0,23,25,19,12,0,0,0,78,26,53,173,181,154,100,22,0,0,716,4,12,49,61,43,37,15,0,0,214,100,121,130,107,85,81,21,0,0,653,123,78,98,61,37,38,6,0,0,438,0,17,64,72,85,72,34,4,0,342,0,3,18,26,14,13,4,0,0,86,0,13,42,57,55,41,5,0,0,213,0,8,17,21,33,18,4,3,0,108,4,36,182,209,143,76,24,5,0,671,3,14,38,64,46,44,14,0,0,225,4,22,114,160,172,133,20,4,0,634,14,46,138,193,204,170,41,5,0,809,12,74,273,248,237,223,54,6,0,1122,17,25,49,39,30,23,7,0,0,199
LGA50420,21,61,179,149,105,68,26,7,0,614,725,1635,4646,4025,3389,2471,686,59,0,17633,4,12,32,27,17,17,10,4,0,126,7,118,611,675,438,232,39,0,0,2115,46,107,334,366,403,296,91,9,0,1647,7,17,95,120,81,71,14,0,0,399,58,215,774,775,475,399,101,11,0,2813,13,54,194,201,184,149,56,3,0,855,424,550,742,478,415,361,124,14,0,3110,510,477,651,417,295,226,57,3,0,2624,29,125,395,379,354,307,100,14,0,1701,8,40,100,94,86,55,15,0,0,399,5,50,276,323,226,102,32,8,0,1012,10,37,125,116,93,78,34,9,0,499,18,204,1000,1005,612,344,120,17,0,3313,17,91,350,269,236,170,45,4,0,1187,19,121,594,673,607,490,118,9,0,2623,51,180,702,717,744,571,172,10,0,3146,33,388,1396,1147,950,809,242,14,0,4979,88,147,223,145,109,81,29,4,0,822
LGA50490,16,40,120,76,71,40,5,0,0,353,412,1082,3054,2219,1703,1285,334,26,0,10113,6,3,24,17,10,8,5,0,0,74,10,108,569,461,325,203,44,4,0,1718,35,68,280,226,208,171,42,6,0,1029,0,0,46,50,45,24,7,0,0,187,40,132,583,425,291,217,43,5,0,1740,13,54,181,142,114,116,27,3,0,653,208,382,488,279,213,184,51,0,0,1807,290,311,549,306,167,118,30,0,0,1770,16,116,379,316,303,250,72,8,0,1448,11,22,65,50,27,20,7,0,0,194,6,38,159,142,103,53,17,0,0,517,4,37,91,81,69,50,17,0,0,352,12,135,605,498,247,156,47,11,0,1705,10,80,282,183,141,142,40,0,0,880,7,83,309,305,268,211,59,3,0,1242,31,85,339,315,305,235,54,10,0,1373,19,254,889,616,472,380,121,6,0,2744,32,75,178,121,82,64,27,7,0,601
LGA50560,0,0,0,0,3,0,4,0,0,8,9,15,39,57,69,75,40,11,0,311,9,6,26,25,47,43,41,9,0,198,0,0,3,5,13,8,5,0,0,34,0,0,0,8,0,9,4,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,11,8,10,3,0,0,38,0,0,0,0,3,9,7,0,0,22,0,0,4,7,10,11,5,0,0,33,4,6,4,0,4,3,4,0,0,26,0,3,0,3,8,7,11,0,0,27,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,4,0,0,0,15,0,0,6,5,0,0,4,0,0,10,0,0,13,3,10,9,0,0,0,41,4,0,5,11,14,9,4,0,0,48,0,0,6,10,12,22,6,0,0,61,0,0,0,0,4,4,0,0,0,9
LGA50630,0,0,3,5,0,3,0,0,0,13,8,20,51,77,75,76,23,3,0,333,0,0,12,10,5,10,9,7,0,64,3,9,43,62,73,50,11,0,0,254,4,9,12,20,19,15,0,0,0,72,0,0,0,0,0,5,0,0,0,7,0,4,10,7,14,11,3,0,0,47,0,0,0,0,0,6,0,0,0,10,0,9,0,3,4,12,0,0,0,32,4,0,3,10,3,8,5,0,0,36,0,0,0,0,3,9,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,11,0,0,0,6,9,4,0,0,0,19,0,4,6,4,3,11,4,0,0,37,0,0,9,8,17,7,6,0,0,51,0,0,4,8,6,16,8,0,0,44,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,3,0,0,0,16,19,23,44,80,85,72,29,11,0,372,10,21,41,64,69,72,46,34,0,356,0,7,6,19,15,9,0,0,0,50,3,0,0,3,5,5,0,0,0,21,0,0,0,3,0,3,0,0,0,7,0,3,3,0,3,12,0,0,0,36,0,4,3,0,0,3,0,0,0,10,8,8,5,6,9,4,5,0,0,44,5,0,3,4,3,5,0,0,0,23,0,0,0,6,0,9,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,3,0,0,6,0,4,8,0,0,0,17,0,0,0,3,4,0,0,0,0,8,0,0,7,9,14,8,3,0,0,35,4,0,9,11,14,11,3,0,0,53,0,0,0,17,11,20,3,0,0,62,0,0,0,0,0,0,0,0,0,5
