LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA50080,15562,16411,31970,6093,3483,9576,2192,4592,6790,636,599,1237,413,296,715,9335,8977,18311,5268,6585,11854,4.4,3.3,3.9,60,54.7,57.3,57.4,52.9,55.1,338,425,765,194,453,646,1257,2301,3556,1144,1836,2979,4258,2456,6717,300,441,735,222,403,625,4775,3302,8074,14801,15711,30518,2597,2796,5392,9860,10291,20155,6652,7398,14052
LGA50210,35273,36821,72096,17936,9587,27526,4421,9850,14275,1236,1421,2657,1483,1535,3013,25077,22395,47471,8064,12647,20715,5.9,6.9,6.4,71.1,60.8,65.8,66.9,56.6,61.7,1440,1587,3024,434,844,1274,3989,5961,9949,3086,3899,6994,9124,5615,14742,593,828,1416,450,778,1227,10163,7216,17385,37842,38914,76758,5499,5822,11317,23762,24007,47769,16342,17690,34031
LGA50250,3400,2270,5670,1940,861,2797,183,419,604,267,159,426,35,44,75,2422,1489,3909,207,392,601,1.6,2.8,2,71.3,65.4,68.9,70.2,63.6,67.5,54,47,95,25,46,70,186,306,495,172,224,391,1162,392,1554,40,46,91,30,36,66,1231,478,1709,2495,1839,4335,856,705,1561,1094,683,1773,1987,1619,3605
LGA50280,6621,6747,13368,2700,1372,4074,1162,2316,3481,378,363,740,134,109,241,4382,4157,8539,1614,2116,3736,3.1,2.6,2.8,66.2,61.7,63.9,64.1,60.1,62.1,213,253,470,114,237,348,892,1419,2315,564,843,1402,1781,853,2634,94,120,214,106,169,272,1986,1135,3118,6199,6338,12532,1323,1346,2668,3859,3892,7754,3223,3409,6629
LGA50350,6322,6810,13129,2985,1966,4955,926,1815,2740,169,231,403,218,191,407,4297,4207,8504,1612,2270,3882,5,4.6,4.8,68,61.8,64.8,64.6,58.9,61.7,325,383,709,135,283,421,943,1361,2303,550,673,1225,1515,790,2304,89,118,212,70,156,230,1680,1062,2744,6285,6703,12988,943,974,1909,4207,4536,8743,2573,2753,5325
LGA50420,28653,29606,58257,13714,8698,22413,4334,7877,12212,868,1056,1924,1031,930,1966,19952,18563,38516,7180,9790,16969,5.2,5,5.1,69.6,62.7,66.1,66,59.6,62.7,1732,2033,3772,593,1072,1665,5490,6511,11991,2765,3040,5802,5666,2948,8613,317,461,773,346,644,994,6323,4058,10383,27665,28283,55951,4609,4780,9396,17802,18307,36104,12753,13156,25910
LGA50490,17997,17537,35533,8596,5327,13924,2613,4164,6776,643,622,1266,708,602,1313,12561,10710,23274,4032,5664,9692,5.6,5.6,5.6,69.8,61.1,65.5,65.9,57.7,61.8,1078,1012,2086,246,454,707,2845,3493,6345,1725,1836,3560,3675,1874,5555,272,296,564,227,334,564,4178,2508,6688,16109,15780,31885,3435,3441,6874,9301,9185,18485,9222,9055,18274
LGA50560,762,727,1491,234,117,353,73,154,227,35,33,71,22,24,46,369,333,696,286,309,602,6.3,6.4,6.3,48.1,45.2,46.7,45.1,42.3,43.7,5,9,17,7,14,19,42,86,129,44,66,115,169,80,247,10,10,17,11,16,25,183,104,285,660,657,1309,75,73,146,506,489,995,194,215,416
LGA50630,677,652,1333,311,155,473,70,128,201,45,44,87,16,16,32,440,347,787,172,246,415,3.4,4.3,3.8,64.7,53.5,59.2,62.5,51.2,56.9,11,12,20,0,11,14,35,77,113,26,56,82,198,87,290,9,25,33,13,17,26,221,126,348,634,585,1222,149,151,303,420,395,808,308,300,608
LGA50770,730,744,1469,319,163,485,73,181,250,51,28,76,12,17,34,455,390,846,202,271,467,3.3,5.1,4.1,62.2,52.7,57.4,60.2,50,55.1,0,8,14,6,9,15,45,113,152,38,71,113,178,110,285,8,10,19,10,24,38,197,142,341,715,714,1428,77,89,169,545,507,1055,208,246,454
