LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA50080,313,287,599,974,902,1882,127,135,267,322,367,689,1432,1412,2843,910,823,1734,129,150,277,356,399,757,1397,1374,2766,79,73,157,31,92,126,174,73,246,121,256,373,3,6,7,410,498,907,52,88,135,38,80,116,20,38,54,87,246,334,0,0,0,188,457,648,599,957,1555,27,36,62,106,128,228,0,0,3,129,163,297,1475,1033,2514,5344,5221,10571
LGA50210,1090,958,2049,3584,3387,6975,598,540,1139,813,810,1617,5001,4747,9750,2229,2108,4336,330,376,703,664,715,1377,3225,3203,6426,208,209,411,161,277,440,285,216,505,344,576,923,0,8,9,1005,1288,2288,562,791,1354,238,408,651,105,169,272,297,549,851,3,7,5,1207,1924,3134,2213,3218,5429,162,181,339,230,423,653,8,3,13,391,604,999,2697,2312,5014,14626,15041,29664
LGA50250,76,86,153,378,316,685,0,0,3,17,7,24,395,325,719,126,125,243,5,4,4,4,8,16,135,137,263,3,4,9,6,7,12,9,8,22,20,49,72,0,0,0,45,63,109,0,4,11,3,8,12,0,0,5,23,43,67,0,0,0,24,64,92,72,129,200,4,8,11,8,21,29,0,0,0,19,28,39,886,487,1372,1577,1182,2757
LGA50280,138,157,290,590,526,1122,78,57,135,125,125,255,797,711,1509,476,458,933,27,23,52,35,44,73,533,525,1064,13,14,21,9,29,41,52,21,69,63,149,211,0,3,0,141,210,353,12,27,37,18,41,60,5,12,12,28,104,131,0,0,0,56,185,245,201,394,593,19,16,35,34,61,90,0,0,0,48,75,124,766,658,1425,2490,2511,5002
LGA50350,147,135,282,421,353,771,122,136,258,71,66,140,620,551,1167,231,222,455,115,100,219,100,86,190,445,408,860,27,41,68,26,38,62,45,27,71,58,107,163,0,0,0,158,208,367,106,141,246,47,75,117,35,24,60,84,130,223,0,0,3,271,379,649,432,585,1016,20,19,37,48,59,105,0,0,0,67,78,137,485,387,873,2198,2144,4345
LGA50420,622,558,1179,1470,1358,2829,644,605,1256,213,252,461,2327,2223,4547,1009,852,1862,636,588,1221,300,297,603,1959,1738,3692,184,133,317,200,279,475,141,81,219,282,409,689,7,4,7,804,905,1712,729,855,1578,386,425,815,127,152,278,370,572,947,6,0,15,1618,2007,3631,2430,2920,5351,129,110,233,201,287,486,3,5,9,331,400,723,1712,1422,3139,9383,9261,18644
LGA50490,330,275,602,758,703,1464,420,420,844,222,242,460,1397,1368,2766,520,501,1024,328,278,609,181,155,337,1029,940,1968,139,113,258,145,240,383,95,50,143,198,330,523,7,3,7,573,741,1315,382,512,897,267,313,586,82,102,185,215,283,497,4,0,7,950,1212,2164,1535,1957,3489,116,96,212,125,162,288,5,4,11,246,267,512,1599,1345,2943,6127,6153,12281
LGA50560,8,5,13,35,52,81,3,0,9,0,0,0,41,50,90,11,18,31,3,8,16,0,3,3,21,35,55,0,0,0,0,4,3,0,0,6,4,8,12,0,0,0,6,16,25,0,3,6,0,3,4,0,0,0,0,3,0,0,0,0,3,8,15,11,25,37,5,7,7,4,4,6,0,0,0,5,11,15,107,92,204,193,221,413
LGA50630,13,16,29,80,74,156,0,0,3,0,3,10,81,76,166,41,40,88,0,0,0,7,3,6,49,46,92,0,0,0,0,0,0,8,6,10,6,8,6,0,0,0,7,17,21,0,4,4,0,0,0,0,0,0,7,5,12,0,0,0,4,11,18,16,25,40,4,7,8,0,5,5,0,0,0,7,9,13,88,73,157,260,237,496
LGA50770,14,14,33,48,41,85,28,30,50,3,0,3,73,69,145,34,46,78,10,14,18,0,0,0,43,54,97,0,0,0,0,0,5,0,0,3,0,11,14,0,0,0,4,14,21,3,3,5,0,3,3,0,0,0,0,4,3,0,0,0,3,11,9,12,23,34,0,0,0,0,5,11,0,0,0,3,5,9,100,96,194,244,269,508
