LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA50080,155,175,137,121,141,28,9,764,109,143,77,60,87,10,0,483,159,150,105,83,71,10,0,588,1109,1150,701,532,574,51,3,4110,6,6,0,4,3,0,0,17,1537,1617,1017,797,876,97,19,5961,13,20,21,12,19,3,0,97,15,33,30,17,29,3,0,133,14,40,32,31,37,0,0,148,229,369,242,193,213,15,4,1266,7,16,8,3,0,0,0,38,273,480,336,259,303,25,7,1685,1816,2097,1348,1055,1180,127,27,7653
LGA50210,2788,2938,1408,795,949,458,224,9567,545,549,293,205,249,61,31,1934,496,512,224,164,156,52,20,1624,2287,2102,1074,677,745,176,91,7156,25,27,13,10,0,0,0,82,6149,6132,3020,1854,2103,740,364,20365,162,223,165,123,163,70,46,949,114,157,112,76,80,23,17,589,80,121,82,55,58,12,12,418,589,734,470,369,346,56,24,2595,27,36,23,11,15,6,0,119,972,1272,853,638,660,165,111,4672,7120,7406,3876,2492,2757,913,471,25034
LGA50250,59,58,19,10,18,0,0,167,41,32,3,0,8,0,0,92,57,48,22,3,0,0,0,128,256,300,129,50,41,5,0,781,0,0,0,0,0,0,0,0,415,436,169,62,69,5,0,1170,0,0,0,4,3,0,0,10,0,0,3,0,0,0,0,5,0,4,0,0,0,0,0,7,19,29,29,11,13,0,0,97,0,0,0,0,0,0,0,0,24,34,29,16,15,0,0,119,439,469,201,86,86,5,0,1285
LGA50280,134,128,68,43,64,0,0,442,76,132,78,41,50,0,0,373,130,136,89,53,50,3,0,466,450,512,302,178,179,13,5,1639,0,7,0,0,3,0,0,16,792,912,543,315,341,27,7,2930,0,15,14,4,11,0,0,37,11,20,25,17,9,0,0,80,3,25,25,14,16,0,0,80,54,93,83,49,73,7,0,353,5,10,0,6,0,0,0,21,75,156,140,88,106,4,0,571,868,1065,686,403,442,33,5,3504
LGA50350,180,166,73,47,53,40,18,569,111,115,56,40,44,13,14,385,115,101,56,22,34,15,11,349,431,319,199,123,149,71,23,1304,0,0,0,0,0,0,0,0,836,695,385,222,279,134,68,2612,16,34,17,10,8,17,6,114,12,14,14,28,21,10,0,97,10,28,7,13,7,3,0,70,53,93,71,53,53,13,6,345,4,0,0,0,0,0,0,7,104,171,118,104,92,35,17,635,942,866,497,328,368,166,82,3245
LGA50420,1272,1135,572,346,494,318,197,4329,409,314,177,137,150,84,26,1295,487,348,174,106,139,55,35,1343,1314,991,592,389,461,202,86,4035,10,11,6,6,0,0,0,31,3493,2803,1514,978,1247,657,339,11034,102,161,106,97,122,71,44,696,67,95,53,56,47,27,14,354,50,63,51,40,28,23,14,263,166,256,188,145,194,59,33,1038,8,23,3,4,9,3,0,47,395,595,402,334,395,176,105,2404,3882,3402,1921,1316,1647,830,448,13438
LGA50490,1149,962,458,246,318,196,79,3404,144,122,59,39,54,12,3,444,195,146,75,40,37,17,16,527,541,507,268,158,219,64,31,1785,16,8,0,0,3,0,0,37,2048,1752,861,484,631,288,133,6187,70,115,79,59,83,46,33,484,41,51,33,23,33,9,9,209,31,38,16,19,21,0,6,140,126,182,108,94,95,24,17,638,11,19,12,0,5,0,0,48,282,392,253,199,239,85,64,1520,2333,2142,1105,687,868,369,196,7706
LGA50560,5,3,0,3,3,0,0,13,3,3,0,0,5,0,0,15,0,3,0,0,0,0,0,15,47,55,14,13,13,0,0,139,0,0,0,0,0,0,0,7,53,59,27,18,17,5,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,6,0,0,0,0,25,0,0,0,0,0,0,0,0,8,10,9,0,0,0,0,27,63,69,29,15,18,3,0,209
LGA50630,13,14,7,3,4,0,0,43,7,4,0,3,0,0,0,18,16,19,7,0,4,0,0,41,53,64,33,23,17,0,0,192,0,0,0,0,0,0,0,0,91,100,50,32,21,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,20,19,10,10,3,0,0,65,0,0,0,0,0,0,0,0,19,21,14,7,4,0,0,71,107,120,63,42,25,0,0,366
LGA50770,7,4,3,3,4,0,0,17,6,7,0,0,0,0,0,10,4,5,9,3,4,0,0,28,66,73,48,22,16,0,0,228,0,3,0,0,0,0,0,3,87,91,59,30,19,0,0,288,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,7,9,11,9,5,12,0,0,50,0,0,0,0,0,0,0,0,13,13,11,10,11,0,0,61,99,107,75,38,33,0,0,352
