LGA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
LGA50080,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,22,14,3,4,0,0,52,0,0,0,4,0,0,0,0,0,4,0,4,0,14,11,6,44,35,12,129,0,11,20,81,68,83,44,23,8,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,36,45,134,80,34,30,7,0,367,0,0,0,4,10,0,4,0,0,24,0,0,0,0,0,4,0,0,0,4,0,8,4,17,17,42,22,28,16,142,0,0,0,9,4,6,0,0,0,23,0,18,30,62,54,48,19,11,0,232,0,0,0,4,0,0,3,5,0,20,0,0,0,9,0,0,0,0,0,13,0,22,17,28,15,8,5,0,0,93,0,0,0,0,0,0,0,0,0,0,0,4,6,16,12,15,21,4,0,86
LGA50210,0,0,0,0,0,0,7,3,0,16,0,10,17,68,12,6,3,3,0,122,0,0,14,117,39,55,30,5,3,272,0,0,3,44,3,0,0,0,0,54,0,5,9,26,32,30,83,75,37,284,9,131,154,499,239,241,125,27,9,1432,0,0,0,0,3,0,0,0,0,12,0,35,11,100,10,6,6,0,0,173,0,12,9,26,13,5,7,0,0,64,7,112,197,469,218,98,62,12,0,1170,0,5,0,24,3,11,11,3,6,61,0,0,0,9,0,0,0,0,0,14,0,3,9,73,58,79,79,44,14,366,0,32,49,171,50,53,41,8,0,401,4,35,110,274,195,91,58,10,5,787,0,37,49,206,60,20,22,6,0,398,0,3,0,74,0,3,0,0,0,86,3,31,66,140,55,26,12,5,0,338,0,0,0,7,6,0,3,0,0,19,4,18,15,41,24,16,12,4,0,143
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,6,3,13,22,68,32,29,11,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,28,8,3,0,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,8,0,0,0,9,0,0,0,0,0,7,0,0,0,5,6,5,0,0,0,15,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6,0,4,0,24,10,6,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,10
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,8,9,3,4,38,3,11,12,76,40,57,21,8,4,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,4,35,13,0,0,0,0,60,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,12,9,6,17,4,6,57,0,5,0,3,4,8,0,0,0,13,0,3,0,26,26,14,10,7,0,89,0,0,0,0,0,0,0,0,0,5,0,0,0,21,0,0,0,0,0,18,3,4,0,14,3,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,7,3,20,5,7,13,0,0,56
LGA50350,0,0,0,0,0,5,3,3,3,14,0,0,0,10,6,4,4,3,0,27,0,0,0,9,0,4,13,4,0,25,0,0,0,15,3,0,0,0,0,16,0,0,0,3,0,9,3,6,3,25,0,3,6,86,34,52,19,6,0,205,0,0,0,0,0,3,4,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,10,12,55,17,10,9,0,0,119,0,0,0,3,3,4,11,3,11,31,0,0,0,0,0,0,0,0,0,0,0,0,7,10,8,14,16,10,0,69,0,0,0,11,5,4,0,8,0,33,0,0,7,30,4,14,9,7,0,64,0,0,0,8,4,0,5,0,0,15,0,0,0,6,3,0,0,0,0,13,0,4,6,22,7,7,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,3,0,6,0,31
LGA50420,0,0,0,0,3,0,10,7,0,22,0,0,18,57,17,25,20,21,3,158,0,0,11,28,35,56,65,18,17,233,0,7,27,107,0,0,0,0,0,150,0,0,0,22,3,10,22,19,19,104,5,21,46,274,113,122,88,26,6,700,0,0,0,15,10,13,13,16,7,80,0,7,3,45,4,9,5,0,0,67,0,0,0,5,11,0,7,0,0,23,0,36,63,216,89,71,48,12,4,530,0,4,0,52,17,42,51,22,18,208,0,0,0,0,0,0,0,0,0,5,0,0,7,72,38,35,52,30,23,258,0,10,11,77,40,48,51,26,7,255,0,3,33,154,73,53,52,24,0,398,4,10,16,73,13,15,23,23,5,185,0,11,5,86,13,4,0,0,0,120,4,10,17,103,47,32,14,8,0,235,0,4,0,18,5,4,0,0,3,32,4,4,12,59,21,8,6,5,3,122
LGA50490,0,0,0,0,0,0,5,3,0,4,0,4,9,48,4,8,11,3,0,91,0,0,4,38,16,34,26,14,15,143,0,0,16,92,7,0,0,0,0,127,0,0,0,4,4,3,7,7,5,38,4,35,69,233,110,122,53,13,6,647,0,0,0,3,0,0,3,0,0,7,3,46,7,115,11,3,7,0,0,203,0,3,0,15,4,4,0,0,0,25,5,64,114,297,109,62,27,17,5,693,0,0,0,15,7,9,14,12,16,80,0,0,3,0,4,3,0,0,0,11,0,0,4,29,21,31,24,19,9,140,0,3,9,90,27,37,38,14,5,219,0,4,27,66,30,35,17,3,0,179,0,0,12,88,7,14,16,0,0,148,0,3,0,111,9,5,0,0,0,129,0,11,14,93,43,19,12,0,0,193,0,0,0,12,4,9,0,0,0,31,0,9,6,28,6,6,0,4,0,65
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,17,3,8,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
