LGA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA50080,..,35,546,923,1159,1338,1330,828,251,6404,..,183,435,319,293,253,171,35,4,1698,..,4,19,81,117,70,27,16,10,349,3233,..,..,..,..,..,..,..,..,3233,..,657,..,..,..,..,..,..,..,657,..,701,295,107,76,38,3,0,0,1226,..,102,61,24,18,39,47,14,11,322,..,54,62,25,26,19,7,0,0,197,..,90,98,38,49,50,29,17,0,370,..,88,183,152,246,401,372,221,121,1783,65,67,59,47,66,68,71,27,9,484,3298,1973,1763,1724,2052,2267,2068,1166,409,16708,..,65,712,1107,1325,1395,1284,624,119,6643,..,254,476,346,310,275,89,38,4,1793,..,33,189,348,351,151,66,56,40,1232,3083,..,..,..,..,..,..,..,..,3083,..,677,..,..,..,..,..,..,..,677,..,401,148,39,37,32,8,0,0,668,..,79,25,6,33,55,62,50,19,333,..,64,40,10,14,16,4,0,0,152
LGA50210,..,74,2065,4651,3006,2599,2119,1029,201,15750,..,378,1439,796,594,371,148,38,14,3784,..,10,80,201,239,160,67,35,18,813,10707,..,..,..,..,..,..,..,..,10707,..,1994,..,..,..,..,..,..,..,1994,..,1736,983,333,199,76,7,0,0,3337,..,304,320,124,86,121,94,52,25,1129,..,162,207,116,63,34,22,11,0,608,..,143,329,159,148,159,90,28,6,1055,..,127,573,563,629,596,517,275,92,3372,145,124,135,103,78,40,38,22,9,687,10854,5056,6135,7053,5036,4163,3106,1483,356,43240,..,155,3221,4911,2984,2495,1929,703,87,16493,..,606,1552,856,577,340,129,22,0,4082,..,130,715,964,787,469,243,128,70,3503,10186,..,..,..,..,..,..,..,..,10186,..,2151,..,..,..,..,..,..,..,2151,..,1237,555,127,91,68,15,0,0,2091,..,250,172,73,103,205,275,119,51,1251,..,131,109,47,20,23,11,8,0,344
LGA50250,..,3,118,235,148,113,26,8,0,654,..,29,116,98,40,38,7,0,0,320,..,0,3,13,13,6,3,0,0,36,614,..,..,..,..,..,..,..,..,614,..,49,..,..,..,..,..,..,..,49,..,51,9,0,4,0,0,0,0,65,..,14,3,0,3,3,0,0,0,29,..,3,6,0,0,0,0,0,0,10,..,10,4,10,10,8,3,0,0,45,..,19,45,61,55,48,26,12,0,262,26,9,28,34,27,12,0,0,0,128,636,181,329,450,291,227,66,24,3,2220,..,7,176,240,143,85,22,9,0,680,..,46,131,82,38,32,12,0,0,338,..,0,20,23,16,5,8,5,0,75,580,..,..,..,..,..,..,..,..,580,..,43,..,..,..,..,..,..,..,43,..,34,5,6,4,0,0,0,0,43,..,13,4,6,5,9,3,0,0,43,..,9,0,3,4,5,0,0,0,18
LGA50280,..,3,158,513,552,502,499,230,46,2507,..,23,207,231,181,138,60,10,0,857,..,0,3,32,57,17,3,9,6,134,1559,..,..,..,..,..,..,..,..,1559,..,240,..,..,..,..,..,..,..,240,..,212,59,26,18,7,5,0,0,324,..,26,13,12,10,8,11,3,0,84,..,22,36,17,6,3,8,0,0,95,..,45,135,37,37,39,16,6,0,308,..,24,58,89,126,162,145,54,37,694,33,28,24,43,40,33,23,12,0,223,1593,626,690,999,1022,912,776,328,90,7022,..,8,239,709,571,530,464,160,24,2696,..,44,264,269,191,127,37,8,0,936,..,0,30,163,157,66,28,10,14,460,1461,..,..,..,..,..,..,..,..,1461,..,243,..,..,..,..,..,..,..,243,..,110,38,28,8,10,4,0,0,197,..,13,6,5,3,18,22,19,11,93,..,26,44,20,13,8,4,0,0,103
LGA50350,..,5,229,562,516,474,409,211,56,2458,..,50,303,179,137,95,43,12,0,821,..,0,12,23,41,29,13,12,5,129,1386,..,..,..,..,..,..,..,..,1386,..,311,..,..,..,..,..,..,..,311,..,266,170,63,43,21,3,0,0,563,..,58,33,14,12,17,15,12,8,168,..,20,29,16,12,7,0,0,0,84,..,50,92,38,35,27,27,8,0,283,..,21,93,125,146,183,153,70,32,814,15,16,17,10,17,12,13,6,0,99,1397,793,977,1027,963,862,674,321,104,7118,..,12,337,644,500,502,360,162,24,2546,..,79,338,208,134,79,44,12,0,889,..,9,75,147,179,80,50,28,21,589,1240,..,..,..,..,..,..,..,..,1240,..,311,..,..,..,..,..,..,..,311,..,175,95,31,25,3,3,0,0,339,..,40,26,15,22,28,45,21,25,203,..,19,18,4,0,6,3,0,0,53
LGA50420,..,27,1346,2656,2197,2036,1829,1100,271,11454,..,203,1361,831,477,309,163,47,7,3403,..,10,13,104,189,112,68,29,31,555,5465,..,..,..,..,..,..,..,..,5465,..,1469,..,..,..,..,..,..,..,1469,..,966,708,239,191,102,16,0,0,2232,..,200,221,78,64,72,43,44,17,733,..,113,205,68,38,35,16,5,0,477,..,375,673,238,183,150,90,39,9,1753,..,135,636,694,602,702,639,362,125,3902,69,80,116,79,68,48,39,13,0,507,5535,3575,5281,4987,4011,3567,2893,1637,456,31948,..,74,1935,2844,2241,1983,1748,780,124,11733,..,346,1511,743,465,271,117,37,4,3495,..,38,228,522,670,372,185,127,110,2260,5053,..,..,..,..,..,..,..,..,5053,..,1447,..,..,..,..,..,..,..,1447,..,665,461,150,74,71,23,0,0,1452,..,196,137,57,49,144,152,108,80,933,..,97,131,31,19,11,9,6,0,303
LGA50490,..,27,932,1579,1182,973,766,444,133,6027,..,203,834,409,265,200,90,26,5,2034,..,8,28,68,104,81,39,13,20,368,3182,..,..,..,..,..,..,..,..,3182,..,725,..,..,..,..,..,..,..,725,..,538,400,127,111,74,14,0,0,1253,..,194,194,61,54,57,47,18,9,632,..,105,193,62,36,21,10,4,0,432,..,335,669,229,132,128,49,19,0,1557,..,150,586,456,398,510,381,191,85,2751,45,39,71,53,30,35,25,8,6,309,3225,2322,3896,3044,2303,2075,1414,733,253,19264,..,65,1371,1666,1130,899,712,308,59,6211,..,337,931,372,241,170,58,13,6,2126,..,32,178,323,359,203,107,81,68,1348,3084,..,..,..,..,..,..,..,..,3084,..,713,..,..,..,..,..,..,..,713,..,367,210,55,39,50,7,0,0,727,..,164,147,32,41,104,106,47,34,675,..,72,99,24,14,11,0,0,0,223
LGA50560,..,0,14,30,54,67,77,43,13,297,..,0,10,14,11,15,19,5,0,78,..,0,0,5,0,4,6,0,0,11,81,..,..,..,..,..,..,..,..,81,..,10,..,..,..,..,..,..,..,10,..,21,12,3,5,0,0,0,0,50,..,3,6,7,0,8,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,3,0,0,14,..,0,7,4,7,28,34,22,9,116,4,5,0,9,3,3,13,4,0,33,88,43,53,63,87,124,158,80,23,720,..,0,20,44,52,78,82,34,5,319,..,3,21,10,17,21,15,0,0,81,..,0,4,9,5,0,4,0,4,36,98,..,..,..,..,..,..,..,..,98,..,13,..,..,..,..,..,..,..,13,..,12,5,5,5,3,0,0,0,22,..,6,0,0,0,4,0,0,0,10,..,0,0,0,0,0,0,0,0,0
LGA50630,..,0,13,54,63,59,54,29,8,274,..,0,26,14,17,13,5,0,0,80,..,0,4,5,8,9,0,0,0,16,178,..,..,..,..,..,..,..,..,178,..,14,..,..,..,..,..,..,..,14,..,15,13,7,0,3,0,0,0,35,..,5,3,0,0,4,0,3,0,19,..,0,0,0,0,0,0,0,0,3,..,0,0,0,4,0,4,0,0,8,..,3,11,7,18,20,20,5,0,79,4,3,3,4,0,0,7,0,0,25,187,46,68,84,108,105,95,39,9,740,..,0,29,59,51,58,48,26,5,282,..,10,28,15,14,17,5,0,0,89,..,0,14,11,10,4,4,0,0,42,154,..,..,..,..,..,..,..,..,154,..,16,..,..,..,..,..,..,..,16,..,17,8,0,3,0,0,0,0,24,..,0,0,0,3,0,0,0,0,14,..,3,0,0,0,0,0,0,0,4
LGA50770,..,0,15,55,63,78,68,43,12,328,..,11,21,16,11,20,0,7,0,81,..,0,5,3,3,0,0,0,0,14,161,..,..,..,..,..,..,..,..,161,..,13,..,..,..,..,..,..,..,13,..,21,6,0,5,5,0,0,0,38,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,3,0,0,14,..,5,5,12,16,20,27,15,0,103,3,6,3,0,0,0,0,0,3,26,156,56,49,81,108,127,106,71,12,773,..,0,27,64,59,69,71,29,0,333,..,19,15,14,15,10,3,3,0,87,..,0,6,21,8,3,0,5,4,46,159,..,..,..,..,..,..,..,..,159,..,20,..,..,..,..,..,..,..,20,..,12,0,0,0,4,0,0,0,14,..,3,0,0,0,4,3,6,0,10,..,4,0,0,0,0,0,0,0,4
LGA50840,..,0,49,129,161,205,272,124,21,965,..,15,43,42,51,55,29,8,0,241,..,0,0,7,10,9,7,0,0,39,422,..,..,..,..,..,..,..,..,422,..,53,..,..,..,..,..,..,..,53,..,70,26,9,11,4,0,0,0,125,..,6,3,0,4,10,0,4,0,28,..,5,5,0,4,3,0,0,0,12,..,5,9,5,4,10,4,0,0,43,..,5,10,14,32,63,81,36,9,248,3,12,11,6,8,11,12,4,0,72,421,168,162,204,279,372,408,186,34,2242,..,0,78,154,180,233,252,89,10,1000,..,28,47,46,62,52,26,5,0,256,..,0,17,30,26,21,5,10,0,118,377,..,..,..,..,..,..,..,..,377,..,89,..,..,..,..,..,..,..,89,..,51,10,9,4,4,0,0,0,76,..,6,0,0,0,4,9,8,0,36,..,3,0,0,0,0,0,0,0,5
LGA50910,..,0,10,20,31,37,35,24,7,155,..,4,8,8,10,10,3,0,0,41,..,0,0,0,4,0,0,7,0,6,66,..,..,..,..,..,..,..,..,66,..,4,..,..,..,..,..,..,..,4,..,11,0,3,4,4,0,0,0,27,..,0,0,0,0,9,0,0,0,10,..,0,0,0,4,0,0,0,0,7,..,4,0,0,0,0,0,0,0,8,..,0,8,6,9,8,18,3,7,59,4,0,0,0,4,0,7,0,0,15,68,22,23,40,61,67,67,31,11,397,..,0,16,26,36,31,36,12,6,163,..,3,10,14,6,10,0,0,0,41,..,0,0,0,3,0,0,0,0,15,62,..,..,..,..,..,..,..,..,62,..,7,..,..,..,..,..,..,..,7,..,10,0,0,7,0,0,0,0,15,..,3,0,0,0,0,0,0,3,9,..,0,0,0,0,0,0,0,0,0
LGA50980,..,17,188,458,401,294,207,51,10,1619,..,59,355,285,204,134,45,7,0,1094,..,5,5,38,46,27,16,4,0,144,1744,..,..,..,..,..,..,..,..,1744,..,180,..,..,..,..,..,..,..,180,..,274,106,44,14,3,0,0,0,443,..,77,45,25,38,23,9,9,0,231,..,27,47,13,10,8,0,0,0,112,..,28,96,41,29,35,26,0,0,258,..,22,84,93,119,150,102,35,6,618,41,37,28,31,26,22,6,7,3,197,1783,729,957,1020,894,703,418,113,24,6641,..,16,278,532,404,309,123,29,6,1692,..,87,431,311,184,121,21,9,0,1167,..,44,127,209,138,73,37,17,6,649,1638,..,..,..,..,..,..,..,..,1638,..,217,..,..,..,..,..,..,..,217,..,173,39,18,19,6,0,0,0,254,..,83,38,20,17,25,25,10,6,225,..,38,60,15,17,9,3,0,0,141
LGA51080,..,0,13,29,32,47,26,13,5,171,..,3,17,6,5,8,3,0,0,58,..,0,0,5,5,5,0,0,0,11,93,..,..,..,..,..,..,..,..,93,..,4,..,..,..,..,..,..,..,4,..,11,8,4,5,3,0,0,0,29,..,3,0,0,0,5,0,0,0,13,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,3,5,3,8,18,13,6,0,65,0,4,3,0,0,0,0,0,0,9,93,46,50,54,58,88,54,25,6,468,..,3,17,41,35,48,21,14,4,176,..,7,20,10,5,9,6,0,0,55,..,0,6,8,0,6,0,6,0,30,97,..,..,..,..,..,..,..,..,97,..,11,..,..,..,..,..,..,..,11,..,5,5,0,0,0,0,0,0,13,..,0,0,0,0,3,6,0,0,10,..,0,0,0,0,0,0,0,0,0
LGA51120,..,0,20,32,30,35,44,14,5,168,..,0,5,4,5,0,0,0,0,23,..,0,0,0,5,0,0,0,0,4,81,..,..,..,..,..,..,..,..,81,..,5,..,..,..,..,..,..,..,5,..,17,6,0,0,0,0,0,0,23,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,..,0,0,4,0,4,0,0,0,15,..,4,6,5,13,8,18,4,0,52,0,6,4,0,0,3,3,0,0,11,81,43,39,45,47,48,60,21,11,401,..,0,22,38,31,31,32,15,0,173,..,3,8,5,4,5,6,0,0,29,..,0,0,0,7,3,0,0,0,19,82,..,..,..,..,..,..,..,..,82,..,7,..,..,..,..,..,..,..,7,..,8,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
LGA51190,..,23,363,777,866,991,990,604,151,4767,..,191,466,236,209,180,107,25,3,1415,..,5,24,98,105,61,31,19,17,353,2602,..,..,..,..,..,..,..,..,2602,..,464,..,..,..,..,..,..,..,464,..,518,223,96,74,47,7,0,0,967,..,87,64,38,27,27,17,7,10,277,..,48,62,40,24,14,9,0,0,196,..,116,178,76,71,70,51,17,5,580,..,88,276,268,329,424,346,191,86,2007,58,46,65,54,36,35,31,11,5,343,2662,1588,1728,1678,1736,1841,1582,877,279,13971,..,35,553,907,985,1057,939,420,83,4984,..,278,506,257,228,166,69,23,0,1523,..,64,256,386,381,138,71,70,43,1406,2433,..,..,..,..,..,..,..,..,2433,..,534,..,..,..,..,..,..,..,534,..,363,112,43,33,36,13,0,0,598,..,62,41,18,24,51,59,31,15,310,..,46,45,17,13,5,6,0,0,131
LGA51260,..,6,438,1172,1379,1383,1578,884,194,7041,..,111,438,385,302,228,165,52,9,1675,..,0,14,63,122,54,21,13,10,296,3641,..,..,..,..,..,..,..,..,3641,..,708,..,..,..,..,..,..,..,708,..,656,254,79,58,21,0,0,0,1077,..,71,37,14,16,26,28,12,5,215,..,52,67,27,20,14,5,3,0,191,..,84,120,53,62,72,33,23,3,446,..,48,128,186,241,277,358,193,86,1505,46,59,64,57,55,65,67,23,6,441,3684,1795,1561,2031,2259,2134,2253,1198,309,17225,..,21,640,1547,1532,1503,1496,666,106,7505,..,170,545,405,349,229,126,32,0,1866,..,25,143,357,403,147,57,47,24,1199,3483,..,..,..,..,..,..,..,..,3483,..,694,..,..,..,..,..,..,..,694,..,399,99,31,32,25,8,0,0,598,..,50,28,11,19,47,67,37,30,289,..,66,46,11,14,7,3,0,0,155
LGA51310,..,13,267,1142,1567,1221,860,494,174,5729,..,35,290,221,174,172,47,21,6,980,..,0,4,32,50,41,20,3,11,161,2836,..,..,..,..,..,..,..,..,2836,..,1159,..,..,..,..,..,..,..,1159,..,350,244,44,34,17,4,0,0,690,..,41,32,10,7,11,16,3,4,130,..,12,29,10,7,3,0,0,0,59,..,58,210,28,18,17,18,6,4,360,..,40,163,141,117,149,153,106,78,947,21,21,27,22,20,4,16,14,3,149,2858,1733,1256,1647,1997,1637,1139,651,286,13199,..,16,421,1413,1602,1155,768,387,101,5865,..,63,328,210,178,130,44,9,3,974,..,0,24,104,217,124,41,27,41,577,2649,..,..,..,..,..,..,..,..,2649,..,1016,..,..,..,..,..,..,..,1016,..,251,156,24,26,40,0,0,0,502,..,60,32,10,12,25,42,33,28,236,..,14,36,3,5,6,0,0,0,62
