LGA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
LGA50080,355,1824,1606,11454,172,15410,4,66,34,1133,24,1258,221,5,33,45,0,300,35,14,14,68,0,135,636,193,108,482,9,1428,4617,1863,1537,10034,197,18256,655,8,49,16,3,730,106,24,16,48,0,193,434,121,127,771,13,1459,25,12,3,42,0,91,43,7,8,11,0,71,159,6,8,27,4,207,715,262,215,2127,27,3349,382,157,69,741,9,1358,16,0,8,4,0,19,5,0,0,3,0,6,6,8,0,10,0,25,22,5,4,11,0,37,123,22,28,11,0,187,150,95,47,46,0,335,211,52,28,143,3,434,33,0,3,12,0,49,3,0,0,0,0,3,1037,353,313,2189,19,3913,25,4,0,16,0,45,264,34,21,15,0,328,59,3,5,21,0,92,24,6,4,0,0,32,36,0,0,3,0,43,204,37,51,116,0,408,1343,233,229,379,18,2202,88,26,18,194,2129,2452,9510,3186,2609,20911,2537,38763
LGA50210,1668,4521,3473,16886,249,26795,32,168,146,2344,82,2769,3405,77,161,87,8,3749,150,52,32,159,7,395,1461,450,267,823,17,3019,13240,4028,3241,13527,339,34367,2399,26,129,39,12,2604,285,35,29,95,4,445,892,223,170,1063,17,2362,61,37,27,89,0,212,142,13,11,32,0,196,6105,116,56,69,9,6354,2236,562,415,2905,33,6148,923,448,247,1460,12,3095,350,3,10,0,0,367,98,28,12,25,0,161,24,10,3,24,0,64,65,27,15,54,5,161,1073,120,104,51,27,1372,620,269,136,75,18,1116,334,55,38,132,0,562,122,19,14,52,0,213,175,11,3,10,0,197,2687,783,566,3042,52,7125,77,13,6,24,0,120,1044,142,60,37,0,1289,297,23,21,80,4,426,443,11,6,16,0,472,195,9,10,5,0,225,430,91,63,159,3,750,13527,877,733,906,73,16117,581,62,39,280,4402,5369,45422,7614,5784,30213,5152,94184
LGA50250,51,199,317,1833,17,2413,3,26,22,650,17,715,53,3,4,9,0,68,21,7,9,9,0,41,51,20,8,32,0,114,602,186,226,1229,35,2268,112,0,16,4,0,136,21,0,3,10,0,33,55,16,16,137,6,226,6,0,0,8,0,15,7,0,0,0,0,9,46,0,4,6,0,57,201,29,40,346,14,625,47,10,6,98,3,169,4,0,0,0,0,0,9,0,0,7,0,16,5,0,0,3,0,16,4,8,0,0,0,14,182,11,16,20,0,239,63,15,27,7,0,110,9,3,7,16,0,39,11,9,4,3,0,21,19,4,0,0,0,24,179,40,58,256,6,530,11,0,0,0,0,18,28,5,3,0,0,44,16,0,0,4,0,19,7,0,0,0,0,9,3,0,0,0,0,3,12,5,3,21,0,43,395,41,53,106,7,607,25,5,0,24,1347,1401,1731,374,480,3386,1421,7391
LGA50280,144,861,804,4188,49,6043,5,7,8,189,0,209,98,13,3,18,3,135,25,18,14,58,0,116,195,58,28,127,3,409,2388,814,781,3715,86,7785,114,0,20,9,0,144,153,6,29,30,0,215,303,48,63,299,0,718,24,12,7,27,5,71,13,6,6,7,0,31,48,8,4,10,0,75,465,167,129,1058,14,1827,287,72,34,256,5,650,32,0,0,0,0,39,4,0,0,0,0,4,7,3,5,10,0,22,13,3,5,8,0,32,64,32,13,0,0,112,136,60,34,19,0,249,56,24,10,40,0,127,27,0,0,16,0,42,3,0,0,0,0,3,526,171,131,985,18,1825,10,0,7,4,0,17,80,25,14,3,0,122,79,3,8,19,0,112,11,4,3,5,0,17,23,0,0,0,3,26,99,17,12,51,0,181,749,151,160,176,6,1242,29,12,17,81,1309,1447,4679,1481,1339,7823,1462,16791
LGA50350,181,874,687,3329,42,5114,0,26,10,337,13,395,402,26,28,13,0,471,111,45,12,92,0,257,167,57,22,106,0,351,2027,846,607,2792,34,6309,210,5,26,8,0,252,95,17,7,28,0,148,181,46,47,247,5,530,29,11,4,36,0,78,21,10,5,11,0,49,296,34,10,14,0,354,596,196,119,914,17,1835,403,138,64,412,6,1023,35,0,12,3,0,50,7,3,0,8,0,23,30,10,3,13,0,56,60,11,10,26,0,98,105,13,16,3,0,137,110,53,15,12,0,186,115,13,17,50,4,199,25,4,0,6,0,40,12,5,0,0,0,11,526,198,115,740,17,1590,74,8,10,12,0,108,56,19,16,7,0,93,36,5,4,20,0,58,25,0,5,3,0,41,145,0,5,6,0,159,70,12,11,34,0,132,1256,169,156,197,10,1791,65,10,4,33,771,889,5907,1609,1162,6372,883,15932
LGA50420,1074,2895,2326,10403,131,16826,24,90,41,866,25,1049,4579,129,210,118,21,5057,356,88,74,263,7,785,609,165,131,285,7,1200,7403,2527,1899,9087,160,21072,1052,17,90,21,6,1184,413,34,27,92,0,570,764,169,137,695,13,1772,419,122,48,272,8,869,101,27,15,30,6,173,2460,119,100,85,10,2764,2266,587,386,2924,31,6188,3034,858,399,2139,37,6462,287,0,23,7,0,320,92,16,8,14,0,123,268,42,28,99,3,442,101,18,18,53,0,187,396,74,39,17,8,538,349,140,76,30,6,603,713,69,87,212,9,1088,225,19,20,31,0,293,42,3,4,0,0,52,1868,550,457,2356,28,5261,547,44,31,37,0,657,478,62,59,19,5,617,271,26,11,51,0,360,255,29,30,23,0,334,2353,48,74,44,9,2529,312,59,42,147,0,554,9198,765,771,787,90,11607,498,30,23,125,2756,3435,35175,5633,4331,20888,3253,69283
LGA50490,701,1539,1157,6320,129,9847,14,70,40,899,27,1043,3215,40,99,64,14,3428,153,30,22,71,0,279,293,77,53,189,3,616,4109,1367,1059,5397,118,12060,1266,24,76,13,4,1385,201,26,8,31,0,267,395,84,69,496,3,1046,86,24,19,72,0,200,74,13,6,16,0,106,1611,38,28,32,0,1715,1135,306,204,1585,29,3259,816,221,97,722,11,1871,330,0,8,4,0,341,100,24,16,19,0,158,50,7,4,34,0,96,28,16,9,28,0,83,499,39,30,25,9,601,258,86,55,16,3,425,273,47,42,104,5,458,95,0,3,20,0,119,89,6,9,9,0,113,1053,257,232,1304,14,2860,65,6,4,11,0,79,228,26,16,10,0,279,183,6,12,14,0,220,196,22,7,7,0,225,466,5,25,13,0,509,129,24,20,73,0,249,7917,359,361,397,59,9097,369,10,19,93,2707,3193,22050,2758,2154,12237,3059,42257
LGA50560,12,55,62,529,18,665,0,0,0,42,4,47,0,0,0,4,0,3,0,0,0,0,0,0,16,0,0,13,0,34,220,52,48,434,13,769,20,0,3,0,0,19,0,0,5,3,0,11,18,0,5,35,0,54,4,0,0,0,0,3,4,0,0,0,0,3,10,0,0,0,0,10,31,10,6,91,4,140,11,3,0,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,7,20,3,0,0,0,20,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,15,12,109,0,173,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,3,0,5,0,0,0,0,0,0,4,0,0,0,4,7,7,0,0,8,0,14,43,6,8,13,0,70,4,0,0,6,184,189,378,93,85,919,220,1694
LGA50630,7,64,67,516,8,670,0,0,0,50,0,55,6,0,0,0,0,6,0,0,0,4,0,6,10,5,7,4,0,25,187,60,68,486,10,813,10,0,3,0,0,14,8,0,0,5,0,14,17,9,10,35,0,69,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,36,10,3,97,4,146,5,3,0,30,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,3,6,0,0,25,12,3,0,0,0,20,4,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,44,13,15,102,3,187,0,0,0,0,0,0,6,0,0,0,0,13,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,63,11,13,22,0,112,7,0,5,10,138,157,347,121,117,964,161,1705
LGA50770,13,61,57,618,7,758,0,0,0,24,0,27,0,0,0,0,0,0,0,0,4,5,0,7,13,7,4,4,0,30,196,66,71,536,18,881,3,0,0,0,0,3,0,0,0,0,0,4,24,5,3,43,4,77,0,0,0,0,0,3,4,0,0,0,0,6,3,0,0,0,0,9,26,6,3,88,4,123,3,9,8,36,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,5,0,3,16,15,9,0,0,0,27,3,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,35,8,17,104,0,161,0,0,0,0,0,0,3,0,0,0,0,5,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,15,25,10,5,20,0,54,4,3,0,17,187,205,318,118,101,1079,211,1834
