LGA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA50080,..,4318,4318,5217,281,5502,1880,57,1936,1774,13,1779,783,4,791,402,0,402,10060,4673,14733
LGA50210,..,6955,6955,9238,715,9950,5604,101,5710,6002,24,6029,2489,6,2496,1409,10,1417,24740,7810,32549
LGA50250,..,382,382,452,19,476,222,4,229,294,0,294,145,3,146,48,0,54,1166,416,1581
LGA50280,..,1422,1422,1986,140,2130,873,51,924,927,26,959,346,4,356,99,4,99,4234,1654,5885
LGA50350,..,1903,1903,1936,162,2098,1005,42,1054,882,15,892,278,8,284,112,3,113,4214,2135,6350
LGA50420,..,8394,8394,8697,951,9647,4242,247,4498,3739,71,3814,1147,31,1178,516,15,528,18345,9713,28055
LGA50490,..,5598,5598,5017,705,5725,2336,234,2571,1888,82,1969,715,33,746,398,8,404,10358,6662,17018
LGA50560,..,213,213,280,9,286,82,0,82,56,0,57,28,0,28,12,0,12,456,224,676
LGA50630,..,151,151,222,6,227,82,0,82,80,0,83,39,0,39,17,0,17,441,157,599
LGA50770,..,188,188,279,12,285,72,0,69,73,0,73,44,0,44,18,0,18,481,193,677
LGA50840,..,571,571,854,35,886,211,4,212,216,0,215,106,0,106,43,0,43,1430,613,2039
LGA50910,..,98,98,122,5,122,40,0,40,43,0,43,12,0,12,13,0,13,229,103,332
LGA50980,..,1259,1259,1417,166,1579,743,58,802,856,17,870,400,3,406,243,6,249,3659,1510,5172
LGA51080,..,97,97,145,6,146,42,0,42,39,0,39,32,0,32,17,0,17,271,104,377
LGA51120,..,98,98,117,10,122,27,0,29,43,0,44,27,0,27,7,0,7,229,107,332
LGA51190,..,4538,4538,4442,396,4835,1641,68,1707,1470,16,1488,536,4,538,248,9,253,8327,5034,13356
LGA51260,..,3737,3737,5491,308,5798,2014,65,2073,2149,20,2167,880,4,882,328,3,331,10859,4128,14988
LGA51310,..,2416,2416,3146,164,3305,1392,71,1462,2097,41,2135,865,7,871,193,0,195,7691,2688,10378
