LGA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
LGA50080,0,0,0,0,1263,1260,46,0,0,0,862,913,675,36,31,0,1421,2155,1102,100,93,8,746,2048,1337,124,285,13,579,2342,1576,121,422,54,395,2574,1676,94,396,100,173,2429,978,39,133,145,47,1340,308,3,29,141,11,498,7711,510,1386,456,5497,15562,0,0,0,0,1142,1144,73,6,0,3,730,810,771,50,47,0,1117,1990,1196,139,183,23,636,2179,1476,164,405,50,535,2635,1658,128,598,138,352,2872,1573,90,436,336,132,2565,738,24,200,554,28,1551,156,11,47,442,8,661,7641,606,1916,1551,4687,16411,6,0,0,0,2406,2404,121,3,0,0,1594,1726,1449,77,73,3,2534,4150,2297,239,278,28,1386,4231,2817,286,688,68,1114,4976,3235,247,1018,188,747,5440,3245,182,832,434,296,4990,1719,57,330,697,82,2890,468,16,84,584,20,1164,15353,1121,3303,2003,10186,31970
LGA50210,0,0,0,0,2713,2721,79,3,0,5,2576,2667,2318,114,92,4,4180,6711,5143,283,370,12,1899,7707,3367,299,607,38,1261,5572,2894,230,724,102,630,4577,2278,140,529,144,216,3306,1107,50,181,181,71,1589,243,3,37,126,12,426,17443,1132,2538,611,13562,35273,3,0,0,0,2682,2684,190,16,0,4,2464,2680,3437,222,156,13,3597,7429,5157,377,553,47,1689,7815,3178,367,833,118,970,5471,2707,267,1066,306,412,4755,2090,134,723,624,135,3710,779,48,236,605,33,1703,114,9,39,410,11,581,17652,1436,3620,2131,11983,36821,7,0,0,0,5395,5404,270,24,3,5,5035,5350,5755,341,243,22,7783,14140,10297,658,920,58,3584,15526,6549,668,1441,156,2229,11039,5600,498,1790,412,1042,9336,4367,274,1251,768,353,7019,1886,98,420,783,103,3289,358,8,76,532,20,1006,35088,2571,6151,2740,25544,72096
LGA50250,0,0,0,0,138,138,8,0,0,0,205,216,258,17,7,3,562,848,504,51,45,0,309,904,352,49,98,5,157,661,254,31,110,8,81,482,52,3,26,8,15,106,21,0,5,3,4,30,0,0,0,0,0,3,1455,155,288,27,1471,3400,0,0,0,0,115,115,10,0,0,0,148,164,287,12,12,0,358,666,370,22,21,0,174,589,204,22,42,0,92,359,148,17,59,8,34,268,39,10,21,14,7,90,5,0,3,7,0,20,0,0,0,0,0,4,1073,75,167,36,926,2270,0,0,0,0,258,258,19,0,0,0,352,381,543,30,24,3,913,1511,869,72,68,0,481,1494,559,68,143,8,247,1021,408,44,165,17,116,744,98,15,45,20,25,200,27,0,6,7,3,54,0,0,0,3,0,10,2526,229,456,62,2397,5670
LGA50280,0,0,0,0,434,434,8,0,0,0,249,260,196,14,9,0,640,854,641,45,54,6,481,1224,742,60,122,0,375,1301,627,60,185,15,185,1068,692,26,136,36,82,975,283,9,41,35,10,379,69,0,6,35,4,120,3244,215,555,137,2470,6621,0,0,0,0,372,371,8,0,0,0,193,205,276,18,20,3,565,879,791,68,92,15,483,1446,677,65,173,9,293,1219,662,56,221,55,158,1150,608,27,180,88,43,946,198,0,52,102,11,366,36,0,10,118,4,163,3250,239,753,391,2120,6747,0,0,0,0,811,806,16,0,0,0,447,467,474,28,31,3,1199,1734,1429,113,150,17,970,2673,1417,121,302,13,663,2511,1281,118,409,72,340,2214,1297,50,315,130,128,1925,478,13,89,137,26,746,105,3,15,153,11,286,6498,453,1303,522,4589,13368
LGA50350,0,0,0,0,386,386,8,0,0,0,450,459,272,12,17,0,816,1115,639,47,51,3,413,1145,575,57,136,3,302,1067,515,38,158,17,201,933,439,40,141,28,86,736,233,13,50,40,18,364,55,0,8,38,10,120,2738,202,563,142,2674,6322,0,0,0,0,350,346,10,0,0,0,393,405,381,28,20,3,693,1122,676,81,80,4,403,1249,534,80,202,20,261,1096,537,60,209,52,180,1035,401,36,205,125,75,834,180,9,96,171,21,482,28,0,23,187,7,241,2750,289,835,558,2382,6810,0,0,0,0,729,736,18,0,0,0,842,867,649,42,40,3,1507,2231,1311,124,131,9,815,2389,1105,134,338,25,565,2165,1057,97,369,74,384,1971,839,73,343,154,157,1574,421,27,149,208,39,839,86,0,29,230,16,360,5486,494,1399,697,5055,13129
LGA50420,0,0,0,0,1630,1633,35,0,0,5,2081,2124,1539,61,105,7,4037,5754,2925,194,320,10,1959,5404,2424,220,514,20,1161,4345,2256,165,622,64,765,3875,2007,137,487,117,367,3113,1194,49,241,196,133,1813,344,9,37,176,30,594,12724,839,2333,599,12164,28653,0,0,0,0,1527,1526,97,10,9,0,1936,2052,2107,125,136,14,3510,5889,3014,243,457,25,1540,5278,2373,279,718,74,951,4396,2148,216,816,193,545,3925,1908,116,717,505,251,3490,863,41,313,724,79,2018,179,5,87,736,29,1032,12694,1026,3250,2259,10374,29606,0,0,0,0,3154,3159,134,11,9,4,4020,4175,3646,184,240,24,7550,11640,5938,434,778,32,3499,10678,4802,499,1234,97,2118,8739,4403,382,1439,256,1314,7799,3914,256,1200,622,621,6607,2059,85,552,917,212,3832,524,11,125,907,59,1634,25419,1866,5581,2857,22539,58257
LGA50490,0,0,0,0,967,962,37,5,0,0,1496,1545,1154,52,77,6,3063,4351,1854,138,218,3,1240,3450,1395,168,344,15,723,2647,1157,137,483,37,512,2329,857,90,336,85,192,1555,499,26,138,103,61,832,163,9,36,102,21,328,7119,628,1641,346,8269,17997,0,0,0,0,866,868,78,4,3,0,1417,1501,1536,80,100,3,2450,4171,1822,152,239,23,919,3162,1251,148,395,58,524,2375,1027,131,560,128,316,2165,794,87,435,285,121,1723,360,24,163,398,50,999,88,6,41,422,20,574,6960,635,1942,1324,6680,17537,0,0,0,0,1824,1827,118,9,6,0,2912,3044,2691,131,177,3,5517,8528,3675,294,456,30,2161,6610,2645,317,742,72,1246,5019,2188,270,1048,162,830,4498,1647,181,775,368,309,3282,862,50,303,506,112,1827,252,16,74,521,43,902,14077,1264,3581,1663,14952,35533
LGA50560,0,0,0,0,39,39,0,0,0,0,22,22,16,0,3,0,46,66,42,3,6,0,27,81,63,0,12,0,33,111,81,6,19,5,26,144,100,4,41,14,23,187,58,7,10,15,3,95,19,0,4,4,0,31,375,28,91,42,225,762,0,0,0,0,34,34,0,0,0,0,23,25,20,0,0,0,35,56,53,5,6,0,19,85,63,5,14,0,29,116,102,8,21,10,22,153,102,7,40,13,0,169,34,0,15,22,3,73,7,0,0,19,0,27,384,31,93,60,158,727,0,0,0,0,75,75,0,0,0,0,46,47,39,0,4,0,75,124,97,13,9,0,47,161,130,8,25,0,62,220,180,20,40,15,48,292,204,15,75,26,27,349,92,6,22,41,9,165,28,0,4,23,0,58,768,59,184,101,380,1491
LGA50630,0,0,0,0,28,28,0,0,0,0,29,30,18,8,0,0,68,91,65,6,6,0,29,102,66,12,23,0,30,130,87,4,19,3,26,136,61,4,24,7,4,109,29,4,5,9,0,43,9,0,0,0,0,11,335,27,81,24,219,677,0,0,0,0,41,41,0,0,0,0,25,26,37,6,5,0,48,97,66,6,7,0,28,108,64,4,18,5,25,111,71,10,25,3,17,129,57,3,17,16,4,93,24,0,4,7,0,38,5,0,0,8,0,7,319,26,70,33,194,652,0,0,0,0,70,70,0,0,0,0,54,54,52,9,8,0,118,183,131,12,11,0,56,208,132,12,42,6,51,242,154,9,42,13,49,266,125,8,37,21,8,197,57,0,12,14,3,86,8,0,0,8,0,20,657,56,149,61,409,1333
LGA50770,0,0,0,0,32,32,0,0,0,0,40,36,19,0,0,0,39,57,64,3,6,0,24,90,75,8,4,0,36,129,104,6,18,0,25,155,86,0,22,6,17,125,52,5,16,3,9,83,11,0,0,6,0,17,407,22,67,21,209,730,0,0,0,0,39,39,0,0,0,0,32,37,34,0,0,0,32,67,82,14,8,0,29,127,77,9,10,0,28,118,87,8,29,3,10,140,80,0,17,18,5,116,37,3,11,24,0,77,3,0,0,13,0,20,397,24,74,57,189,744,0,0,0,0,72,72,3,0,0,0,69,75,49,3,0,0,72,129,140,9,7,0,56,220,154,14,19,0,59,243,199,14,47,5,34,295,164,4,36,15,20,245,82,4,29,32,6,158,10,0,0,21,0,35,801,54,140,77,393,1469
