LGA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
LGA50080,132,193,170,137,279,468,197,611,42,2215,162,379,376,338,593,617,184,360,16,3027,130,195,202,188,571,673,282,456,33,2726,126,538,487,346,370,323,85,154,36,2475,110,335,299,208,456,270,67,79,21,1845,72,493,286,129,282,203,73,76,13,1636,80,107,87,62,114,196,136,396,24,1203,89,676,314,181,289,300,148,183,49,2223,32,27,26,9,39,31,17,18,64,251,934,2942,2246,1597,2984,3081,1178,2336,300,17599
LGA50210,111,193,236,198,887,1208,424,972,29,4253,382,660,742,696,1932,2048,525,861,58,7912,306,484,483,372,1497,1905,715,1576,119,7445,277,1147,1110,755,984,664,193,386,85,5586,224,633,774,505,1665,1232,293,362,51,5741,141,1169,671,295,628,376,106,150,33,3575,247,306,294,222,942,864,434,1205,78,4604,197,1080,655,417,737,673,215,476,77,4526,37,81,51,26,140,121,38,91,213,809,1909,5762,5017,3494,9412,9096,2943,6075,746,44453
LGA50250,7,10,9,9,13,53,30,149,6,288,21,18,28,19,39,88,46,116,4,379,86,39,29,13,35,92,87,565,20,961,33,48,41,24,32,22,16,47,8,269,20,33,32,13,36,70,20,59,4,284,0,30,20,13,17,16,10,11,3,112,130,46,30,11,31,45,45,658,23,1022,20,43,15,21,14,69,15,201,9,415,5,5,0,3,3,8,4,38,29,100,324,276,202,128,216,458,276,1847,101,3828
LGA50280,80,122,111,109,159,279,109,332,20,1310,112,222,200,172,192,274,111,193,9,1489,115,125,137,113,223,316,98,280,28,1431,74,280,220,111,101,87,22,57,12,961,47,163,148,86,113,77,22,33,3,692,32,240,142,72,75,68,18,28,8,689,59,46,35,18,58,55,18,170,14,478,67,280,192,107,164,168,35,95,25,1133,9,14,14,4,3,16,3,23,29,111,597,1496,1200,791,1087,1343,437,1207,148,8297
LGA50350,26,32,64,66,203,251,99,238,3,978,97,194,251,175,415,531,167,271,7,2114,44,99,94,79,210,298,111,241,3,1188,28,218,197,120,138,120,28,56,10,914,43,117,149,85,317,225,66,83,0,1080,17,184,117,51,89,84,27,36,7,613,30,38,21,37,98,93,37,115,9,467,25,194,112,48,85,72,25,59,9,629,14,13,4,0,35,13,5,11,27,115,327,1083,1009,649,1590,1694,563,1112,75,8098
LGA50420,142,189,253,226,879,1179,493,990,33,4391,421,918,919,773,2220,2533,749,1207,62,9796,165,375,402,306,1033,1226,395,944,60,4914,174,1035,882,445,681,493,152,321,69,4261,171,557,668,396,1429,1014,237,308,33,4805,72,886,483,231,447,290,101,131,45,2685,87,199,239,121,424,348,163,513,53,2152,118,822,517,267,438,358,115,298,45,2982,24,46,37,19,112,89,23,56,159,572,1369,5024,4401,2787,7667,7543,2439,4766,556,36553
LGA50490,56,108,115,120,486,626,243,523,21,2302,181,357,378,323,1121,1341,348,596,43,4690,141,238,265,173,700,840,249,755,69,3432,115,551,523,315,433,339,112,192,42,2625,121,251,300,222,827,680,174,227,16,2818,53,503,329,120,262,187,75,100,19,1639,102,160,170,112,345,367,146,551,43,1988,66,510,397,160,297,245,95,254,36,2064,12,36,30,15,63,60,25,48,125,413,847,2715,2502,1552,4541,4684,1452,3248,418,21968
LGA50560,13,17,16,10,14,31,5,63,6,170,10,13,11,6,12,17,6,8,0,74,4,6,8,8,10,17,6,17,8,74,4,10,9,12,5,7,0,11,0,57,3,18,11,5,8,8,0,3,0,60,4,8,3,0,0,3,0,3,0,31,8,8,10,4,0,12,6,22,0,76,7,19,14,8,9,18,7,20,0,92,5,0,0,0,0,0,0,8,5,17,51,95,84,50,63,113,31,143,17,651
LGA50630,3,9,8,7,6,16,5,38,6,97,8,12,10,5,9,23,7,9,0,79,9,11,13,9,11,20,18,57,0,149,9,7,16,6,3,6,0,6,0,55,5,13,12,8,17,12,3,10,0,76,0,6,10,5,0,3,0,4,0,25,32,8,4,0,13,12,13,96,6,190,5,12,14,5,7,8,7,11,0,76,5,3,0,0,0,0,0,0,3,15,66,83,90,32,64,106,62,230,25,759
LGA50770,11,17,20,17,10,48,17,140,7,278,0,15,5,10,6,16,4,19,0,79,7,10,13,0,4,15,11,25,5,89,3,11,10,9,5,13,3,0,0,48,9,20,17,7,9,9,0,7,0,79,0,8,3,4,10,6,0,4,3,43,6,11,10,0,7,23,0,17,0,72,8,18,12,13,5,22,9,21,0,104,5,0,0,0,0,0,0,3,3,13,49,112,83,60,56,148,44,234,25,807
