LGA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
LGA50080,256,450,1201,1234,1454,1188,287,29,3,6093,378,184,259,269,277,442,302,64,11,2192,14,15,69,68,103,132,47,11,4,457,15,23,30,26,39,26,11,8,0,178,665,669,1553,1600,1865,1786,656,114,22,8925,31,33,63,34,41,36,11,0,0,237,56,15,35,10,15,21,23,0,0,176,91,43,87,46,55,58,29,0,0,413,751,712,1642,1641,1922,1843,681,116,22,9335,454,149,360,278,286,573,1604,1134,430,5268,59,49,152,125,139,155,136,93,47,957,1260,913,2155,2048,2342,2574,2429,1340,498,15562,101,305,589,653,1001,692,127,3,0,3483,502,249,642,948,943,943,324,37,5,4592,20,20,122,60,84,126,34,12,0,481,18,12,22,15,24,18,11,3,0,123,637,584,1380,1685,2057,1773,496,61,5,8676,12,23,18,18,19,17,0,0,0,109,59,18,34,21,23,40,4,0,0,192,68,37,48,41,39,54,10,0,0,296
LGA50210,367,1187,4281,5541,3633,2451,445,32,5,17936,694,665,791,720,559,583,334,75,0,4421,41,59,183,187,154,156,37,3,0,817,21,42,144,97,64,42,7,4,0,421,1125,1949,5407,6545,4409,3231,818,109,3,23594,90,139,287,202,175,114,25,0,0,1021,185,76,67,37,36,38,26,0,0,460,271,208,357,236,211,152,44,0,0,1483,1397,2164,5757,6777,4625,3382,860,109,3,25077,1174,356,518,470,576,915,2309,1380,369,8064,154,152,431,456,374,281,132,98,54,2135,2721,2667,6711,7707,5572,4577,3306,1589,426,35273,144,804,2475,2568,2083,1321,185,8,0,9587,983,917,2001,2615,1645,1266,396,25,0,9850,45,68,396,246,157,145,37,3,0,1096,19,50,95,67,54,29,5,4,4,325,1190,1845,4971,5496,3928,2757,627,41,9,20859,67,102,153,136,137,78,10,0,0,677,215,78,185,192,96,73,10,0,0,853,283,182,336,329,232,147,19,0,0,1535
LGA50250,25,108,516,555,389,281,43,6,0,1940,27,18,30,44,30,24,0,0,0,183,3,6,50,59,46,29,5,0,0,201,0,4,17,18,20,5,0,0,0,66,63,135,620,679,483,347,52,6,0,2387,0,9,6,4,7,4,4,0,0,27,0,3,0,0,0,4,0,0,0,10,8,9,6,9,7,8,0,0,0,35,66,148,624,682,486,355,58,6,0,2422,49,11,26,23,25,24,30,17,4,207,30,55,200,200,145,103,22,4,0,764,138,216,848,904,661,482,106,30,3,3400,18,74,238,226,171,114,16,0,0,861,26,22,123,152,45,39,13,4,0,419,8,0,46,28,18,20,0,0,0,124,0,6,5,13,12,0,0,0,0,38,46,101,411,417,250,182,31,3,0,1444,0,0,9,4,4,0,0,0,0,18,6,0,7,8,5,0,0,0,0,24,5,8,10,10,4,0,0,0,0,44
LGA50280,55,116,465,745,722,431,144,21,0,2700,141,69,152,177,197,246,145,24,3,1162,15,14,52,71,65,55,23,3,0,296,11,0,20,12,16,12,6,3,0,82,225,203,690,1007,1004,741,317,54,6,4245,8,6,11,17,15,20,0,0,0,87,13,7,0,3,11,8,5,4,0,47,22,14,16,30,26,22,5,4,0,134,250,217,707,1029,1028,769,320,57,6,4382,151,26,49,69,108,219,589,296,105,1614,34,22,97,127,161,76,73,23,10,619,434,260,854,1224,1301,1068,975,379,120,6621,24,53,261,359,375,245,50,8,0,1372,183,77,323,657,510,411,146,13,0,2316,20,9,56,76,50,71,18,0,0,302,3,0,11,17,15,8,5,5,0,64,228,139,650,1107,947,739,216,28,0,4049,6,3,9,8,8,6,0,0,0,40,7,8,9,15,12,20,6,0,0,70,14,10,21,18,17,23,5,0,0,109
LGA50350,45,172,690,765,718,491,96,3,0,2985,120,147,162,138,120,146,74,17,0,926,6,12,32,25,22,20,8,0,0,127,0,3,10,14,10,3,4,0,0,47,173,331,888,949,877,664,178,24,0,4083,9,18,32,29,25,28,5,0,0,143,20,12,11,6,3,10,9,0,0,69,32,30,49,36,28,35,10,0,0,218,200,361,937,984,907,702,192,24,0,4297,168,65,85,89,107,190,499,306,109,1612,16,39,87,74,60,44,45,31,9,416,386,459,1115,1145,1067,933,736,364,120,6322,15,124,487,442,502,343,52,0,0,1966,158,166,301,472,311,285,94,11,0,1815,9,7,66,51,26,28,11,0,0,201,8,0,13,6,4,0,0,0,0,29,190,302,869,976,845,658,161,14,0,4014,4,13,14,13,19,7,0,0,0,80,20,13,21,22,16,16,4,0,0,116,27,21,36,39,35,25,4,0,0,191
LGA50420,142,745,3665,3773,2869,2037,461,26,0,13714,537,761,927,631,499,558,355,63,5,4334,22,55,102,130,101,108,26,3,0,550,8,34,117,70,38,35,7,5,0,315,709,1596,4812,4605,3498,2735,846,105,7,18919,41,76,145,130,133,130,13,0,0,670,116,62,67,26,29,42,26,0,0,359,155,138,214,151,161,169,41,3,0,1031,865,1732,5032,4756,3661,2904,887,101,7,19952,707,271,387,351,457,766,2112,1594,530,7180,62,112,334,290,226,198,113,118,62,1521,1633,2124,5754,5404,4345,3875,3113,1813,594,28653,51,636,2695,1969,1897,1213,223,10,0,8698,640,903,1592,1799,1370,1115,418,40,0,7877,22,58,289,208,77,118,42,4,0,815,17,40,69,49,38,23,3,3,0,242,725,1635,4646,4025,3389,2471,686,59,0,17633,10,41,105,79,79,63,8,0,0,379,131,63,85,95,99,65,13,0,0,550,144,98,188,177,178,126,23,0,0,930
LGA50490,102,595,2643,2251,1603,1160,227,12,0,8596,272,452,715,372,281,299,188,33,0,2613,15,20,92,89,71,69,24,7,0,383,4,34,101,56,44,23,7,0,3,268,390,1099,3542,2772,2005,1549,441,54,3,11855,21,55,126,99,90,79,8,0,0,477,57,50,46,17,28,22,10,4,0,230,81,100,168,117,115,100,20,4,0,708,470,1202,3707,2885,2122,1650,459,52,3,12561,442,206,311,280,305,522,992,702,273,4032,54,132,337,279,219,161,102,67,53,1412,962,1545,4351,3450,2647,2329,1555,832,328,17997,43,498,1792,1181,1024,664,140,4,0,5327,352,518,1022,920,601,551,176,18,0,4164,13,42,171,102,53,61,21,0,0,465,3,27,59,21,26,11,4,0,0,153,412,1082,3054,2219,1703,1285,334,26,0,10113,20,24,84,53,57,46,0,0,0,281,43,42,81,64,46,24,9,0,0,316,68,72,164,120,103,70,10,0,0,602
LGA50560,13,6,29,44,49,57,24,4,0,234,3,0,4,7,11,26,22,4,0,73,0,6,0,5,3,4,4,0,0,22,0,0,0,0,5,0,3,0,0,12,17,11,40,56,72,84,56,8,0,344,0,4,4,0,0,0,0,0,0,14,0,0,5,4,0,0,3,0,0,6,0,4,5,0,0,3,4,0,0,22,17,15,51,57,76,86,60,8,0,369,19,8,7,8,13,39,105,75,21,286,11,3,11,10,14,14,22,15,9,108,39,22,66,81,111,144,187,95,31,762,5,5,16,21,31,29,10,0,0,117,0,4,16,30,34,38,21,8,0,154,0,0,3,4,7,5,6,3,0,28,0,0,0,0,3,0,0,0,0,4,9,15,39,57,69,75,40,11,0,311,0,0,0,3,4,0,0,0,0,6,5,0,0,5,0,3,0,0,0,14,4,0,0,7,4,3,0,0,0,24
LGA50630,8,19,52,63,84,74,15,4,0,311,4,3,8,12,10,18,9,6,0,70,0,0,3,4,15,12,0,0,0,34,0,0,0,0,0,4,0,0,0,11,9,17,59,83,107,99,32,7,0,428,0,3,5,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,16,9,21,66,82,107,108,32,7,0,440,14,5,11,4,7,16,67,29,9,172,3,0,15,7,14,16,8,7,0,74,28,30,91,102,130,136,109,43,11,677,0,13,24,35,41,35,9,0,0,155,6,8,12,31,25,39,10,0,0,128,3,5,4,4,10,7,4,0,0,29,0,0,0,3,0,0,0,0,0,10,8,20,51,77,75,76,23,3,0,333,0,0,3,5,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,7,0,0,0,16
LGA50770,4,15,38,66,73,73,26,14,0,319,8,4,0,14,5,18,20,7,0,73,0,9,0,0,7,10,0,0,0,33,0,0,0,5,3,0,0,0,0,21,16,31,48,75,94,102,51,31,0,439,0,3,0,0,5,8,0,0,0,10,3,0,0,0,0,0,0,0,0,3,3,3,0,0,5,7,0,0,0,12,19,30,47,75,96,107,51,31,0,455,13,5,7,7,16,28,68,49,16,202,0,5,12,6,13,19,11,7,3,74,32,36,57,90,129,155,125,83,17,730,11,5,12,36,50,31,12,8,0,163,7,14,25,43,28,39,17,3,0,181,0,4,7,0,4,4,0,0,0,21,0,0,0,0,0,0,0,0,0,4,19,23,44,80,85,72,29,11,0,372,0,6,0,4,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,9,0,6,3,6,0,5,0,0,0,17
