LGA_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
LGA50080,327,366,339,212,80,15,1753,121,255,296,331,337,212,67,11,1623,31,56,53,59,44,34,25,7,313,92,152,108,117,80,54,19,11,625,10,4,5,0,0,0,0,0,23,6,11,12,22,23,9,0,3,87,126,132,120,161,173,192,179,140,1220,773,1472,1638,1849,1825,1339,666,270,9830,25,57,96,91,85,63,30,5,454,38,68,60,48,37,17,6,0,270,169,459,380,459,481,403,208,64,2626,88,231,192,177,158,152,82,27,1105,97,128,178,202,208,135,66,17,1029,137,379,385,431,491,350,180,65,2412,63,204,288,378,405,394,160,33,1917,238,334,471,503,485,343,136,33,2542,186,321,377,431,454,331,90,18,2210,57,85,88,93,68,61,32,8,493,116,234,185,203,134,85,43,16,1014,15,9,5,0,0,0,0,0,31,13,24,39,50,41,37,15,5,219,278,345,299,343,379,377,309,211,2544,1519,2882,3049,3406
LGA50210,1517,831,568,272,103,9,4976,325,824,992,671,495,261,65,10,3641,138,228,230,111,52,31,18,5,812,257,478,413,246,127,101,35,0,1661,21,10,6,3,6,3,0,0,45,22,71,98,45,31,15,3,0,281,343,493,459,337,258,252,216,111,2482,2119,5589,6163,3564,2552,1584,661,203,22439,96,299,354,239,156,90,32,5,1268,110,374,642,172,90,35,0,0,1431,469,1723,2269,1488,1204,850,358,72,8433,172,520,423,306,263,224,92,31,2024,73,168,189,120,103,59,24,7,739,320,1179,1271,720,552,369,148,33,4598,195,686,751,581,523,327,123,22,3212,642,1844,2491,1357,882,461,193,20,7878,481,1095,1329,899,669,369,101,19,4955,236,380,333,155,80,77,30,4,1289,346,735,705,386,232,143,55,7,2613,30,17,9,6,5,4,3,0,83,52,147,185,112,77,56,21,4,655,741,1071,1081,806,631,472,374,192,5381,3956,10249,12028,7348
LGA50250,102,37,39,8,0,0,289,17,62,51,21,24,3,0,0,176,0,8,7,3,0,0,0,0,21,11,58,31,17,9,0,0,0,134,0,0,0,0,0,0,0,0,0,0,3,7,10,5,0,0,0,28,60,119,104,80,54,16,0,0,436,150,504,439,232,164,45,5,0,1538,0,18,23,6,5,3,0,0,54,3,7,10,0,0,0,0,0,22,49,303,308,168,102,23,4,0,962,14,71,74,44,16,3,0,0,216,8,22,16,7,9,0,0,0,66,8,64,56,39,21,9,0,0,198,12,72,65,41,31,12,6,0,249,33,109,143,82,55,9,0,0,430,26,79,73,24,31,5,3,0,244,5,15,15,11,0,0,0,0,41,20,65,57,29,13,3,4,0,200,0,0,0,0,0,0,0,0,3,3,17,18,22,14,0,0,0,81,160,332,320,241,165,43,9,0,1266,336,1189,1170,715
LGA50280,183,177,113,74,24,7,725,18,106,154,135,117,71,20,3,639,6,56,73,61,38,36,12,0,280,22,76,87,64,49,25,9,0,329,0,0,0,0,0,0,0,5,3,0,7,26,12,10,10,3,0,72,51,76,139,125,77,75,35,34,620,177,716,1181,935,762,566,199,80,4611,4,48,120,81,50,56,18,4,387,9,17,28,13,12,11,4,0,86,37,164,232,238,216,181,60,17,1139,31,102,160,123,130,78,14,4,640,25,60,136,118,64,43,16,3,469,25,133,197,187,183,142,59,20,945,12,88,219,177,210,168,65,19,967,35,182,251,249,182,146,51,4,1111,31,145,203,171,154,107,37,7,858,18,76,102,81,57,51,13,3,396,38,135,169,131,83,41,12,0,599,3,4,0,0,0,0,0,5,13,9,12,44,30,27,22,6,0,154,125,201,287,304,174,177,74,59,1391,406,1369,2143,1902
LGA50350,222,189,145,76,31,8,890,46,133,170,146,115,80,20,0,713,31,74,78,34,33,12,14,3,282,29,73,62,36,33,17,5,5,265,3,6,0,0,0,0,0,0,3,8,10,16,20,5,6,5,3,67,34,75,64,68,58,55,48,29,431,295,917,1005,790,641,395,181,61,4287,20,73,70,72,35,27,13,0,312,16,36,67,49,21,10,3,0,205,60,278,277,220,221,194,86,25,1360,24,110,104,86,54,45,26,3,454,9,30,50,35,20,12,0,0,168,48,216,178,133,131,82,29,13,827,25,107,147,142,154,93,33,7,705,97,291,357,306,231,118,43,7,1449,80,206,242,204,158,104,28,3,1029,51,139,124,58,48,23,13,5,457,52,98,97,53,56,25,10,5,393,3,6,0,0,0,0,0,0,4,12,26,30,36,15,12,7,7,143,95,177,166,143,130,120,88,39,956,592,1772,1910,1553
LGA50420,1117,803,527,308,128,31,4310,221,756,740,523,411,287,73,19,3026,146,360,290,166,88,55,17,5,1122,142,372,278,192,128,95,32,8,1245,14,6,3,6,6,5,0,0,34,19,64,77,56,35,30,8,0,285,179,347,284,212,183,177,215,164,1758,1448,4936,4370,3109,2294,1643,757,319,18869,126,419,387,269,183,118,49,8,1565,101,328,428,223,108,36,7,0,1232,280,1352,1204,860,834,747,358,96,5723,95,486,409,283,219,172,99,39,1800,29,150,95,77,72,43,13,7,482,263,1100,826,506,464,337,152,46,3700,109,554,536,571,488,396,179,47,2888,498,1817,1962,1366,930,579,243,51,7456,373,1129,1059,787,596,459,124,26,4557,270,637,492,296,167,106,34,12,2011,207,610,466,318,219,155,54,10,2050,22,9,5,3,11,6,6,0,59,42,110,155,110,78,60,27,7,586,393,781,685,524,470,365,393,243,3848,2804,9490,8721,6204
LGA50490,711,418,307,154,59,23,2702,140,479,395,267,193,119,25,3,1625,72,156,95,51,35,15,3,7,427,139,267,160,97,52,50,16,8,787,9,6,3,0,0,0,0,0,23,9,44,25,24,22,10,5,0,137,181,368,260,174,168,134,131,106,1524,1105,3382,2528,1591,1180,745,358,191,11081,74,282,220,132,61,48,18,0,837,70,262,271,116,52,14,3,0,800,235,1087,842,633,516,361,193,55,3924,66,280,185,128,119,66,47,22,906,23,63,74,52,40,27,15,6,302,211,737,434,282,202,150,69,19,2109,60,269,233,221,209,146,60,25,1220,420,1374,1240,708,523,253,93,29,4643,228,685,555,365,295,181,41,10,2359,121,291,151,92,54,29,12,3,770,227,500,337,164,118,83,23,10,1455,17,17,4,0,4,6,0,0,48,25,93,72,51,42,29,10,7,328,410,818,626,460,379,271,224,176,3364,2194,6749,5234,3414
LGA50560,8,17,8,13,0,0,54,4,6,5,6,14,9,0,0,43,0,0,4,0,0,7,0,0,12,0,3,7,7,6,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,13,13,20,9,6,92,27,42,62,72,75,82,24,7,397,0,0,7,6,3,8,0,0,18,0,0,0,0,0,0,0,0,0,0,12,14,20,31,36,9,5,126,0,4,9,0,9,9,3,0,32,4,11,12,20,9,13,3,0,61,5,4,7,9,15,19,5,3,70,0,8,14,14,18,19,3,0,68,8,18,6,17,12,19,4,4,87,3,5,8,7,13,14,4,0,52,0,0,4,0,0,3,0,0,15,0,3,7,13,3,3,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,27,23,25,32,30,48,30,12,226,47,96,111,132
LGA50630,18,9,12,9,3,0,68,0,5,10,5,11,6,0,0,36,4,0,0,0,0,0,0,0,8,6,6,4,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,15,15,8,6,10,4,83,28,67,78,58,62,50,20,5,369,0,0,6,4,0,6,0,0,15,0,5,0,0,0,0,0,0,3,5,43,36,33,39,21,7,0,192,0,0,5,6,5,4,0,0,23,9,7,8,6,5,4,5,0,35,6,12,10,9,13,18,5,0,63,0,10,13,14,13,13,0,0,70,3,19,20,12,19,15,6,0,84,0,10,7,4,11,6,0,0,43,4,0,0,0,0,7,3,0,13,7,9,4,3,6,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,16,24,23,42,35,20,13,3,180,48,137,134,136
LGA50770,10,20,7,5,5,0,66,9,3,16,15,5,3,0,0,53,3,0,3,6,0,0,0,0,19,5,0,8,6,3,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,20,14,13,10,19,5,96,36,58,102,83,74,60,40,5,453,0,0,6,5,0,4,0,0,14,0,0,5,0,0,0,0,0,5,8,14,29,27,30,21,0,0,122,5,4,8,8,8,4,5,0,41,11,22,21,19,21,15,9,0,97,0,5,14,11,14,16,6,0,69,0,11,15,19,15,14,3,0,78,6,21,14,19,16,15,3,0,95,8,3,17,19,6,9,3,0,66,3,7,6,6,0,0,0,0,15,0,0,7,6,5,0,3,0,29,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,9,15,15,28,35,35,28,33,6,190,58,98,161,155
