LGA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA50080,13322,32472,989,1471,103,158,1090,1627,46,71,0,0,0,0,0,0,22,45,67,113,90,131,118,160,6,12,3,6,219,308,34,62,14733,34582,2295,..,17025,34582
LGA50210,29258,82563,2760,5077,49,87,2807,5162,136,201,54,82,0,0,0,0,38,79,219,361,81,104,130,174,0,0,13,38,231,318,31,75,32549,88478,2329,..,34874,88478
LGA50250,1370,3914,78,126,0,3,81,130,26,44,7,3,0,0,0,0,3,6,35,51,57,111,0,12,0,3,0,0,64,119,33,69,1581,4286,824,..,2401,4286
LGA50280,5441,13502,180,282,100,169,278,453,40,66,0,0,0,0,0,0,6,7,41,69,45,65,33,94,10,11,3,7,92,174,34,82,5885,14280,2240,..,8121,14280
LGA50350,4987,12435,906,1605,153,311,1061,1916,191,280,32,48,53,77,0,0,12,14,283,423,0,0,0,0,0,0,5,9,5,9,7,18,6350,14805,545,..,6895,14805
LGA50420,19872,50414,3353,6418,2047,3862,5399,10277,1372,2141,574,886,448,638,336,541,14,26,2750,4231,0,0,0,0,0,0,9,9,9,9,27,52,28055,64982,3075,..,31133,64982
LGA50490,11064,27576,2019,3934,1430,2960,3450,6893,601,984,587,944,473,754,766,1307,18,36,2444,4026,10,13,3,3,0,0,9,6,23,33,30,58,17018,38580,2329,..,19345,38580
LGA50560,647,1364,11,20,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,8,6,6,12,18,4,16,676,1418,208,..,881,1418
LGA50630,577,1411,18,29,0,0,18,29,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,5,8,0,0,599,1445,157,..,757,1445
LGA50770,667,1534,5,8,0,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,0,3,677,1552,159,..,834,1552
