LGA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA50080,9860,10291,20155,1603,1793,3399,81,95,176,58,77,137,80,67,147,28,38,60,4246,4754,8998,13,23,38,33,38,68,11,13,24,0,0,0,4554,5095,9655,363,369,730,133,136,273,6652,7398,14052,1536,1094,2625,18049,18783,36831
LGA50210,23762,24007,47769,1954,2104,4056,232,258,481,206,222,431,209,212,422,116,120,233,11621,12377,24004,37,45,84,92,85,173,20,35,55,0,9,10,12532,13356,25886,1495,1904,3399,367,326,694,16342,17690,34031,2646,2235,4878,42757,43926,86679
LGA50250,1094,683,1773,313,264,576,56,27,85,55,25,78,114,97,207,18,20,36,1258,1022,2282,8,6,9,32,18,46,0,0,0,0,0,0,1534,1215,2751,124,122,249,23,14,36,1987,1619,3605,884,480,1358,3964,2778,6741
LGA50280,3859,3892,7754,1064,1087,2150,75,82,155,58,59,120,39,43,81,24,34,59,1519,1677,3191,12,14,26,21,18,45,7,7,9,0,0,7,1751,1940,3690,359,325,681,48,62,106,3223,3409,6629,782,640,1419,7863,7945,15803
LGA50350,4207,4536,8743,406,450,855,29,28,58,31,34,66,29,37,72,12,11,21,1789,1867,3661,4,5,3,6,9,12,3,0,5,0,0,0,1912,1990,3899,202,268,469,55,44,99,2573,2753,5325,488,372,858,7267,7658,14927
LGA50420,17802,18307,36104,1665,1800,3469,205,243,447,213,211,420,131,166,299,76,64,142,8403,8524,16928,20,24,43,55,51,105,26,15,43,0,0,3,9125,9303,18425,1700,1833,3535,264,225,483,12753,13156,25910,1753,1459,3215,32307,32922,65233
LGA50490,9301,9185,18485,875,910,1784,192,161,352,141,126,265,145,137,284,79,91,166,5833,5628,11454,23,27,47,51,57,110,16,21,44,3,0,0,6488,6250,12737,1627,1696,3320,237,196,430,9222,9055,18274,1643,1371,3012,20162,19610,39769
LGA50560,506,489,995,62,60,121,3,5,7,0,0,0,0,0,6,0,0,0,110,136,248,4,0,3,10,3,5,0,0,0,0,0,0,124,142,267,5,10,17,6,4,7,194,215,416,117,100,216,821,807,1623
LGA50630,420,395,808,76,78,154,8,3,4,3,5,10,3,8,14,0,0,3,194,185,378,5,3,3,0,3,3,0,0,0,0,0,0,215,203,420,10,11,22,11,6,11,308,300,608,91,76,164,815,774,1584
LGA50770,545,507,1055,65,73,136,0,3,3,3,0,4,6,0,4,0,0,0,124,155,277,0,0,0,5,0,3,0,0,0,0,0,0,130,161,296,9,13,22,4,5,8,208,246,454,109,102,212,860,862,1722
LGA50840,1318,1358,2680,278,306,580,15,7,25,16,9,26,10,13,25,4,4,11,546,603,1148,5,5,4,6,3,5,0,0,0,0,0,0,603,638,1238,28,29,59,13,11,22,920,980,1904,231,201,432,2474,2546,5012
LGA50910,272,256,520,37,47,84,0,0,0,0,0,0,0,0,0,6,0,8,67,84,145,0,0,0,0,0,0,0,0,0,0,0,0,75,85,163,3,8,6,0,0,0,121,130,250,52,42,98,438,430,870
LGA50980,3206,3225,6429,1119,1239,2354,108,122,226,133,167,296,120,128,240,40,47,85,1256,1481,2734,13,12,27,63,70,135,4,10,18,5,0,5,1738,2037,3774,240,370,607,74,63,139,3174,3700,6876,1245,1175,2422,7621,8101,15730
LGA51080,320,304,625,45,48,90,0,0,0,0,0,0,5,3,10,0,0,0,62,69,129,0,0,0,0,0,0,0,0,0,0,0,0,70,74,143,0,3,7,5,0,5,122,121,244,52,67,118,492,495,987
LGA51120,285,260,544,35,49,81,3,6,10,0,0,0,8,4,13,4,0,4,60,48,111,0,0,0,0,0,0,0,0,0,0,0,0,77,61,135,3,0,5,4,5,10,112,115,229,78,75,152,480,451,926
LGA51190,7937,8532,16470,960,1031,1990,85,80,172,78,76,150,97,97,190,41,37,76,3806,4333,8138,30,33,57,69,65,136,7,3,7,0,0,0,4216,4716,8932,413,491,901,154,146,297,5734,6390,12122,1662,1039,2700,15333,15954,31289
LGA51260,9827,10277,20099,2318,2481,4796,114,139,251,118,123,242,104,120,221,40,32,71,4287,4792,9072,26,32,57,41,55,96,8,8,11,0,0,0,4737,5298,10030,432,504,933,99,93,188,7573,8379,15950,1341,1216,2556,18741,19865,38602
LGA51310,7664,8055,15726,733,784,1516,142,152,289,142,168,310,65,57,123,21,34,57,3191,3374,6566,10,17,27,23,23,48,13,11,23,0,0,0,3609,3830,7437,830,928,1761,66,52,118,5238,5598,10838,433,483,914,13339,14138,27473
LGA51330,23529,24610,48142,2682,2576,5259,272,247,517,248,238,487,219,237,459,93,119,213,10548,10274,20821,25,29,55,95,72,161,36,33,62,11,17,26,11540,11271,22810,5027,4811,9837,333,286,629,19585,18952,38536,2161,1737,3897,45274,45297,90569
LGA51400,4823,4958,9775,617,662,1279,24,31,52,46,51,98,40,58,96,14,13,32,1975,2223,4197,15,12,25,28,34,68,5,3,5,0,0,0,2145,2423,4570,215,252,464,58,52,109,3026,3389,6419,506,416,921,8356,8757,17117
LGA51470,134,111,249,33,21,59,0,0,0,0,0,0,0,6,8,0,0,0,55,52,108,0,0,0,0,0,0,0,0,0,0,0,0,56,61,121,0,5,3,0,0,0,93,86,181,44,49,94,272,248,523
LGA51540,1199,1072,2272,273,308,585,20,18,39,23,25,41,41,32,77,10,4,14,348,333,684,3,3,10,8,8,14,3,0,0,3,0,4,453,440,893,90,104,196,18,17,37,838,863,1707,504,419,925,2546,2351,4903
LGA51610,425,395,822,51,44,100,8,3,8,0,5,3,8,6,16,3,0,10,133,137,273,0,0,3,3,4,11,0,0,0,0,0,0,162,153,319,5,3,5,9,4,14,223,208,433,121,110,227,770,717,1484
LGA51680,1727,1686,3414,77,101,176,3,4,8,8,8,15,9,16,26,9,12,23,700,699,1399,0,5,3,8,3,16,0,0,0,0,0,0,736,746,1492,33,26,55,7,7,20,856,883,1739,263,209,476,2850,2779,5629
LGA51710,397,350,746,62,54,117,19,8,22,7,5,15,11,5,17,0,3,3,76,79,161,0,5,4,10,0,11,9,3,14,0,0,0,132,115,243,18,14,31,0,0,0,211,189,397,349,103,457,961,641,1606
