LGA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA50080,512,123,1164,6167,9131,4289,3292,6779,2303,31970
LGA50210,478,146,1006,14130,18991,8143,6972,19490,4369,72096
LGA50250,0,0,10,980,1243,523,393,1333,1204,5670
LGA50280,129,34,286,2652,3919,1917,1412,2300,1165,13368
LGA50350,179,35,360,2766,4013,1591,1041,2942,776,13129
LGA50420,813,197,1634,12588,16499,6306,4377,15352,3137,58257
LGA50490,434,144,902,7387,8886,3139,2418,10859,2847,35533
LGA50560,23,13,58,230,372,202,190,297,203,1491
LGA50630,5,3,20,235,359,162,167,278,132,1333
LGA50770,17,8,35,259,369,205,203,268,170,1469
LGA50840,43,10,104,702,1167,688,640,811,360,4367
LGA50910,29,0,41,129,178,97,87,200,72,770
LGA50980,35,17,75,2689,3428,1228,852,2646,2132,12969
LGA51080,7,0,13,170,188,105,102,151,102,816
LGA51120,12,9,26,142,174,92,78,182,138,798
LGA51190,455,156,968,5187,7214,3294,2422,6928,2493,27536
LGA51260,483,107,1045,6577,9461,4659,3426,6656,2239,33019
LGA51310,448,87,969,5838,7318,3270,1997,3927,867,23216
LGA51330,745,155,1591,16477,19864,8545,6638,22925,4012,78459
LGA51400,54,20,136,2885,4097,1843,1555,2951,812,14148
LGA51470,5,0,11,87,122,64,36,81,79,473
LGA51540,31,15,70,695,1068,413,297,1038,762,4280
LGA51610,6,0,9,219,327,161,144,209,160,1226
LGA51680,35,14,77,885,1300,679,583,947,432,4820
LGA51710,0,0,4,198,275,116,79,309,423,1406
LGA51750,218,67,529,2426,2864,1160,733,1813,516,9513
LGA51820,790,329,1811,20769,26814,10521,7994,24012,5017,95118
LGA51860,5,0,11,71,85,22,19,176,89,467
LGA51890,54,55,183,1149,1726,942,952,1814,663,7239
LGA51960,9,6,14,373,580,271,237,673,657,2789
LGA52030,6,12,23,146,229,119,100,186,137,922
LGA52100,23,6,42,172,246,119,93,149,58,833
LGA52170,74,42,219,1703,2062,916,577,1105,358,6722
LGA52240,3,3,15,184,201,122,122,157,95,882
LGA52310,4,0,12,153,202,109,74,139,72,756
LGA52380,0,0,0,21,42,13,12,81,36,209
LGA52450,12,4,27,214,231,119,138,240,99,1039
LGA52520,9,4,36,203,242,96,113,235,186,1081
LGA52590,16,10,65,502,736,378,320,627,326,2885
LGA52660,116,96,347,2219,3255,1484,1303,2620,817,11691
LGA52730,51,15,155,921,1535,862,613,797,494,5225
LGA52800,19,4,29,1538,1062,352,284,1125,1112,5466
LGA52870,63,9,127,865,1352,827,703,1022,367,5132
LGA52940,3,0,10,112,142,54,79,121,52,557
LGA53010,0,0,0,84,151,66,60,85,96,540
LGA53080,5,0,3,79,116,58,45,172,127,600
LGA53150,144,40,254,1530,2051,840,526,1177,309,6439
LGA53220,3,0,13,1152,1455,550,482,2292,2256,8186
LGA53290,120,26,284,2290,2946,1356,1059,2266,1246,11164
LGA53360,10,3,16,588,704,269,213,481,270,2523
LGA53430,423,112,849,6348,8612,3202,1943,5326,1921,27353
LGA53570,37,4,88,792,1151,597,631,1163,448,4781
LGA53640,5,0,8,206,229,123,144,173,82,952
LGA53710,11,6,24,141,182,97,93,165,109,792
LGA53780,940,296,1869,18898,23591,10152,8748,31561,7145,100107
LGA53800,371,151,839,5673,8338,3687,3042,7482,3408,31634
LGA53920,5,3,11,547,580,291,167,696,408,2685
LGA53990,162,38,400,4290,6414,2995,2557,5014,1339,22603
LGA54060,31,14,78,468,776,430,377,697,377,3126
LGA54130,0,4,12,182,262,131,125,128,86,911
LGA54170,1381,252,2782,29564,39113,17264,11295,27904,5025,130156
LGA54200,588,145,1292,9854,13520,6082,4655,10822,2469,47399
LGA54280,115,35,202,4332,5732,2169,1760,6048,2781,22815
LGA54310,4,4,12,3031,4329,1538,1295,3286,3076,16560
LGA54340,46,20,100,605,727,385,277,919,367,3271
LGA54410,26,5,46,170,198,92,104,288,139,992
LGA54480,0,0,0,66,97,42,35,75,49,370
LGA54550,29,7,54,313,407,190,165,317,138,1532
LGA54620,10,6,18,151,166,92,60,149,85,702
LGA54690,0,0,6,50,83,35,35,84,14,302
LGA54760,9,6,11,117,159,75,71,106,74,605
LGA54830,227,35,416,6575,8751,3582,3234,9983,3329,35457
LGA54900,6,6,13,217,280,128,114,192,90,1017
LGA54970,0,0,5,145,155,66,41,353,446,1197
LGA55040,3,0,3,175,224,80,61,317,458,1324
LGA55110,1252,432,2707,13185,19008,9138,7993,20170,5123,74628
LGA55180,105,23,221,1384,2041,979,834,1706,673,7617
LGA55250,0,0,0,214,149,71,56,247,290,1028
LGA55320,1489,368,3336,19748,25312,11255,7570,18002,3734,85614
LGA55390,0,0,0,55,79,25,16,162,160,492
LGA55460,32,6,65,490,630,284,275,526,331,2528
LGA55530,6,4,9,46,73,42,27,76,60,331
LGA55600,25,11,57,342,480,193,158,443,237,1851
LGA55670,9,8,18,77,121,48,48,113,101,506
LGA55740,94,36,211,1834,2148,1003,613,1564,459,7622
LGA55810,0,0,9,47,66,29,43,92,249,531
LGA55880,13,0,16,80,103,36,51,76,40,385
LGA55950,3,4,11,93,112,46,62,88,51,459
LGA56090,294,153,775,6281,9046,4353,3375,6018,3554,32630
LGA56160,0,0,0,15,18,19,7,10,11,72
LGA56230,155,74,409,2452,3734,1947,1779,3603,1282,14791
LGA56300,8,0,30,192,342,208,195,220,181,1330
LGA56370,12,14,41,120,163,66,64,122,110,641
LGA56460,51,55,159,802,1037,460,322,869,459,3953
LGA56580,259,73,650,4377,5467,2626,1693,3089,682,17937
LGA56620,0,0,3,231,336,198,19,111,178,1065
LGA56730,109,37,237,1520,2172,1122,970,2249,1263,9299
LGA56790,36,8,86,406,618,344,404,574,398,2744
LGA56860,0,0,4,46,34,24,29,31,51,217
LGA56930,15,5,41,332,343,176,132,279,64,1326
LGA57000,7,4,11,81,96,37,38,117,167,541
LGA57080,142,23,268,6338,6687,1619,1044,8012,2763,26472
LGA57140,11,7,23,142,196,93,137,236,64,866
LGA57210,30,36,117,764,1119,649,594,814,557,4488
LGA57280,14,7,33,2184,2834,955,799,3017,2017,11803
LGA57350,17,7,39,106,146,92,73,183,207,812
LGA57420,6,0,32,268,452,193,183,391,199,1688
LGA57490,919,388,2083,20833,27961,12048,9987,28055,7364,106248
LGA57630,0,0,0,19,21,10,6,22,38,113
LGA57700,130,26,249,4782,6527,2782,2634,5762,1666,24159
LGA57770,0,5,8,141,202,88,96,197,137,860
LGA57840,560,251,1233,8983,11177,4110,2572,8202,2128,37180
LGA57910,2926,554,5894,42460,52416,20238,13698,48741,10550,188101
LGA57980,172,78,439,3679,4850,1798,925,2456,833,14538
LGA58050,882,244,1767,24506,30995,12448,10435,34087,7283,119743
LGA58190,4,0,6,73,66,21,32,74,46,315
LGA58260,4,0,6,67,121,46,50,100,74,455
LGA58330,19,3,72,585,1042,535,512,832,468,3977
LGA58400,0,0,0,40,68,23,34,73,32,266
LGA58470,0,0,0,25,32,12,15,27,13,129
LGA58510,395,327,1022,7370,9197,2994,1819,7692,2653,31730
LGA58540,0,0,12,130,175,52,62,158,89,670
LGA58570,366,60,667,8181,10071,2986,1782,6345,1931,31291
LGA58610,24,5,47,298,352,187,150,330,169,1479
LGA58680,0,0,9,75,102,54,69,75,89,463
LGA58760,1299,417,2623,34403,42889,17522,13637,45756,8788,162994
LGA58820,27,30,106,574,859,465,488,793,347,3533
LGA58890,6,4,24,133,165,70,74,112,80,636
LGA59030,0,3,6,34,59,30,30,25,25,203
LGA59100,4,6,18,98,127,71,63,111,87,552
LGA59170,6,3,17,159,196,98,105,149,95,803
LGA59250,0,0,0,73,76,19,14,115,153,452
LGA59310,18,0,20,202,254,114,120,263,100,1058
LGA59320,5,0,3,71,75,47,51,71,42,357
LGA59330,3,4,9,67,98,49,33,112,45,409
LGA59340,8,8,25,1103,1531,511,327,1200,1086,5761
LGA59350,0,0,4,25,30,15,11,79,147,313
LGA59360,4,7,21,151,201,103,81,307,216,1055
LGA59370,48,17,108,484,715,425,409,646,284,2964
LGA59499,10,23,30,870,963,339,278,1476,3362,7285
LGA59799,0,0,0,33,21,10,15,214,222,516
