LGA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA50080,218,8,0,0,0,223,137,5,0,0,0,141,78,9,0,0,0,86,174,4,0,0,0,179,255,5,0,0,0,264,922,21,0,0,0,955,1032,11,0,0,0,1050,951,13,0,0,3,967,308,8,0,0,0,315,213,4,0,0,0,221,124,3,0,0,0,130,248,10,0,0,0,256,4667,89,12,6,9,4780
LGA50210,557,18,0,0,0,580,219,23,0,0,0,242,199,15,3,0,0,216,413,54,0,6,0,473,626,67,5,0,0,697,2421,146,11,0,0,2578,3611,122,5,0,4,3739,4550,41,0,0,0,4588,1822,10,0,0,4,1843,1075,7,0,0,0,1084,579,8,0,0,0,598,856,19,5,0,0,881,16928,542,35,10,13,17523
LGA50250,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,4,0,6,9,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,8,0,0,0,3,0,0,36,3,0,4,4,50
LGA50280,88,0,0,0,3,91,35,0,0,0,0,41,35,0,0,0,0,34,67,3,0,0,0,65,89,8,0,0,0,96,328,11,0,0,0,343,442,11,0,0,0,450,475,3,3,0,0,482,206,3,0,0,0,213,154,0,0,0,0,157,86,0,0,0,3,88,114,0,0,0,0,121,2122,47,9,0,5,2186
LGA50350,97,18,3,0,0,116,37,8,0,0,0,48,31,3,0,0,0,39,59,16,3,0,0,74,75,19,6,0,0,96,265,62,20,0,0,351,365,80,20,0,0,460,590,61,8,0,0,660,247,19,0,0,3,273,184,9,5,0,0,193,104,4,4,0,0,109,110,17,0,0,0,124,2161,312,75,0,6,2554
LGA50420,406,80,17,0,0,504,114,33,10,0,0,161,101,22,18,0,0,144,187,56,37,0,0,285,256,76,54,0,0,381,803,286,173,0,0,1258,1257,367,116,0,0,1736,2043,313,80,0,0,2438,1035,113,21,0,0,1172,878,89,9,0,0,982,441,48,12,0,0,503,457,60,24,0,0,545,7974,1546,578,4,4,10106
LGA50490,196,32,13,0,0,251,71,9,3,0,0,77,45,8,4,0,0,50,115,25,17,0,0,154,145,45,33,0,0,223,506,184,109,0,0,805,759,192,138,0,3,1084,949,173,114,0,0,1240,418,60,36,0,0,507,346,39,29,0,0,411,183,22,16,0,0,222,208,30,30,0,0,266,3934,821,537,0,5,5291
LGA50560,20,0,0,0,0,20,5,0,0,0,0,5,6,0,0,0,0,6,15,0,0,0,0,15,21,0,0,0,0,21,36,0,0,0,0,36,15,0,0,0,0,15,26,0,0,0,0,29,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,12,0,0,0,0,12,173,0,0,5,0,181
LGA50630,8,0,0,0,0,8,4,0,0,0,0,4,6,0,0,0,0,6,6,0,0,0,0,6,12,0,0,0,0,12,43,0,0,0,0,43,36,0,0,0,0,36,47,0,0,0,0,47,11,0,0,0,0,11,12,0,0,0,0,12,9,0,0,0,0,9,13,0,0,0,0,13,195,0,0,0,0,195
LGA50770,22,0,0,0,0,22,5,0,0,0,0,5,7,0,0,0,0,10,15,0,0,0,0,15,16,0,0,0,0,16,32,0,0,0,0,32,26,0,0,0,0,26,23,0,0,0,0,23,6,0,0,0,0,6,7,0,0,0,0,7,10,0,0,0,0,10,6,0,0,0,0,6,170,0,0,0,0,170
