LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA50080,65,177,125,83,106,10,0,570,7,10,9,5,3,0,0,33,5,3,6,7,3,0,0,22,105,275,239,186,230,18,5,1050,0,12,0,3,5,0,0,26,6,14,6,0,3,0,0,37,6,26,10,7,9,0,0,58,117,296,244,188,233,18,9,1106,157,183,86,62,64,11,3,558,6,4,0,6,0,0,0,14,273,480,336,259,303,25,7,1685
LGA50210,178,316,203,172,177,47,28,1117,27,15,10,10,12,7,4,84,10,12,11,8,16,0,0,59,351,650,487,391,465,124,84,2562,27,42,27,24,26,9,0,151,45,78,41,19,19,0,0,214,67,123,68,48,45,10,0,366,422,769,555,437,517,134,86,2923,538,490,289,188,138,26,16,1693,14,16,10,14,0,0,0,54,972,1272,853,638,660,165,111,4672
LGA50250,6,6,4,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,23,22,11,15,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,22,13,15,0,0,88,13,11,10,5,0,0,0,36,0,0,0,0,0,0,0,0,24,34,29,16,15,0,0,119
LGA50280,42,83,75,37,34,3,0,273,0,4,11,3,4,0,0,20,0,5,0,3,0,0,0,11,50,120,125,76,92,5,0,461,0,3,3,0,0,0,0,10,0,3,0,0,3,0,0,3,3,10,4,0,3,0,0,14,54,128,125,80,91,5,0,479,20,26,15,8,10,5,0,83,0,5,0,0,0,0,0,6,75,156,140,88,106,4,0,571
LGA50350,20,48,36,27,31,6,5,176,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,5,47,101,69,69,68,23,13,392,0,8,7,0,0,0,0,14,0,10,13,6,0,0,0,30,0,17,16,3,0,0,0,40,45,115,81,77,76,28,18,436,53,50,35,24,16,9,0,192,0,4,0,0,0,0,0,8,104,171,118,104,92,35,17,635
LGA50420,95,180,125,111,115,45,28,692,12,7,9,0,3,3,3,38,7,4,4,9,3,0,0,31,181,356,270,245,304,130,74,1559,12,23,15,13,11,8,6,88,10,31,20,11,13,5,0,89,22,56,35,24,23,13,6,174,199,406,303,264,330,140,83,1734,192,181,99,67,66,30,21,653,5,5,0,0,0,0,0,15,395,595,402,334,395,176,105,2404
LGA50490,59,88,68,49,53,22,22,368,6,5,6,7,3,0,0,23,0,3,0,3,4,0,0,11,111,189,159,111,158,63,49,841,3,14,10,9,16,6,0,60,19,30,8,11,18,0,0,91,15,41,27,23,30,4,0,148,129,234,183,138,188,66,50,991,149,156,65,66,48,19,13,518,0,3,0,4,0,0,0,6,282,392,253,199,239,85,64,1520
LGA50560,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,5,9,0,0,0,0,21,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,3,8,10,9,0,0,0,0,27
LGA50630,0,0,4,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,5,7,0,0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,0,0,0,0,9,6,9,7,3,7,0,0,28,13,14,7,0,0,0,0,42,0,0,0,0,0,0,0,0,19,21,14,7,4,0,0,71
LGA50770,4,4,0,3,7,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,7,6,9,9,0,0,41,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,4,3,0,0,0,0,0,6,4,12,6,9,9,0,0,45,7,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,13,13,11,10,11,0,0,61
