LGA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA50080,45,1517,710,300,1757,0.7,1350,2.4
LGA50210,35,1750,815,305,2061,0.8,1774,2.8
LGA50250,34,1613,1865,48,3310,0.9,2937,2.7
LGA50280,42,1733,785,350,1871,0.8,1529,2.5
LGA50350,40,1801,872,330,2278,0.7,1738,2.4
LGA50420,38,1880,869,340,2228,0.8,1739,2.3
LGA50490,36,1733,886,350,2086,0.8,1641,2.3
LGA50560,55,1160,567,200,1406,0.7,1053,2.2
LGA50630,42,1690,834,280,2131,0.7,1760,2.5
LGA50770,47,1212,705,220,1581,0.7,1265,2.3
LGA50840,51,1408,621,280,1632,0.7,1218,2.3
LGA50910,50,1300,614,200,1616,0.8,1284,2.3
LGA50980,34,2167,1078,300,2428,1,2091,2.7
LGA51080,41,781,793,168,1836,0.7,1366,2.5
LGA51120,48,748,817,160,1762,0.8,1284,2.4
LGA51190,43,1480,725,300,1760,0.7,1326,2.2
LGA51260,45,1755,751,366,1866,0.7,1459,2.5
LGA51310,41,3000,1222,450,3898,0.8,2964,2.7
LGA51330,36,1828,768,355,2130,0.8,1838,2.8
LGA51400,38,1733,831,350,2206,0.7,1949,2.8
LGA51470,46,867,731,150,1766,0.7,1234,2
LGA51540,40,1300,793,209,1909,0.9,1401,2.3
LGA51610,44,2000,932,260,2286,0.8,2046,2.7
LGA51680,44,2100,798,320,2258,0.8,2044,2.8
LGA51710,38,1300,1233,150,2659,1,2109,2.5
LGA51750,43,3000,1142,485,3388,0.8,2252,2.3
LGA51820,37,1950,920,370,2344,0.8,1995,2.6
LGA51860,40,1972,741,231,1678,1.1,2519,3.8
LGA51890,44,1300,591,250,1618,0.7,1234,2.3
LGA51960,38,975,929,200,2303,0.8,1893,2.3
LGA52030,57,1200,619,210,1392,0.7,1030,2.1
LGA52100,47,867,838,180,2007,0.7,1399,2.3
LGA52170,44,3835,1447,535,4597,0.8,3303,2.5
LGA52240,46,1083,762,168,1762,0.7,1287,2.3
LGA52310,51,1127,674,200,1466,0.7,1236,2.3
LGA52380,54,725,1145,100,1333,0.6,682,1.5
LGA52450,37,1200,714,200,1971,0.7,1496,2.5
LGA52520,39,1083,1015,230,2198,0.7,1812,2.6
LGA52590,51,1560,710,310,1704,0.7,1305,2.2
LGA52660,40,1690,777,340,2089,0.7,1746,2.6
LGA52730,50,1517,630,300,1491,0.7,1134,2.3
LGA52800,32,1629,459,100,1032,1,1325,2.9
LGA52870,49,1562,658,290,1688,0.7,1332,2.4
LGA52940,45,687,758,150,1531,0.7,1197,2.3
LGA53010,44,515,802,150,1670,0.7,1260,2.3
LGA53080,50,600,654,150,1224,0.7,827,1.8
LGA53150,44,2600,1075,420,3178,0.8,2288,2.5
LGA53220,34,1083,1734,105,2828,1,2506,2.9
LGA53290,42,1560,806,265,2014,0.7,1521,2.4
LGA53360,37,2103,967,330,2252,0.9,1979,2.5
LGA53430,42,2167,969,370,2591,0.8,1887,2.2
LGA53570,50,1700,670,270,1626,0.7,1331,2.4
LGA53640,39,780,911,180,2034,0.7,1482,2.5
LGA53710,49,1000,747,200,1784,0.7,1217,2.2
LGA53780,36,1733,727,330,1930,0.8,1656,2.8
LGA53800,40,1519,777,260,2003,0.7,1536,2.4
LGA53920,29,1600,363,90,786,1.3,1098,3.3
LGA53990,40,1733,773,320,2067,0.7,1788,2.7
LGA54060,53,1537,626,250,1598,0.7,1168,2.2
LGA54130,40,1004,870,186,1798,0.8,1421,2.4
LGA54170,41,2080,906,400,2528,0.7,2165,2.7
LGA54200,40,1907,835,370,2215,0.7,1866,2.6
