LGA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA54830,516,170,84,39,14,0,1136,22,142,173,109,70,29,7,0,543,243,1317,1530,725,309,180,58,9,4364,193,729,857,631,354,194,58,15,3028,900,1992,1685,1259,918,468,175,54,7451,330,212,107,77,60,29,7,0,825,50,95,124,164,89,67,30,9,622,1276,2303,1917,1501,1071,563,211,61,8899,22,47,73,48,31,29,15,6,270,359,541,530,412,306,246,130,50,2576,2124,5376,5592,3594,2230,1278,492,145,20817
LGA54900,0,4,0,0,0,0,4,0,3,0,5,4,0,0,0,10,8,31,42,21,15,8,0,0,116,4,12,16,20,12,8,3,0,74,25,43,42,29,25,11,10,5,179,0,6,0,0,0,0,0,0,8,0,0,6,4,6,4,0,0,17,25,47,46,35,30,16,7,5,210,0,0,0,0,0,0,0,0,0,15,3,13,13,28,18,6,4,102,55,100,117,90,85,43,24,6,519
LGA54970,5,4,0,0,0,0,8,0,3,0,0,5,0,0,0,3,0,23,16,13,11,0,0,0,59,0,10,15,7,7,0,0,0,49,14,53,42,21,34,10,0,0,170,3,4,0,4,3,0,0,0,14,0,3,3,0,3,0,0,0,6,16,58,44,25,37,10,0,0,187,0,0,0,0,0,0,0,0,0,47,140,96,94,72,17,0,0,470,71,234,172,143,134,29,4,0,794
LGA55040,3,6,4,0,0,0,20,0,4,0,0,0,0,0,0,9,4,27,15,8,3,5,0,0,61,0,24,15,21,8,4,6,0,82,25,63,55,35,33,13,0,0,227,12,6,0,0,0,0,0,0,19,0,0,0,0,6,0,0,0,9,36,70,59,41,36,13,0,0,256,0,0,0,4,0,0,0,0,3,84,147,100,74,61,16,8,0,477,127,276,200,151,109,43,12,0,909
LGA55110,313,308,284,188,74,10,1358,18,133,200,262,236,194,67,19,1125,306,1185,1413,1267,1034,934,397,83,6618,279,810,1139,1287,1439,1176,569,125,6832,1499,2865,2745,2909,2874,2274,1168,254,16591,521,242,175,129,138,121,47,10,1389,104,141,195,243,292,294,185,47,1512,2125,3249,3119,3278,3307,2688,1401,314,19484,28,45,78,75,108,137,110,30,618,632,743,850,899,884,1012,1013,662,6693,3411,6336,7117,7378,7286,6336,3627,1245,42731
LGA55180,26,43,17,16,9,0,132,0,11,22,18,24,20,0,0,100,24,116,129,105,138,103,42,14,673,13,61,76,91,122,84,30,5,486,135,250,233,288,291,187,68,16,1473,76,41,11,22,16,12,4,0,179,10,11,16,30,47,19,9,3,152,220,301,261,334,354,224,85,21,1803,0,7,6,8,7,10,4,0,49,97,81,94,146,142,137,99,44,836,351,598,614,755,813,592,272,83,4071
LGA55250,4,0,8,0,0,0,16,0,0,0,0,0,0,0,0,4,4,37,7,5,7,3,0,0,68,0,11,11,6,13,4,0,0,42,13,50,32,18,33,6,0,0,148,5,3,3,0,0,3,0,0,13,3,0,3,0,0,0,0,0,9,22,54,33,22,33,10,0,0,171,0,0,0,0,0,0,0,0,0,52,86,47,51,38,21,14,0,304,84,202,103,90,96,35,12,0,619
LGA55320,2012,1720,1223,839,300,62,7549,24,482,694,756,680,462,134,31,3257,1499,4481,5222,4251,3002,2322,995,282,22046,388,836,1362,1737,1723,1551,776,299,8679,1085,1460,1531,1745,1795,1312,693,258,9879,406,105,116,107,106,102,38,17,979,81,74,162,290,370,327,177,81,1575,1567,1641,1801,2149,2269,1732,911,355,12430,44,65,102,127,131,163,148,54,824,464,579,614,639,656,695,602,546,4791,4101,9356,11800,11374,9679,7769,3867,1635,59574
LGA55390,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,8,3,7,0,8,0,0,0,26,0,3,3,4,3,4,0,0,19,6,25,25,24,7,6,0,0,96,8,3,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,6,14,35,24,26,13,6,0,0,115,0,0,0,0,0,0,0,0,0,27,41,42,18,24,12,3,0,168,49,92,74,51,46,20,6,0,337
LGA55460,6,9,5,5,0,0,45,0,7,4,9,0,4,0,0,31,11,44,47,34,29,14,0,0,195,5,18,24,20,26,13,9,5,127,59,96,90,72,86,42,14,6,458,18,17,10,12,9,3,0,0,63,0,5,7,10,12,11,0,0,43,77,117,104,88,106,56,14,0,564,0,0,0,4,4,6,0,0,14,46,59,67,51,56,60,37,15,393,149,259,259,228,226,163,66,22,1366
LGA55530,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,5,13,11,3,3,0,0,35,0,0,0,3,0,0,0,0,10,9,11,17,6,4,6,0,0,58,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,14,11,18,9,4,13,0,0,65,0,0,0,0,0,0,0,0,0,3,3,3,10,23,15,12,4,75,13,25,34,30,33,28,16,4,190
LGA55600,10,4,3,0,0,0,24,0,5,0,3,6,4,0,0,22,8,27,41,32,23,17,9,0,161,0,3,13,15,29,13,9,0,82,29,66,50,62,56,47,5,0,326,14,5,7,3,4,4,0,0,32,0,8,0,7,0,6,4,0,25,41,75,58,74,63,55,13,0,379,0,0,0,0,0,5,0,0,11,39,37,32,50,47,48,26,15,294,90,158,159,186,167,140,56,23,970
LGA55670,0,0,0,0,0,0,5,0,3,3,3,0,0,0,0,14,4,7,10,3,6,8,0,0,37,0,0,0,3,12,4,6,0,20,7,20,12,16,18,15,3,0,86,0,0,3,6,0,0,0,0,10,0,0,0,0,0,5,0,0,12,7,25,16,19,17,18,3,0,103,0,0,0,0,0,0,0,0,3,31,9,10,12,9,32,17,4,118,37,48,38,45,46,55,20,7,303
LGA55740,249,250,181,116,37,9,1010,3,39,74,72,67,45,21,5,321,136,431,464,487,356,265,141,26,2299,34,70,89,135,117,121,79,18,658,69,87,81,88,93,79,43,14,551,15,3,8,3,3,5,5,0,43,5,5,9,19,12,29,17,0,99,86,95,87,110,111,110,66,17,687,4,8,3,14,13,17,7,5,73,55,77,67,71,78,73,66,46,547,337,883,1039,1138,916,746,415,128,5604
LGA55810,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,3,3,0,8,3,10,0,0,0,24,0,6,5,5,4,4,0,0,23,3,11,12,8,17,11,6,0,68,3,6,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,4,6,12,17,12,19,9,6,0,82,0,0,0,0,0,0,0,0,3,32,39,51,55,44,30,12,4,266,38,54,85,81,77,45,18,4,404
LGA55880,0,6,0,0,0,0,4,0,0,0,0,3,0,0,0,7,0,8,10,7,7,0,0,0,30,0,0,0,3,9,0,0,0,18,5,14,12,14,11,4,0,0,67,4,3,0,0,0,0,0,0,9,0,0,0,9,0,6,0,0,9,7,19,14,19,11,9,0,0,83,0,0,0,4,0,0,0,0,4,3,4,9,12,12,0,3,4,36,13,25,37,44,36,14,3,3,181
LGA55950,4,0,0,0,0,0,3,0,4,0,0,0,3,0,0,11,0,5,12,6,6,3,4,0,39,0,0,0,9,11,0,0,0,22,10,20,15,12,12,3,0,5,77,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,12,20,15,18,16,3,0,5,87,0,0,0,0,0,0,0,0,0,4,11,10,13,3,5,7,3,59,25,43,40,39,38,19,11,4,223
LGA56090,248,270,248,172,69,5,1143,10,97,159,208,191,92,40,3,804,182,664,938,995,696,579,239,37,4324,119,314,518,662,682,560,241,53,3156,579,1204,1140,1256,1250,842,346,72,6695,196,86,62,68,37,41,19,0,498,34,41,90,116,157,131,63,10,651,810,1329,1294,1443,1450,1014,429,87,7849,14,28,29,29,50,53,36,7,243,179,255,308,324,376,289,287,188,2204,1318,2799,3504,3932,3681,2757,1339,387,19721
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,6,0,5,7,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,6,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,8,0,8,11,13,4,4,0,0,36
LGA56230,28,30,27,36,8,0,155,4,17,29,35,35,27,8,0,154,46,159,164,179,123,146,61,13,886,39,127,178,232,222,194,81,22,1096,314,603,654,617,637,427,183,64,3500,126,46,40,30,32,29,8,0,306,20,25,52,57,56,47,35,6,298,459,677,743,706,718,503,224,70,4099,5,7,15,5,20,27,27,3,107,172,176,217,222,215,266,228,93,1582,719,1187,1384,1404,1370,1188,631,205,8084
LGA56300,7,3,5,4,3,0,27,0,3,5,5,7,11,0,0,33,0,9,21,23,30,35,7,0,123,0,9,16,9,24,44,10,0,127,4,26,44,31,61,56,19,3,246,5,3,4,4,0,3,0,0,14,0,0,0,0,5,5,5,0,22,11,29,50,32,67,68,24,4,280,0,0,0,0,0,3,0,0,7,11,11,30,28,41,41,40,8,212,23,65,135,112,175,211,83,12,821
LGA56370,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,12,17,6,6,3,0,0,55,0,8,0,4,11,4,4,3,34,7,19,17,14,10,7,3,0,73,0,0,0,3,3,0,0,0,8,0,0,0,4,0,0,0,0,4,11,19,17,20,14,7,9,0,84,0,0,0,0,0,0,0,0,5,5,18,12,14,24,10,26,10,120,22,58,47,50,56,30,32,20,310
LGA56460,9,11,3,3,0,0,51,0,11,6,13,20,7,0,0,61,32,91,83,63,72,33,25,8,395,12,38,47,55,58,38,20,6,277,70,155,125,114,121,96,33,4,720,32,15,5,9,8,0,0,0,67,0,3,9,10,10,12,0,0,51,105,173,132,138,142,109,38,7,842,0,4,10,4,0,0,3,0,21,82,66,69,77,65,86,67,56,568,230,394,357,365,367,289,151,77,2218
LGA56580,610,768,595,420,202,60,3051,7,83,133,218,187,120,63,14,826,525,862,1091,1339,1012,869,374,129,6200,46,83,152,259,316,277,189,71,1393,111,145,127,128,128,95,66,27,818,33,11,8,4,10,13,7,0,86,10,8,20,34,38,54,34,14,214,156,160,155,170,180,162,109,42,1123,12,19,23,18,22,25,25,13,167,75,82,98,106,108,151,128,116,865,855,1643,2260,2866,2411,2028,1097,447,13617
LGA56620,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,9,0,15,13,10,8,0,0,0,50,0,3,3,0,9,4,0,0,12,0,7,18,5,4,7,0,0,39,0,0,3,4,0,0,0,0,12,0,0,5,0,5,0,0,0,12,4,7,26,11,9,7,0,0,55,0,0,0,0,0,0,0,0,0,35,33,17,29,28,5,0,0,144,42,54,56,54,58,12,0,0,272
LGA56730,44,19,33,19,0,0,142,5,14,17,29,28,29,3,0,121,23,102,128,120,108,82,33,3,600,13,61,100,120,138,96,40,7,578,142,304,287,337,322,250,65,14,1731,72,37,24,31,20,19,0,0,209,6,20,21,27,37,32,8,3,155,225,360,335,397,383,293,77,21,2103,3,5,6,8,14,7,9,0,54,174,240,262,234,208,197,135,62,1505,457,812,892,920,910,725,305,92,5101
LGA56790,11,3,9,5,0,0,33,0,4,6,9,5,3,0,0,25,3,27,32,38,36,29,13,3,187,0,12,21,32,40,40,9,4,168,26,67,75,86,120,117,33,6,535,7,4,10,9,3,9,0,0,30,0,0,3,3,5,15,6,3,34,37,72,82,100,136,138,40,5,607,0,0,0,0,3,0,4,0,13,39,41,54,67,86,101,45,12,452,80,156,205,258,318,310,113,28,1473
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,0,0,0,4,4,0,0,0,13,7,3,3,4,3,0,0,0,29,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,7,10,8,4,6,5,0,0,37,0,0,0,0,0,0,0,0,0,3,3,6,15,10,12,7,0,56,17,14,15,26,28,23,6,0,118
LGA56930,24,39,34,23,6,3,160,0,0,9,7,8,0,4,3,29,32,50,57,108,90,67,30,10,439,4,11,13,12,25,17,15,4,101,10,5,3,3,7,10,0,4,50,3,0,0,0,0,5,0,0,6,0,0,0,0,10,3,0,0,12,10,5,3,8,14,16,9,4,67,0,0,0,6,4,7,7,0,17,10,7,11,9,9,11,8,5,62,54,98,106,187,184,143,69,30,881
LGA57000,3,3,0,0,0,0,13,0,0,0,0,3,0,0,0,3,0,4,11,7,6,0,0,0,31,0,0,7,11,11,0,0,0,28,10,13,19,17,21,7,0,0,79,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,11,16,17,15,20,7,0,0,90,0,0,0,0,0,0,0,0,0,24,21,41,27,35,17,6,4,180,40,53,75,66,73,27,7,5,347
LGA57080,1044,406,305,199,74,12,3834,38,228,167,102,89,68,20,4,703,1025,3257,1669,709,568,393,170,40,7836,355,658,445,281,306,212,99,27,2384,390,628,343,287,267,157,56,12,2134,140,65,29,16,16,11,4,3,269,28,51,45,43,43,38,15,8,267,562,740,416,342,323,199,74,22,2673,45,71,46,28,17,33,29,13,284,503,896,560,342,277,209,111,35,2931,2620,7547,4343,2202,1897,1308,576,153,20650
LGA57140,0,0,4,0,0,0,6,0,5,0,0,4,0,0,0,13,6,8,20,8,9,13,0,0,64,0,9,9,12,15,11,9,0,64,19,18,22,22,31,22,8,0,153,5,3,0,3,3,0,0,0,15,0,6,3,0,6,8,0,0,19,22,28,29,31,43,31,9,0,188,0,0,0,0,0,0,3,0,3,9,6,8,15,12,16,19,6,84,31,56,62,64,85,75,37,8,416
LGA57210,11,16,16,19,6,0,73,0,4,12,8,12,17,0,0,54,9,54,78,93,74,81,19,9,414,8,22,42,84,98,72,39,4,371,88,120,132,169,161,119,39,9,832,34,18,18,15,18,8,3,0,104,8,7,8,17,28,18,6,0,83,128,140,159,196,203,144,44,10,1025,0,0,4,5,3,6,0,0,24,57,46,79,96,104,111,68,34,586,204,274,384,485,514,443,173,60,2541
LGA57280,77,41,42,10,0,0,231,3,53,51,30,19,5,0,0,164,58,398,378,155,97,19,6,0,1112,19,218,283,182,134,31,0,0,879,199,864,800,507,357,86,15,0,2837,83,70,54,23,8,3,0,0,250,14,38,41,40,28,7,0,0,168,299,974,898,572,396,95,18,0,3254,4,13,12,16,16,0,0,0,63,309,541,467,383,308,98,29,8,2140,702,2261,2165,1379,1009,267,55,11,7840
LGA57350,3,0,0,0,0,0,4,0,0,4,0,0,0,0,0,9,0,7,15,4,11,7,3,0,51,0,3,5,14,10,6,3,0,41,7,18,8,15,22,22,4,7,116,0,3,0,5,6,0,0,0,12,0,0,0,0,3,3,3,0,14,8,25,8,26,32,27,10,7,140,0,0,0,0,0,0,0,0,0,14,23,16,45,45,56,22,11,232,23,59,48,88,99,103,39,19,480
LGA57420,15,3,3,3,0,0,30,0,3,3,5,0,3,0,0,16,4,59,44,26,22,11,14,0,173,5,23,20,36,25,17,6,5,133,23,79,63,66,59,28,11,0,329,6,8,0,4,0,0,0,0,26,0,4,5,5,10,9,0,0,27,26,94,65,70,68,34,14,0,383,0,3,0,0,0,0,0,0,8,19,30,28,44,48,33,24,0,235,61,221,173,185,169,106,58,3,972
LGA57490,593,489,322,159,64,3,1989,42,302,419,391,291,147,40,11,1640,580,2179,2602,2034,1184,728,276,61,9644,525,1751,2360,2427,1849,935,349,92,10281,2759,6003,5289,4914,3950,2081,996,222,26213,964,500,275,222,184,90,35,6,2265,178,248,370,421,394,288,152,22,2072,3899,6747,5929,5557,4528,2451,1191,248,30547,60,92,110,126,147,118,75,34,768,1199,1539,1496,1323,1106,864,847,473,8848,6326,12955,13512,12339,9423,5397,2844,920,63713
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,3,8,4,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,3,0,18,0,0,0,0,0,0,0,0,0,4,12,5,8,8,3,3,0,43,6,13,12,10,18,6,9,0,76
LGA57700,182,98,67,29,10,0,483,3,98,103,85,65,23,6,4,383,113,628,686,407,272,150,54,9,2317,112,503,593,487,384,176,68,9,2338,702,1707,1359,1040,796,431,136,23,6192,187,91,67,47,36,17,3,0,446,46,61,80,116,91,55,21,9,476,929,1861,1509,1202,921,507,161,29,7119,17,19,39,27,34,18,8,7,178,193,300,311,286,218,143,102,38,1594,1384,3496,3415,2600,1957,1051,411,89,14409
LGA57770,8,3,0,0,0,0,24,0,0,0,3,0,3,0,0,7,7,40,23,10,12,9,0,0,100,0,24,13,16,12,16,5,0,79,15,29,34,32,35,27,8,0,170,3,0,0,3,4,0,0,0,15,0,0,0,0,5,0,0,0,9,19,30,34,34,43,25,13,0,192,0,0,0,0,0,0,3,0,5,16,25,27,23,26,19,16,5,152,53,123,110,87,96,72,30,5,567
LGA57840,1053,757,586,395,130,31,4096,35,277,306,295,275,203,52,10,1446,889,2706,2253,1763,1373,977,371,98,10431,241,463,524,599,659,609,302,89,3483,501,707,549,519,565,443,176,68,3526,151,52,31,33,36,33,17,0,352,25,46,52,79,107,123,69,30,530,673,810,638,624,710,597,259,97,4411,31,35,42,55,52,60,48,17,332,259,428,311,284,321,353,377,418,2753,2232,5776,5124,4378,3971,3188,1544,750,26957
LGA57910,4338,2508,1498,900,355,62,14198,95,1336,1476,1279,991,578,191,29,5980,2804,12582,11238,7200,4606,3138,1335,365,43268,1126,3808,4025,3511,2943,2259,1181,347,19199,2486,5507,4600,3853,3605,2412,1314,482,24273,744,393,314,243,203,165,63,15,2144,194,346,466,658,616,481,297,133,3194,3423,6243,5384,4755,4432,3065,1678,629,29603,88,278,323,258,189,267,185,83,1667,1289,2719,2274,1644,1444,1434,1366,959,13124,9103,31219,29054,21157,16108,11643,6298,2477,127047
LGA57980,619,473,373,296,124,28,2517,10,119,141,164,119,110,45,8,711,376,1232,1005,764,661,545,231,51,4866,50,134,161,213,209,222,158,41,1197,120,177,143,113,127,99,57,21,852,46,10,12,11,6,10,8,0,102,11,16,22,20,55,41,25,13,203,177,204,171,149,192,155,91,30,1165,0,9,20,23,22,22,23,7,126,70,156,130,120,112,166,152,92,1000,732,2421,2257,1908,1680,1514,816,254,11580
LGA58050,1306,640,407,229,70,9,3717,54,444,549,429,296,135,42,11,1958,975,4178,4141,2569,1528,876,297,67,14629,648,2420,2874,2338,1758,904,340,60,11346,2808,6120,5223,4445,3599,1914,691,140,24934,881,469,358,246,168,87,31,3,2249,213,305,418,498,458,258,106,27,2282,3898,6898,5997,5195,4220,2260,825,171,29468,77,141,210,164,155,118,66,24,954,1080,1640,1488,1364,1098,832,652,397,8551,6785,16712,16574,12693,9466,5362,2302,736,70630
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,8,6,0,0,34,0,3,5,4,3,0,0,0,19,3,8,7,12,7,4,6,0,48,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,8,11,16,7,9,6,0,57,0,0,0,0,0,0,0,0,0,3,8,0,12,12,6,6,0,48,19,23,21,40,36,15,7,3,162
LGA58260,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,4,15,3,9,0,0,0,27,0,0,12,7,0,3,4,0,37,3,10,18,22,5,10,4,0,73,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,4,11,18,20,9,13,4,0,84,0,0,0,0,0,0,0,0,0,5,17,14,5,12,16,18,0,81,17,37,61,42,34,35,17,0,248
LGA58330,16,12,24,21,11,0,84,0,8,10,16,18,17,0,0,76,3,36,45,47,67,60,34,0,293,0,23,39,65,105,88,33,4,363,44,90,119,148,232,175,39,0,845,18,7,8,9,10,12,0,0,62,0,3,5,17,18,28,5,0,72,69,103,127,169,253,204,49,0,979,0,0,5,8,5,8,8,3,35,38,54,48,94,143,96,64,11,554,117,226,287,410,625,492,193,27,2374
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,5,0,0,7,0,4,0,6,0,4,0,0,12,11,16,0,5,9,11,4,0,47,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,11,19,0,5,7,13,4,0,55,0,0,0,0,0,0,0,0,4,0,5,0,8,8,6,9,0,35,11,29,6,21,21,21,8,0,124
LGA58470,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,13,0,0,5,0,0,0,0,0,3,0,0,8,6,6,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,6,5,0,0,29,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,14,0,10,14,18,10,7,0,0,62
LGA58510,934,460,262,130,43,7,2939,27,255,248,207,162,92,27,0,1025,609,2816,2014,1057,626,401,137,37,7710,322,679,599,522,434,309,120,40,3030,538,933,732,589,570,364,157,60,3948,201,71,47,37,37,19,10,0,425,28,49,69,96,87,65,24,17,429,759,1060,848,722,695,454,187,77,4802,21,61,47,40,35,43,21,11,276,316,603,430,336,302,280,336,420,3022,2111,6524,5123,3348,2521,1709,875,594,22798
LGA58540,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,5,21,9,8,0,0,0,53,0,11,5,9,8,14,5,0,47,12,18,19,21,23,4,0,0,100,0,0,0,0,0,0,0,0,13,0,0,0,4,4,0,0,0,18,11,19,26,26,24,16,6,0,126,0,0,0,0,0,0,0,0,3,7,8,14,22,13,14,12,3,96,23,48,64,78,66,47,18,3,344
LGA58570,1033,623,360,219,60,10,3529,19,380,354,310,232,112,20,0,1424,663,3295,2439,1489,961,498,134,28,9510,209,690,637,534,466,280,82,26,2922,397,789,612,489,444,221,96,43,3086,125,54,35,19,28,22,6,9,303,21,47,59,99,85,71,18,11,410,543,891,710,612,558,305,124,54,3796,15,59,37,41,33,32,21,0,244,214,683,383,250,250,188,150,90,2215,1729,7154,5596,3857,2860,1634,589,221,23641
LGA58610,0,4,5,0,4,0,13,0,0,5,4,0,4,0,0,13,0,33,34,12,17,16,4,0,117,0,12,11,9,16,22,4,0,70,12,42,37,36,56,38,17,0,240,0,0,5,0,6,0,0,0,15,0,0,0,3,8,6,3,0,16,14,44,44,44,68,42,21,0,278,0,0,0,0,3,0,0,0,5,24,26,19,29,25,40,21,7,199,47,115,119,98,133,129,53,7,702
LGA58680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,5,8,0,0,0,0,26,0,7,3,14,9,13,0,0,38,5,18,12,17,15,13,6,0,83,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,3,0,14,13,19,16,26,17,17,4,0,105,0,0,0,0,0,0,0,0,0,9,11,13,15,19,14,13,0,94,18,35,37,64,46,42,17,0,258
LGA58760,1676,1041,544,257,96,24,4753,78,603,801,674,388,183,45,7,2779,1458,5504,6062,4018,2061,1056,419,81,20656,1030,3127,3986,3859,2585,1396,501,127,16604,3662,7727,7119,6524,4977,2686,1077,242,34012,1258,572,415,369,251,131,44,3,3049,309,393,616,734,552,370,192,53,3217,5228,8691,8154,7631,5782,3186,1310,293,40275,101,190,272,277,194,171,107,34,1352,1372,1864,1904,1799,1379,1025,954,606,10908,9354,21008,22857,19298,12932,7273,3428,1171,97322
LGA58820,8,3,3,5,0,0,24,0,3,3,5,9,6,0,0,34,6,34,42,37,41,28,6,3,192,3,19,41,53,54,46,24,7,252,77,134,161,158,163,102,38,8,842,21,9,11,8,13,0,4,0,76,3,9,0,16,20,13,4,0,65,102,147,182,181,199,118,47,11,985,0,4,0,6,6,6,5,0,22,44,38,49,80,66,63,59,33,430,155,254,324,366,374,270,141,51,1943
LGA58890,0,5,0,3,0,0,6,0,0,0,5,0,3,0,0,5,0,14,13,19,6,4,0,0,58,0,3,6,10,11,7,3,0,39,12,12,19,21,28,11,0,0,108,0,0,4,9,0,0,0,0,14,0,0,0,6,0,0,0,0,10,12,13,27,30,31,12,0,0,133,0,0,0,0,0,0,0,0,3,9,8,17,10,20,12,8,3,85,23,42,58,69,76,37,12,3,326
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,14,0,0,0,3,6,3,0,0,16,3,7,8,4,10,6,3,0,37,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,7,8,6,15,6,3,0,45,0,0,0,0,0,0,0,0,0,3,12,4,0,4,5,0,3,28,9,21,21,12,23,11,6,3,108
LGA59100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,12,3,4,3,0,0,44,0,3,3,12,12,9,0,0,33,5,16,17,7,20,7,6,0,87,0,7,0,0,0,0,0,0,5,0,0,0,3,3,4,4,0,14,5,21,18,15,24,11,4,0,106,0,0,0,0,0,0,0,0,0,8,8,8,11,30,11,8,4,99,23,49,42,43,68,32,19,4,291
