LGA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA53570,9,10,14,15,0,0,64,4,8,9,5,8,8,0,0,50,10,81,80,69,61,43,24,4,368,7,46,47,62,87,76,35,4,360,54,133,138,196,192,182,79,13,989,24,9,10,4,11,8,4,0,68,6,6,10,14,26,25,6,0,89,76,147,157,215,225,222,86,18,1148,0,11,4,3,7,16,6,0,40,48,65,57,102,93,118,91,16,589,148,373,361,475,495,491,245,37,2614
LGA53640,4,0,3,0,0,0,13,0,4,4,3,0,0,0,0,15,7,30,17,21,17,3,0,0,101,0,6,6,15,13,9,0,0,55,7,50,31,29,34,21,0,0,163,4,0,0,0,0,0,0,0,10,0,0,0,0,3,3,0,0,10,13,52,31,30,36,24,5,0,187,0,0,0,0,0,0,0,0,0,11,16,18,14,20,25,0,3,105,32,109,83,80,89,63,8,6,472
LGA53710,5,0,0,0,0,0,9,0,0,0,0,5,0,0,0,7,0,14,15,13,7,3,0,0,54,0,0,5,6,5,10,0,0,41,6,23,36,22,26,23,6,0,141,4,5,0,0,0,3,0,0,11,0,0,3,4,4,0,0,0,7,13,29,44,20,31,30,6,0,163,0,0,0,0,0,0,0,0,3,20,8,10,23,24,29,11,5,133,35,44,81,68,81,75,19,3,412
LGA53780,1904,850,418,197,65,7,4775,44,278,450,328,223,127,33,3,1488,993,3799,4519,2436,1341,766,280,54,14184,649,1836,2161,1867,1263,785,306,77,8938,2110,3254,3512,3101,2536,1753,756,155,17187,746,290,239,193,119,80,23,4,1691,147,210,296,353,283,225,125,31,1669,3003,3755,4048,3648,2947,2059,902,191,20546,46,141,182,155,122,119,50,21,826,896,1278,1315,1094,822,736,606,418,7153,5702,12342,14565,10374,7137,4788,2252,768,57919
LGA53800,168,133,92,46,11,7,563,9,96,124,125,92,56,14,0,522,138,614,681,649,382,238,89,15,2797,116,365,481,516,520,337,103,29,2463,655,1411,1280,1354,1142,674,256,65,6834,301,166,111,88,81,40,13,4,801,36,47,82,114,105,78,37,10,514,990,1625,1471,1562,1331,796,302,72,8152,12,24,21,39,36,26,25,18,195,466,538,590,572,525,433,360,235,3710,1750,3356,3539,3594,2981,1925,890,370,18394
LGA53920,8,5,9,0,0,0,35,0,4,4,9,9,5,0,0,27,13,37,18,32,22,10,0,0,132,0,5,11,11,14,8,0,0,56,33,77,78,62,38,11,0,0,292,9,21,20,5,5,0,0,0,61,0,14,12,9,4,5,0,0,37,44,106,106,68,42,18,0,0,390,0,0,0,0,0,0,0,0,0,93,94,92,77,53,29,22,3,471,162,267,238,198,150,70,27,3,1110
LGA53990,82,74,67,58,10,0,351,6,53,83,77,78,45,20,4,368,67,424,546,442,328,245,88,20,2154,57,239,353,398,415,264,82,18,1821,593,1102,1259,1123,942,564,188,35,5807,218,105,74,45,55,31,4,5,531,22,40,73,100,99,75,22,7,433,828,1248,1404,1266,1096,673,218,43,6770,12,16,26,25,21,39,18,3,161,192,220,244,251,280,256,189,73,1694,1157,2241,2742,2531,2297,1573,624,153,13320
LGA54060,0,0,11,7,0,0,24,0,0,10,3,11,6,4,0,30,4,21,45,52,28,27,11,5,190,10,9,25,54,56,52,18,8,226,46,63,97,118,137,122,45,0,630,14,6,7,12,7,9,5,0,69,4,0,4,9,8,3,3,0,35,59,68,106,139,160,139,56,11,737,0,0,3,4,5,6,5,0,24,37,41,57,52,84,86,68,18,439,111,146,247,311,346,316,165,33,1682
LGA54130,0,0,7,4,0,0,13,0,0,7,4,0,0,0,0,13,7,34,20,13,15,9,0,0,101,0,10,15,12,16,7,3,0,58,11,42,39,18,32,11,8,0,171,4,4,3,3,0,0,0,0,20,0,5,6,4,0,0,0,0,17,19,50,47,32,31,19,7,0,207,0,0,6,0,0,0,0,0,15,12,11,14,19,25,21,6,4,106,41,104,104,85,95,46,16,5,500
LGA54170,1774,1694,1184,645,162,29,6602,57,534,954,1001,796,462,104,13,3920,1621,4679,6155,5304,3628,2361,722,124,24595,673,1570,2651,3269,3171,2326,763,166,14598,2258,3856,4481,4435,4520,3155,1159,246,24116,668,193,209,164,202,172,57,7,1660,148,191,368,599,608,541,241,48,2740,3074,4231,5056,5197,5332,3869,1452,302,28520,60,97,154,205,195,255,134,34,1131,625,851,1029,1101,1029,996,735,534,6903,6199,12999,17775,17769,15336,10911,4069,1205,86272
