LGA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
LGA50080,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,5,4,0,30,0,0,0,8,9,9,19,19,11,79,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,12,4,0,0,44,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,7,0,0,4,24,9,5,3,0,0,52,0,0,0,3,0,0,0,0,0,3,0,0,0,7,12,16,46,34,5,120,0,6,22,88,75,74,53,20,0,341,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,27,45,102,47,9,0,0,0,239,0,0,0,8,3,0,0,8,3,17,0,0,0,0,0,0,0,0,0,3,0,0,6,11,8,35,31,30,7,122
LGA50210,0,0,3,26,13,8,3,0,0,55,0,29,10,64,15,20,20,22,0,183,0,0,0,16,15,24,62,30,16,160,0,6,0,9,4,0,0,3,0,27,3,8,7,76,12,8,6,0,0,121,0,3,0,8,14,4,5,5,0,33,0,34,62,295,70,51,48,13,0,579,0,0,0,0,0,0,0,4,0,17,0,3,13,59,16,7,10,0,0,114,0,5,20,120,40,42,23,8,4,252,0,0,3,37,3,3,0,0,0,50,0,5,4,30,39,31,81,48,16,259,17,128,154,524,270,254,133,26,11,1522,0,0,0,0,0,0,0,0,0,3,6,22,19,112,20,9,4,5,0,186,0,8,13,9,9,0,0,0,0,44,4,139,196,339,185,51,8,0,0,928,0,0,0,20,8,7,7,3,0,46,0,4,3,6,6,0,8,4,0,36,0,8,18,71,57,82,68,51,14,368
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,4,0,0,0,39,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,7,13,95,52,48,9,0,0,234,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,5,0,3,12,26,13,4,0,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,4,3,0,0,23
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,3,20,9,4,7,3,3,47,0,0,0,36,0,0,3,3,4,55,0,0,3,3,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,12,0,0,34,0,14,4,104,52,44,35,8,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,3,10,9,9,3,0,0,0,35,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,11,15,0,0,61
LGA50350,0,0,0,4,0,0,0,0,0,3,0,0,0,49,8,3,3,6,0,75,0,4,3,15,5,3,22,20,8,73,0,0,0,9,0,0,0,0,0,14,0,0,3,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,7,10,9,0,51,0,0,0,0,0,0,3,6,0,15,0,0,0,7,0,5,5,0,0,16,0,0,0,0,3,15,7,5,0,32,0,0,0,8,5,0,0,0,0,14,0,0,0,0,5,4,3,8,4,30,0,4,12,71,40,55,29,6,3,230,0,0,0,3,0,0,4,5,0,10,0,0,0,7,5,0,0,0,0,16,0,0,3,5,3,0,0,0,0,5,0,10,7,29,13,5,0,0,0,66,0,0,0,9,0,3,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,16,10,4,0,59
LGA50420,0,3,6,26,12,7,3,0,0,75,0,3,11,230,32,25,22,20,11,351,0,7,8,87,36,64,188,182,75,648,3,5,6,14,9,3,5,0,0,39,0,3,0,69,9,0,4,0,0,92,0,0,0,13,3,0,4,0,0,22,0,15,19,207,78,57,73,53,12,517,0,0,0,0,4,0,12,11,4,36,0,0,6,63,15,26,16,12,0,143,0,5,5,23,25,33,47,18,5,164,0,6,27,112,5,0,0,0,0,157,0,0,3,18,17,16,29,25,15,117,3,27,55,307,122,146,110,28,4,793,0,0,0,10,20,16,14,13,3,75,0,4,59,118,4,3,3,0,0,197,0,0,0,8,9,5,0,0,0,18,0,37,60,137,75,30,11,0,0,353,0,3,0,30,23,20,37,15,6,137,0,0,0,0,0,0,0,0,0,5,0,5,7,69,46,56,49,30,7,276
LGA50490,0,3,9,13,13,6,7,0,0,47,0,4,10,125,17,17,17,8,4,198,0,3,5,48,10,14,28,53,21,170,4,4,5,10,4,0,0,0,0,24,0,3,4,105,23,0,7,0,0,143,0,0,0,14,8,0,4,3,0,35,0,15,33,199,44,32,39,13,3,387,0,0,0,0,0,0,5,0,0,13,0,0,15,60,14,10,5,4,4,105,0,0,4,30,24,39,21,11,6,131,0,0,28,121,5,3,0,0,0,165,0,0,4,7,7,4,6,19,3,49,7,38,53,280,130,145,84,16,3,756,0,0,0,4,0,4,4,0,0,13,8,41,57,184,24,6,3,4,0,326,0,3,4,7,5,0,0,0,0,25,4,43,85,202,92,24,5,4,0,461,0,0,0,10,4,11,12,5,6,51,0,0,0,7,4,4,0,0,0,14,0,0,3,16,21,43,23,28,6,144
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,7,9,4,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,14,5,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,10,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
