LGA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
LGA50080,0,0,0,5,0,0,0,5,13,0,18,0,4,0,4,0,0,0,9,4,0,7,0,3,0,5,0,0,0,7,7,0,18,0,12,0,12,0,5,5,19,25,0,39,4,22,4,29,9,6,11,41,59,0,100,3,51,5,64,0,3,5,68,78,3,144,10,69,8,90,5,4,5,96,68,0,164,31,51,8,89,3,0,6,97,71,0,166,63,60,13,134,0,0,0,137,71,0,213,61,48,3,117,3,0,3,117,31,0,151,55,32,0,86,0,0,4,85,32,0,122,39,15,0,59,0,0,0,65,25,0,86,60,22,3,86,0,0,0,86,23,0,104,20,6,0,29,0,0,0,29,8,0,39,24,4,0,24,0,0,0,24,8,0,28,4,0,0,8,0,0,0,8,0,0,8,11,9,0,15,0,0,0,15,3,0,20,49,30,4,76,0,0,0,79,38,0,120,0,0
LGA50210,0,0,0,4,3,3,8,11,61,0,75,0,7,0,3,3,3,7,8,9,0,20,0,15,0,8,3,11,11,25,35,0,57,3,23,0,27,13,8,19,46,50,0,102,3,30,3,34,13,20,31,65,133,0,197,7,79,7,95,22,30,54,151,208,0,356,36,117,11,160,18,16,34,198,175,0,367,86,138,7,238,12,7,23,257,199,3,459,188,126,14,330,4,12,18,349,172,0,524,157,124,10,290,12,18,28,322,115,0,436,158,49,11,226,9,7,16,234,68,4,306,144,48,10,205,3,0,6,208,57,0,269,220,59,12,299,5,7,8,301,85,3,389,90,22,3,117,5,3,6,120,45,0,167,70,19,3,96,0,0,0,92,12,0,109,20,9,0,27,0,0,0,31,10,0,37,54,9,5,70,0,0,0,68,16,0,89,101,46,18,156,12,8,20,176,98,6,283,6,3
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,8,4,0,0,4,0,0,0,4,0,0,4,0,5,0,4,0,0,0,4,3,0,9,8,0,0,8,0,0,0,7,0,0,10,0,0,4,5,0,0,0,5,0,0,5,15,0,0,20,0,0,0,20,0,0,20,7,0,0,8,0,0,0,8,0,0,8,9,0,0,9,0,0,0,9,0,0,9,3,0,0,6,0,0,0,6,0,0,6,7,0,0,8,0,0,0,8,0,0,6,5,0,0,8,0,0,0,8,0,0,8,0,0
LGA50280,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,8,0,9,0,5,0,8,0,0,0,8,5,0,17,0,11,6,11,0,0,0,10,10,0,24,3,23,0,29,0,0,0,32,18,0,47,7,34,0,35,0,0,0,38,21,0,60,10,33,4,50,0,0,5,51,15,0,65,30,46,0,75,3,0,3,79,8,0,90,21,20,0,41,0,0,0,41,17,0,57,32,13,3,45,0,0,0,47,6,0,54,11,7,0,17,0,0,0,17,0,0,22,23,8,0,36,0,0,0,36,8,0,39,5,9,5,20,0,0,0,20,3,0,21,3,0,0,8,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,10,3,0,8,22,24,3,47,0,0,0,51,13,0,63,0,0
LGA50350,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,10,0,11,0,0,0,4,3,3,6,8,12,0,22,0,7,0,7,0,3,7,14,19,0,28,5,15,0,19,0,3,5,19,27,0,45,8,20,0,31,0,4,5,35,27,0,64,10,25,6,36,0,0,3,38,47,0,84,33,32,0,65,3,0,0,66,20,0,87,26,21,0,43,0,0,0,39,18,0,60,23,9,0,35,0,0,0,35,6,0,43,25,9,3,33,0,0,0,39,4,0,48,52,14,0,66,0,0,0,69,16,0,83,23,6,0,27,0,0,0,27,12,0,40,14,0,0,18,0,0,0,19,4,0,26,7,0,0,14,0,0,0,14,0,0,13,7,0,0,11,0,0,0,10,4,0,15,17,14,0,31,5,0,5,36,13,0,46,0,0
LGA50420,0,5,0,8,3,8,8,18,45,0,64,0,0,0,0,0,0,0,4,17,0,17,0,6,0,9,5,3,5,17,26,0,36,0,22,0,25,8,11,12,36,33,0,65,4,20,0,22,4,10,11,35,77,0,113,5,47,3,56,9,15,29,81,85,0,169,26,74,4,105,3,11,15,123,103,0,223,39,74,9,123,5,10,18,136,123,0,259,64,95,9,172,4,3,4,175,107,5,282,97,69,11,179,6,0,3,177,86,0,265,98,52,8,160,5,0,13,168,62,0,231,94,39,4,138,5,0,4,142,39,0,180,185,44,13,238,5,0,4,246,42,0,287,76,18,6,102,0,0,6,104,41,0,142,67,20,5,88,0,0,0,95,12,0,110,22,5,0,29,0,0,0,29,6,0,33,70,6,4,80,0,0,0,80,13,0,94,82,46,9,134,10,5,12,143,62,3,213,0,0
LGA50490,0,0,0,0,3,5,4,4,37,0,42,0,3,0,7,0,0,0,7,3,0,13,0,0,0,0,5,0,10,12,11,0,25,8,6,0,10,11,8,18,29,34,0,61,0,18,0,18,11,5,13,37,47,0,80,6,25,0,34,9,14,16,50,70,0,120,9,45,7,57,7,5,19,76,63,0,138,31,39,0,70,0,9,11,81,94,0,175,46,39,3,89,6,3,7,92,70,0,164,62,44,3,108,0,4,10,121,53,0,172,46,32,0,76,0,0,5,80,46,0,126,47,10,0,58,5,3,4,68,33,0,99,103,25,0,126,3,0,3,129,45,0,170,36,10,0,50,0,0,0,51,26,0,75,43,9,4,52,0,0,0,57,7,0,57,11,3,0,14,0,0,0,14,3,0,16,31,6,3,37,0,0,0,36,11,0,47,34,12,9,57,3,5,5,66,36,8,111,0,0
LGA50560,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,7,3,0,9,0,3,0,3,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,7,0,0,7,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,6,5,0,11,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,8,0,0,13,0,0,0,3,0,0,0,3,0,0,3,4,0,0,4,0,0,0,4,0,0,4,6,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,6,5,3,0,5,0,5,0,5,0,0,0,5,3,0,12,5,6,0,7,0,0,0,7,0,0,12,5,0,0,3,0,0,0,3,0,0,4,4,0,0,3,0,0,0,4,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0
