LGA_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
LGA50080,5,41,59,66,52,78,33,4,338,3,22,32,42,46,39,11,3,194,28,171,227,259,240,234,82,18,1257,21,121,170,213,262,228,110,14,1144,381,804,709,734,735,541,269,85,4258,157,42,34,22,28,12,6,0,300,10,19,21,31,43,61,20,8,222,545,863,769,790,803,615,289,99,4775,0,15,11,8,12,22,14,3,86,141,181,143,172,198,190,146,84,1253,748,1412,1404,1557,1606,1409,677,229,9045,10,73,84,84,101,56,12,6,425,10,47,71,110,112,78,18,7,453,78,383,482,480,406,307,135,26,2301,61,208,302,365,404,300,152,46,1836,307,518,460,490,406,212,55,21,2456,170,69,52,55,50,27,13,0,441,23,28,37,93,113,74,27,8,403,497,621,543,637,564,315,93,28,3302,3,12,15,26,17,35,19,12,137,114,120,131,156,214,248,235,156,1383,773,1472,1638,1849,1825,1339,666,270,9830,9,114
LGA50210,18,224,675,267,144,79,28,8,1440,0,70,136,99,60,44,14,0,434,189,898,1435,730,387,250,81,26,3989,142,636,922,566,431,257,126,15,3086,766,2062,1913,1515,1401,987,401,81,9124,288,146,70,47,16,16,6,0,593,37,61,87,73,73,71,36,7,450,1093,2272,2067,1633,1489,1074,442,89,10163,25,36,70,46,44,30,27,7,273,381,518,564,451,347,222,165,79,2732,1844,4661,5864,3779,2906,1963,888,226,22123,21,434,686,266,111,59,17,0,1587,20,217,269,156,118,53,17,3,844,280,1797,2060,895,492,297,111,18,5961,233,841,1044,718,600,331,105,28,3899,848,1489,1308,905,656,332,67,11,5615,290,180,116,90,88,37,24,4,828,69,103,161,167,128,103,34,3,778,1216,1766,1585,1171,873,472,126,19,7216,18,47,62,29,40,37,23,4,262,331,483,473,335,319,329,265,130,2664,2119,5589,6163,3564,2552,1584,661,203,22439,37,657
LGA50250,0,25,16,4,9,0,0,0,54,0,7,3,6,3,0,0,0,25,10,57,61,32,20,3,0,0,186,5,38,49,43,32,11,0,0,172,61,343,380,217,129,32,5,0,1162,15,10,12,3,0,0,0,0,40,0,4,11,7,4,0,0,0,30,78,353,392,223,138,32,8,0,1231,0,0,0,6,0,0,0,0,18,92,205,208,163,114,21,4,0,813,189,687,738,481,312,65,19,0,2490,0,17,14,4,8,4,0,0,47,0,14,11,16,3,0,0,0,46,17,122,97,37,20,13,3,0,306,7,68,65,43,30,5,0,0,224,45,133,115,53,39,8,0,0,392,15,17,8,5,4,0,0,0,46,5,10,8,5,10,4,0,0,36,60,156,134,68,46,9,0,0,478,0,0,4,0,7,0,0,0,12,60,115,103,76,48,21,3,0,434,150,504,439,232,164,45,5,0,1538,0,33
LGA50280,0,31,29,46,32,51,18,7,213,0,7,28,27,25,20,12,0,114,13,141,213,188,155,128,48,8,892,5,64,113,125,93,113,45,4,564,84,285,401,368,351,226,52,16,1781,40,9,14,13,8,0,3,4,94,8,9,21,23,18,19,6,0,106,134,307,434,401,378,248,68,20,1986,0,0,7,9,12,7,3,0,42,73,107,142,176,89,95,40,21,742,233,654,963,973,774,655,234,68,4549,0,34,85,36,43,39,8,0,253,0,25,63,52,42,36,6,0,237,19,291,418,289,192,145,48,18,1419,15,103,168,177,175,130,47,18,843,69,135,245,180,146,59,22,0,853,23,18,19,24,19,13,5,0,120,4,21,36,39,41,21,12,0,169,90,168,301,247,200,91,35,0,1135,6,8,14,10,5,16,3,5,71,47,81,128,120,85,106,45,39,654,177,716,1181,935,762,566,199,80,4611,0,70
LGA50350,7,68,109,64,46,21,7,0,325,0,19,26,34,33,11,3,0,135,51,269,243,176,109,61,23,7,943,25,97,122,120,90,64,30,9,550,109,268,283,269,250,215,93,24,1515,40,18,13,11,11,3,0,0,89,6,0,8,19,15,10,8,0,70,156,293,313,290,275,229,101,26,1680,3,9,0,3,6,4,5,5,30,61,106,91,75,62,61,37,11,493,301,857,906,762,615,460,205,48,4161,9,79,126,83,58,23,3,3,383,0,49,80,73,47,21,8,0,283,74,385,376,242,153,94,34,3,1361,32,113,131,137,133,81,38,8,673,91,178,181,131,118,67,22,8,790,39,24,23,15,4,14,0,0,118,14,5,28,33,44,23,16,0,156,140,211,223,176,167,99,33,11,1062,0,4,3,3,12,10,8,0,44,34,76,63,75,74,64,60,34,472,295,917,1005,790,641,395,181,61,4287,18,146
LGA50420,40,475,559,278,207,121,53,6,1732,13,108,156,126,105,55,23,6,593,296,1644,1521,900,559,408,132,22,5490,205,573,572,512,385,316,153,33,2765,418,1197,1033,859,924,731,395,108,5666,142,66,31,44,15,17,4,3,317,19,59,61,57,57,66,21,9,346,578,1318,1123,959,999,816,417,115,6323,17,32,47,35,31,25,22,4,219,205,403,367,281,253,187,181,82,1961,1357,4554,4353,3099,2541,1929,980,275,19079,39,658,692,348,174,99,29,10,2033,12,274,273,221,159,100,27,10,1072,445,2154,1716,1014,605,396,135,36,6511,198,615,613,558,504,371,138,40,3040,381,732,573,532,401,236,75,27,2948,149,75,58,56,71,49,11,4,461,35,59,101,121,137,115,59,17,644,558,868,727,708,605,397,138,48,4058,9,39,59,29,40,47,29,15,266,179,332,288,220,220,235,254,170,1892,1448,4936,4370,3109,2294,1643,757,319,18869,75,1133
LGA50490,14,367,381,156,79,52,22,3,1078,5,60,65,46,48,20,0,0,246,198,1061,740,411,233,143,44,16,2845,151,478,411,257,233,135,40,14,1725,349,850,651,609,566,382,212,66,3675,120,69,35,15,16,3,4,0,272,22,42,37,45,40,28,11,3,227,488,957,722,662,630,418,226,74,4178,10,28,38,28,12,10,12,8,154,220,413,342,265,207,143,102,61,1750,1090,3371,2704,1827,1442,918,447,178,11980,26,403,338,142,54,37,10,0,1012,16,135,118,91,61,27,9,0,454,266,1361,934,442,268,151,53,21,3493,145,484,382,333,272,140,58,16,1836,327,514,376,274,213,135,25,17,1874,112,50,30,29,30,27,10,0,296,13,47,61,64,75,53,15,5,334,459,607,466,369,323,209,55,23,2508,10,35,22,25,24,26,22,11,184,178,354,263,190,180,149,154,113,1588,1105,3382,2528,1591,1180,745,358,191,11081,41,775
LGA50560,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,7,0,5,11,6,4,13,0,0,42,0,0,3,10,6,16,5,0,44,3,26,17,26,35,37,19,3,169,0,7,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,11,7,30,23,22,35,39,20,3,183,0,0,0,0,0,3,0,0,8,11,11,12,21,18,25,15,8,124,19,49,51,65,77,93,43,20,414,0,0,3,0,0,0,0,0,9,0,0,5,6,0,0,0,0,14,4,9,17,18,15,16,3,0,86,0,6,13,12,11,17,4,0,66,11,13,14,18,14,9,0,0,80,0,0,4,3,0,0,0,0,10,0,0,0,0,5,8,0,0,16,11,12,15,21,18,16,4,0,104,0,0,3,0,0,0,0,0,10,8,8,9,13,20,25,12,8,103,27,42,62,72,75,82,24,7,397,0,0
LGA50630,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,5,8,4,6,0,0,35,0,3,5,4,4,13,3,0,26,8,42,31,42,49,25,9,0,198,4,0,0,0,0,0,0,0,9,0,0,4,3,0,0,4,0,13,13,42,30,43,51,27,8,0,221,0,0,0,0,3,0,0,0,8,6,14,7,18,23,10,6,3,89,21,71,56,80,90,54,24,0,392,0,0,3,0,0,3,0,0,12,0,0,3,0,0,3,0,0,11,8,15,23,11,7,13,0,0,77,3,5,10,6,17,11,5,0,56,3,27,15,16,19,7,0,0,87,6,5,3,3,0,4,0,0,25,0,4,0,6,3,0,0,0,17,13,35,21,22,26,13,0,0,126,0,0,0,4,0,0,0,0,5,5,8,11,22,10,10,10,4,81,28,67,78,58,62,50,20,5,369,0,0
LGA50770,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,6,0,7,4,9,11,5,3,0,45,0,0,4,5,15,6,3,0,38,9,20,32,37,37,26,7,0,178,0,4,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,10,16,20,36,40,44,26,8,0,197,0,0,0,0,0,0,0,0,0,7,10,8,19,19,13,17,6,95,26,40,60,75,84,58,30,7,384,0,0,5,0,0,6,0,0,8,0,0,0,0,0,0,3,0,9,0,16,43,22,15,3,7,0,113,0,4,15,15,15,18,5,0,71,17,20,21,21,22,10,0,0,110,7,0,0,0,0,0,0,0,10,3,4,4,3,4,4,0,0,24,30,24,24,22,25,12,4,0,142,0,0,0,0,0,0,4,0,4,9,4,19,16,17,18,18,5,103,36,58,102,83,74,60,40,5,453,0,0
