LGA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
LGA50080,3078,2884,1036,265,1445,1279,219,588,3426,339,2510,16720,1570,29248,78,65,28,5,35,35,5,15,62,4,57,450,48,755,735,263,238,81,330,311,50,152,365,86,427,1330,110,3195,121,43,34,14,69,68,6,28,57,15,79,326,24,674,59,12,26,9,37,44,7,7,21,10,38,159,17,319,0,0,3,0,6,0,0,0,0,0,8,24,4,45,37,22,12,3,48,16,4,4,33,0,52,832,66,1087,0,4,0,0,0,0,0,0,6,0,3,130,20,160,10,7,6,0,19,15,3,0,10,0,14,129,4,189,36,17,13,3,14,13,0,11,28,10,35,172,9,312,62,44,18,5,34,33,3,9,66,3,46,450,24,692,1141,481,372,127,592,535,82,220,640,132,759,4002,316,7425,76,24,27,19,35,43,11,21,38,13,25,191,1710,2094,4294,3389,1430,414,2077,1860,313,834,4106,479,3296,20913,3603,38763,1287,1646,434,7
LGA50210,3680,5584,1126,167,2294,1551,389,944,6441,345,4669,35412,2274,55458,260,302,77,16,155,121,24,60,268,36,210,2023,151,3208,1641,704,504,108,858,726,149,405,953,186,982,3840,307,8310,239,79,103,39,124,140,23,58,117,30,178,787,44,1532,133,33,42,20,88,71,8,22,58,23,87,515,36,885,35,36,12,3,42,17,5,8,38,4,39,590,24,773,207,259,81,18,367,134,49,34,166,23,363,4724,134,6108,17,20,22,0,31,13,6,4,21,3,61,1121,18,1304,138,156,36,8,392,97,26,23,107,15,262,6049,162,7192,63,45,26,0,34,26,0,11,69,6,66,550,33,813,152,153,40,4,157,83,19,16,162,15,222,2930,105,3810,2887,1778,937,213,2271,1421,305,641,1955,330,2470,23141,1000,33936,88,59,32,30,69,44,16,28,90,11,63,302,4189,4789,6657,7422,2100,416,4632,3018,712,1615,8487,690,7203,58856,7467,94184,2310,3609,698,14
LGA50250,159,358,66,7,159,84,21,33,290,14,206,3433,136,4574,21,28,12,0,10,11,0,0,9,0,12,335,9,430,17,16,9,0,11,9,0,0,15,0,11,170,12,239,4,4,0,0,0,0,0,0,0,0,3,90,0,111,0,4,0,0,0,6,0,0,0,0,3,64,4,77,0,0,0,0,0,0,0,0,0,0,0,29,0,29,6,9,9,0,3,0,0,0,8,4,15,199,5,239,0,0,0,0,0,0,0,0,0,0,0,30,0,33,0,3,0,0,0,0,0,0,0,0,0,68,0,66,0,5,0,0,0,0,0,0,4,0,0,49,0,53,3,4,3,0,0,5,0,0,4,0,14,88,4,116,43,66,25,0,35,26,0,8,44,6,55,1116,40,1398,4,3,0,0,6,7,0,0,5,0,6,55,1340,1425,207,426,91,9,198,113,24,42,341,14,262,4607,1520,7391,154,274,63,4
LGA50280,860,819,338,54,272,382,81,126,953,69,764,7811,432,11538,50,34,17,8,3,12,5,7,41,5,37,384,15,544,204,86,65,15,59,87,17,38,135,30,119,911,38,1490,30,13,22,5,8,21,0,7,25,7,31,321,9,453,14,3,6,3,0,9,0,0,4,0,9,139,3,183,0,0,0,0,0,0,0,0,3,0,0,19,0,24,4,5,4,0,3,4,0,4,3,4,5,218,8,258,7,3,0,0,0,0,0,0,0,0,8,100,5,117,0,0,0,0,0,3,0,0,0,0,7,48,0,61,18,13,3,0,6,7,0,6,21,0,25,252,13,337,15,14,14,0,3,11,0,0,18,6,17,202,10,285,335,184,132,26,90,157,21,63,256,49,251,2613,101,3761,34,12,9,14,10,15,0,4,10,8,21,144,1258,1492,1226,1022,483,94,367,551,105,197,1224,124,1040,10563,1789,16791,440,569,184,4
LGA50350,848,1062,313,74,440,401,98,229,1331,90,1000,6464,423,10767,53,43,20,0,32,30,4,19,34,5,32,270,23,469,191,116,65,15,90,104,10,61,171,14,133,627,55,1262,35,22,17,3,20,23,4,13,40,7,26,217,17,355,94,12,33,14,53,38,16,19,29,16,48,221,21,470,10,3,0,0,7,4,0,0,5,0,12,42,0,72,35,35,10,7,44,18,5,8,26,10,47,464,19,654,8,6,3,0,3,0,0,0,7,0,13,179,5,225,35,20,9,0,31,20,6,12,16,7,20,286,6,403,11,9,7,0,3,11,0,0,13,0,24,109,5,160,16,15,4,0,17,12,4,3,20,0,31,183,3,278,482,282,169,47,302,252,54,123,362,67,384,2598,150,4333,18,7,5,3,5,11,5,3,8,0,10,34,753,835,1351,1351,491,126,751,659,151,357,1697,161,1394,9103,1328,15932,457,762,170,4
LGA50420,2694,3749,1033,258,1400,1249,281,596,4593,289,3454,25435,1444,40148,124,135,58,10,73,81,12,29,144,14,124,988,51,1596,667,353,249,85,323,288,70,160,491,66,479,2174,125,4297,163,87,60,32,77,94,17,42,118,23,135,986,49,1575,614,139,184,115,382,343,74,106,233,94,365,1715,92,3331,67,46,18,0,58,21,5,12,51,0,69,696,44,990,305,257,109,38,447,157,57,39,226,62,455,3951,139,5594,43,42,32,10,77,29,7,9,45,10,102,1912,45,2274,198,115,43,39,254,156,28,33,73,31,169,2724,71,3517,58,64,15,0,27,22,7,11,69,6,80,751,26,1023,121,126,62,7,115,79,5,27,153,5,155,1244,46,1878,2363,1379,836,328,1838,1275,280,471,1603,303,2132,17142,683,26081,65,32,12,12,41,27,10,16,24,15,31,224,2657,3049,5122,5158,1883,603,3276,2551,568,1083,6218,604,5621,42795,4788,69283,1514,2962,632,12
LGA50490,1721,2045,591,158,1004,784,187,416,2531,225,1842,13913,801,22139,107,124,52,3,92,61,8,27,103,19,103,1003,57,1528,378,201,129,53,168,186,40,118,232,69,257,1084,67,2215,83,38,24,19,37,61,9,26,44,15,52,496,18,750,154,49,49,23,110,105,15,26,55,24,82,526,35,953,41,35,13,5,63,25,5,5,31,5,63,640,41,873,168,176,64,17,223,95,25,22,118,30,259,2840,92,3758,30,21,14,3,63,22,10,0,41,11,77,1641,45,1918,101,80,18,6,154,58,11,20,68,12,106,2773,85,3303,19,19,10,0,18,11,4,7,34,0,31,435,7,564,55,65,14,0,74,24,4,8,71,6,76,1051,42,1387,1143,808,385,136,1008,640,119,255,792,188,1106,12492,499,17247,51,24,18,11,28,31,4,9,17,10,30,151,2595,2867,2909,2874,997,305,2034,1459,307,683,3342,425,2978,26554,3903,42257,936,1599,318,0
LGA50560,182,139,43,7,89,76,14,37,135,14,98,614,29,1163,3,3,0,0,4,3,0,4,0,0,4,20,0,42,35,13,12,0,19,15,4,6,16,0,26,53,10,142,5,0,0,0,3,4,0,3,0,0,5,15,3,33,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,25,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,12,4,0,0,0,0,0,0,0,0,0,4,3,0,11,0,0,0,0,0,4,0,0,0,0,4,17,4,32,60,17,18,6,33,24,4,12,26,3,47,148,16,303,3,6,0,0,3,4,0,0,7,0,0,24,191,230,245,168,63,10,125,108,16,47,158,19,147,785,229,1694,70,77,17,0
LGA50630,121,125,39,0,53,48,11,24,126,12,84,803,35,1279,7,7,0,0,0,0,0,0,3,0,0,44,0,68,12,3,0,0,14,5,0,4,8,5,12,52,0,93,9,0,3,0,0,0,0,3,0,0,0,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,6,17,0,29,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,4,0,0,0,0,0,4,0,0,17,0,23,38,15,8,0,16,8,3,3,22,3,19,154,5,250,4,6,0,0,0,4,0,0,0,3,4,22,141,176,159,145,44,4,77,58,14,31,146,22,107,979,180,1705,70,77,22,0
LGA50770,166,91,57,9,70,66,15,25,142,12,101,849,53,1371,6,3,0,0,5,0,0,0,0,5,0,34,6,49,27,12,8,0,7,8,0,11,13,3,17,53,8,121,0,0,0,0,0,0,0,0,3,0,0,18,0,24,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,12,0,16,42,15,9,0,16,17,0,11,22,7,11,130,12,239,0,0,0,0,3,0,0,0,0,0,0,27,187,228,211,109,69,9,92,87,21,37,164,21,119,1006,249,1834,80,51,34,0
