LGA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
LGA50080,0,0,0,0,0,0,0,0,0,3,947,2241,1850,3239,1727,1794,1646,757,288,14488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,8,5,7,7,4,8,59,0,0,0,0,0,0,0,0,0,0,0,4,3,16,3,6,0,0,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,5,0,26,26,101,134,294,316,273,102,1272,0,0,0,7,0,0,0,0,0,10,0,0,0,9,3,3,0,3,0,28,0,0,0,7,8,8,31,18,0,82,0,0,0,0,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,11,0,3,3,36,12,8,0,6,0,74,0,5,0,8,3,0,0,0,0,14,0,0,0,0,0,4,0,0,0,4
LGA50210,0,5,21,85,14,4,0,0,0,128,3620,6039,3630,7381,2671,2066,1537,577,125,27652,0,4,4,30,11,7,4,0,0,54,0,0,0,4,0,0,0,0,0,7,0,0,0,6,3,0,0,0,0,14,0,0,0,14,3,4,0,0,0,24,0,4,14,14,18,9,9,7,0,70,0,6,0,10,7,12,3,4,0,40,3,12,16,162,40,22,13,8,4,272,0,0,0,6,3,5,7,9,0,34,0,4,3,17,4,4,4,0,0,33,8,67,132,563,567,930,672,453,133,3529,0,0,0,14,7,5,3,0,0,23,0,0,3,10,9,12,5,8,0,43,0,0,0,29,16,27,32,32,3,144,0,0,0,0,0,0,4,0,0,4,0,8,9,37,8,4,3,0,0,71,22,260,206,1817,323,103,97,29,5,2863,0,14,28,127,35,19,14,0,0,228,0,3,3,35,21,7,0,5,0,73
LGA50250,0,0,0,4,0,0,0,0,0,3,276,469,214,964,343,245,58,17,0,2590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,22,28,5,0,0,118,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,23,0,4,0,3,4,0,0,0,0,14,0,0,0,5,0,0,0,0,0,5
LGA50280,0,0,0,0,0,0,0,0,0,4,474,1085,562,1264,841,673,630,212,72,5823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,4,0,0,0,30,0,0,0,12,0,0,0,0,0,12,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,120,105,149,106,74,20,596,0,0,0,0,0,0,0,0,0,0,0,4,5,25,3,3,0,0,0,42,0,0,0,25,8,7,12,11,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
LGA50350,0,0,0,0,0,0,0,0,0,3,502,829,704,1445,681,546,387,155,56,5307,0,0,0,0,0,0,5,0,0,5,0,0,0,4,0,3,3,0,0,16,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,4,0,0,15,0,0,0,4,0,3,0,0,0,3,0,0,6,22,6,6,6,0,0,45,0,0,0,4,5,0,5,6,0,20,0,0,0,0,0,0,0,3,0,6,4,7,13,114,101,132,89,54,17,527,0,0,0,4,0,0,3,0,0,8,0,0,0,3,3,0,4,0,0,14,0,0,0,6,6,3,9,5,0,27,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,8,0,11,3,60,14,13,19,12,6,131,0,0,0,12,3,0,0,0,0,19,0,0,0,3,0,0,0,0,0,5
LGA50420,0,0,7,27,10,3,0,6,0,47,1958,3082,2736,5899,2399,1821,1335,674,215,20119,0,0,0,35,4,3,0,6,0,43,0,0,0,42,15,29,13,13,0,117,0,0,0,65,5,0,0,0,0,80,0,5,0,6,10,4,3,0,0,30,0,3,0,42,14,16,10,4,3,94,0,0,0,11,5,4,7,0,0,37,4,15,74,230,84,66,46,5,3,539,0,0,0,12,0,13,22,21,11,76,0,0,0,11,0,3,7,3,4,29,8,19,54,487,302,406,279,210,55,1830,0,0,0,6,4,3,0,0,0,9,0,0,0,50,7,8,3,0,0,75,0,0,6,33,24,15,47,25,6,152,0,6,4,7,6,9,19,29,12,89,0,0,17,76,13,17,24,0,0,155,12,76,100,576,102,119,106,76,20,1200,0,8,23,61,14,16,10,0,0,128,0,12,14,72,26,12,13,6,0,151
LGA50490,0,9,23,116,23,6,0,0,0,178,1129,1646,1514,3320,1298,1141,744,336,122,11256,4,11,20,65,25,0,0,0,0,129,0,0,4,13,3,0,0,0,0,24,0,3,0,39,4,0,0,0,0,54,0,0,0,5,0,0,7,0,0,11,0,0,0,17,5,0,6,0,0,28,0,0,0,0,3,0,0,4,0,13,0,15,55,219,56,66,32,7,4,450,0,0,0,5,3,6,7,4,5,32,0,0,11,7,8,3,7,0,0,39,0,15,44,207,139,247,149,114,49,965,0,0,6,3,8,4,0,0,0,18,0,0,0,18,0,3,0,4,0,31,0,0,4,21,5,13,21,16,6,83,0,0,0,0,0,0,3,3,0,13,0,0,13,58,10,10,5,0,0,96,9,34,120,474,75,46,34,26,9,825,0,6,9,63,25,11,11,0,0,126,0,0,0,60,4,4,0,0,0,77
LGA50560,0,0,0,0,0,0,0,0,0,0,36,53,39,110,68,98,123,54,13,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,21,15,11,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,63,112,51,139,93,99,75,33,7,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,14,11,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,48,107,63,122,98,93,82,60,10,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,12,10,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
