LGA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
LGA50080,665,669,1553,1600,1865,1786,656,114,22,8925,14,12,34,46,66,77,69,16,5,335,0,6,6,8,9,4,0,0,0,37,17,23,38,47,50,40,12,0,0,235,0,0,11,17,5,8,0,0,0,45,3,10,45,57,64,35,12,0,0,225,5,11,20,16,22,16,3,0,0,95,215,109,183,187,219,192,43,0,0,1156,236,83,127,115,117,96,30,6,0,810,6,4,13,23,40,32,6,0,0,136,7,11,11,7,6,7,0,0,0,53,3,18,30,31,28,28,0,0,0,138,0,12,31,24,41,24,8,5,0,138,10,11,83,94,86,67,24,0,0,381,0,11,29,52,61,59,18,0,0,243,8,11,57,106,151,100,25,3,0,451,8,43,139,244,377,298,70,5,0,1185,59,145,380,472,578,542,127,8,0,2310,14,7,31,16,25,24,5,0,0,118,21,39,67,76,61,62,21,0,0,340
LGA50210,1125,1949,5407,6545,4409,3231,818,109,3,23594,6,14,34,31,20,20,15,4,0,151,6,53,136,164,103,47,3,0,0,515,34,65,167,213,173,94,14,0,0,752,0,4,25,42,30,12,0,0,0,121,22,42,203,153,103,84,17,0,0,626,15,31,93,129,102,55,16,0,0,447,316,369,525,470,383,331,77,5,0,2480,474,213,262,191,128,79,18,0,0,1363,12,54,167,191,134,106,21,0,0,680,13,10,25,27,15,11,6,0,0,104,4,16,148,176,96,52,3,0,0,498,0,18,67,77,47,41,17,0,0,272,13,77,307,319,183,117,30,0,0,1042,21,69,187,185,161,105,24,0,0,759,21,53,276,363,231,177,45,3,0,1168,46,153,527,743,655,462,110,5,0,2708,72,382,1274,1546,1043,758,156,5,0,5237,42,38,77,64,45,24,11,0,0,307,38,87,236,201,135,73,18,5,0,784
LGA50250,63,135,620,679,483,347,52,6,0,2387,0,4,10,3,5,8,0,0,0,31,6,30,115,114,70,38,6,0,0,373,0,0,6,5,0,3,0,0,0,9,0,0,6,0,4,4,0,0,0,12,0,0,11,11,10,7,0,0,0,40,0,0,4,3,0,4,0,0,0,12,10,4,16,19,13,13,4,0,0,80,11,11,39,21,12,18,3,0,0,116,0,4,6,10,9,11,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,5,7,3,0,0,0,23,0,0,4,3,0,5,0,0,0,16,4,4,23,31,9,13,0,0,0,99,0,3,23,34,27,14,3,0,0,104,4,17,78,72,40,26,3,0,0,232,3,8,47,45,25,17,7,0,0,143,0,0,5,0,0,0,0,0,0,3,0,0,13,17,5,4,0,0,0,37
LGA50280,225,203,690,1007,1004,741,317,54,6,4245,3,4,41,31,26,29,36,7,0,181,0,0,11,18,8,12,0,0,0,54,13,16,73,97,57,37,16,4,0,305,0,0,5,0,0,5,0,0,0,7,0,0,10,40,22,20,6,0,0,99,0,0,8,10,15,7,7,0,0,51,68,32,67,141,108,95,20,0,0,527,93,37,116,118,114,73,16,0,0,575,0,0,3,10,7,13,11,0,0,48,0,0,0,3,8,0,0,0,0,11,0,4,20,7,16,10,0,0,0,51,0,0,7,11,22,17,9,0,0,72,7,4,27,68,54,26,11,0,0,186,8,10,23,54,59,34,9,0,0,195,0,0,22,62,35,27,0,0,0,147,10,0,57,152,158,140,21,4,0,540,10,11,106,178,160,137,34,4,0,636,9,4,7,18,11,11,0,0,0,66,4,8,33,38,31,16,8,0,0,138
LGA50350,173,331,888,949,877,664,178,24,0,4083,0,0,0,5,3,0,4,0,0,12,0,3,32,39,29,17,3,0,0,130,3,3,21,37,36,24,6,0,0,132,0,0,11,20,6,0,0,0,0,36,0,4,27,32,26,16,3,0,0,100,0,4,20,20,17,12,8,0,0,72,61,62,65,66,49,54,14,0,0,367,76,49,48,36,20,20,4,0,0,249,0,4,21,25,18,14,3,0,0,94,0,0,9,11,10,6,4,0,0,41,0,4,17,35,32,19,5,0,0,114,0,4,13,9,18,4,3,0,0,55,0,16,80,103,65,31,9,0,0,308,0,4,23,38,21,19,6,0,0,124,0,13,65,77,92,69,11,0,0,326,9,28,103,140,154,127,22,3,0,590,9,57,208,198,183,172,45,5,0,879,7,12,24,19,21,10,0,0,0,95,3,15,52,37,25,21,7,4,0,164
LGA50420,709,1596,4812,4605,3498,2735,846,105,7,18919,4,3,16,12,13,9,0,0,0,52,0,44,197,196,112,52,3,0,0,598,16,29,98,102,117,90,26,3,0,481,0,9,32,44,25,29,4,0,0,138,6,31,135,143,74,72,15,3,0,478,3,16,66,66,61,56,13,0,0,281,238,302,389,235,226,189,64,5,0,1657,274,250,336,196,158,112,29,4,0,1352,0,30,97,89,96,67,22,3,0,409,3,20,46,29,26,16,6,0,0,139,0,31,158,170,123,61,11,0,0,561,7,19,67,69,54,38,6,6,0,256,12,102,452,397,261,148,43,0,0,1410,11,57,179,136,116,85,24,0,0,607,10,54,314,346,308,217,55,0,0,1316,29,118,481,510,556,395,124,5,0,2229,32,306,1077,886,766,627,178,9,0,3873,45,74,114,75,55,44,14,0,0,415,20,83,212,178,135,100,33,0,0,768
LGA50490,390,1099,3542,2772,2005,1549,441,54,3,11855,0,0,14,7,4,3,0,0,0,31,5,39,179,131,84,46,8,0,0,486,10,11,86,56,61,47,7,0,0,284,0,0,20,23,9,5,5,0,0,60,8,25,117,83,54,35,8,0,0,327,4,13,46,56,34,24,5,0,0,189,123,209,238,133,118,112,28,0,0,965,151,155,265,140,92,60,18,0,0,886,4,33,77,75,74,45,15,0,0,326,4,8,19,8,16,3,7,0,0,66,6,22,91,94,56,37,5,0,0,303,4,25,52,40,35,30,5,0,0,188,5,67,284,189,95,61,25,3,0,730,5,42,142,94,80,76,25,0,0,461,0,39,155,157,136,107,27,0,0,629,21,62,226,224,210,166,36,5,0,957,21,199,705,477,374,303,88,8,0,2173,22,45,94,53,42,28,9,3,0,303,10,50,122,93,59,43,15,0,0,400
LGA50560,17,11,40,56,72,84,56,8,0,344,0,3,8,5,18,9,15,0,0,53,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,8,0,0,4,4,4,7,4,0,0,25,0,0,4,0,0,3,0,0,0,14,0,0,0,3,0,3,5,0,0,13,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,3,3,3,7,0,0,0,9,0,0,6,0,0,3,4,0,0,7,0,0,7,3,6,5,0,0,0,17,0,0,5,11,14,7,4,0,0,45,0,0,3,10,10,18,7,0,0,49,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,0,6
LGA50630,9,17,59,83,107,99,32,7,0,428,0,0,0,4,0,0,6,0,0,22,0,7,17,18,18,7,0,0,0,68,0,8,6,7,7,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,10,0,0,0,22,4,0,6,6,3,9,0,0,0,31,0,0,0,0,3,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,0,0,0,6,3,0,0,0,7,0,3,4,3,0,6,0,0,0,21,0,0,5,8,16,7,6,0,0,38,0,0,4,7,6,16,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,9
LGA50770,16,31,48,75,94,102,51,31,0,439,7,7,15,16,15,20,20,8,0,108,0,0,0,4,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,8,5,6,9,4,0,0,0,33,3,0,0,4,3,3,0,0,0,19,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,8,0,0,0,8,0,0,0,0,4,0,0,0,0,8,0,0,0,4,8,5,0,0,0,24,0,5,9,11,14,5,0,0,0,43,0,0,0,16,11,20,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10
