LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA50080,187,555,203,328,28,1433,197,128,813,467,754,78,2438,13,3,22,30,65,3,142,14,13,46,82,366,13,535,8,3,44,45,160,47,315,567,466,2539,1950,5702,413,11635
LGA50210,330,1187,370,713,58,3013,540,281,1962,1017,1479,160,5448,27,9,92,67,154,9,355,48,14,144,202,879,47,1331,75,26,276,245,650,228,1500,2515,1035,7949,5243,12480,1121,30346
LGA50250,25,105,24,44,3,222,4,13,49,28,32,0,129,0,0,0,0,9,0,6,0,0,3,15,33,5,52,0,0,9,5,55,19,84,93,64,440,357,1531,93,2574
LGA50280,80,309,69,133,4,659,80,54,267,139,137,12,687,4,3,40,17,24,0,91,5,3,30,25,126,4,204,13,10,68,34,87,24,224,331,260,1746,960,2334,215,5843
LGA50350,122,287,82,103,21,731,122,70,351,162,217,19,944,14,9,47,26,27,3,124,18,3,44,30,122,5,220,23,3,55,22,92,22,221,606,362,1900,905,1926,155,5845
LGA50420,393,1230,290,349,43,2835,573,281,1751,671,797,117,4184,58,15,214,102,134,16,537,65,17,219,191,581,36,1114,119,31,363,156,310,136,1101,3206,1376,9878,4229,7182,840,26706
LGA50490,145,491,119,201,37,1211,273,132,932,432,467,67,2302,25,7,114,84,154,17,405,35,12,142,110,296,22,616,60,10,154,113,201,136,676,1747,590,5173,2691,4857,642,15696
LGA50560,7,18,5,7,0,34,4,0,15,8,19,0,45,0,0,0,4,4,0,11,0,0,0,4,11,0,12,0,0,0,0,10,0,15,12,13,98,71,166,19,375
LGA50630,3,20,3,10,5,45,0,0,11,7,9,5,36,0,0,0,0,0,0,0,0,0,0,6,15,0,20,0,0,0,0,5,4,7,11,10,81,55,258,31,434
LGA50770,3,21,4,15,0,43,4,0,18,11,12,0,51,0,0,0,0,0,0,0,0,0,4,0,13,0,18,0,0,0,0,11,0,16,11,10,120,76,240,18,477
LGA50840,16,82,24,39,0,174,9,9,66,50,74,4,213,0,0,4,9,4,0,21,0,0,4,9,44,3,59,3,0,8,7,15,4,32,53,57,323,243,753,65,1502
LGA50910,8,7,5,14,0,25,0,0,10,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,0,10,6,9,54,29,103,7,213
LGA50980,99,340,102,175,26,831,148,101,436,213,259,51,1211,12,4,24,18,34,3,94,10,7,31,35,124,3,218,11,5,49,20,100,55,245,416,307,1599,943,2141,287,5692
LGA51080,0,14,3,10,0,32,3,5,12,7,8,0,25,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,6,0,0,5,10,3,72,44,104,15,252
LGA51120,3,15,5,8,0,30,0,0,6,4,4,0,21,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,5,0,3,3,11,51,29,123,11,238
LGA51190,156,421,136,256,21,1087,167,96,691,295,606,49,1899,0,3,16,10,54,6,93,13,12,44,44,299,12,419,9,6,41,42,165,55,311,509,384,2200,1388,4835,362,9675
