LGA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA50080,0,6,0,437,33,13,6,56,5,25,4,17,4,28,330,517,0,0,3,0,0,0,0,0,0,5,11,22,725,199,39,1279,129,551,64,175,41,211,352,3757
LGA50210,13,24,5,1782,110,13,15,95,17,72,8,29,17,45,1053,1473,6,4,5,3,5,3,0,0,0,3,29,70,2525,471,108,3643,460,2567,187,548,186,695,1113,12495
LGA50250,4,0,0,187,7,3,0,5,0,5,0,0,0,0,58,85,0,0,0,0,0,0,0,0,0,0,0,4,141,18,24,162,37,123,18,12,15,17,63,627
LGA50280,0,0,0,172,25,14,0,32,7,10,0,5,0,14,225,324,0,0,0,0,0,0,0,0,0,0,8,15,271,154,33,607,62,223,51,94,30,68,235,1825
LGA50350,6,0,0,392,19,0,0,17,3,5,0,5,0,9,115,179,0,0,0,0,0,0,0,0,4,4,5,10,374,112,13,609,75,259,30,84,17,107,129,1797
LGA50420,12,24,4,1794,66,17,13,54,12,47,0,25,6,51,440,721,8,0,5,6,0,0,0,0,0,0,28,44,1622,355,59,2448,336,1252,102,405,81,581,480,7722
LGA50490,12,17,5,684,31,5,3,22,13,21,6,11,0,20,273,408,0,0,4,0,0,0,0,0,0,0,14,25,792,171,36,1101,175,806,58,219,54,341,294,4047
LGA50560,0,0,0,8,10,0,0,10,0,0,0,0,0,3,14,43,0,0,0,0,0,0,0,0,0,0,0,0,31,4,4,38,7,19,0,9,0,22,21,150
LGA50630,0,0,0,36,7,0,0,8,3,0,0,0,0,0,20,39,0,0,0,0,0,0,0,0,0,0,0,0,38,8,4,39,7,41,5,6,3,3,23,186
LGA50770,0,0,0,17,5,0,0,6,0,0,0,0,0,0,12,37,0,0,0,0,0,0,0,0,0,0,0,0,44,8,0,53,6,25,3,0,3,7,12,172
LGA50840,0,0,0,53,11,0,0,9,0,8,0,0,0,4,56,90,0,0,0,0,0,0,0,0,0,0,0,3,88,27,11,150,15,73,11,27,5,23,53,486
LGA50910,0,0,0,13,4,0,0,0,0,4,0,0,0,5,4,22,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,30,3,19,0,0,0,8,4,84
LGA50980,0,6,4,335,32,9,0,27,7,10,3,6,3,19,150,255,0,0,5,0,0,0,0,0,0,8,11,25,448,50,18,423,80,178,29,57,34,145,172,1634
LGA51080,0,0,0,16,3,0,0,6,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,4,7,20,3,0,47,10,6,0,6,0,8,3,107
LGA51120,0,0,0,11,12,0,0,3,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,3,30,4,0,27,5,14,0,4,0,3,4,94
LGA51190,3,0,0,412,41,10,0,37,0,16,3,6,3,18,248,387,0,0,0,3,0,0,0,0,0,0,8,18,495,121,27,906,85,496,50,147,55,197,258,2834
LGA51260,12,8,0,666,56,23,9,81,6,23,5,9,5,28,539,788,3,0,4,9,0,6,4,0,0,0,11,37,776,251,49,1487,135,519,118,187,62,183,551,4315
LGA51310,9,42,4,2521,33,5,0,58,4,32,5,9,3,8,195,362,0,0,0,5,6,3,0,0,0,0,8,23,934,177,36,1537,114,696,45,154,20,167,210,4088
LGA51330,15,46,0,2587,105,32,10,129,16,66,8,34,15,73,782,1263,5,0,3,0,0,0,0,0,4,0,22,41,2715,640,86,3500,360,2483,138,779,137,921,840,12600
LGA51400,3,4,0,405,49,7,5,59,5,19,0,8,3,9,267,428,0,0,0,3,4,0,0,0,0,0,10,20,495,76,24,825,89,368,59,64,23,95,285,2395
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,8,0,9,4,3,0,3,0,45
