LGA_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
LGA50080,619,53,95,0,63,12,87,251,7,1184,18,22,140,3,10,0,195,25,4,421,93,34,276,10,72,35,97,267,12,905,24,14,70,0,28,0,36,21,5,200,168,23,853,4,154,17,183,203,9,1611,64,36,58,0,41,96,80,24,6,404,294,41,145,17,106,1066,68,247,0,1985,224,11,179,350,58,140,25,367,7,1354,77,33,40,7,105,26,316,37,10,649,22,43,14,0,5,18,0,7,0,111,23,83,5,0,109,13,0,0,6,233,28,9,8,0,53,107,10,11,0,230,55,364,82,3,153,10,0,9,0,667,17,41,65,34,36,0,9,251,0,461,107,203,79,350,192,6,21,111,15,1087,106,875,59,384,113,3,0,83,5,1641,137,1003,103,1067,408,13,11,141,18,2903,28,48,22,68,7,13,0,17,0,205,56,51,349,115,76,12,9,66,9,734,60,38,104,46,60,44,59,84,126,617
LGA50210,114,18,39,5,32,7,28,129,3,385,217,481,778,17,217,6,666,154,45,2582,420,221,911,18,352,130,500,438,26,3010,71,92,134,5,77,11,73,43,11,517,405,228,1870,22,410,48,415,649,41,4092,241,145,219,7,263,200,337,99,18,1530,614,174,245,36,254,2158,308,457,16,4264,321,24,343,498,69,445,95,615,17,2434,212,134,139,86,651,82,1475,109,35,2916,45,90,79,0,47,34,3,18,3,325,83,234,19,7,411,29,4,4,15,791,87,34,58,10,120,161,33,30,8,541,237,1107,479,12,393,15,57,51,31,2394,101,141,172,110,169,23,84,588,19,1410,212,503,170,717,623,11,48,164,38,2487,231,1696,148,903,286,11,8,191,12,3499,265,2134,279,2550,846,43,74,252,44,6485,58,86,75,184,63,25,5,52,14,564,111,130,858,280,160,20,33,189,14,1791,201,227,437,110,302,116,347,291,405,2444
LGA50250,25,0,9,0,5,0,0,25,4,59,82,103,643,19,72,0,803,84,44,1853,5,0,4,0,6,0,8,7,0,30,5,0,0,0,0,0,10,9,0,28,20,13,122,0,22,0,71,64,5,323,13,7,16,0,8,11,7,0,0,56,11,8,3,0,0,59,10,25,0,114,25,3,46,39,10,18,5,50,0,200,5,3,3,8,26,8,44,4,0,113,3,3,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,12,0,0,7,3,7,3,0,14,3,44,7,11,10,0,6,0,0,0,0,34,10,13,11,0,23,0,40,48,5,153,25,21,5,34,36,6,4,35,5,167,21,117,5,76,10,0,0,20,4,254,15,47,0,59,28,0,0,0,0,159,0,5,0,3,0,0,0,4,0,11,9,3,27,12,8,0,0,11,0,73,6,12,28,8,13,5,18,24,36,145
LGA50280,297,16,35,3,23,9,22,200,8,616,33,68,172,6,16,0,191,37,6,533,155,110,132,39,48,65,43,171,0,761,7,3,26,0,9,0,9,3,0,55,93,11,467,0,62,5,74,110,0,822,24,10,10,0,22,36,13,11,3,129,148,30,43,11,32,395,23,90,7,783,233,13,166,230,72,59,10,193,6,985,19,17,12,8,28,9,50,11,0,161,0,18,7,0,4,3,0,0,0,31,14,21,0,0,37,3,0,0,0,79,12,13,6,0,20,54,0,4,0,119,26,201,49,0,65,0,0,5,7,349,32,17,59,38,19,6,7,170,0,354,45,78,30,42,57,0,11,19,7,282,50,419,15,172,38,0,0,25,0,725,23,352,13,291,69,0,0,25,0,774,13,54,14,24,3,8,0,4,0,131,17,15,117,59,18,0,0,16,3,260,59,43,55,29,36,28,17,42,52,363
LGA50350,9,6,6,0,3,0,0,4,0,29,60,148,105,4,47,3,81,20,3,485,72,45,123,4,43,13,52,46,10,411,12,31,11,0,13,3,4,5,0,78,87,49,351,0,64,14,49,95,8,716,34,21,39,0,37,34,35,14,0,214,88,21,37,8,32,369,42,54,0,653,67,9,60,137,23,34,8,103,7,438,35,32,15,22,88,15,117,16,4,342,4,41,18,0,19,9,0,0,3,86,31,76,0,3,88,4,0,0,0,213,11,14,8,0,17,50,3,7,0,108,82,378,83,3,99,10,6,7,3,671,16,34,23,16,29,5,8,89,0,225,95,183,39,120,161,3,8,22,8,634,73,450,29,162,63,0,0,24,0,809,72,455,57,305,161,9,10,38,12,1122,34,40,16,62,21,10,0,14,5,199,36,38,104,55,31,0,0,25,0,291,52,54,59,10,46,21,36,43,45,359
LGA50420,30,11,11,0,19,0,12,34,3,126,264,755,404,15,191,10,335,101,25,2115,268,155,450,36,165,90,200,273,12,1647,66,118,50,0,92,7,36,23,12,399,380,264,1281,8,301,42,149,370,30,2813,168,125,87,0,153,117,145,35,15,855,461,185,169,23,185,1605,162,304,14,3110,396,44,460,755,75,247,66,558,16,2624,170,160,69,78,386,57,706,57,14,1701,56,145,81,7,44,50,3,8,3,399,120,382,14,10,425,39,0,0,10,1012,81,53,27,6,101,184,17,32,0,499,408,1965,380,20,444,36,14,20,26,3313,113,161,112,100,154,18,42,489,3,1187,353,807,121,513,673,8,20,87,49,2623,253,1936,119,509,233,0,4,71,17,3146,315,1915,206,1512,738,32,38,192,38,4979,128,193,64,267,72,29,5,47,12,822,142,124,569,307,154,16,27,113,5,1472,210,287,239,92,205,95,158,162,252,1701
LGA50490,16,5,8,0,7,4,10,22,0,74,145,440,432,12,191,8,382,82,23,1718,120,123,304,17,100,43,160,149,10,1029,37,42,38,0,39,0,19,15,0,187,174,194,777,10,171,26,134,234,16,1740,115,65,114,0,110,80,127,37,8,653,239,109,114,21,101,912,128,169,15,1807,275,21,410,431,67,187,30,343,8,1770,128,93,57,74,272,50,711,50,14,1448,24,57,37,0,31,36,6,6,0,194,66,175,11,7,217,23,4,11,11,517,44,35,24,7,76,126,15,19,4,352,190,952,233,4,245,12,27,17,18,1705,80,106,73,57,96,19,44,402,11,880,131,312,72,307,337,6,12,53,18,1242,92,757,54,284,113,0,4,55,6,1373,163,936,115,951,405,20,20,107,18,2744,70,58,88,247,54,31,5,56,8,601,68,77,303,158,87,13,25,110,6,843,114,132,168,44,100,42,123,137,212,1076
LGA50560,131,4,6,0,11,0,11,41,4,198,0,4,4,0,0,0,19,3,0,34,3,0,9,0,5,3,4,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,9,9,0,38,0,4,0,0,0,12,4,0,0,22,10,5,0,0,3,10,6,0,0,33,0,0,4,8,0,0,0,8,0,26,3,0,0,0,6,0,17,0,0,27,0,0,0,0,4,0,0,0,0,3,0,3,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,6,11,4,0,0,0,0,0,0,15,5,3,0,0,0,0,0,9,0,10,4,5,8,3,13,0,3,7,0,41,3,25,3,13,0,0,0,0,0,48,5,18,0,30,4,0,0,4,0,61,0,0,0,4,0,3,0,0,0,9,0,0,11,3,4,0,0,0,0,16,0,3,10,0,4,0,5,3,8,28
LGA50630,50,0,5,0,0,0,0,14,0,64,11,23,74,6,13,0,116,13,5,254,3,10,22,3,0,0,29,3,0,72,0,0,0,0,0,0,4,0,0,7,0,0,14,0,10,0,19,4,0,47,3,0,0,0,0,0,0,0,0,10,4,0,3,0,0,16,0,8,0,32,4,0,0,8,5,0,0,16,0,36,0,0,0,0,5,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,11,0,0,5,0,4,0,4,4,0,19,7,0,10,6,8,0,8,0,0,37,9,24,5,12,4,0,0,3,0,51,6,14,3,11,8,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,3,0,8,0,8,0,0,4,0,25,3,0,3,0,0,0,0,4,6,22
LGA50770,237,0,29,0,15,4,13,52,0,356,4,7,18,0,3,0,21,0,0,50,0,0,8,0,0,0,6,0,0,21,0,3,0,0,0,0,0,0,0,7,5,0,6,0,8,0,7,9,0,36,0,0,3,0,3,3,0,0,0,10,5,0,5,0,0,24,0,10,0,44,8,0,4,13,3,0,0,3,0,23,5,0,0,0,3,0,14,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,6,0,0,0,0,0,4,0,0,0,3,0,4,3,0,6,0,0,0,0,17,0,0,0,0,3,0,0,5,0,8,3,4,0,3,7,0,5,3,0,35,3,26,0,9,8,0,0,3,0,53,0,23,6,24,10,0,0,5,0,62,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,19,9,3,3,6,0,0,3,9,9,31
