LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA50080,9,12,41,44,54,111,231,364,229,1092,0,5,18,27,36,19,18,10,17,150,102,93,287,241,287,321,326,297,190,2148,1099,1719,4150,4228,4974,5441,4990,2890,1160,30655
LGA50210,32,31,86,147,171,254,381,360,165,1621,0,11,59,84,80,92,71,55,23,477,294,306,817,837,662,528,391,333,182,4345,2499,5343,14125,15510,11037,9324,7012,3283,1006,69134
LGA50250,3,0,3,10,16,22,8,10,3,78,0,0,4,6,10,4,5,5,0,38,50,95,319,312,219,162,37,7,0,1198,143,381,1511,1495,1021,744,200,54,10,5553
LGA50280,3,12,27,15,11,13,36,44,44,205,0,3,0,6,3,0,0,5,0,16,54,49,171,238,273,165,159,74,59,1238,322,467,1734,2670,2511,2214,1925,746,286,12878
LGA50350,5,3,9,23,24,59,84,132,93,431,0,4,3,9,14,19,15,12,6,87,26,59,153,123,122,103,105,91,32,817,343,864,2236,2388,2162,1967,1570,835,360,12733
LGA50420,15,10,69,110,163,252,446,610,395,2083,0,3,39,44,95,100,100,109,86,579,115,204,594,531,414,375,341,351,243,3175,1380,4156,11636,10672,8734,7791,6597,3830,1631,56421
LGA50490,8,12,53,83,99,109,201,316,198,1082,4,5,68,58,70,60,50,30,25,368,98,237,650,507,390,321,256,207,181,2852,896,3034,8515,6603,5017,4485,3277,1827,902,34560
LGA50560,0,4,0,0,0,4,19,27,6,64,0,0,0,0,0,0,0,0,0,0,8,12,17,20,29,32,38,22,10,193,44,47,124,161,220,292,349,165,58,1460
LGA50630,0,0,0,0,0,3,3,9,9,28,0,0,0,4,0,0,0,0,0,4,9,3,20,19,32,37,20,14,3,158,34,54,183,208,242,266,197,86,20,1296
LGA50770,0,0,0,0,6,6,5,16,10,45,0,0,0,0,0,0,0,3,0,3,4,9,10,27,27,32,20,26,0,165,26,75,129,220,241,295,245,158,35,1425
LGA50840,0,0,0,0,9,15,29,44,18,119,0,0,0,0,0,0,0,0,0,0,14,18,29,48,66,66,78,50,12,384,107,160,381,537,693,896,922,426,104,4221
LGA50910,0,7,0,0,4,3,12,11,12,43,0,0,0,0,0,0,0,0,0,4,8,5,4,18,10,15,11,6,3,79,20,35,67,102,137,134,133,90,41,756
LGA50980,12,7,14,22,33,32,74,47,15,268,8,0,9,12,12,17,4,7,8,78,129,149,469,355,386,278,144,55,16,1977,522,917,2884,2704,2353,1830,953,289,75,12520
